Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Randy Johnson","ARI",19,7,2.64209109877331,35,35,25,8,3,0,,,248.2,1001,202,89,73,23,76,1,6,5,2,347,"Randy Johnson",60,116615
"Pedro Martínez","BOS",18,6,1.7419354838709677,29,29,25,7,4,0,,,217,817,128,44,42,17,32,0,14,1,0,284,"Pedro Martinez",200,118377
"Chan Ho Park","LAD",18,10,3.265486725663717,34,34,23,3,1,0,,,226,963,173,92,82,21,124,4,12,13,0,217,"Chan Ho Park",1267,120221
"Kevin Brown","LAD",13,6,2.582608695652174,33,33,26,5,1,0,,,230,921,181,76,66,21,47,1,9,4,0,216,"Kevin Brown",642,111554
"Bartolo Colon","CLE",15,8,3.877659574468085,30,30,19,2,1,0,,,188,807,163,86,81,21,98,4,4,4,0,212,"Bartolo Colon",375,112526
"Mike Mussina","BAL",11,15,3.7868161882437175,34,34,21,6,1,0,,,237.2,987,236,105,100,28,46,0,3,3,0,210,"Mike Mussina",837,119608
"Ryan Dempster","FLA",14,10,3.6583208959600975,33,33,20,2,1,0,,,226.1,974,210,102,92,30,97,7,5,4,0,209,"Ryan Dempster",517,133225
"Al Leiter","NYM",16,8,3.201922842031417,31,31,19,2,1,0,,,208,874,176,84,74,19,76,1,11,4,1,200,"Al Leiter",883,117652
"Javier Vazquez","MON",11,9,4.052067570688037,33,33,24,2,1,0,,,217.2,945,247,104,98,24,61,10,5,3,0,196,"Javier Vazquez",801,134320
"Rick Ankiel","STL",11,7,3.4971425522162254,31,30,16,0,0,0,,,175,735,137,80,68,21,90,2,6,12,2,194,"Rick Ankiel",1142,150449
"Pedro Astacio","COL",12,9,5.271647405357934,32,32,14,3,0,0,,,196.1,875,217,119,115,32,77,5,15,8,0,193,"Pedro Astacio",862,110359
"Jon Lieber","CHC",12,11,4.410358565737051,35,35,19,6,1,0,,,251,1047,248,130,123,36,54,3,10,2,2,192,"Jon Lieber",287,117758
"Darryl Kile","STL",20,9,3.912481894692293,34,34,20,5,1,0,,,232.1,960,215,109,101,33,58,1,13,8,1,192,"Darryl Kile",1163,117046
"Greg Maddux","ATL",19,9,2.9959891825797675,35,35,25,6,3,0,,,249.1,1012,225,91,83,19,42,12,10,1,2,190,"Greg Maddux",104,118120
"Chuck Finley","CLE",16,11,4.169724478784651,34,34,19,3,0,0,,,218,936,211,108,101,23,101,3,2,9,0,189,"Chuck Finley",384,114133
