Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Todd Frazier","NYM",1,0.61538462,,,,,,,,,,,,0.38461538,,"Todd Frazier",785,453943
"Tommy Hunter","PHI",24.2,0.0195122,,0.33170732,,,0.41707317,,0.23170732,,,,,,,"Tommy Hunter",1157,488984
"Adam Ottavino","NYY",18.1,0.00294985,,0.04129794,,,0.44837758,0.4719764,,,,0.03539823,,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",18,0.13829787,,,,,0.42907801,0.43262411,,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",7.2,0.81889764,,,0.05511811,,,0.08661417,0.03937008,,,,,,,"Sean Doolittle",1581,448281
"Zack Greinke","HOU",67,0.46132075,,,,,0.0009434,0.16037736,0.15188679,0.00471698,0.00188679,0.21886792,,,,"Zack Greinke",1943,425844
"Iván Nova","DET",19,0.19014085,,,,,0.40140845,,0.25352113,,,0.15492958,,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",58.1,0.40878378,,,,,,0.4009009,0.18806306,,,0.00225225,,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,0.09247312,,0.22903226,,,0.27096774,,0.3827957,,,0.02473118,,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,0.48974359,,,,,0.10512821,0.36923077,,,,0.03589744,,,,"Hector Rondon",2391,444468
"Corey Kluber","TEX",1,0.05555556,,0.16666667,,,0.44444444,,0.27777778,,,0.05555556,,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",84,0.49751244,,0.22245913,,,0.17910448,,0.08457711,0.00639659,,0.00995025,,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","ATL",5,0.06521739,,,,,0.35869565,,0.48913043,,,0.08695652,,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","NYM",59,0.10478128,,,,,0.42624619,0.29196338,0.0508647,,,0.12614446,,,,"Rick Porcello",2717,519144
"Ross Detwiler","CHW",19.2,0.27652733,,0.02572347,,,0.2926045,0.27652733,0.03536977,,,0.09324759,,,,"Ross Detwiler",2859,446321
"Luis Avilán","NYY",8.1,0.04938272,,,,,0.31481481,,0.05555556,,,0.58024691,,,,"Luis Avilan",2882,501593
