Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Todd Frazier","NYM",1,0.7592496871948242,,,,,,,,,,,,0.11733457446098328,"Todd Frazier",785,453943
"Erik Kratz","NYY",2,-0.05698142200708389,,,,,,,,,,,,-1.5214664936065674,"Erik Kratz",4403,456124
"Tommy Hunter","PHI",24.2,0.14083802700042725,,0.7202470302581787,,,0.001372016966342926,,0.5016947388648987,,,,,,"Tommy Hunter",1157,488984
"Adam Ottavino","NYY",18.1,-0.024000927805900574,,-1.706053376197815,,,-0.861205518245697,1.8089072704315186,,,,0.04272894188761711,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",18,0.9585661888122559,,,,,3.7180404663085938,0.422153115272522,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",7.2,-2.05631685256958,,,-1.2437717914581299,,,1.144881010055542,0.47456231713294983,,,,,,"Sean Doolittle",1581,448281
"Zack Greinke","HOU",67,-3.3500165939331055,,,,,0.17224723100662231,0.7061772346496582,3.5818450450897217,0.609321653842926,0.026054173707962036,6.158862113952637,,,"Zack Greinke",1943,425844
"Iván Nova","DET",19,-4.411211967468262,,,,,-2.755756378173828,,1.690556287765503,,,1.951481819152832,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",58.1,3.7104556560516357,,,,,,8.156292915344238,1.2685426473617554,,,-0.04800185561180115,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,-0.8900658488273621,,1.0084322690963745,,,-0.5562493205070496,,10.994601249694824,,,-0.4633556306362152,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,-6.377255916595459,,,,,-0.8846924304962158,0.005578421056270599,,,,-0.29588985443115234,,,"Hector Rondon",2391,444468
"Corey Kluber","TEX",1,0,,0.08764030039310455,,,-0.07042314857244492,,-0.10340534150600433,,,0.3046535849571228,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",84,5.10895299911499,,2.571272134780884,,,3.2945170402526855,,0.1822715550661087,-0.41064950823783875,,-0.413756400346756,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","ATL",5,-0.4665108919143677,,,,,1.4830896854400635,,-0.10123486816883087,,,-1.7187401056289673,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","NYM",59,0.16579893231391907,,,,,-3.14605450630188,0.9235821962356567,-0.6510376334190369,,,-2.2611098289489746,,,"Rick Porcello",2717,519144
"Ross Detwiler","CHW",19.2,-1.2196576595306396,,0.23238834738731384,,,2.3097710609436035,0.49709564447402954,0.1590110957622528,,,-0.9092428088188171,,,"Ross Detwiler",2859,446321
"Luis Avilán","NYY",8.1,0.25340425968170166,,,,,0.2755429148674011,,-1.270511507987976,,,-0.6406168341636658,,,"Luis Avilan",2882,501593
"Kenley Jansen","LAD",24.1,,,1.5978187322616577,,,1.1003612279891968,0.9877359867095947,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","SFG",18,-0.012373991310596466,,,,,1.0670936107635498,0.31043577194213867,,,,0.5762737989425659,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",67.1,1.4950122833251953,,0.769917368888855,,,,6.20905065536499,-3.124368667602539,,,-6.2183613777160645,,,"Max Scherzer",3137,453286
"Will Harris","WSN",17.2,0.30417078733444214,,-0.48355135321617126,,,,,-2.3454713821411133,,,,,,"Will Harris",3192,501789
"T.J. McFarland","OAK",20.2,,,,,,-1.7217564582824707,-2.687525987625122,,,,-0.3139457702636719,,,"T.J. McFarland",3237,519008
