Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Erik Kratz","NYY",2,79.3,,,,,,,,,,,,61.19444444444444,"Erik Kratz",4403,456124
"Todd Frazier","NYM",1,64.05000305175781,,,,,,,,,,,,54.6,"Todd Frazier",785,453943
"Tommy Hunter","PHI",24.2,92.73749542236328,,90.41911764705883,,,92.64561631944444,,82.3389494243421,,,,,,"Tommy Hunter",1157,488984
"Adam Ottavino","NYY",18.1,92.80000305175781,,86.60714285714286,,,93.3631591796875,80.97125244140625,,,,88.2999979654948,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",18,89.52051407251602,,,,,89.95950090392562,76.04753938268442,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",7.2,90.6875,,,81.15713936941964,,,80.84545343572444,80.14000244140625,,,,,,"Sean Doolittle",1581,448281
"Zack Greinke","HOU",67,87.0488720603272,,,,,89.69999694824219,84.45,70.5596309685559,63.6800048828125,53.150001525878906,86.18017578125,,,"Zack Greinke",1943,425844
"Iván Nova","DET",19,92.30184823495371,,,,,92.09912109375,,79.55416531032986,,,86.36363636363636,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",58.1,91.56060606060606,,,,,,87.86376404494382,74.1437125748503,,,86.9000015258789,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,89.15930459665698,,85.01267238849765,,,89.27539837549604,,73.49269772647472,,,81.84782608695652,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,95.66387843586388,,,,,95.34390482088415,85.38680691189236,,,,88.32856968470982,,,"Hector Rondon",2391,444468
"Corey Kluber","TEX",1,91.5,,88.40000406901042,,,91.55000305175781,,83.4,,,83.5999984741211,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",84,93.99328125,,89.4185303514377,,,91.96864924355158,,83.93949415703781,78.9888916015625,,85,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","ATL",5,90.98333740234375,,,,,91.12121212121212,,80.2066677517361,,,79,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","NYM",59,91.55243097694175,,,,,90.06061679594272,86.24076518945994,74.93,,,81.81290165070564,,,"Rick Porcello",2717,519144
"Ross Detwiler","CHW",19.2,91.91046852289244,,83.0999984741211,,,91,83.29767555414244,78.09999778053977,,,85.20345332704741,,,"Ross Detwiler",2859,446321
"Luis Avilán","NYY",8.1,90.04999542236328,,,,,90.78627642463235,,75.25555419921875,,,83.83936066323139,,,"Luis Avilan",2882,501593
"Kenley Jansen","LAD",24.1,,,90.8876811594203,,,92.34173535925197,81.6000011355378,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","SFG",18,89.86363636363636,,,,,89.79062906901042,81.16153971354167,,,,84.05149545242537,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",67.1,94.65322580645162,,91.12136919070512,,,,85.46068709935898,77.13454367897727,,,84.91803922358247,,,"Max Scherzer",3137,453286
"Will Harris","WSN",17.2,91.2750015258789,,90.46516561329588,,,,,80.75256660657051,,,,,,"Will Harris",3192,501789
"T.J. McFarland","OAK",20.2,,,,,,88.46111505681819,78.25256660657051,,,,81.8236328125,,,"T.J. McFarland",3237,519008
"Zack Britton","NYY",19,,,,,,94.80387931034483,81.1175472861842,,,,,,,"Zack Britton",3240,502154
"Jeff Samardzija","SFG",16.2,90.34286063058036,,87.50923227163462,82.49814633969908,,91.0595703125,83.94507179797536,,81.2,,,,,"Jeff Samardzija",3254,502188
"Aníbal Sánchez","WSN",53,89.2889283158397,,87.41726009402655,81.80530173365725,,89.57012860186688,,76.32666829427083,,,69.58412388392857,,,"Anibal Sanchez",3284,434671
"Darren O'Day","ATL",16.1,85.97742092993951,,,,,85.612001953125,78.31607491629464,,,,,,,"Darren O'Day",3321,503285
"Drew Butera","COL",1.2,79.79666341145834,,,,,,,,,,70.5999984741211,,,"Drew Butera",3411,460077
"Danny Duffy","KCR",56.1,92.166944267336,,,,,92.11205535239361,82.60432339891975,75.51729176456767,,,83.87083201938205,,,"Danny Duffy",3542,518633
"Liam Hendriks","OAK",25.1,96.02192007211538,,,,,,86.75244140625,83.88076547475961,,,90.4000015258789,,,"Liam Hendriks",3548,521230
"Matt Magill","SEA",10.1,91.84999663254311,,,,,,85.79710144927536,82.547998046875,,,,,,"Matt Magill",3950,543483
"Edinson Volquez","TEX",5.2,94.34000244140626,,,,,94.25777994791666,,,81.58500366210937,,83.8575772372159,,,"Edinson Volquez",3990,450172
"Yusmeiro Petit","OAK",21.2,88.14477903451493,,84.42888997395833,,,,,74.29999856387867,,,81.25087376644737,,,"Yusmeiro Petit",4020,433589
"Pedro Strop","CIN",2.1,91.5750020345052,,85.90833536783855,86.95999755859376,,91.86111111111111,81.53125,,,,,,,"Pedro Strop",4070,467008
"Derek Holland","PIT",40.2,92.13912963867188,,,,,92.31373552316293,,,80.71679323111007,,84.34087126358696,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",44.1,91.93332926432292,,,,,92.02052837171053,88.7816544933432,81.79999815742924,,,87.27822580645162,,,"Jake Arrieta",4153,453562
"Rafael Dolis","TOR",24,94.25,,,86.56752866274351,,94.6593625498008,83.95357259114583,,,,,,,"Rafael Dolis",4185,503569
"Mark Melancon","ATL",22.2,91.63333468967014,,91.8955078125,84.1199951171875,,,,,81.82857452876983,,,,,"Mark Melancon",4264,453343
"Justin Wilson","NYM",19.2,94.92462311557789,,90.78759387112403,,,94.47999877929688,81.14166768391927,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","CHC",18.2,94.692001953125,,89.857998046875,,,94.16574807363014,,80.32272616299716,,,85.3812484741211,,,"Tyler Chatwood",4338,543022
"Jordan Zimmermann","DET",5.2,89.38387175529233,,,,,89.23214285714286,85.18788100733902,79.96363414417614,,,85.02000122070312,,,"Jordan Zimmermann",4505,519455
"Charlie Morton","TBR",38,93.38205295138889,,84.98448444234914,85.92143031529018,,93.03478119338769,,78.16157588252315,,,,,,"Charlie Morton",4676,450203
"Nate Jones","CIN",18.2,95.5,,,,,95.85851271609043,87.98682517776946,,,,89.30000305175781,,,"Nate Jones",4696,518858
