Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Todd Frazier","NYM",1,11.922158241271973,,,,,,,,,,,,3.0271675109863283,"Todd Frazier",785,453943
"Erik Kratz","NYY",2,10.709197235107421,,,,,,,,,,,,0.8070267041524252,"Erik Kratz",4403,456124
"Tommy Hunter","PHI",24.2,9.101057052612305,,6.361300300149357,,,7.3059531763980265,,-2.9432896664268093,,,,,,"Tommy Hunter",1157,488984
"Adam Ottavino","NYY",18.1,7.396596908569336,,5.877729143415179,,,3.897650066174959,0.8757098197937012,,,,1.2563397884368896,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",18,8.953794821714743,,,,,4.2398257925490705,-0.8826692299764665,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",7.2,11.043367826021635,,,8.764330182756696,,,3.109547354958274,3.2422954559326174,,,,,,"Sean Doolittle",1581,448281
"Zack Greinke","HOU",67,10.1071832262909,,,,,8.59138298034668,3.651938763786765,-6.395889187451475,-7.431068420410156,7.5065717697143555,2.920477242305361,,,"Zack Greinke",1943,425844
"Iván Nova","DET",19,6.472007468894676,,,,,4.267726429721765,,-2.792539596557617,,,3.965352838689631,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",58.1,11.618875634900137,,,,,,5.080006117231391,-8.883695499625748,,,10.092145919799805,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,8.559045835982921,,3.6752766353983275,,,6.778803265283978,,-8.112672270014045,,,4.195822010869565,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,8.994275477544175,,,,,6.933005728372714,0.1480143732494778,,,,3.1801888602120534,,,"Hector Rondon",2391,444468
"Corey Kluber","TEX",1,8.677152633666992,,5.565698623657227,,,5.4602742195129395,,2.391372871398926,,,2.6596832275390625,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",84,9.055302036830357,,4.109793861072284,,,4.3434656536768355,,-1.7685526358981092,-4.828987121582031,,5.164051055908203,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","ATL",5,8.061236063639322,,,,,5.451805345939867,,1.731753200954861,,,4.281404972076416,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","NYM",59,9.499975111878033,,,,,6.151868287589499,4.468492674079922,-3.0458724975585936,,,4.2581959386025705,,,"Rick Porcello",2717,519144
