Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Kevin Appier","- - -",5.641147707580744,3.6172244842502486,1.55952381,1.1626792985090084,0.14146868,0.09071274,0.05075594,0.2754491017964072,1.502392179966373,0.2998522895125554,0.67090395,104.29994111109332,99.68961641886807,,5.167463548928926,4.865911329673816,0.3015522192551101,,,"Kevin Appier",3,110293
"Mickey Callaway","TBD",5.120690497150174,6.5172424509184035,0.78571429,0.9310346358454862,0.11111111,0.14141414,-0.03030303,0.35294117647058826,2.275862443177855,0.3888888888888889,0.58252427,151.92665681629845,114.21029536081134,,7.448277086763889,5.513164839137955,1.9351122476259341,,,"Mickey Callaway",7,209068
"Dennis Cook","NYM",9.714288655323045,3.85714402490768,2.51851852,1.5714290471846102,0.25954198,0.10305344,0.15648855,0.21367521367521367,1.222222592254697,0.25161290322580643,0.81469649,87.61914267495315,101.91076442187796,,3.85714402490768,4.57829898484393,-0.7211549599362503,,,"Dennis Cook",8,112621
"Al Levine","ANA",3.9176470588235293,3.070588235294118,1.27586207,1.3764705882352941,0.10601719,0.08309456,0.02292264,0.23974763406940064,1.2352941176470589,0.23595505617977527,0.75723831,68.48646957636353,109.9715689649621,,3.388235294117647,5.380912926617791,-1.9926776325001438,,,"Al Levine",20,117722
"Ramon Ortiz","ANA",8.193104310461038,4.655172903671044,1.76,1.3034484130278923,0.20183486,0.1146789,0.08715596,0.2617801047120419,1.5517243012236814,0.30714285714285716,0.625,131.73314769221346,99.69868857929184,,6.517242065139461,4.871785320458903,1.6454567446805584,,,"Ramon Ortiz",27,150009
"Troy Percival","ANA",9.157897188393358,3.4736851404250673,2.63636364,1.421053011992073,0.25217391,0.09565217,0.15652174,0.18536585365853658,1.0526318607348688,0.21014492753623187,0.77380952,76.59672989941262,91.5349552636711,,3.789474698645528,4.467187793352546,-0.6777130947070185,,,"Troy Percival",29,120401
"Lou Pote","ANA",6.1363647003806205,3.681818820228372,1.66666667,0.306818235019031,0.16949153,0.10169492,0.06779661,0.2169811320754717,1.1931820250740095,0.25882352941176473,0.77380952,43.41206299400046,70.82252412026112,,2.1477276451332172,3.4406723381074102,-1.292944692974193,,,"Lou Pote",30,150010
"Scott Schoeneweis","ANA",5.033897979613613,3.2033896233904806,1.57142857,0.915254178111566,0.12571429,0.08,0.04571429,0.2919254658385093,1.5508473573557089,0.31851851851851853,0.61371841,111.00030897978283,90.2809825898284,,5.491525068669396,4.405040461576665,1.0864846070927303,,,"Scott Schoeneweis",33,150011
"Aaron Sele","TEX",8.165853050726687,3.0731705029616565,2.65714286,0.9219511508884969,0.20217391,0.07608696,0.12608696,0.2911694510739857,1.5317072030634287,0.35340729001584786,0.71139582,95.35120800893783,78.75271109097234,,4.785365497468865,3.850927220446099,0.9344382770227657,,,"Aaron Sele",34,121986
"Donne Wall","SDP",6.781991747452388,2.943128494177451,2.30434783,1.4075831928674767,0.18275862,0.07931034,0.10344828,0.21722846441947566,1.151658975982481,0.2315270935960591,0.76219512,72.42394914693293,104.11761531959903,,3.071090602619949,4.640963380300021,-1.569872777680072,,,"Donne Wall",39,123849
