Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Pedro Martínez","BOS",23,4,0,31,29,213.1,13.204686870351464,1.5609374255687034,0.37968748189509,0.3233404710920771,0.77559462,,,,2.0671874014288236,,1.3947916860133371,,11.608582731336355,"Pedro Martinez",200,118377
"Randy Johnson","ARI",17,9,0,35,35,271.2,12.058896157065405,2.319018491743347,0.993865067890006,0.29207920792079206,0.81967213,,,,2.4846626697250147,,2.7620749480628586,,9.47813606262207,"Randy Johnson",60,116615
"Kevin Brown","LAD",18,9,0,35,35,252,7.89285666493875,2.107142729553784,0.6785713874834219,0.26825842696629215,0.70970329,,,,2.99999981834776,,3.145758864272299,,7.320936679840088,"Kevin Brown",642,111554
"Mike Mussina","BAL",18,7,0,31,31,203.1,7.613114944535926,2.301639401836443,0.7081967390265977,0.3178036605657238,0.72390572,,,,3.496721398943827,,3.2469688600162385,,6.036916255950928,"Mike Mussina",837,119608
"Shane Reynolds","HOU",16,14,0,35,35,231.2,7.653237242044414,1.437410040383976,0.8935251602386879,0.3219858156028369,0.70367475,,,,3.8460430810273953,,3.2158684897769545,,5.966639995574951,"Shane Reynolds",574,121110
"Greg Maddux","ATL",19,9,0,33,33,219.1,5.580547241872938,1.5182371172742553,0.6565349696321103,0.32396251673360105,0.70860448,,,,3.5699088973746003,,3.4028510698126464,,5.6154561042785645,"Greg Maddux",104,118120
"Kevin Millwood","ATL",18,7,0,33,33,228,8.092105804718138,2.3289475242847324,0.9473684844548065,0.23452768729641693,0.76494428,,,,2.684210705955285,,3.5329769368170245,,5.488007545471191,"Kevin Millwood",106,119154
"John Smoltz","ATL",11,8,0,29,29,186.1,7.534883926606806,1.9320215196427708,0.6762075318749697,0.2894736842105263,0.73804574,,,,3.1878355074105715,,3.144587555975283,,5.351608753204346,"John Smoltz",115,122477
"Mike Hampton","HOU",22,4,0,34,34,239,6.665271966527197,3.803347280334728,0.45188284518828453,0.28362573099415206,0.76558266,,,,2.899581589958159,,3.635946153297584,,4.9207892417907715,"Mike Hampton",430,115399
"Aaron Sele","TEX",18,9,0,33,33,205,8.165853050726687,3.0731705029616565,0.9219511508884969,0.35340729001584786,0.71139582,,,,4.785365497468865,,3.850927220446099,,4.864372730255127,"Aaron Sele",34,121986
