Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Randy Johnson","ARI",17,9,2.4846626697250147,35,35,29,12,2,0,,,271.2,1079,207,86,75,30,70,3,9,4,2,364,"Randy Johnson",60,116615
"Pedro Martínez","BOS",23,4,2.0671874014288236,31,29,24,5,1,0,,,213.1,835,160,56,49,9,37,1,9,6,0,313,"Pedro Martinez",200,118377
"Kevin Brown","LAD",18,9,2.99999981834776,35,35,25,5,1,0,,,252,1018,210,99,84,19,59,1,7,4,1,221,"Kevin Brown",642,111554
"Pedro Astacio","COL",17,11,5.04310311658773,34,34,18,7,0,0,,,232,1008,258,140,130,38,75,6,11,5,0,210,"Pedro Astacio",862,110359
"Kevin Millwood","ATL",18,7,2.684210705955285,33,33,25,2,0,0,,,228,906,168,80,68,24,59,2,4,5,0,205,"Kevin Millwood",106,119154
"Chuck Finley","ANA",12,11,4.429687605611982,33,33,18,1,0,0,,,213.1,913,197,117,105,23,94,2,8,15,0,200,"Chuck Finley",384,114133
"Shane Reynolds","HOU",16,14,3.8460430810273953,35,35,20,4,2,0,,,231.2,963,250,108,99,23,37,0,1,4,0,197,"Shane Reynolds",574,121110
"Sterling Hitchcock","SDP",12,14,4.1134520862782855,33,33,18,1,0,0,,,205.2,892,202,99,94,29,76,6,5,15,2,194,"Sterling Hitchcock",824,115982
"Jose Lima","HOU",21,10,3.580514060529611,35,35,25,3,0,0,,,246.1,1024,256,108,98,30,44,2,2,8,0,187,"Jose Lima",475,117769
"Aaron Sele","TEX",18,9,4.785365497468865,33,33,13,2,2,0,,,205,920,244,115,109,21,70,3,12,4,0,186,"Aaron Sele",34,121986
"Jon Lieber","CHC",10,11,4.072131249402937,31,31,17,3,1,0,,,203.1,875,226,107,92,28,46,6,1,2,2,186,"Jon Lieber",287,117758
"Mike Hampton","HOU",22,4,2.899581589958159,34,34,27,3,2,0,,,239,979,206,86,77,12,101,2,5,9,0,177,"Mike Hampton",430,115399
"David Cone","NYY",12,9,3.444827404952087,31,31,18,1,1,0,,,193.1,827,164,84,74,21,90,2,11,7,1,177,"David Cone",1680,112552
"Dave Burba","CLE",15,9,4.254545454545455,34,34,19,1,0,0,,,220,940,211,113,104,30,96,3,8,13,0,174,"Dave Burba",1239,111692
"Chan Ho Park","LAD",13,11,5.233275883864656,33,33,17,0,0,0,,,194.1,883,208,120,113,31,100,4,14,11,1,174,"Chan Ho Park",1267,120221
"Mike Mussina","BAL",18,7,3.496721398943827,31,31,17,4,0,0,,,203.1,842,207,88,79,16,52,0,1,2,0,172,"Mike Mussina",837,119608
"Freddy Garcia","SEA",17,8,4.0678805891691,33,33,16,2,1,0,,,201.1,888,205,96,91,18,90,4,10,12,3,170,"Freddy Garcia",1077,150119
"David Wells","TOR",17,10,4.817266081286839,34,34,14,7,1,0,,,231.2,987,246,132,124,32,62,2,6,1,0,169,"David Wells",855,124071
"Russ Ortiz","SFG",18,9,3.813804079945374,33,33,21,3,0,0,,,207.2,922,189,109,88,24,125,5,6,13,0,164,"Russ Ortiz",1124,133460
"Eric Milton","MIN",7,11,4.492730320765144,34,34,14,5,2,0,,,206.1,858,190,111,103,28,63,2,3,2,0,163,"Eric Milton",743,132980
"Roger Clemens","NYY",14,10,4.603907512877347,30,30,16,1,1,0,,,187.2,822,185,101,96,20,90,0,9,8,0,163,"Roger Clemens",815,112388
"Al Leiter","NYM",13,12,4.225352112676056,32,32,21,1,1,0,,,213,923,209,107,100,19,93,8,9,4,1,162,"Al Leiter",883,117652
"Bartolo Colon","CLE",18,5,3.951219512195122,32,32,19,1,1,0,,,205,858,185,97,90,24,76,5,7,4,0,161,"Bartolo Colon",375,112526
"Hideo Nomo","MIL",12,8,4.542532819230434,28,28,17,0,0,0,,,176.1,767,173,96,89,27,78,2,3,10,1,161,"Hideo Nomo",666,119827
"Shawn Estes","SFG",11,11,4.921181896102087,32,32,14,1,1,0,,,203,914,209,121,111,21,112,2,5,15,1,159,"Shawn Estes",873,113915
"Orlando Hernandez","NYY",17,9,4.115085341240376,33,33,23,2,1,0,,,214.1,910,187,108,98,24,87,2,8,4,0,157,"Orlando Hernandez",823,133340
"John Smoltz","ATL",11,8,3.1878355074105715,29,29,18,1,1,0,,,186.1,746,168,70,66,14,40,2,4,2,0,156,"John Smoltz",115,122477
"Juan Guzman","- - -",11,12,3.7350002849579074,33,33,20,2,1,0,,,200,864,194,96,83,28,86,6,4,12,2,155,"Juan Guzman",1005162,115267
"Curt Schilling","PHI",15,6,3.5434381775759256,24,24,13,8,1,0,,,180.1,735,159,74,71,25,44,0,5,4,0,152,"Curt Schilling",73,121811
"Steve Trachsel","CHC",8,18,5.557536741657312,34,34,12,4,0,0,,,205.2,894,226,133,127,32,64,4,3,8,3,149,"Steve Trachsel",898,123431
"Omar Daal","ARI",16,9,3.6475154415269118,32,32,21,2,1,0,,,214.2,895,188,92,87,21,79,3,7,3,2,148,"Omar Daal",646,112984
"Jason Schmidt","PIT",13,11,4.1896547716046495,33,33,20,2,0,0,,,212.2,937,219,110,99,24,85,4,3,6,4,148,"Jason Schmidt",1131,121834
"Dustin Hermanson","MON",9,14,4.201849097249814,34,34,21,0,0,0,,,216.1,928,225,110,101,20,69,4,7,4,1,145,"Dustin Hermanson",195,115812
"Livan Hernandez","- - -",8,12,4.64273742342203,30,30,14,2,0,0,,,199.2,886,227,110,103,23,76,5,2,2,2,144,"Livan Hernandez",1116,115817
"Ismael Valdez","LAD",9,14,3.983606955967333,32,32,20,2,1,0,,,203.1,871,213,97,90,32,58,2,6,6,0,143,"Ismael Valdez",1283,123595
"Andy Benes","ARI",13,12,4.810083786904021,33,32,16,0,0,0,,,198.1,886,216,117,106,34,82,3,4,10,0,141,"Andy Benes",1144,110854
"José Rosado","KCR",10,14,3.850961820966414,33,33,19,5,0,0,,,208,882,197,103,89,24,72,1,5,9,0,141,"Jose Rosado",1011192,121443
