Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Xavier Cedeño","CHC",2,,,0.77777778,,,,,0.22222222,,,,,,,"Xavier Cedeno",36,458584
"CC Sabathia","NYY",107.1,0.01272412,,0.41989589,,,0.14343551,0.30190862,,,,0.12203586,,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",47.2,0.20584795,,,,,0.47134503,0.03274854,0.00116959,,,0.28888889,,,,"Fernando Rodney",494,407845
"Marco Estrada","OAK",23.2,0.52552553,,0.11711712,,,,,0.04204204,,,0.31531532,,,,"Marco Estrada",1118,462136
"Tommy Hunter","PHI",5.1,0.04166667,,0.33333333,,,0.48611111,,0.13888889,,,,,,,"Tommy Hunter",1157,488984
"Adam Ottavino","NYY",66.1,0.019879,,0.13656007,,,0.39585134,0.44770959,,,,,,,,"Adam Ottavino",1247,493603
"Jon Edwards","CLE",8,0.51048951,,,,,,0.40559441,0.08391608,,,,,,,"Jon Edwards",1483,457754
"Oliver Pérez","CLE",40.2,0.14723926,,,,,0.36042945,0.49233129,,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",60,0.88175047,,,0.06052142,,,0.05772812,,,,,,,,"Sean Doolittle",1581,448281
"Edwin Jackson","- - -",67.2,0.23269962,,0.27376426,,,0.1391635,0.25171103,0.02737643,,,0.07528517,,,,"Edwin Jackson",1841,429719
"Matt Moore","DET",10,0.55555556,,0.17094017,,,,,,0.15384615,,0.11965812,,,,"Matt Moore",1890,519043
"Zack Greinke","- - -",208.2,0.40849148,,0.00128659,0.00225153,,0.05242843,0.16050177,0.14667096,,0.00900611,0.21936314,,,,"Zack Greinke",1943,425844
"Iván Nova","CHW",187,0.17570715,,0.13011647,,,0.36638935,,0.16772047,,,0.16006656,,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",178.1,0.43883495,,,,,,0.39067961,0.16427184,,,0.00621359,,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",171.2,0.13577586,,0.22449713,,,0.25107759,,0.36817529,,,0.02047414,,,,"Adam Wainwright",2233,425794
"Héctor Rondón","HOU",60.2,0.45576132,,,,,0.14506173,0.35493827,,,,0.04423868,,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",35.2,0.12929624,,0.28968903,,,0.26677578,,0.22913257,,,0.08510638,,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",208.1,0.54090247,,0.16244541,,,0.17176128,,0.09519651,,,0.02969432,,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","- - -",103.1,0.12904884,,,,,0.31413882,0.49562982,0.00565553,,,0.05552699,,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","BOS",174.1,0.31452703,,,,,0.25574324,0.18614865,0.12567568,,,0.11790541,,,,"Rick Porcello",2717,519144
"Ross Detwiler","CHW",69.2,0.3258427,,0.15298185,,,0.19792567,0.01901469,0.14001729,,,0.1642178,,,,"Ross Detwiler",2859,446321
"Luis Avilán","NYM",32,,,,,,0.295,,0.12166667,,,0.58333333,,,,"Luis Avilan",2882,501593
"Kenley Jansen","LAD",63,,,0.74261201,,,0.13441373,0.12297426,,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","SFG",54,0.004914,,,,,0.50737101,0.10687961,,,,0.38083538,,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",172.1,0.48429036,,0.07728422,,,,0.20693391,0.08667389,,,0.14481762,,,,"Max Scherzer",3137,453286
"Tim Collins","CHC",8.2,0.46875,,,,,,0.31875,0.2125,,,,,,,"Tim Collins",3164,525768
"David Price","BOS",107.1,0.2751209,,0.17302526,,,0.26222461,,,0.02471789,,0.26491134,,,,"David Price",3184,456034
"Will Harris","HOU",60,0.01096491,,0.56907895,,,,,0.41995614,,,,,,,"Will Harris",3192,501789
"Ervin Santana","CHW",13.1,0.412,,,,,0.104,0.424,,,,0.06,,,,"Ervin Santana",3200,429722
"Francisco Liriano","PIT",70,0.08634361,,,,,0.35066079,0.3030837,,,,0.25991189,,,,"Francisco Liriano",3201,434538
"T.J. McFarland","ARI",56,0.00447427,,,,,0.68008949,0.15548098,,,,0.15995526,,,,"T.J. McFarland",3237,519008
"Zack Britton","NYY",61.1,,,,,,0.86437029,0.13562971,,,,,,,,"Zack Britton",3240,502154
"Jeff Samardzija","SFG",181.1,0.27657448,,0.24858381,0.07664112,,0.19293569,0.18060646,,0.02465845,,,,,,"Jeff Samardzija",3254,502188
"Joe Smith","HOU",25,0.26453488,,,,,0.31104651,0.40988372,,,,0.01453488,,,,"Joe Smith",3281,501925
"Aníbal Sánchez","WSN",166,0.30085534,,0.23503161,0.2354035,,0.0970621,0.02751952,0.05950167,,,0.04462626,,,,"Anibal Sanchez",3284,434671
"Hector Noesí","MIA",27.2,,,,,,0.44466801,0.2917505,0.16700201,,,0.09657948,,,,"Hector Noesi",3292,456051
"Charlie Culberson","ATL",2,0.88461538,,,,,,,0.11538462,,,,,,,"Charlie Culberson",3298,518586
"Darren O'Day","ATL",5.1,0.41025641,,,,,0.14102564,0.44871795,,,,,,,,"Darren O'Day",3321,503285
"Jeff Mathis","TEX",2,,,,,,,,1,,,,,,,"Jeff Mathis",3448,425772
"Danny Duffy","KCR",130.2,0.44238778,,,,,0.08884776,0.26330403,0.090236,,,0.11522443,,,,"Danny Duffy",3542,518633
"Clay Buchholz","TOR",59,0.1443406,,0.28245067,,,0.20145379,,0.17445483,,,0.1973001,,,,"Clay Buchholz",3543,453329
"Liam Hendriks","OAK",85,0.69324222,,,,,0.01214882,0.21564161,0.07896735,,,,,,,"Liam Hendriks",3548,521230
"Clayton Richard","TOR",45.1,0.15384615,,,,,0.56868132,0.25961538,,,,0.01785714,,,,"Clayton Richard",3551,453385
"Tony Barnette","CHC",1.1,0.28,,0.4,0.04,,0.24,,0.04,,,,,,,"Tony Barnette",3555,501817
"Brian Schlitter","OAK",9.2,0.08053691,,0.14765101,,,0.77181208,,,,,,,,,"Brian Schlitter",3599,489295
"Zach Duke","CIN",23.1,0.06683805,,,,,0.49614396,0.31619537,0.12082262,,,,,,,"Zach Duke",3840,435043
"Matt Magill","- - -",50.2,0.50960452,,0.00112994,,,,0.18757062,0.30056497,,,0.00112994,,,,"Matt Magill",3950,543483
"David Carpenter","TEX",3.1,0.57971014,,,,,,0.37681159,,,,0.04347826,,,,"David Carpenter",3959,502304
"Edinson Volquez","TEX",16,0.003367,,,,,0.47474747,,,0.15488215,,0.36700337,,,,"Edinson Volquez",3990,450172
"Allen Webster","CHC",11,0.35672515,,,,,0.07017544,0.42105263,,,,0.15204678,,,,"Allen Webster",3993,543903
"Yusmeiro Petit","OAK",83,0.45294635,,0.2119613,,,,,0.14248021,,,0.19261214,,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","- - -",33.2,0.59326788,,,,,0.00140252,0.16129032,0.04628331,,,0.19775596,,,,"Hector Santiago",4026,502327
"Pedro Strop","CHC",41.2,0.20551724,,0.18206897,0.05103448,,0.16275862,0.39862069,,,,,,,,"Pedro Strop",4070,467008
"Luke Gregerson","STL",5.2,0.08653846,,,,,0.625,0.26923077,,,,0.01923077,,,,"Luke Gregerson",4090,502381
"Derek Holland","- - -",84.1,0.00067797,,0.00067797,,,0.61966102,0.29559322,,0.04271186,,0.04067797,,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",135.2,0.0100365,,,,,0.55474453,0.11998175,0.13366788,,,0.18156934,,,,"Jake Arrieta",4153,453562
"David Hernandez","CIN",42.2,0.27763496,,0.31362468,,,0.24421594,,0.16066838,,,0.00385604,,,,"David Hernandez",4259,456696
"Mark Melancon","- - -",67.1,0.06741573,,0.59644195,0.02621723,,,,,0.30992509,,,,,,"Mark Melancon",4264,453343
"Matt Albers","MIL",59.2,0.10149254,,,,,0.46368159,0.33134328,,,,0.10348259,,,,"Matt Albers",4300,458006
"Justin Wilson","NYM",39,0.52532562,,0.39218524,,,,0.08248915,,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","CHC",76.2,0.31673152,,0.10194553,,,0.39455253,,0.11361868,,,0.07315175,,,,"Tyler Chatwood",4338,543022
"Jeremy Hellickson","WSN",39,0.02518519,,0.17037037,,,0.41333333,,,0.13333333,,0.25777778,,,,"Jeremy Hellickson",4371,476451
"Jordan Zimmermann","DET",112,0.34405145,,,,,0.12433012,0.31564845,0.19506967,,,0.02090032,,,,"Jordan Zimmermann",4505,519455
"Russell Martin","LAD",4,0.71111111,,,,,0.02222222,,0.11111111,,,0.15555556,,,,"Russell Martin",4616,431145
"Charlie Morton","TBR",194.2,0.29827916,,0.1042065,0.03250478,,0.19152326,,0.3734863,,,,,,,"Charlie Morton",4676,450203
"Pat Neshek","PHI",18,,,0.00359712,,,0.3705036,0.62230216,,,,0.00359712,,,,"Pat Neshek",4682,450212
"Nate Jones","CHW",10.1,,,,,,0.58252427,0.38834951,,,,0.02912621,,,,"Nate Jones",4696,518858
"Félix Hernández","SEA",71.2,0.07483553,,,,,0.32154605,0.08963816,0.35197368,,,0.16200658,,,,"Felix Hernandez",4772,433587
"Matt Shoemaker","TOR",28.2,0.1722488,,,0.32535885,,0.30143541,0.17703349,,0.02392344,,,,,,"Matt Shoemaker",4776,533167
"Rich Hill","LAD",58.2,0.51863354,,0.00310559,,,0.00724638,0.02795031,0.42028986,0.01449275,,0.00828157,,,,"Rich Hill",4806,448179
"Mike Montgomery","- - -",91,0.13777778,,0.17015873,,,0.26793651,,0.21206349,,,0.21206349,,,,"Mike Montgomery",4869,543557
