Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Neftalí Feliz","TEX",4.2,0.5046729,,,,,0.00934579,0.19626168,,,,0.28971963,,,,"Neftali Feliz",18,491703
"Ramon Ortiz","TOR",25.1,0.07226107,,,,,0.36829837,0.4009324,,,,0.15850816,,,,"Ramon Ortiz",27,150009
"Xavier Cedeño","- - -",12.1,0.21266968,,,,,0.41628959,,0.32579186,,,0.04524887,,,,"Xavier Cedeno",36,458584
"Zach Phillips","MIA",1.2,0.5952381,,,,,0.16666667,0.23809524,,,,,,,,"Zach Phillips",99,452061
"Jason Marquis","SDP",117.2,0.00157812,,,,,0.57233035,0.26985797,,,,0.15623356,,,,"Jason Marquis",105,150302
"Erik Bedard","HOU",151,0.27578475,,0.00971599,0.06165919,,0.3490284,,0.19170404,,,0.11210762,,,,"Erik Bedard",126,407853
"Rafael Betancourt","COL",28.2,0.35095137,,0.35306554,,,,0.23044397,,,,0.06553911,,,,"Rafael Betancourt",177,429783
"Derek Lowe","TEX",13,,,0.06532663,,,0.79899497,0.11557789,,,,0.0201005,,,,"Derek Lowe",199,117955
"Darren Oliver","TOR",49,0.52394366,,,,,0.1915493,0.25352113,,,,0.03098592,,,,"Darren Oliver",206,119984
"Mark Buehrle","TOR",203.2,0.30574992,,0.19501065,,,0.20900517,,0.07271068,,,0.21752358,,,,"Mark Buehrle",225,279824
"Jon Garland","COL",68,0.2527881,,0.00185874,,,0.35223048,0.16078067,0.14405204,,,0.08828996,,,,"Jon Garland",232,279782
"Kyle Farnsworth","- - -",38.1,0.31076389,,0.03472222,,,0.21701389,0.34201389,0.00173611,,,0.09375,,,,"Kyle Farnsworth",278,150035
"Blake Beavan","SEA",39.2,0.18421053,,,,,0.33436533,0.40247678,0.04643963,,,0.03250774,,,,"Blake Beavan",338,518444
"Bartolo Colon","OAK",190.1,0.35037811,,,,,0.49513864,0.09650702,,,,0.05797623,,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",211,0.38030714,,,,,0.19361638,0.21469437,0.05600723,,,0.15537489,,,,"CC Sabathia",404,282332
"Jake Westbrook","STL",116.2,,,0.1187905,0.08045356,,0.6549676,,0.05831533,,,0.087473,,,,"Jake Westbrook",412,150414
"Fernando Rodney","TBR",66.2,0.13594662,,,,,0.50708924,,,,,0.35696414,,,,"Fernando Rodney",494,407845
"Josh Beckett","LAD",43.1,0.32103825,,0.11612022,,,0.19945355,,0.18989071,,,0.17349727,,,,"Josh Beckett",510,277417
"A.J. Burnett","PIT",191,0.17443409,,,,,0.41078562,,,0.3545273,,0.060253,,,,"A.J. Burnett",512,150359
"Ryan Dempster","BOS",171.1,0.407556,,0.07054497,0.17886994,,0.073554,0.26947509,,,,,,,,"Ryan Dempster",517,133225
"Jason Grilli","PIT",50,0.65789474,,,,,0.02033493,0.31937799,,,,0.00239234,,,,"Jason Grilli",521,276351
"Octavio Dotel","DET",4.2,0.76785714,,0.02678571,,,,0.125,0.08035714,,,,,,,"Octavio Dotel",555,136734
"Hector Ambriz","HOU",36.1,0.56697819,,,,,0.0529595,0.2834891,0.09657321,,,,,,,"Hector Ambriz",559,459932
"Roy Oswalt","COL",32.1,0.55084746,,0.05932203,,,0.04067797,0.01355932,0.17288136,,,0.16271186,,,,"Roy Oswalt",571,400061
"Jeremy Affeldt","SFG",33.2,0.00200803,,,,,0.71285141,,0.19477912,,,0.09036145,,,,"Jeremy Affeldt",583,346793
"Jeremy Horst","PHI",26,0.53218884,,,,,0.10515021,0.21459227,,,,0.14806867,,,,"Jeremy Horst",596,456662
"Rhiner Cruz","HOU",21.1,0.56842105,,,,,0.16052632,0.18684211,,,,0.08421053,,,,"Rhiner Cruz",711,462480
"Jamey Wright","TBR",70,0.01719457,,0.41809955,,,0.20542986,0.02443439,0.24343891,,,0.09140271,,,,"Jamey Wright",715,124604
"Grant Balfour","OAK",62.2,0.60896309,,0.00966608,,,0.0254833,0.28558875,0.0659051,,,0.00439367,,,,"Grant Balfour",718,346797
"LaTroy Hawkins","NYM",70.2,0.70127326,,,,,0.01469148,0.19000979,0.04799216,,,0.0460333,,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",198.2,0.01394885,,,,,0.45433411,0.27864497,0.1022916,,,0.15078047,,,,"Kyle Lohse",739,346798
"Bruce Chen","KCR",121,0.17961915,,,,,0.26299537,0.25527535,0.14307771,,0.03757077,0.12146166,,,,"Bruce Chen",769,136600
"Scott Downs","- - -",43.1,0.015625,,,,,0.81818182,0.015625,0.15056818,,,,,,,"Scott Downs",773,275933
"Jose De La Torre","BOS",11.1,0.09606987,,,,,0.41921397,0.29694323,,,,0.18777293,,,,"Jose De La Torre",787,473265
"Duke Welker","PIT",1.1,0.5,,0.05,,,,0.45,,,,,,,,"Duke Welker",792,444992
"Randy Choate","STL",35.1,0.05544148,,,,,0.64681725,0.2936345,,,,0.00410678,,,,"Randy Choate",813,329092
"Ted Lilly","LAD",23,0.31695332,,,,,0.19164619,0.11056511,0.17690418,,,0.2039312,,,,"Ted Lilly",833,150404
"Andy Pettitte","NYY",185.1,0.28803596,,0.09405256,,,0.17185339,0.2368603,0.13278008,,,0.0764177,,,,"Andy Pettitte",840,120485
"Mariano Rivera","NYY",64,0.09924488,,0.90075512,,,,,,,,,,,,"Mariano Rivera",844,121250
"Kris Johnson","PIT",10.1,0.0239521,,,,,0.53892216,0.26347305,0.01796407,,,0.15568862,,,,"Kris Johnson",886,453241
"Tim Hudson","ATL",131.1,0.12299197,,0.20933735,0.12399598,,0.44176707,,0.10190763,,,,,,,"Tim Hudson",921,218596
"Barry Zito","SFG",133.1,0.23090055,,0.2637644,,,0.20699957,0.00682885,0.17712335,,,0.11438327,,,,"Barry Zito",944,217096
"Brett Myers","CLE",21.1,0.29780564,,0.14106583,,,0.10344828,0.13793103,0.15047022,,,0.169279,,,,"Brett Myers",962,408206
"Bronson Arroyo","CIN",202,0.01504022,,0.00209864,,,0.41063309,0.27142357,0.12137111,,,0.17943337,,,,"Bronson Arroyo",978,276520
"Ryan Vogelsong","SFG",103.2,0.26264368,,,,,0.19597701,0.22356322,0.18678161,,,0.13103448,,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","- - -",144.2,0.30008453,,0.2125951,,,0.23034658,0.05874894,0.09382925,,,0.1043956,,,,"Jake Peavy",1051,408241
"Freddy Garcia","- - -",80.1,0.07161346,,,0.13201035,,0.37704918,0.20880069,0.10698878,,,0.10353753,,,,"Freddy Garcia",1077,150119
"Rafael Soriano","WSN",66.2,0.60212202,,0.12997347,,,0.10433245,0.16357206,,,,,,,,"Rafael Soriano",1100,400089
"Marco Estrada","MIL",128,0.58864892,,,,,,,0.16624812,,,0.24510296,,,,"Marco Estrada",1118,462136
"Joe Nathan","TEX",64.2,0.36769078,,0.04162537,,,0.14172448,0.3518335,0.09712587,,,,,,,"Joe Nathan",1122,150274
