Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Matt Harrison","TEX",0.34259259,0.67532468,0.48108108,0.40540541,0.88461538,0.68539326,0.41621622,0.56862745,0.14285714,0.13265306,0.2755102,"Matt Harrison",5551,457448
"Jeff Francis","COL",0.28571429,0.64285714,0.44713479,0.63917526,0.88055556,0.79602888,0.4519774,0.61111111,0.09076305,0.18473896,0.27550201,"Jeff Francis",4684,433585
"Chris Capuano","LAD",0.32139094,0.62892224,0.45541023,0.6557377,0.85683297,0.7767624,0.43579073,0.61487965,0.10064744,0.17480871,0.27545615,"Chris Capuano",1701,425626
"Kyuji Fujikawa","CHC",0.3220339,0.64044944,0.4589372,0.60526316,0.8245614,0.73684211,0.42995169,0.58,0.12077295,0.15458937,0.27536232,"Kyuji Fujikawa",14443,493117
"Dale Thayer","SDP",0.25085911,0.67948718,0.45833333,0.70547945,0.84366577,0.80464217,0.48404255,0.5962963,0.0887522,0.18629174,0.27504394,"Dale Thayer",5032,445612
"Kris Johnson","PIT",0.34951456,0.59375,0.44311377,0.58333333,0.89473684,0.74324324,0.38323353,0.54347826,0.11111111,0.16374269,0.2748538,"Kris Johnson",886,453241
"Taijuan Walker","SEA",0.2421875,0.6952381,0.44635193,0.70967742,0.79452055,0.76923077,0.45064378,0.58333333,0.10300429,0.17167382,0.27467811,"Taijuan Walker",11836,592836
"Tyson Ross","SDP",0.31818182,0.65547264,0.45583756,0.55795148,0.88994307,0.75278396,0.40812183,0.54166667,0.11206461,0.16254417,0.27460878,"Tyson Ross",7872,475115
"Shelby Miller","STL",0.28580563,0.67997149,0.47219414,0.6935123,0.85639413,0.80442541,0.47286822,0.6232687,0.09231806,0.18227763,0.27459569,"Shelby Miller",10197,571946
"Alex Burnett","- - -",0.22222222,0.45833333,0.33333333,0.83333333,0.90909091,0.88235294,0.47058824,0.5,0.03921569,0.23529412,0.2745098,"Alex Burnett",4065,488751
"Shaun Marcum","NYM",0.35977337,0.64615385,0.4812398,0.68897638,0.88095238,0.79830508,0.42414356,0.64371257,0.09635628,0.17813765,0.27449393,"Shaun Marcum",6204,451788
"Neil Wagner","TOR",0.25958702,0.68954248,0.46356589,0.71590909,0.81042654,0.7826087,0.4744186,0.63354037,0.10015408,0.17411402,0.2742681,"Neil Wagner",8162,474599
"Tony Cingrani","CIN",0.29179031,0.62921348,0.44094923,0.66440678,0.83928571,0.7747184,0.44205298,0.57619048,0.09911894,0.17511013,0.27422907,"Tony Cingrani",12555,571561
"R.A. Dickey","TOR",0.30076839,0.65398335,0.47031963,0.7189781,0.84090909,0.80036408,0.48002283,0.6097561,0.09386591,0.18031384,0.27417974,"R.A. Dickey",1245,285079
"Rick Porcello","DET",0.31521739,0.6263911,0.45393338,0.68762677,0.8819797,0.80718189,0.44578313,0.60326087,0.0870945,0.18688293,0.27397743,"Rick Porcello",2717,519144
"Jake McGee","TBR",0.3153457,0.72118959,0.50839965,0.71657754,0.80154639,0.77391304,0.47568523,0.63461538,0.11304348,0.16086957,0.27391304,"Jake McGee",7550,459429
"Travis Blackley","- - -",0.30703625,0.6744186,0.46248462,0.625,0.82327586,0.74734043,0.42312423,0.58293839,0.1145959,0.15922799,0.27382388,"Travis Blackley",3234,429715
"Chris Leroux","PIT",0.11627907,0.56097561,0.33333333,0.6,0.7826087,0.75,0.48809524,0.57142857,0.08333333,0.19047619,0.27380952,"Chris Leroux",7645,460092
"Jerry Blevins","OAK",0.2875,0.67079208,0.44813278,0.67080745,0.84132841,0.77777778,0.41908714,0.58367347,0.09876543,0.17489712,0.27366255,"Jerry Blevins",7841,460283
"Matt Lindstrom","CHW",0.31702544,0.64252336,0.46538871,0.61111111,0.88727273,0.78489703,0.45580405,0.65384615,0.09968187,0.17391304,0.27359491,"Matt Lindstrom",4604,434637
"Heath Bell","ARI",0.29824561,0.65656566,0.45632799,0.63101604,0.89230769,0.796875,0.44117647,0.59581882,0.09236234,0.18117229,0.27353464,"Heath Bell",2080,425514
"Anthony Swarzak","MIN",0.28031291,0.63561644,0.45357381,0.67906977,0.89008621,0.82326951,0.48764195,0.60723514,0.08005337,0.19346231,0.27351568,"Anthony Swarzak",7466,461872
"Jeremy Hellickson","TBR",0.2980653,0.67451299,0.45876646,0.69371197,0.84476534,0.78851964,0.42688843,0.60244233,0.09698649,0.17630759,0.27329408,"Jeremy Hellickson",4371,476451
"Julio Teheran","ATL",0.31606557,0.70193741,0.49668643,0.69294606,0.83121019,0.78441011,0.46808511,0.65374677,0.10641248,0.16672444,0.27313692,"Julio Teheran",6797,527054
"Ryan Dempster","BOS",0.3,0.6558497,0.43931795,0.66849817,0.84765625,0.77321157,0.39150786,0.60079576,0.09943277,0.17350684,0.27293961,"Ryan Dempster",517,133225
"LaTroy Hawkins","NYM",0.35440613,0.65737052,0.50292969,0.75135135,0.87575758,0.83106796,0.49023438,0.67361111,0.08446602,0.18834951,0.27281553,"LaTroy Hawkins",729,115629
"Madison Bumgarner","SFG",0.31232725,0.68654545,0.47393216,0.61946903,0.85063559,0.76408217,0.43184673,0.6014944,0.11111111,0.16167291,0.27278402,"Madison Bumgarner",5524,518516
"Michael Kirkman","TEX",0.26785714,0.64039409,0.44496487,0.61666667,0.86923077,0.78947368,0.47540984,0.6173913,0.09090909,0.18181818,0.27272727,"Michael Kirkman",9877,457779
"Josh Zeid","HOU",0.32,0.67379679,0.46320346,0.56818182,0.87301587,0.74766355,0.4047619,0.58474576,0.11587983,0.15665236,0.27253219,"Josh Zeid",6527,473646
"Guillermo Moscoso","SFG",0.27,0.657277,0.43079922,0.58024691,0.85,0.75113122,0.41520468,0.5078125,0.10536398,0.16666667,0.27203065,"Guillermo Moscoso",5106,446861
"Logan Ondrusek","CIN",0.35059761,0.6541555,0.48,0.63636364,0.83196721,0.75,0.42628571,0.59227468,0.11945392,0.15244596,0.27189989,"Logan Ondrusek",3677,446185
"Brandon Kintzler","MIL",0.37788018,0.61711712,0.47488584,0.70325203,0.89781022,0.80576923,0.40547945,0.6,0.09181818,0.18,0.27181818,"Brandon Kintzler",9939,445213
"Dan Jennings","MIA",0.2596401,0.65357143,0.4245142,0.57425743,0.87978142,0.77112676,0.41853513,0.5380117,0.09601182,0.17577548,0.2717873,"Dan Jennings",8073,543359
"Hiram Burgos","MIL",0.27302632,0.63478261,0.42883895,0.69879518,0.90410959,0.82969432,0.43071161,0.67625899,0.07303371,0.19850187,0.27153558,"Hiram Burgos",9412,572744
"Roberto Hernandez","TBR",0.3218126,0.62924528,0.45977985,0.71837709,0.89055472,0.82412523,0.44877223,0.61897356,0.07978279,0.19172932,0.27151211,"Roberto Hernandez",3273,433584
