Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Steven Wright","BOS",13.1,85.24411728802849,,,,,,,67.36666361490886,,,,,75.94009237243357,"Steven Wright",8185,453214
"R.A. Dickey","TOR",224.2,81.79298642533936,,,,,,,,,65.7000029592803,,,75.93844422157733,"R.A. Dickey",1245,285079
"Jamey Carroll","MIN",1,,,,,,,,,,,77.35714285714286,,75.05000305175781,"Jamey Carroll",1591,425206
"Skip Schumaker","LAD",2,88.87999877929687,,88.35356794084821,,,,,72.69999694824219,,,79.22727272727273,,74.4000015258789,"Skip Schumaker",3704,435401
"Jake Elmore","HOU",1,,,,,,,,68.4000015258789,,,81.05000305175781,,69.75,"Jake Elmore",7290,518653
"Neftalí Feliz","TEX",4.2,93.68147786458333,,,,,91.9000015258789,83.21904645647321,,,,85.1225822202621,,,"Neftali Feliz",18,491703
"Ramon Ortiz","TOR",25.1,88.08709519909274,,,,,88.47658104232595,80.84593023255815,,,,82.625,,,"Ramon Ortiz",27,150009
"Xavier Cedeño","- - -",12.1,88.7574462890625,,,,,88.69238811990489,,78.00139024522569,,,82.9699951171875,,,"Xavier Cedeno",36,458584
"Zach Phillips","MIA",1.2,90.087998046875,,,,,90.17142159598214,80.11000366210938,,,,,,,"Zach Phillips",99,452061
"Jason Marquis","SDP",117.2,85.96666463216145,,,,,87.20597570082721,80.7216359039961,,,,76.6107757260101,,,"Jason Marquis",105,150302
"Erik Bedard","HOU",151,89.45257584900068,,87.23461561936598,80.68000266335227,,89.79410946701017,,75.67641468308358,,,75.02400065104166,,,"Erik Bedard",126,407853
"Rafael Betancourt","COL",28.2,90.04999882341868,,89.70538805202096,,,,78.90825688073394,,,,83.80968056955645,,,"Rafael Betancourt",177,429783
"Derek Lowe","TEX",13,,,85.3153827373798,,,87.8188691529088,80.12608801800272,,,,84.1500015258789,,,"Derek Lowe",199,117955
"Darren Oliver","TOR",49,87.35161500336021,,,,,87.87720444623162,75.19944661458334,,,,82.23181707208806,,,"Darren Oliver",206,119984
"Mark Buehrle","TOR",203.2,83.9851756840796,,80.12558502340093,,,83.7637543213246,,72.95774222018828,,,78.62139969405594,,,"Mark Buehrle",225,279824
"Jon Garland","COL",68,87.21543974034927,,88.05000305175781,,,87.17282321899737,82.10809361452313,75.59419102822581,,,79.70315583881579,,,"Jon Garland",232,279782
"Kyle Farnsworth","- - -",38.1,94.14971957925978,,89.73999862670898,,,91.561599609375,84.92385910731282,78.5999984741211,,,88.09629539207175,,,"Kyle Farnsworth",278,150035
"Blake Beavan","SEA",39.2,89.62605247176995,,,,,89.67453794126158,78.46153846153847,71.44666951497396,,,82.70476422991071,,,"Blake Beavan",338,518444
"Bartolo Colon","OAK",190.1,91.55888681911614,,,,,88.80734659090909,83.03432544309702,,,,82.50186214091615,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",211,91.24615869952494,,,,,90.63390600699844,80.89509006837307,75.94623655913979,,,84.49825884205427,,,"CC Sabathia",404,282332
"Jake Westbrook","STL",116.2,,,84.41908957741477,83.17718137190646,,89.42959330559563,,78.58425733778212,,,80.83703839337385,,,"Jake Westbrook",412,150414
"Fernando Rodney","TBR",66.2,97.26687116564418,,,,,96.19851845189145,,,,,84.43411397488318,,,"Fernando Rodney",494,407845
"Josh Beckett","LAD",43.1,91.58382646276596,,89.47058823529412,,,91.92260407748287,,74.77194104091727,,,86.16771499753936,,,"Josh Beckett",510,277417
"A.J. Burnett","PIT",191,92.52614354723282,,,,,92.44975688816855,,,82.55117370892019,,87.55524861878453,,,"A.J. Burnett",512,150359
"Ryan Dempster","BOS",171.1,89.22674074869258,,86.96540290145512,80.92878651841778,,89.26590555364436,83.72308076995773,,,,,,,"Ryan Dempster",517,133225
"Jason Grilli","PIT",50,93.31163352272728,,,,,93.65293974034927,82.78464419475655,,,,84.69999694824219,,,"Jason Grilli",521,276351
"Octavio Dotel","DET",4.2,89.44534656613372,,88.59999593098958,,,,80.17857142857143,75.66666666666667,,,,,,"Octavio Dotel",555,136734
"Hector Ambriz","HOU",36.1,92.90631438873626,,,,,92.9058837890625,85.59065934065934,78.70806294102823,,,,,,"Hector Ambriz",559,459932
"Roy Oswalt","COL",32.1,90.87076772836538,,83.17999790736607,,,91.19583257039388,79.2750015258789,69.97843065448836,,,81.53437169392903,,,"Roy Oswalt",571,400061
"Jeremy Affeldt","SFG",33.2,90.4000015258789,,,,,91.05211267605634,,75.97629067332474,,,86.32222222222222,,,"Jeremy Affeldt",583,346793
"Jeremy Horst","PHI",26,88.87781943044355,,,,,89.3265306122449,80.7310009765625,,,,81.6115970335145,,,"Jeremy Horst",596,456662
"Rhiner Cruz","HOU",21.1,95.87962962962963,,,,,95.61311315317623,83.36197458186619,,,,87,,,"Rhiner Cruz",711,462480
"Jamey Wright","TBR",70,90.24736585115132,,87.45952391521239,,,89.49735344033934,82.81111286304615,77.334947096814,,,83.32772071762841,,,"Jamey Wright",715,124604
"Grant Balfour","OAK",62.2,93.30606286075036,,92.76363303444602,,,93.59999663254311,86.00738581730769,82.06800130208333,,,87.32000122070312,,,"Grant Balfour",718,346797
"LaTroy Hawkins","NYM",70.2,92.58254408170392,,,,,91.086669921875,87.53299170425258,77.87347038424745,,,83.61915101396276,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",198.2,89.47857375372024,,,,,89.54393389071637,83.87234617103695,74.12467659293831,,,80.53832254955947,,,"Kyle Lohse",739,346798
"Bruce Chen","KCR",121,86.53524299337393,,,,,84.47769003791585,81.90765971522177,74.25431900573291,,69.48356064051798,76.30804857157044,,,"Bruce Chen",769,136600
"Scott Downs","- - -",43.1,87.10909063165838,,,,,87.9249979654948,83.0363603071733,73.72170041642099,,,,,,"Scott Downs",773,275933
"Jose De La Torre","BOS",11.1,91.84999778053977,,,,,91.32395426432292,82.9279426125919,,,,85.13488485646802,,,"Jose De La Torre",787,473265
"Duke Welker","PIT",1.1,97.0800048828125,,96.30000305175781,,,,84.78889295789931,,,,,,,"Duke Welker",792,444992
"Randy Choate","STL",35.1,86.10370551215277,,,,,85.77714533730159,76.03356506774476,,,,77.55000305175781,,,"Randy Choate",813,329092
"Ted Lilly","LAD",23,87.52170391230621,,,,,87.13589868790064,80.3155544704861,70.68194580078125,,,79.53132647778614,,,"Ted Lilly",833,150404
"Andy Pettitte","NYY",185.1,89.05066401560624,,86.80220301011029,,,88.95292064889335,82.54248403284672,75.04973856608073,,,80.35746606334841,,,"Andy Pettitte",840,120485
"Mariano Rivera","NYY",64,91.90109120244566,,90.795686751497,,,,,,,,,,,"Mariano Rivera",844,121250
"Kris Johnson","PIT",10.1,92.47500038146973,,,,,92.04666883680555,83.5522724498402,75.36666870117188,,,84.49999765249399,,,"Kris Johnson",886,453241
"Tim Hudson","ATL",131.1,89.68122608418368,,84.58825127398082,80.88016352479757,,89.68386008522727,,76.2039428109606,,,,,,"Tim Hudson",921,218596
"Barry Zito","SFG",133.1,82.68133240310189,,79.96424070685427,,,83.07979069346005,79,70.90795192488704,,,74.5253760494403,,,"Barry Zito",944,217096
"Brett Myers","CLE",21.1,88.2747404399671,,86.45555216471354,,,88.73333370324337,80.92727106267756,75.18124898274739,,,82.02407271773727,,,"Brett Myers",962,408206
"Bronson Arroyo","CIN",202,87.16744072492733,,82.35000101725261,,,87.37895948679727,75.75515463917526,69.94034807276657,,,77.61267208820662,,,"Bronson Arroyo",978,276520
"Ryan Vogelsong","SFG",103.2,89.3034993845733,,,,,88.71759301686217,86.19639701156812,75.77631009615385,,,82.43158066063596,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","- - -",144.2,90.52831205985916,,86.57077457132206,,,90.65064327694954,82.68849061375899,79.63648780616555,,,82.8858291687753,,,"Jake Peavy",1051,408241
"Freddy Garcia","- - -",80.1,87.07470114834338,,,79.0555596445121,,87.44004615766232,79.0417343328807,72.31774102487871,,,80.73250071207683,,,"Freddy Garcia",1077,150119
"Rafael Soriano","WSN",66.2,91.42099738436123,,90.3353728210034,,,91.70762711864407,83.97405510979729,,,,,,,"Rafael Soriano",1100,400089
"Marco Estrada","MIL",128,89.09496320392492,,,,,,,77.25377643504531,,,77.62376728995902,,,"Marco Estrada",1118,462136
"Joe Nathan","TEX",64.2,92.35175202156334,,92.06428455171131,,,91.76014122596153,86.43802816901409,80.14693777901786,,,,,,"Joe Nathan",1122,150274
"Jerome Williams","LAA",169.1,92.38831935419101,,89.27655733104915,,,92.2437809898384,81.07777506510416,77.31543624161074,,,85.22775778785488,,,"Jerome Williams",1137,425532
"Robert Coello","LAA",17,90.798,,,,78.9074074074074,,,78.27407045717592,,,,,,"Robert Coello",1149,445193
"Tommy Hunter","BAL",86.1,96.23732416310541,,91.67395530523255,,,95.89146460556402,,81.60636871936275,,,88.35999849759615,,,"Tommy Hunter",1157,488984
