Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"JC Ramírez","PHI",0.3037974683544304,0.969696969,0.216867469,0.385542168,0.397590361,0.09090909,0.181818181,8,3.0000011920933694,162,255,417,0.32941176,0.45882353,0.21176471,0.2,0.50588235,0.29411765,"JC Ramirez",8302,500724
"Andrew Cashner","SDP",0.2693798449612403,1.832214765,0.188461538,0.525,0.286538461,0.053691275,0.080536912,78,4.011428309101978,955,1732,2687,0.34090909,0.37121212,0.28787879,0.13257576,0.57386364,0.29356061,"Andrew Cashner",8782,488768
"Henry Alberto Rodriguez","- - -",0.2465753424657534,1.454545454,0.27027027,0.432432432,0.297297297,0,0.09090909,6,2.454545667348833,206,244,450,0.46666667,0.30666667,0.22666667,0.13333333,0.57333333,0.29333333,"Henry Alberto Rodriguez",6371,469159
"Michael Kirkman","TEX",0.4657534246575342,1.076923076,0.28,0.373333333,0.346666666,0.076923076,0.076923076,9,3.6818207354602714,170,270,440,0.38666667,0.30666667,0.30666667,0.14666667,0.56,0.29333333,"Michael Kirkman",9877,457779
"Alex Sanabia","MIA",0.3259668508287293,1,0.223404255,0.388297872,0.388297872,0.05479452,0.136986301,25,4.066265434013775,342,566,908,0.40314136,0.33507853,0.2617801,0.17277487,0.53403141,0.29319372,"Alex Sanabia",5350,502253
"Manny Parra","CIN",0.3153153153153153,1.289473684,0.223214285,0.4375,0.339285714,0.078947368,0.131578947,18,3.521740882744606,267,494,761,0.36206897,0.3362069,0.30172414,0.14655172,0.56034483,0.29310345,"Manny Parra",4279,448159
"Kevin Chapman","HOU",0.21052631578947367,1,0.222222222,0.388888888,0.388888888,0.095238095,0.047619047,10,4.426232276186256,134,188,322,0.37931034,0.39655172,0.22413793,0.12068966,0.5862069,0.29310345,"Kevin Chapman",11240,502087
"Dallas Keuchel","HOU",0.34024896265560167,2.408695652,0.209677419,0.558467741,0.231854838,0.069565217,0.173913043,89,5.212580913570105,920,1586,2506,0.44023904,0.3685259,0.19123506,0.13944223,0.56772908,0.29282869,"Dallas Keuchel",9434,572971
"Ernesto Frieri","LAA",0.29333333333333333,0.397849462,0.171974522,0.235668789,0.592356687,0.17204301,0.118279569,13,1.7038837475650748,406,856,1262,0.36024845,0.32919255,0.31055901,0.19875776,0.50931677,0.29192547,"Ernesto Frieri",5178,457117
"Tim Hudson","ATL",0.2813299232736573,2.095238095,0.175126903,0.558375634,0.266497461,0.047619047,0.095238095,73,5.002538264803746,705,1301,2006,0.42144638,0.33416459,0.24438903,0.16458853,0.5436409,0.29177057,"Tim Hudson",921,218596
"Robert Carson","NYM",0.19047619047619047,0.735294117,0.169014084,0.352112676,0.478873239,0.088235294,0.264705882,10,4.576273553504842,125,201,326,0.36111111,0.33333333,0.30555556,0.25,0.45833333,0.29166667,"Robert Carson",2570,518533
"Martín Pérez","TEX",0.2923076923076923,1.544,0.206982543,0.481296758,0.311720698,0.088,0.12,75,5.428954978815542,679,1179,1858,0.41728395,0.36790123,0.21481481,0.13580247,0.57283951,0.29135802,"Martin Perez",6902,527048
"Miguel González","BAL",0.259765625,0.966824644,0.209523809,0.388571428,0.401904761,0.118483412,0.113744075,82,4.30739262048845,964,1749,2713,0.40858209,0.3488806,0.24253731,0.18843284,0.52052239,0.29104478,"Miguel Gonzalez",7024,456068
"Wade LeBlanc","- - -",0.33163265306122447,1,0.218274111,0.390862944,0.390862944,0.142857142,0.09090909,14,2.2909082765818565,368,603,971,0.42857143,0.32019704,0.25123153,0.18226601,0.5270936,0.29064039,"Wade LeBlanc",5221,453281
"Brandon Lyon","NYM",0.3508771929824561,1.048780487,0.243243243,0.387387387,0.369369369,0,0.073170731,18,4.718448873717497,222,348,570,0.41880342,0.35042735,0.23076923,0.11965812,0.58974359,0.29059829,"Brandon Lyon",1312,407193
"Jeff Locke","PIT",0.27835051546391754,2.064516129,0.209979209,0.532224532,0.257796257,0.104838709,0.088709677,70,3.7875745712043942,1111,1604,2715,0.43346774,0.32258065,0.24395161,0.16935484,0.54032258,0.29032258,"Jeff Locke",2929,502046
"David Hale","ATL",0.3548387096774194,4.75,0.233333333,0.633333333,0.133333333,0,0,10,8.181818181818182,57,112,169,0.48387097,0.25806452,0.25806452,0.22580645,0.48387097,0.29032258,"David Hale",9756,571735
"Matt Belisle","COL",0.3211009174311927,1.945454545,0.263636363,0.486363636,0.25,0.09090909,0.109090909,19,2.3424659982410585,344,782,1126,0.27678571,0.36160714,0.36160714,0.16964286,0.54017857,0.29017857,"Matt Belisle",1837,279571
"Ervin Santana","KCR",0.26666666666666666,1.406698564,0.209119496,0.46226415,0.328616352,0.086124401,0.124401913,91,3.881516587677725,1121,2078,3199,0.42121685,0.36661466,0.21216849,0.15132605,0.55850234,0.29017161,"Ervin Santana",3200,429722
"Tyler Thornburg","MIL",0.2708333333333333,0.918918918,0.244680851,0.361702127,0.393617021,0.094594594,0.013513513,28,3.7800000360488895,413,656,1069,0.35233161,0.40932642,0.23834197,0.16062176,0.5492228,0.29015544,"Tyler Thornburg",10688,592804
"Jaime García","STL",0.3,2.794871794,0.14450867,0.630057803,0.225433526,0.051282051,0.153846153,33,5.367469262793063,276,550,826,0.4375,0.36363636,0.19886364,0.17045455,0.53977273,0.28977273,"Jaime Garcia",8137,448802
"Roy Halladay","PHI",0.24855491329479767,1.074626865,0.214689265,0.406779661,0.378531073,0.149253731,0.179104477,43,6.241936251970876,461,651,1112,0.38797814,0.33879781,0.27322404,0.19125683,0.51912568,0.28961749,"Roy Halladay",1303,136880
"Pedro Beato","BOS",0.2972972972972973,0.6,0.157894736,0.315789473,0.526315789,0.05,0.05,5,4.500003433230159,57,112,169,0.47368421,0.36842105,0.15789474,0.18421053,0.52631579,0.28947368,"Pedro Beato",1330,474039
"Clayton Kershaw","LAD",0.25081967213114753,1.47089947,0.226821192,0.4602649,0.312913907,0.095238095,0.058201058,108,4.11864406779661,1142,2286,3428,0.43134087,0.35379645,0.21486268,0.14378029,0.56704362,0.28917609,"Clayton Kershaw",2036,477132
"Stephen Fife","LAD",0.3425414364640884,2,0.220994475,0.519337016,0.259668508,0.085106382,0.14893617,24,3.7028574657206916,350,604,954,0.47058824,0.28342246,0.2459893,0.15508021,0.55614973,0.28877005,"Stephen Fife",8077,543155
"Ryan Pressly","MIN",0.28205128205128205,1.25609756,0.212765957,0.438297872,0.34893617,0.060975609,0.060975609,22,2.58260903832597,463,731,1194,0.34309623,0.39330544,0.26359833,0.11715481,0.59414226,0.28870293,"Ryan Pressly",7005,519151
"Kyle Kendrick","PHI",0.3058252427184466,1.597883597,0.196399345,0.494271685,0.309328968,0.105820105,0.095238095,82,4.054945054945055,1017,1857,2874,0.43464567,0.33070866,0.23464567,0.18582677,0.52598425,0.28818898,"Kyle Kendrick",6230,452718
"James Paxton","SEA",0.203125,2.4375,0.166666666,0.59090909,0.242424242,0.0625,0.125,16,6,139,245,384,0.45454545,0.28787879,0.25757576,0.15151515,0.56060606,0.28787879,"James Paxton",11828,572020
"Max Scherzer","DET",0.25868725868725867,0.814345991,0.190207156,0.36346516,0.446327683,0.097046413,0.075949367,162,6.802488497352623,1156,2232,3388,0.34514925,0.36753731,0.28731343,0.14925373,0.56343284,0.28731343,"Max Scherzer",3137,453286
"Jamey Wright","TBR",0.29842931937172773,1.732142857,0.198952879,0.507853403,0.293193717,0.035714285,0.071428571,44,5.657143001653714,431,684,1115,0.38974359,0.36410256,0.24615385,0.20512821,0.50769231,0.28717949,"Jamey Wright",715,124604
"Mike Minor","ATL",0.2719298245614035,0.816,0.221269296,0.349914236,0.428816466,0.104,0.088,121,5.320846773306712,1059,2067,3126,0.34797297,0.33614865,0.31587838,0.20777027,0.50506757,0.28716216,"Mike Minor",10021,501985
"A.J. Burnett","PIT",0.30495049504950494,2.330578512,0.192384769,0.56513026,0.242484969,0.041322314,0.09090909,81,3.816753926701571,1060,1961,3021,0.43217054,0.3372093,0.23062016,0.16472868,0.54844961,0.28682171,"A.J. Burnett",512,150359
"Jose Quintana","CHW",0.2825342465753425,1.137777777,0.200996677,0.425249169,0.373754152,0.155555555,0.102222222,84,3.779999711608909,1233,2102,3335,0.41680395,0.3261944,0.25700165,0.16639209,0.54695222,0.28665568,"Jose Quintana",11423,500779
"Jarrod Parker","OAK",0.2597623089983022,1.041841004,0.193388429,0.411570247,0.395041322,0.079497907,0.10460251,103,4.70558448529463,1122,1872,2994,0.40879479,0.38925081,0.2019544,0.15472313,0.55863192,0.28664495,"Jarrod Parker",4913,519105
"David Price","TBR",0.2983425414364641,1.345945945,0.216606498,0.449458483,0.333935018,0.124324324,0.086486486,86,4.146428797391009,845,1862,2707,0.3470483,0.40250447,0.25044723,0.17173524,0.54203936,0.2862254,"David Price",3184,456034
"Joe Nathan","TEX",0.2236842105263158,0.71641791,0.233333333,0.32,0.446666666,0.179104477,0.029850746,10,1.3917526320527316,364,657,1021,0.29220779,0.44805195,0.25974026,0.16883117,0.54545455,0.28571429,"Joe Nathan",1122,150274
"Jose Veras","- - -",0.24074074074074073,0.958333333,0.145454545,0.418181818,0.436363636,0.138888888,0.083333333,13,1.8670216364902241,385,622,1007,0.39880952,0.36309524,0.23809524,0.23809524,0.47619048,0.28571429,"Jose Veras",2063,407842
"Will Harris","ARI",0.3263888888888889,1.604651162,0.232876712,0.472602739,0.294520547,0.116279069,0.069767441,25,4.272153342769642,329,553,882,0.3877551,0.34013605,0.27210884,0.14285714,0.57142857,0.28571429,"Will Harris",3192,501789
