Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Joel Peralta","TBR",71.1,0.26220615,0.60813008,0.44434932,0.65517241,0.80213904,0.761079,0.5265411,30.8667467,"Joel Peralta",2332,407908
"Junichi Tazawa","BOS",68.1,0.30022075,0.67540984,0.51552211,0.58823529,0.8131068,0.75729927,0.5738476,30.19637883,"Junichi Tazawa",4079,547749
"Jose Valverde","DET",19.1,0.27388535,0.68852459,0.49705882,0.58139535,0.91269841,0.82840237,0.53823529,29.62916667,"Jose Valverde",1726,407878
"Jonathan Broxton","CIN",30.2,0.28,0.6812749,0.48103792,0.58571429,0.81871345,0.75103734,0.500998,29.04747774,"Jonathan Broxton",4759,455009
"Rafael Betancourt","COL",28.2,0.28761062,0.65587045,0.47991543,0.56923077,0.88888889,0.79735683,0.52219873,28.85804416,"Rafael Betancourt",177,429783
"Chang-Yong Lim","CHC",5,0.14285714,0.63492063,0.40336134,0.75,0.775,0.77083333,0.52941176,28.74725275,"Chang-Yong Lim",14445,547939
"Josh Lueke","TBR",21.1,0.22513089,0.60189573,0.42288557,0.65116279,0.85826772,0.80588235,0.52487562,28.74161074,"Josh Lueke",5722,518961
"Sam LeCure","CIN",61,0.24948454,0.55105973,0.40537849,0.52892562,0.83216783,0.74201474,0.51693227,28.47965116,"Sam LeCure",4664,459967
"Eduardo Sanchez","CHC",6.1,0.21311475,0.7,0.45454545,0.46153846,0.73809524,0.67272727,0.49586777,28.3956044,"Eduardo Sanchez",2966,500674
"Brayan Villarreal","- - -",4.1,0.20289855,0.5625,0.37593985,0.57142857,0.86111111,0.78,0.48120301,28.33009709,"Brayan Villarreal",5180,500903
"Kyuji Fujikawa","CHC",12,0.29411765,0.61904762,0.4589372,0.56666667,0.81538462,0.73684211,0.50724638,28.29333333,"Kyuji Fujikawa",14443,493117
"Nick Christiani","CIN",4,0.20833333,0.74193548,0.50909091,0.8,1,0.96428571,0.56363636,28.13513514,"Nick Christiani",10332,543023
"Travis Blackley","- - -",50.1,0.26633166,0.65060241,0.46248462,0.55660377,0.82222222,0.74734043,0.5104551,28.10645724,"Travis Blackley",3234,429715
"Grant Balfour","OAK",62.2,0.25517241,0.61290323,0.43057996,0.58108108,0.81578947,0.74489796,0.49033392,28.10340633,"Grant Balfour",718,346797
"Chia-Jen Lo","HOU",19.1,0.22292994,0.69230769,0.47492625,0.8,0.84920635,0.83850932,0.53687316,28.02109705,"Chia-Jen Lo",5440,547568
"Hisanori Takahashi","CHC",3,0.32352941,0.72727273,0.48214286,0.54545455,0.9375,0.77777778,0.39285714,27.85714286,"Hisanori Takahashi",10091,538227
"Mike Adams","PHI",25,0.2032967,0.61572052,0.43309002,0.59459459,0.83687943,0.78651685,0.55717762,27.85517241,"Mike Adams",1937,430606
"Joaquín Benoit","DET",67,0.31418312,0.65805169,0.47735849,0.59428571,0.76132931,0.70355731,0.4745283,27.82191781,"Joaquin Benoit",1437,276542
"Scott Downs","- - -",43.1,0.26809651,0.61329305,0.43039773,0.54,0.87684729,0.76567657,0.47017045,27.7602459,"Scott Downs",773,275933
"Mark Lowe","LAA",11.2,0.24822695,0.68316832,0.42975207,0.65714286,0.91304348,0.82692308,0.41735537,27.70930233,"Mark Lowe",7416,450275
"Jonathan Papelbon","PHI",61.2,0.33193277,0.65767635,0.49582463,0.67088608,0.83911672,0.78315789,0.50313152,27.61400894,"Jonathan Papelbon",5975,449097
"Hideki Okajima","OAK",4,0.24242424,0.57894737,0.42253521,0.875,0.86363636,0.86666667,0.53521127,27.49122807,"Hideki Okajima",7763,506606
"Jose Veras","- - -",62.2,0.22997947,0.57170543,0.40578265,0.60714286,0.82711864,0.76658477,0.51445663,27.25323741,"Jose Veras",2063,407842
"Bruce Rondón","DET",28.2,0.30769231,0.65811966,0.49321267,0.46875,0.81818182,0.71559633,0.52941176,27.18300654,"Bruce Rondon",5766,541652
"Alex Colomé","TBR",16,0.18897638,0.67391304,0.44150943,0.58333333,0.79569892,0.75213675,0.52075472,27.04787234,"Alex Colome",6661,517008
"Frank Francisco","NYM",6.1,0.30769231,0.74418605,0.48148148,0.55,0.9375,0.78846154,0.39814815,26.71794872,"Frank Francisco",1933,407911
"Hector Ambriz","HOU",36.1,0.2388535,0.61890244,0.43302181,0.57333333,0.88669951,0.80215827,0.51090343,26.57238307,"Hector Ambriz",559,459932
"Tony Sipp","ARI",37.2,0.25549451,0.67528736,0.46067416,0.52688172,0.83829787,0.75,0.48876404,26.54347826,"Tony Sipp",8280,448609
"Heath Bell","ARI",65.2,0.27440147,0.62694301,0.45632799,0.59060403,0.87878788,0.79492188,0.51604278,26.47421384,"Heath Bell",2080,425514
"Chris Bootcheck","NYY",1,0.4,0.7,0.5,0.75,1,0.86666667,0.33333333,26.43478261,"Chris Bootcheck",1842,408052
"Chris Resop","OAK",18,0.24444444,0.67261905,0.45114943,0.65909091,0.90265487,0.8343949,0.48275862,26.39183673,"Chris Resop",3799,434592
"Tyler Clippard","WSN",71,0.28873239,0.76174497,0.53092784,0.62804878,0.77092511,0.73300971,0.51202749,26.37369034,"Tyler Clippard",5640,461325
"J.J. Putz","ARI",34.1,0.25714286,0.612,0.4245283,0.41666667,0.8496732,0.71111111,0.47169811,26.35597826,"J.J. Putz",1795,407816
"Rhiner Cruz","HOU",21.1,0.24456522,0.68367347,0.47105263,0.73333333,0.81343284,0.79329609,0.51578947,26.35177866,"Rhiner Cruz",711,462480
"Drew Storen","WSN",61.2,0.27207637,0.64015152,0.47729673,0.59649123,0.86982249,0.80088496,0.55755016,26.33333333,"Drew Storen",6983,519322
"Clayton Mortensen","BOS",30.1,0.21090909,0.66549296,0.44186047,0.65517241,0.86243386,0.81376518,0.50805009,26.25634518,"Clayton Mortensen",3166,489150
"Manny Parra","CIN",46,0.33957219,0.57622739,0.45992116,0.4488189,0.83408072,0.69428571,0.50854139,26.22550832,"Manny Parra",4279,448159
"Kevin Jepsen","LAA",36,0.28059701,0.7173913,0.49467275,0.69148936,0.86580087,0.81538462,0.49010654,26.19287212,"Kevin Jepsen",6475,448178
"Jim Henderson","MIL",60,0.23913043,0.6867031,0.47203791,0.55371901,0.75862069,0.70883534,0.52037915,26.16370558,"Jim Henderson",6653,449104
"Blake Parker","CHC",46.1,0.26005362,0.64367816,0.46658416,0.53608247,0.83214286,0.75596817,0.53836634,26.15939597,"Blake Parker",5224,453284
"Jean Machi","SFG",53,0.26271186,0.64102564,0.46102151,0.56989247,0.824,0.75510204,0.52419355,26.1564482,"Jean Machi",3220,466948
"Santiago Casilla","SFG",50,0.2635468,0.67631579,0.46310433,0.63551402,0.85603113,0.79120879,0.48346056,26.06382979,"Santiago Casilla",2873,433586
"Blake Beavan","SEA",39.2,0.26492537,0.67460317,0.50464396,0.64788732,0.87843137,0.82822086,0.58513932,26.02968037,"Blake Beavan",338,518444
"Jason Frasor","TEX",49,0.24938272,0.5619469,0.41423571,0.61386139,0.84645669,0.78028169,0.52742124,25.99686028,"Jason Frasor",1906,430630
"J.P. Howell","LAD",62,0.22289157,0.61915367,0.41077086,0.46846847,0.8705036,0.75578406,0.47412883,25.85145482,"J.P. Howell",8245,434442
"Phil Coke","DET",38.1,0.30107527,0.646875,0.48580968,0.55952381,0.82608696,0.74914089,0.53422371,25.8254717,"Phil Coke",5535,457435
"Michael Kohn","LAA",53,0.29957806,0.71252567,0.50884495,0.68309859,0.79538905,0.76278119,0.50676379,25.82478632,"Michael Kohn",8505,543409
"Justin De Fratus","PHI",46.2,0.30024814,0.66587112,0.486618,0.51239669,0.86021505,0.755,0.50973236,25.78003384,"Justin De Fratus",4955,518603
"Jason Grilli","PIT",50,0.33919598,0.62328767,0.48803828,0.48888889,0.80586081,0.70098039,0.52392344,25.70756303,"Jason Grilli",521,276351
"Sean Marshall","CIN",10.1,0.36986301,0.65432099,0.51948052,0.7037037,0.8490566,0.8,0.52597403,25.69444444,"Sean Marshall",5905,445156
"Kenley Jansen","LAD",76.2,0.31311155,0.62225275,0.49475383,0.56875,0.74613687,0.69983687,0.58757062,25.65319865,"Kenley Jansen",3096,445276
"Jairo Asencio","BAL",2.1,0.34782609,0.44444444,0.4,0.375,0.91666667,0.7,0.54,25.625,"Jairo Asencio",3332,446003
"Darren O'Day","BAL",62,0.30022075,0.60229446,0.46209016,0.57352941,0.82539683,0.74944568,0.53586066,25.62445415,"Darren O'Day",3321,503285
"Phillippe Aumont","PHI",19.1,0.28426396,0.67052023,0.46486486,0.60714286,0.90517241,0.80813953,0.46756757,25.61003861,"Phillippe Aumont",5362,518418
"Francisco Rodríguez","- - -",46.2,0.25776398,0.60671463,0.45466847,0.51807229,0.8458498,0.76488095,0.56427605,25.55705996,"Francisco Rodriguez",1642,408061
"Mike Zagurski","- - -",6.1,0.08823529,0.6626506,0.40397351,0.5,0.90909091,0.86885246,0.54966887,25.54716981,"Mike Zagurski",9683,489448
"Charlie Furbush","SEA",65,0.26494024,0.5776699,0.4375,0.4962406,0.79831933,0.71632653,0.55178571,25.54150702,"Charlie Furbush",1370,518703
"Ernesto Frieri","LAA",68.2,0.29981378,0.6970547,0.5264,0.63354037,0.71428571,0.69452888,0.5704,25.50960452,"Ernesto Frieri",5178,457117
"Nick Hagadone","CLE",31.1,0.28518519,0.64092664,0.45935728,0.62337662,0.8313253,0.7654321,0.48960302,25.50938338,"Nick Hagadone",1351,444935
"Guillermo Moscoso","SFG",30,0.22900763,0.64143426,0.43079922,0.5,0.8447205,0.75113122,0.48927875,25.47660819,"Guillermo Moscoso",5106,446861
"Dane De La Rosa","LAA",72.1,0.23809524,0.62727273,0.45485232,0.56,0.79468599,0.74025974,0.55696203,25.40610329,"Dane De La Rosa",10095,451773
"Josh Fields","HOU",38,0.25342466,0.60182371,0.43800322,0.55405405,0.86868687,0.78308824,0.52979066,25.38924731,"Josh Fields",5070,451661
"Mauricio Robles","PHI",4.2,0.31034483,0.64912281,0.47826087,0.77777778,0.81081081,0.8,0.49565217,25.34444444,"Mauricio Robles",8895,500909
"Randy Choate","STL",35.1,0.26956522,0.63035019,0.45995893,0.53225806,0.82716049,0.74553571,0.52772074,25.34055728,"Randy Choate",813,329092
"Bryan Morris","PIT",65,0.32048682,0.6875,0.49521785,0.51265823,0.87662338,0.75321888,0.47608927,25.29885057,"Bryan Morris",10234,457768
"Brandon Gomes","TBR",19.1,0.39428571,0.63694268,0.50903614,0.50724638,0.74,0.64497041,0.47289157,25.24899598,"Brandon Gomes",2267,460156
"Sergio Romo","SFG",60.1,0.35672515,0.59731544,0.46875,0.55191257,0.80898876,0.70444444,0.465625,25.21681416,"Sergio Romo",9817,489265
"Pedro Villarreal","CIN",5.2,0.23728814,0.70967742,0.47933884,0.64285714,0.93181818,0.86206897,0.51239669,25.19318182,"Pedro Villarreal",9904,543881
"Mike Dunn","MIA",67.2,0.30332681,0.66216216,0.50637213,0.6,0.83219955,0.77181208,0.56584537,25.19151376,"Mike Dunn",9948,445197
"Cody Eppley","NYY",1.2,0.33333333,0.5,0.41935484,0.8,0.75,0.76923077,0.51612903,25.18181818,"Cody Eppley",9095,543136
"Heath Hembree","SFG",7.2,0.31343284,0.68656716,0.5,0.71428571,0.67391304,0.68656716,0.5,25.17,"Heath Hembree",11632,592390
"Mike Belfiore","BAL",1.1,0.13333333,0.63157895,0.41176471,1,0.91666667,0.92857143,0.55882353,25.14814815,"Mike Belfiore",9324,506988
"Jeremy Jeffress","TOR",10.1,0.21621622,0.55263158,0.42021277,0.5625,0.76190476,0.72151899,0.60638298,25.0979021,"Jeremy Jeffress",9490,502026
"Josh Zeid","HOU",27.2,0.28448276,0.63913043,0.46103896,0.51515152,0.85034014,0.74647887,0.4978355,25.09144543,"Josh Zeid",6527,473646
"Jake McGee","TBR",62.2,0.2605042,0.69183359,0.50933333,0.68548387,0.80178174,0.77661431,0.57688889,25.06302021,"Jake McGee",7550,459429
"Octavio Dotel","DET",4.2,0.16326531,0.74603175,0.49107143,0.875,0.87234043,0.87272727,0.5625,25.06024096,"Octavio Dotel",555,136734
"Mark Melancon","PIT",71,0.35920177,0.67783985,0.53238866,0.51851852,0.88736264,0.77376426,0.54352227,25.02140673,"Mark Melancon",4264,453343
"Erik Bedard","HOU",151,0.22352025,0.62859195,0.43423019,0.67247387,0.84457143,0.8020654,0.52017937,25.02093145,"Erik Bedard",126,407853
"John Axford","- - -",65,0.23752151,0.62057336,0.43100511,0.49275362,0.86413043,0.76284585,0.50511073,25.01664685,"John Axford",9059,446099
"Jeremy Hellickson","TBR",174,0.26851211,0.64930556,0.45857886,0.64948454,0.84705882,0.78911565,0.49913345,25.01151079,"Jeremy Hellickson",4371,476451
"Boone Logan","NYY",39,0.31117825,0.59190031,0.4493865,0.46601942,0.82631579,0.6996587,0.49233129,25.00209644,"Boone Logan",5525,457429
"LaTroy Hawkins","NYM",70.2,0.30046948,0.6487395,0.50342801,0.703125,0.87305699,0.8307393,0.582762,24.96005706,"LaTroy Hawkins",729,115629
"Paco Rodríguez","LAD",54.1,0.36383929,0.63660477,0.48848485,0.42944785,0.8375,0.67245658,0.4569697,24.92567568,"Paco Rodriguez",13398,572089
"Cesár Ramos","TBR",67.1,0.28215768,0.64807692,0.47205589,0.625,0.85756677,0.79069767,0.51896208,24.89337176,"Cesar Ramos",3357,459987
"Sergio Santos","TOR",25.2,0.38513514,0.64516129,0.51815182,0.38596491,0.79,0.6433121,0.51155116,24.83253589,"Sergio Santos",4734,435045
