Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Eddie Gamboa","TBR",13.1,,,-0.7810958971579869,,,0.5427229404449463,,,,,,,1.1951812060482532,"Eddie Gamboa",6911,543195
"Steven Wright","BOS",156.2,1.9792057897733604,,,,,,,1.0409069061279297,,,,,0.34050902789879506,"Steven Wright",8185,453214
"R.A. Dickey","TOR",169.2,0.18029411884309235,,,,,,,,,-2.8706795460469015,,,-0.08182849405136274,"R.A. Dickey",1245,285079
"Erik Kratz","- - -",2,,,,,,,-11.603885995490211,5.265879910439253,,,-2.047092694303264,,-3.812279924750328,"Erik Kratz",4403,456124
"Neftalí Feliz","PIT",53.2,0.8080792609061903,,,,,0.740173510436354,-0.12320663795962356,,,,-0.37280453575981987,,,"Neftali Feliz",18,491703
"Xavier Cedeño","TBR",41.1,1.786426176507789,,,,,-0.7196348160505295,,-1.093818420587584,,,-0.6270200479775667,,,"Xavier Cedeno",36,458584
"Zach Phillips","PIT",6.2,-0.2756212906139653,,,,,6.446138875825065,-1.579983667893843,,,,-2.5230228900909424,,,"Zach Phillips",99,452061
"Bartolo Colon","NYM",191.2,0.08762867351912934,,,,,0.7816289003901307,-1.9900731245676675,,,,-2.513689994196261,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",179.2,0.18708218279885372,,,,,-0.6839066140332126,1.789575447713522,,,,1.5952932620476818,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",65.1,-3.4639548040130768,,,,,0.49287258590782546,,,,,1.2520157469588182,,,"Fernando Rodney",494,407845
"Jason Grilli","- - -",59,0.32107185114069314,,,,,-2.2363115240026405,0.3878070926415952,,,,1.0227026561131844,,,"Jason Grilli",521,276351
"Kyle Lohse","TEX",9.1,,,,,,-3.453371835791547,-3.0208563193296776,-11.612092124091253,,,-1.2616818149884543,,,"Kyle Lohse",739,346798
"Scott Carroll","CHW",2.1,-4.563980797926584,,,,,-1.4912844896316528,-7.390102247397105,11.701837927103043,,,5.981156229972839,,,"Scott Carroll",888,453222
"Ryan Vogelsong","PIT",82.1,0.2886106995756988,,,,,1.9806617034409575,-0.2648304359144031,-2.6688926164494005,,,-3.2359014736132674,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","SFG",118.2,-0.20121329433315402,,0.0857407811137932,,,-0.6236298850604466,-10.81776533808027,-2.3210741301714366,,,-2.333115508956631,,,"Jake Peavy",1051,408241
"Marco Estrada","TOR",176,0.7238965799377233,,-0.1294244812653128,,,,,0.43879291467499315,,,1.5596012054480897,,,"Marco Estrada",1118,462136
"Joe Nathan","- - -",6.1,0.16619195624933406,,,,,-3.73217836022377,-0.6259349981943766,3.1901226427994276,,,11.631286144256592,,,"Joe Nathan",1122,150274
"Jerome Williams","STL",17.1,0.006357001493106017,,-3.138580710388893,,,-1.6546514171820421,-9.843533486127853,10.543696582317352,,,0.7916199473234323,,,"Jerome Williams",1137,425532
"Tommy Hunter","- - -",34,1.0269177953402202,,1.9085662789864115,,,2.20636785030365,,-1.1039373405436252,,,-1.1285259077946344,,,"Tommy Hunter",1157,488984
"Matt Bush","TEX",61.2,1.3203653899378747,,,,,-4.137132465839386,2.3136152267456054,3.207709871489426,,,-5.972689762711525,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",27,-14.647263746995193,,-4.772213527134487,,,1.986744496729467,2.7795446241224138,,,,,,,"Adam Ottavino",1247,493603
"Colby Lewis","TEX",116.1,1.115253978066197,,,,,3.5856246948242188,1.5904602611364,-1.5988860306916413,,,-5.312716588377953,,,"Colby Lewis",1259,407890
"Blake Wood","CIN",76.2,-0.15716028332909282,,,,,-3.130931545186926,0.7100329903547398,,,,1.149404802541623,,,"Blake Wood",1345,502028
"Andrew Bailey","- - -",43.2,0.04640975274330328,,0.7323051989078522,-3.7809256464242935,,,,-1.4734659671783448,,,,,,"Andrew Bailey",1368,457732
"Joaquín Benoit","- - -",48,2.4619446907724654,,,,,-0.9311289879782447,0.549754686653614,,,,-0.8599979536873954,,,"Joaquin Benoit",1437,276542
"John Lackey","CHC",188.1,0.0796500497721809,,3.9094409028750485,,,0.1732840150745992,,-0.2840401609634917,,,-0.4301408926645915,,,"John Lackey",1507,407793
"Oliver Pérez","WSN",40,-0.11874348856508732,,,,,-1.5014318440923629,0.8928664053233938,,,,-3.7809256464242935,,,"Oliver Perez",1514,424144
"Sean Doolittle","OAK",39,1.5786933534927952,,,-7.302769789328941,,,,-4.212967447332434,,,,,,"Sean Doolittle",1581,448281
"Francisco Rodríguez","DET",58.1,0.33482244210456735,,,,,-2.710048791133996,,1.1721621439294907,,,2.6175576557950397,,,"Francisco Rodriguez",1642,408061
"Javier López","SFG",26.2,,,,,,0.9489440136268491,-0.7633158596613074,-5.058467388153076,,,-2.3071454918902856,,,"Javier Lopez",1663,425657
"Chris Capuano","MIL",24,,,,,,-1.521360647110712,-0.5413641869011572,-3.7035511599646673,,,0.9071248192940988,,,"Chris Capuano",1701,425626
"Chin-hui Tsao","LAD",1.2,0.5234924907034094,,,,,,-1.6621030293978176,4.207627847790718,,,,,,"Chin-hui Tsao",1776,425835
"Matt Belisle","WSN",46,1.2178545906430198,,,,,-0.6414048373699188,1.7656633314096701,2.092775973406705,,,-4.0015848974386845,,,"Matt Belisle",1837,279571
"Edwin Jackson","- - -",84,-0.991303674520113,,,,,-6.679598324828678,0.0848784510578428,-2.0082938570936184,,,3.2209336418997156,,,"Edwin Jackson",1841,429719
"Ryan Madson","OAK",64.2,1.2098258838318943,,-0.7995070480718844,,,2.528273387694023,,,,,-0.3445639369193088,,,"Ryan Madson",1852,425492
"Sean Burnett","WSN",5.2,,,,,,0.8012922186600534,0.9325088489623298,,,,-7.021206617355347,,,"Sean Burnett",1886,430634
"Matt Moore","- - -",198.1,0.4836172518570668,,0.39804330145990524,,,-1.1856337781008994,,,0.7342906037638011,,0.5559038531266902,,,"Matt Moore",1890,519043
"Matt Thornton","SDP",17,-8.053020068577357,,1.498198974877596,,,-0.48477934317642385,-1.764633900978986,,,,,,,"Matt Thornton",1918,407819
"Zack Greinke","ARI",158.2,-0.9082437029071883,,,,,-2.4535966297936818,0.9352382423799319,1.1484465543827955,,,1.9198919146248463,,,"Zack Greinke",1943,425844
"Cory Luebke","PIT",8.2,-5.25051285238827,,,,,3.4965026378631596,-2.203996446397569,0.5572563303368432,,,1.9102095315853755,,,"Cory Luebke",1984,458537
"Iván Nova","- - -",162,-2.6219907990643674,,,,,0.6721254775138317,-1.4756754273548722,-0.9023409566761534,,,-0.9534521808936482,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",149,2.084120114644368,,,,,9.853953664953059,3.6046329370579175,1.6975135446708896,,,-3.248410565512521,,,"Clayton Kershaw",2036,477132
"Jorge De La Rosa","COL",134,-1.470367303486573,,-2.6092759468628253,0.24724276072011073,,-4.111864907400949,5.139219760894775,0.45102482193892224,,,-0.9845316410064697,,,"Jorge De La Rosa",2047,407822
"Chien-Ming Wang","KCR",53.1,0.08998742061001914,,,-7.020718172976845,,0.33390278955107755,-1.194307243122774,-12.637529108259413,,,,,,"Chien-Ming Wang",2074,425426
"Adam Loewen","ARI",6,-3.5695349628275093,,,,,-2.8778433799743652,,-0.31822299765002343,,,7.2350795070330305,,,"Adam Loewen",2134,429400
"Chris Narveson","MIA",8.1,7.029131054878235,,-13.78467287336077,,,1.3988824879250876,,2.834194627675143,,,5.145189166069031,,,"Chris Narveson",2141,429780
"Alfredo Simon","CIN",58.2,-2.2817039015618237,,-1.2915172533357524,-4.293510254393232,,-2.271504149395962,,-2.4453042924404143,,-0.9105653315782548,,,,"Alfredo Simon",2155,430580
"Chad Qualls","COL",32.2,,,,,,-0.9645377933786139,-1.1342459945317127,,,,-5.0437867641448975,,,"Chad Qualls",2170,430589
"Adam Wainwright","STL",198.2,-2.1349049996638647,,1.9241343035933598,,,-1.6033160590907005,,0.4963779224539703,,,-0.8288573927995636,,,"Adam Wainwright",2233,425794
"Blaine Boyer","MIL",66,0.07179437681686046,,,,,0.5574999469341618,1.3374253242246565,-2.8248921181391746,,,7.487457990646362,,,"Blaine Boyer",2237,430641
"Joel Peralta","- - -",27.1,-1.2269799214489054,,,0.47026920318603516,,,,-4.110849943271903,,,,,,"Joel Peralta",2332,407908
"Héctor Rondón","CHC",51,1.8792082740918215,,,,,-0.6514733856164137,0.2871848727172276,,5.7122040539979935,,1.2925718511853899,,,"Hector Rondon",2391,444468
"Cory Rasmus","LAA",24.2,-0.7318646007893133,,,,,-9.195869167645771,-1.611526944849751,-0.3528715173403422,,,-0.8465552068018651,,,"Cory Rasmus",2413,474284
