Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Ehire Adrianza","WSN",1,104.23730695018543,284.3486905097198,36.65827013648666,0,110.53434700090914,301.52635756104854,0,78.17703036791612,0,138.3913795084575,0,102.40326058026832,176.0051182983585,0,0,274.083326662539,"Ehire Adrianza",8418,501303
"Orlando Arcia","ATL",1,0,284.3486905097198,0,0,0,301.52635756104854,0,78.17703036791612,0,138.3913795084575,0,155.55057225747748,261.8647993405656,0,0,274.0833266625389,"Orlando Arcia",13185,606115
"Bubby Rossman","PHI",1,104.23730695018543,284.3486905097198,36.65827013648666,816.2619529618436,88.42747760072731,241.22108604883886,103.49894987888675,156.35406073583223,0,0,444.16953498967973,414.1456598732698,212.5253924692395,0,0,274.0833266625389,"Bubby Rossman",17179,657745
"Matthew Batten","SDP",2,52.118653475092714,0,,408.1309764809218,55.26717350045457,0,103.49894987888675,78.17703036791612,57.10065224326232,138.3913795084575,116.10745548049705,215.32701197742887,163.18598559791343,71.07533722233198,0,234.92856567159293,"Matthew Batten",20157,676946
"Sandy León","CLE",2,0,0,,0,0,0,0,0,0,,0,79.58772823909334,173.87894582599722,0,39.35287861743844,219.94232560731936,"Sandy Leon",5273,506702
"Connor Sadzeck","MIL",3,69.49153796679029,94.78289683657327,73.31654027297331,544.1746353078958,68.02113624182783,92.77733967468686,137.99859983851564,130.29505061319352,85.65097836489348,125.81034499510761,222.5796136558907,281.6578171496057,167.4590298313951,49.752736354148816,23.03332822159377,219.26666133003118,"Connor Sadzeck",13483,592712
"Locke St. John","CHC",2,208.47461390037085,0,,816.2619529618436,196.5055055828885,0,137.99859983851564,117.26554555187418,114.20130448652463,0,344.15977617186593,307.07295674109827,52.65660112004335,99.50547270829763,0,219.26666133003118,"Locke St. John",16850,657766
"Alejo Lopez","CIN",2.2,0,0,,612.1966106804286,0,0,82.79915990310943,58.63278675508279,0,138.3913795084575,157.10959132432367,299.845959082798,187.85571515491833,0,46.06665644318754,219.26666133003118,"Alejo Lopez",21127,664670
"Daniel Duarte","CIN",2.2,78.1779988517265,319.8923530917151,24.43884673321893,306.0983053402143,63.162483621544595,258.45116327915434,112.9079453224219,175.89836026524839,85.65097836489348,90.25524749949875,235.66438698648548,230.24235051776267,220.41631404575784,55.280818115995636,25.592586887289382,213.17592052435435,"Daniel Duarte",17480,650960
"Dee Strange-Gordon","WSN",1,0,853.0460715291595,0,816.2619529618436,0,452.2895363415728,206.9978997577735,390.88515183958054,114.20130448652463,90.25524749949875,672.8126797203532,691.2484690845273,483.8921302615328,0,57.58332055398443,205.5624949969042,"Dee Strange-Gordon",8203,543829
"Wil Myers","SDP",3.2,0,0,,667.8508045891738,0,0,110.39887987081254,85.28404791649142,28.55032612163116,138.3913795084575,189.99405100307644,363.1498719681987,208.0400143417763,33.16849057108096,46.06665644318755,200.99443946116745,"Wil Myers",10047,571976
