Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Frank Schwindel","CHC",3,-3.324751138687134,,,,,,,,,-2.0868985652923584,,,-0.0203041210770607,"Frank Schwindel",15351,643524
"Jack Mayfield","LAA",1,0.27951550483703613,,,,,,,0.21217089891433716,,,,,-0.24348104000091553,"Jack Mayfield",15402,608686
"Ernie Clement","CLE",2,-1.6266692876815796,,,,,,,,,,,,-1.5567141771316528,"Ernie Clement",20352,676391
"Tommy Hunter","NYM",22.1,-1.231143832206726,,1.2113776206970215,,,1.4631752967834473,,-2.111196756362915,,,0,,,"Tommy Hunter",1157,488984
"Albert Pujols","STL",1,-1.0976002216339111,,,,,,,-1.6637755632400513,,,,,,"Albert Pujols",1177,405395
"Matt Bush","- - -",59.2,1.1349915564060211,,-3.5312043130397797,,,0.0673583596944809,,7.234088182449341,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","NYM",65.2,-4.3981428146362305,,0.05877191945910454,,,6.869286060333252,9.623284339904785,,,,-0.5821642875671387,,,"Adam Ottavino",1247,493603
"Oliver Pérez","ARI",4,-0.8631547093391418,,,,,-3.163818597793579,-0.11661101877689362,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",5.1,2.6370723247528076,,,-0.08548670262098312,,,,0.7309589385986328,,,,,,"Sean Doolittle",1581,448281
"Matt Moore","TEX",74,5.66756534576416,,,,,,,,3.4416966438293457,,4.765303134918213,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",137,3.511833906173706,,0.8713264465332031,,,-2.542916774749756,-4.92290735244751,5.196044921875,,,-6.055831432342529,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",126.1,10.959915161132812,,,,,-0.543694794178009,10.433652877807617,5.535510540008545,,,-1.7328121662139893,,,"Clayton Kershaw",2036,477132
