Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","NYM",22.1,0.03151862,,0.46131805,,,0.35816619,,0.14613181,,,0.00286533,,,,"Tommy Hunter",1157,488984
"Albert Pujols","STL",1,0.7037037,,,,,,,0.2962963,,,,,,,"Albert Pujols",1177,405395
"Matt Bush","- - -",59.2,0.48237885,,0.16189427,,,0.00330396,,0.35242291,,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","NYM",65.2,0.12181303,,0.05193579,,,0.32577904,0.42965061,,,,0.07082153,,,,"Adam Ottavino",1247,493603
"Oliver Pérez","ARI",4,0.04109589,,,,,0.5890411,0.36986301,,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",5.1,0.74545455,,,0.03636364,,,,0.21818182,,,,,,,"Sean Doolittle",1581,448281
"Matt Moore","TEX",74,0.44951923,,,,,,,,0.38221154,,0.16826923,,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",137,0.38292254,,0.15272887,,,0.02244718,0.07394366,0.20334507,,,0.16461268,,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",126.1,0.39956569,,,,,0.00434311,0.4267101,0.16340934,,,0.00597177,,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",191.2,0.09352059,,0.25023939,,,0.2780083,0.00095755,0.30641558,0.01053304,,0.06032557,,,,"Adam Wainwright",2233,425794
"Corey Kluber","TBR",164,0.01466993,,0.34189079,,,0.26813366,,0.27261614,,,0.10268949,,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",121.2,0.45944609,,0.2586548,,,0.13155292,0.02670623,0.08605341,,,0.03758655,,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",47.1,0.08778626,,,,,0.35750636,0.28117048,0.24681934,,,0.02671756,,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","CIN",26.1,0.25477707,,0.43524416,,,0.24840764,,0.03397028,,,0.02760085,,,,"Ross Detwiler",2859,446321
"Kenley Jansen","ATL",64,,,0.65234765,,,0.21678322,0.13086913,,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","NYM",145.1,0.45404157,,0.09515012,,,,0.23279446,0.09237875,,,0.1256351,,,,"Max Scherzer",3137,453286
"David Price","LAD",40.1,0.42114094,,0.17785235,,,0.25167785,,,0.04194631,,0.10738255,,,,"David Price",3184,456034
"T.J. McFarland","STL",32.2,,,,,,0.62833676,0.15195072,,,,0.21971253,,,,"T.J. McFarland",3237,519008
"Joe Smith","MIN",27.1,0.30888889,,,,,0.41777778,0.27333333,,,,,,,,"Joe Smith",3281,501925
"Aníbal Sánchez","WSN",69.1,0.16801948,,0.27272727,,,0.19074675,0.05681818,0.05600649,,,0.25568182,,,,"Anibal Sanchez",3284,434671
"Charlie Culberson","TEX",2,0.92857143,,,,,,0.03571429,0.03571429,,,,,,,"Charlie Culberson",3298,518586
"Darren O'Day","ATL",21.2,0.43636364,,,,,0.08571429,0.47792208,,,,,,,,"Darren O'Day",3321,503285
"Liam Hendriks","CHW",57.2,0.60548523,,,,,,0.28902954,0.10548523,,,,,,,"Liam Hendriks",3548,521230
"Mark Melancon","ARI",56,0.03047404,,0.6275395,0.02370203,,,0.01805869,,0.30022573,,,,,,"Mark Melancon",4264,453343
"Justin Wilson","CIN",3.2,0.35185185,,0.33333333,,,,0.31481481,,,,,,,,"Justin Wilson",4301,458677
"Charlie Morton","ATL",172,0.33586469,,0.09354505,,,0.10459096,,0.38039351,,,0.0856058,,,,"Charlie Morton",4676,450203
"Rich Hill","BOS",124.1,0.35577889,,0.12914573,,,0.00150754,0.10603015,0.35577889,0.00954774,,0.04221106,,,,"Rich Hill",4806,448179
"Jake Diekman","- - -",57.2,0.44197952,,,,,0.19539249,0.35068259,,,,0.01194539,,,,"Jake Diekman",5003,518617
"Anthony Gose","CLE",21,0.64781491,,,,,,0.3496144,,,,0.00257069,,,,"Anthony Gose",5097,543238
"Jeurys Familia","- - -",44.1,0.24357405,,,0.14443084,,0.46389229,0.14810282,,,,,,,,"Jeurys Familia",5114,544727
"Sandy León","CLE",2,1,,,,,,,,,,,,,,"Sandy Leon",5273,506702
"Jose Alvarez","SFG",15.1,0.04029304,,,,,0.50915751,0.0989011,,,,0.35164835,,,,"Jose Alvarez",5358,501625
"Manny Bañuelos","- - -",41,0.2005571,,,,,0.21309192,0.15877437,0.32729805,,,0.10027855,,,,"Manny Banuelos",5365,544365
"Michael Pineda","DET",46.2,0.59233926,,,,,,0.21477428,,,,0.19288646,,,,"Michael Pineda",5372,501381
"Pedro Báez","HOU",2.1,0.43835616,,,,,,0.09589041,,,,0.46575342,,,,"Pedro Baez",5420,520980
