Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Cristopher Sánchez","PHI",40,,96.74683168316832,,,104.82079999999999,,87.39488721804511,,,97.45681197567522,98.0807471182397,96.66680380690586,"Cristopher Sanchez",20778,650911
"Daniel Castano","MIA",35.2,63.0205633802817,70.04764705882354,112.3458474576271,,92.55766570352857,,101.28432432432433,,,96.89546370195063,101.90846243491838,96.62811518975892,"Daniel Castano",19805,641447
"Bryan Hoeing","MIA",12.2,168.84,94.96349726775956,,,100.46999999999998,52.900000000000006,76.256875,,,102.66731559643708,96.11154295472629,96.62078244163706,"Bryan Hoeing",26304,663773
"Kirby Snead","OAK",44.2,71.02448598130839,104.12429447852762,,,104.61882758620689,,62.01018181818182,,,99.65907096774195,98.18792258064518,96.54139354838712,"Kirby Snead",19179,669912
"Logan Gillaspie","BAL",17.1,99.98253968253968,,,,96.97018181818181,71.71304347826086,98.43263157894738,,,94.24038314176246,101.21954022988504,96.51808429118773,"Logan Gillaspie",22461,670810
"Chi Chi González","- - -",23,86.62637931034483,101.2488,,,100.35173076923077,138.315,87.60105263157895,,,92.96676787825061,102.45739731087471,96.46903368794328,"Chi Chi Gonzalez",14663,592346
"Brandon Hughes","CHC",57.2,95.92455531453359,79.55391304347826,,,99.65751724137931,,32.63636363636364,,,103.87978991596644,94.81911764705886,96.45231092436974,"Brandon Hughes",23460,676714
"Martín Pérez","TEX",196.1,81.4954430379747,97.0324118207817,98.00618784530384,,101.65047619047618,95.21961165048543,98.72473876063184,,,92.00321320309872,102.23341192320645,96.43924553721787,"Martin Perez",6902,527048
"Josh Winder","MIN",67,79.04386666666666,,,,117.69301075268818,103.0217434949148,90.18050632911391,,,93.52617391819992,102.71504359508103,96.4185687644925,"Josh Winder",24606,680739
"Ryan Borucki","- - -",25.1,,102.72826923076924,,,88.78025,,92.5904347826087,,,109.13873595143934,87.48244421962657,96.4007519543824,"Ryan Borucki",16350,621366
"Derek Law","- - -",19.2,106.205,72.49037037037039,104.21932203389831,,94.98102564102564,91.06318181818183,99.18800000000002,,,98.25400115562405,98.50999788135594,96.29952812018487,"Derek Law",13133,571882
"Miles Mikolas","STL",202.1,95.14297328687573,95.86684736091298,,,105.30229262086512,88.29649538622527,92.83612903225806,,,91.99357277642906,106.87168060766571,96.2557545611712,"Miles Mikolas",9803,571945
"Shane Bieber","CLE",200,93.42470707070709,,105.97359649122808,,93.88103651354534,,83.52955223880596,98.43171206225679,,92.34491277041172,101.27465457083046,96.14483600837401,"Shane Bieber",19427,669456
"Eli Morgan","CLE",66.2,85.34424242424241,,,,106.91863354037265,108.72363636363637,111.06925795053002,,,95.54134587020646,105.31545673549658,96.13106317600786,"Eli Morgan",20203,669212
"Anthony Misiewicz","- - -",29,97.60530303030305,,106.4812716763006,,78.84,83.98858974358974,,,,94.81796652641418,101.80034838709676,96.12780906965872,"Anthony Misiewicz",18152,664948
"Tyler Kinley","COL",24,64.03395348837208,91.828,,,123.49846938775514,,132.82,,,94.75215999999999,99.27568000000001,96.12448,"Tyler Kinley",18297,641755
"Buck Farmer","CIN",47,77.89197860962568,,,,121.26418250950566,,97.1158208955224,,,93.8279808841099,99.85048984468335,96.0934050179211,"Buck Farmer",14814,571656
"Fernando Cruz","CIN",14.2,87.41843750000001,138.17000000000002,97.20637931034481,99.46921052631579,,,,,,99.67084615384614,92.30992307692306,96.08869230769231,"Fernando Cruz",7048,518585
"Dillon Peters","PIT",39.1,102.86770270270272,104.833567251462,,,99.01799999999997,95.56804347826088,78.98640522875817,,,92.49012270597981,101.74347192808327,96.05738707699314,"Dillon Peters",18790,596071
"Caleb Ferguson","LAD",34.2,97.32510309278351,,,,,93.57458333333334,,,,100.91333491455329,97.76088815909505,96.04505747126437,"Caleb Ferguson",19349,657571
"James Naile","STL",9,36.39333333333333,99.83214285714287,107.3475,,,104.82625000000002,100.008,,,98.17555555555555,100.82619047619048,96.0269841269841,"James Naile",18186,664942
"Edward Cabrera","MIA",71.2,78.13077551020409,75.55528571428573,,,107.67956284153006,105.51062992125985,104.81290816326532,,,98.92461665292663,94.87079967023907,96.01864798021434,"Edward Cabrera",21690,665795
"Luke Weaver","- - -",35.2,88.3418309859155,41.07111111111111,,,112.63062500000001,92.5958208955224,112.18213903743316,,,88.93727253929355,107.82700954039937,96.00864572140419,"Luke Weaver",16918,596133
"Josh Winckowski","BOS",70.1,76.73636363636363,106.28710588235293,85.45801526717557,,94.5325748502994,,98.87946666666667,,,94.9947431995659,98.90699913888693,95.99777231226555,"Josh Winckowski",22387,670174
"Aaron Loup","LAA",58.2,110.075,105.2370449678801,84.87275862068965,,,43.318518518518516,102.30479338842973,,,106.50299896587383,94.36275077559466,95.98411582213032,"Aaron Loup",10343,571901
"Huascar Brazobán","MIA",32,80.67355263157893,77.21857142857141,106.25787878787882,,,,97.80452830188678,,,104.36396196513476,90.48478605388269,95.96763866877971,"Huascar Brazoban",6107,623211
"Kyle Crick","CHW",15.2,68.64,84.11046728971964,,,105.93599999999999,,,,,109.71189964157706,90.39863799283154,95.96150537634406,"Kyle Crick",13182,605195
"Miguel Díaz","DET",3.2,74.63407407407408,148.785,,,52.839999999999996,,115.49826086956521,,,104.31928571428571,95.92821428571428,95.93571428571428,"Miguel Diaz",18815,622766
"Dennis Santana","TEX",58.2,99.94083333333334,85.3038860103627,,,112.15885286783043,,73.73575757575759,,,99.18665983390264,94.89393651651476,95.91036766040807,"Dennis Santana",17878,642701
"Chris Stratton","- - -",63.1,88.82995780590718,56.053999999999995,,,112.49308056872039,100.71297058636678,83.25272727272728,,,92.22019727758872,102.4824725328148,95.87573349538162,"Chris Stratton",13761,608717
"Kyle Nelson","ARI",37,88.65492957746478,,96.67000000000002,,100.18311921805169,14.519999999999996,,,,101.3007170460933,95.2326929923178,95.86854787333706,"Kyle Nelson",20515,669459
"Aaron Sanchez","- - -",60,95.49289340101522,102.38963855421686,,,,92.98587442610837,79.45333333333332,,,92.01049931340158,104.02478211233066,95.86158666373485,"Aaron Sanchez",11490,592717
"Johnny Cueto","CHW",158.1,106.45136170212766,104.78976406533576,84.87488272921108,,105.2366153846154,24.42133333333333,81.05509433962264,,,88.12160538966833,107.16291752381629,95.80294752037294,"Johnny Cueto",6893,456501
"Matt Manning","DET",63,92.62119922630562,111.91088235294117,,,113.94140969162994,80.23942307692307,77.37432432432432,,,93.13680161943319,101.59688259109313,95.74117408906883,"Matt Manning",20369,666159
"Humberto Castellanos","ARI",44.1,68.79972602739727,101.58545454545455,,,,98.16528301886791,105.35333333333335,,,92.89112872696495,105.00730011926288,95.67662716885316,"Humberto Castellanos",21183,528748
"Jimmy Lambert","CHW",47,86.84290410958901,,,,107.07007407407409,,109.32931034482756,74.00328358208954,,97.26221542667506,99.24455578024703,95.66446241976286,"Jimmy Lambert",19541,669424
"Domingo Germán","NYY",72.1,94.19877966101694,74.13075757575758,,,,99.2455768912642,103.24709163346613,,,92.32261263740654,102.75800579189315,95.63018481856388,"Domingo German",17149,593334
"Daulton Jefferies","OAK",39.1,106.22702702702703,92.20653846153847,96.12768000000001,,79.9067469879518,,106.26479338842977,,,87.80978723404256,105.97905073649757,95.60451718494272,"Daulton Jefferies",19345,641726
"Andre Pallante","STL",108,102.18779057591621,73.5514465408805,,,96.19261627906975,86.44761904761904,43.760000000000005,,,91.80972409289313,100.90694629503913,95.56503119410034,"Andre Pallante",26108,669467
"Sean Manaea","SDP",158,96.87851213782302,104.29829787234044,,,99.53901969096248,-12.180000000000007,84.41960655737707,,,93.39517553845033,101.58081523770497,95.53895302391685,"Sean Manaea",15873,640455
"Bryse Wilson","PIT",115.2,82.62115473441106,110.86765886287625,93.34722222222223,68.23931034482759,86.25692295131046,101.38443548387097,93.89873706004143,,,91.61466744553965,102.58616092462947,95.4700763814898,"Bryse Wilson",19990,669060
