Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Erick Aybar","SDP",1.1,,,,,,,,-6.401035189628601,,,,,10.201829129999334,"Erick Aybar",4082,430947
"R.A. Dickey","ATL",190,2.2259770846757734,,,,,,,,,1.9311436251098035,,,-0.7089407672284243,"R.A. Dickey",1245,285079
"Steven Wright","BOS",24,8.11612361516708,,,,,,,-9.480839654019006,,,,,-4.044924530328489,"Steven Wright",8185,453214
"Neftalí Feliz","- - -",46,0.22363225768383285,,,,,,-0.19892865802322687,,,,-0.08912998087265912,,,"Neftali Feliz",18,491703
"Xavier Cedeño","TBR",3,,,-5.431672504970005,,,,,-12.914470036824543,,,,,,"Xavier Cedeno",36,458584
"Bartolo Colon","- - -",143,-2.6285918023851185,,-0.3282568284443447,,,-1.2731148806183181,-0.8066596395998117,,,,0.49351030910337296,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",148.2,-5.575538178284964,,0.38549403630977985,,,-0.48715577143408384,0.9716572511951457,,,,0.3021904400416783,,,"CC Sabathia",404,282332
"Fernando Rodney","ARI",55.1,-0.5144042562144672,,,,,1.0634755476927147,-0.8587671177727836,,,,2.5015630086263023,,,"Fernando Rodney",494,407845
"Jason Grilli","- - -",40,-1.2462692899802297,,,,,6.376453985770543,-1.872996149453089,,,,-1.5791574120521548,,,"Jason Grilli",521,276351
"Bronson Arroyo","CIN",71,-2.7661270565456815,,-9.069795386735784,,,-7.634530862172445,1.9443986796531358,0.2274936215477701,,,-5.510070302464941,,,"Bronson Arroyo",978,276520
"Marco Estrada","TOR",186,0.3024217786981324,,-1.6667058115048257,,,,,-1.6009258559025616,,,-0.6750102657085467,,,"Marco Estrada",1118,462136
"Tommy Hunter","TBR",58.2,1.4154266428064417,,1.9210060598396579,,,0.6985299895254619,,1.501704752445221,,,,,,"Tommy Hunter",1157,488984
"Andrew Romine","DET",1,-2.0627377033233643,,,,,,,,,,-3.969336673617363,,,"Andrew Romine",1159,461865
"Matt Bush","TEX",52.1,-0.1866306637374448,,0.22105773289998373,,,-0.2358316324880995,1.3180006874932184,-1.6927563227139988,,,-3.969336673617363,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",53.1,-1.4772406746359432,,2.915467321872711,,,-0.06224985382213804,0.1660587959586993,,,,,,,"Adam Ottavino",1247,493603
"Blake Wood","- - -",74.1,-2.840734711775543,,,0.9525690728159094,,0.8005591549973856,-0.08929488302647381,-5.070912465453148,,,-3.969336673617363,,,"Blake Wood",1345,502028
"Andrew Bailey","LAA",4,6.074539973185613,,6.627506415049235,,,,,5.669206380844116,,,,,,"Andrew Bailey",1368,457732
"Joaquín Benoit","- - -",50.1,0.726377978110708,,,,,-2.8220795513538834,0.4975629832457613,-2.4164579808712006,,,1.0831396281719208,,,"Joaquin Benoit",1437,276542
"John Lackey","CHC",170.2,-0.46363853374376046,,1.2140095903632346,,,-2.229830932416273,,-1.3488297400678075,,,-0.26222066953778267,,,"John Lackey",1507,407793
"Oliver Pérez","WSN",33,-0.832306831441027,,,,,-2.1861149714543266,1.8228361383080482,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","- - -",51.1,2.213965514228721,,,-0.66543562071664,,,4.5580454934866,10.050740092992783,,,,,,"Sean Doolittle",1581,448281
"Francisco Rodríguez","DET",25.1,-3.233360843498166,,,,,-19.795237481594086,,1.519575558210674,,,-1.029254096785402,,,"Francisco Rodriguez",1642,408061
"Matt Belisle","MIN",60.1,1.0494127938913744,,,,,2.0519858056848697,2.1457670555740105,-1.9316296711146275,,,-3.468891978263855,,,"Matt Belisle",1837,279571
"Edwin Jackson","- - -",76,-0.5573242691177384,,,,,-1.5425670309131647,-1.6067698282777723,-1.5873439171734978,,,0.4331015959018614,,,"Edwin Jackson",1841,429719
"Ryan Madson","- - -",59,4.206128473635073,,,,,4.380578415034568,26.653999090194702,-0.8424382539665175,,,-1.4541104549670039,,,"Ryan Madson",1852,425492
"Matt Moore","SFG",174.1,-1.142500012369471,,-1.2813653999468395,,,,,,0.2624275118816556,,0.1744233740236879,,,"Matt Moore",1890,519043
"Zack Greinke","ARI",202.1,0.2996417326725267,,,,,-1.222625752569924,1.2224202760508363,1.770994815920374,,-0.5294891340391976,2.6784927006295547,,,"Zack Greinke",1943,425844
"Iván Nova","PIT",187,-1.1538544494675929,,,,,0.5565338688623667,,0.7099827548913789,,,-1.175032679742504,,,"Ivan Nova",1994,467100
