Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Johan Santana","MIN",19,6,0,34,34,233.2,9.4365196690153,1.8102711201784456,0.9243937634953765,0.26865671641791045,0.77679449,0.404255319,0.099173553,,2.7731812904861295,,3.0397577609231154,3.161701813753123,6.729730129241943,"Johan Santana",755,276371
"Brandon Webb","ARI",16,8,0,33,33,235,6.817021276595745,1.9148936170212767,0.574468085106383,0.2867332382310984,0.72111554,0.663323782,0.131578947,,3.1021276595744682,,3.1765350138887447,3.029292980090101,6.492469310760498,"Brandon Webb",1692,425630
"Roy Oswalt","HOU",15,8,0,33,32,220.2,6.770393061353473,1.549849014044771,0.7341390066527862,0.3023952095808383,0.78726968,0.487951807,0.086124401,,2.9773415269807444,,3.3008263367980115,3.5730161851693523,6.083798244595528,"Roy Oswalt",571,400061
"Aaron Harang","CIN",16,11,0,36,35,234.1,8.295874462062594,2.1507822679421538,1.0753911339710769,0.3124087591240876,0.73838081,0.385416666,0.105263157,,3.763868968898769,,3.6759084965621187,3.719702028659926,5.739505998790264,"Aaron Harang",1451,421685
"Jeremy Bonderman","DET",14,8,0,34,34,214,8.495326497063575,2.6915885931290533,0.7570092918175463,0.3181818181818182,0.69194683,0.482484076,0.089552238,,4.079438961461221,,3.291607582601401,3.5196786654342818,5.581619739532471,"Jeremy Bonderman",1667,425827
"John Smoltz","ATL",16,9,0,35,35,232,8.185344827586206,2.1336206896551726,0.8922413793103449,0.2990936555891239,0.75949367,0.462908011,0.102222222,,3.4913793103448274,,3.44416157294964,3.519916921667755,5.488975524902344,"John Smoltz",115,122477
"John Lackey","LAA",13,11,0,33,33,217.2,7.856048821020227,2.9770290269129283,0.5788667552330693,0.2967032967032967,0.70347958,0.429921259,0.056910569,,3.5558957821459973,,3.353485906715145,4.107493224717133,5.287580490112305,"John Lackey",1507,407793
"Mike Mussina","NYY",15,7,0,32,32,197.1,7.844594190206054,1.5962837014954179,1.0033783266542626,0.28421052631578947,0.70393375,0.423670668,0.094017094,,3.5118241432899193,,3.4609369528389404,3.680049697651998,5.176060676574707,"Mike Mussina",837,119608
"Roy Halladay","TOR",16,5,0,32,32,220,5.4,1.3909090909090909,0.7772727272727272,0.2755102040816326,0.74863884,0.574746008,0.125,,3.190909090909091,,3.601293234391646,3.4506757923147897,5.073230266571045,"Roy Halladay",1303,136880
"CC Sabathia","CLE",12,11,0,28,28,192.2,8.034602500340155,2.0553634303195745,0.7941176889871083,0.29359430604982206,0.71701721,0.450530035,0.084158415,,3.223183561182969,,3.302457130627978,3.630558616517031,5.0212883949279785,"CC Sabathia",404,282332
"Chris Carpenter","STL",15,8,0,32,32,221.2,7.470677034566872,1.74586474177378,0.852631618075567,0.2711598746081505,0.76286765,0.533437013,0.115384615,,3.0857144273210992,,3.4354695976072303,3.3591125784494626,5.0107102394104,"Chris Carpenter",1292,112020
"Javier Vazquez","CHW",11,12,0,33,32,202.2,8.171052498606208,2.486842064793194,1.021381562325776,0.30808080808080807,0.65767974,0.401639344,0.093117408,,4.8404604475438955,,3.8572740840728184,4.096727687696714,4.7307085413485765,"Javier Vazquez",801,134320
"Erik Bedard","BAL",15,11,0,33,33,196.1,7.838709271276023,3.162987951567518,0.7334464815229027,0.30874785591766724,0.71890145,0.488135593,0.09039548,,3.7589132178048765,,3.594965074110188,3.803993193212243,4.589168071746826,"Erik Bedard",126,407853
"Bronson Arroyo","CIN",14,11,0,35,35,240.2,6.8808862811717555,2.3933517499727848,1.1592797538930675,0.269774011299435,0.77948304,0.381542699,0.105084745,,3.290858656212579,,4.152287924800035,4.202420815084342,4.56417179107666,"Bronson Arroyo",978,276520
"Curt Schilling","BOS",15,7,0,31,31,204,8.073529411764707,1.2352941176470589,1.2352941176470589,0.32432432432432434,0.76015109,0.398347107,0.114285714,,3.9705882352941178,,3.592826211218741,3.498293183356816,4.554356098175049,"Curt Schilling",73,121811
"Jake Peavy","SDP",11,14,0,32,32,202.1,9.563426929038409,2.7578254400017737,1.0230642761296902,0.3037037037037037,0.72710952,0.38,0.095833333,,4.092257104518761,,3.5075385632155998,3.698709525003682,4.442368030548096,"Jake Peavy",1051,408241
"Derek Lowe","LAD",16,8,0,35,34,218,5.077981295945663,2.2706420429025322,0.5779816109206446,0.28910614525139666,0.70390207,0.670375521,0.112,,3.6330272686440517,,3.678857834344563,3.650762119956883,4.440136522054672,"Derek Lowe",199,117955
"Greg Maddux","- - -",15,14,0,34,34,210,5.014286078628255,1.5857144009337216,0.8571429194236333,0.28924418604651164,0.64473684,0.506512301,0.103626943,,4.200000305175803,,3.7991287796297346,3.854134529535546,4.34507429599762,"Greg Maddux",104,118120
"Kevin Millwood","TEX",16,12,0,34,34,215,6.572093489684597,2.218604808619641,0.9627907660047498,0.30597014925373134,0.67642405,0.447214076,0.09787234,,4.520930553413608,,3.8723292266903506,4.019516453924229,4.278705596923828,"Kevin Millwood",106,119154
"Jason Jennings","COL",9,13,0,32,32,212,6.028301886792453,3.608490566037736,0.7216981132075472,0.2885496183206107,0.74019245,0.439209726,0.069958847,,3.7783018867924527,,4.0948609873933615,4.665149950482093,4.194243431091309,"Jason Jennings",434,407298
"Ben Sheets","MIL",6,7,0,17,17,106,9.849056603773585,0.9339622641509434,0.7641509433962265,0.3287671232876712,0.67362429,0.404109589,0.076271186,,3.8207547169811322,,2.4297666477707205,2.892277273620075,4.014098644256592,"Ben Sheets",710,282656
"Jose Contreras","CHW",13,9,0,30,30,196,6.153061224489796,2.5255102040816326,0.9183673469387755,0.28338762214983715,0.68398268,0.446227929,0.082644628,,4.270408163265306,,4.100829412499253,4.511514407928501,4.012127876281738,"Jose Contreras",1660,425747
"Chris Capuano","MIL",11,12,0,34,34,221.1,7.075300879636977,1.9111444904766546,1.1792168132728296,0.29542097488921715,0.72422259,0.398835516,0.105454545,,4.025602224621038,,4.0368079799026955,4.081651175597029,4.005288124084473,"Chris Capuano",1701,425626
"Kelvim Escobar","LAA",11,14,0,30,30,189.1,6.987675680903277,2.376760435681387,0.8080985481316715,0.3064798598949212,0.68856886,0.446956521,0.081339712,,3.612675862235708,,3.616818177125399,4.0027154650454735,3.9559054374694824,"Kelvim Escobar",1298,113898
"Carlos Zambrano","CHC",16,7,0,33,33,214,8.831775071204707,4.836448253278768,0.8411214353528291,0.2522202486678508,0.75581395,0.468805704,0.099502487,,3.406541813178958,,4.137401914817302,4.243977679210329,3.8565711975097656,"Carlos Zambrano",305,407296
"Dan Haren","OAK",14,13,0,34,34,223,7.103138527420213,1.8161433734881227,1.2511209906251513,0.28892215568862273,0.72156197,0.452449567,0.125,,4.116591646573078,,4.115357579039857,3.872919324454728,3.8438456058502197,"Dan Haren",1757,429717
"Jason Schmidt","SFG",11,9,0,32,32,213.1,7.593750181049113,3.3750000804662723,0.8859375211223965,0.27677100494233936,0.73697068,0.373983739,0.078947368,,3.5859375854954143,,3.9483102989569314,4.422977270275797,3.8413074016571045,"Jason Schmidt",1131,121834
"Dave Bush","MIL",12,11,0,34,32,210,7.114286295832468,1.628571561696589,1.1142858053713502,0.28180354267310787,0.66183137,0.466453674,0.121495327,,4.414286075124965,,3.975319276147965,3.7995965433320675,3.826965183019638,"Dave Bush",4635,433657
"Chien-Ming Wang","NYY",19,6,1,34,33,218,3.137614981728434,2.1467891980247176,0.49541289185185794,0.29155672823219,0.72168764,0.627968337,0.077922077,,3.6330278735802914,,3.9082157432481215,4.186555976004309,3.7941360380500555,"Chien-Ming Wang",2074,425426
"Matt Cain","SFG",13,12,0,32,31,190.2,8.449300473905431,4.106643247093701,0.8496503269849036,0.26325757575757575,0.69839858,0.356060606,0.071428571,,4.153846043037307,,3.95968482109718,4.592014890649896,3.789005398750305,"Matt Cain",4732,430912
"Scott Kazmir","TBD",10,8,0,24,24,144.2,10.140552638865083,3.2350229277361002,0.9331796906931059,0.30952380952380953,0.76969697,0.419689119,0.099337748,,3.2350229277361002,,3.361033486597942,3.4817051068189953,3.6469624042510986,"Scott Kazmir",4897,431148
"Francisco Liriano","MIN",12,3,1,28,16,121,10.71074312631004,2.380165139180009,0.6694214453943775,0.2787456445993031,0.83180987,0.55670103,0.132352941,,2.1570246573818834,,2.551706495051189,2.3754757029078353,3.617249071598053,"Francisco Liriano",3201,434538
