Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","TEX",0.2,0.4,0.125,0.25,0.625,0,0.6,0,0,19,42,61,0.5625,0.1875,0.25,0.0625,0.375,0.5625,"R.A. Dickey",1245,285079
"Travis Chick","SEA",0.3684210526315789,1.285714285,0.157894736,0.47368421,0.368421052,0.142857142,0,1,1.7999989700323276,66,77,143,0.36842105,0.31578947,0.31578947,0.15789474,0.31578947,0.52631579,"Travis Chick",4524,435458
"Adam Bernero","- - -",0.37254901960784315,0.739130434,0.245283018,0.320754716,0.433962264,0.130434782,0.130434782,11,6.600000052452088,96,182,278,0.46296296,0.35185185,0.18518519,0.11111111,0.38888889,0.5,"Adam Bernero",460,333293
"Mike Holtz","BOS",0.5,0.666666666,0,0.4,0.6,0,0,0,0,29,30,59,0.66666667,0.33333333,0,0,0.5,0.5,"Mike Holtz",920,116114
"Colby Lewis","DET",0.6363636363636364,3.5,0.25,0.583333333,0.166666666,0,0.5,2,6.000008106242642,28,48,76,0.66666667,0.08333333,0.25,0.08333333,0.41666667,0.5,"Colby Lewis",1259,407890
"Tim Byrdak","BAL",0.4,2.142857142,0.266666666,0.5,0.233333333,0,0.285714285,1,1.2857152491206947,80,88,168,0.5625,0.1875,0.25,0.125,0.375,0.5,"Tim Byrdak",1995,136263
"Jorge Campillo","SEA",0.4,2,0.4,0.4,0.2,0,0,2,7.7142970124235,18,28,46,0.6,0.3,0.1,0,0.5,0.5,"Jorge Campillo",8686,435658
"David Pauley","BOS",0.47619047619047616,2.066666666,0.269841269,0.492063492,0.238095238,0.133333333,0.066666666,8,4.5,118,175,293,0.484375,0.328125,0.1875,0.03125,0.484375,0.484375,"David Pauley",3625,456102
"Bartolome Fortunato","NYM",0.38461538461538464,0.375,0.266666666,0.2,0.533333333,0,0.25,4,12,29,32,61,0.26666667,0.46666667,0.26666667,0.06666667,0.46666667,0.46666667,"Bartolome Fortunato",2213,430627
"Billy Sadler","SFG",0.3333333333333333,2,0.181818181,0.545454545,0.272727272,0,0.666666666,4,9.000009119519891,36,56,92,0.45454545,0.27272727,0.27272727,0.18181818,0.36363636,0.45454545,"Billy Sadler",6235,452724
"Eric DuBose","BAL",0.5,1.333333333,0.222222222,0.444444444,0.333333333,0,0.333333333,1,1.9285701148372958,46,59,105,0.5,0.33333333,0.16666667,0.22222222,0.33333333,0.44444444,"Eric DuBose",1633,276511
"Jae Kuk Ryu","CHC",0.35555555555555557,0.782608695,0.163265306,0.367346938,0.469387755,0.086956521,0.304347826,10,6.0000000476837165,111,168,279,0.42307692,0.34615385,0.23076923,0.11538462,0.44230769,0.44230769,"Jae Kuk Ryu",8228,472490
"Jeff Bajenaru","ARI",0.25,0.5,0.142857142,0.285714285,0.571428571,0.25,0.75,0,0,5,15,20,0.28571429,0.57142857,0.14285714,0.14285714,0.42857143,0.42857143,"Jeff Bajenaru",2920,434117
"Shane Komine","OAK",0.21212121212121213,0.875,0.166666666,0.388888888,0.444444444,0.1875,0.1875,2,2,83,86,169,0.47222222,0.27777778,0.25,0.02777778,0.55555556,0.41666667,"Shane Komine",4754,455005
"Hayden Penn","BAL",0.37037037037037035,0.944444444,0.213483146,0.382022471,0.404494382,0.111111111,0.222222222,4,1.8305076461046172,177,236,413,0.43820225,0.31460674,0.24719101,0.04494382,0.53932584,0.41573034,"Hayden Penn",4893,435140
"Yhency Brazoban","LAD",0.4117647058823529,0.3,0.235294117,0.176470588,0.588235294,0.2,0,3,5.40000411987619,35,55,90,0.23529412,0.52941176,0.23529412,0.17647059,0.41176471,0.41176471,"Yhency Brazoban",2150,430674
"Jim Johnson","BAL",0.5,1.2,0.352941176,0.352941176,0.294117647,0.2,0.2,4,12,39,54,93,0.47058824,0.29411765,0.23529412,0.05882353,0.52941176,0.41176471,"Jim Johnson",3656,462382
"Yusmeiro Petit","FLA",0.41935483870967744,0.630434782,0.242424242,0.292929292,0.464646464,0.108695652,0.152173913,22,7.518985526414333,180,306,486,0.57,0.36,0.07,0.07,0.52,0.41,"Yusmeiro Petit",4020,433589
"Cliff Politte","CHW",0.34234234234234234,0.649122807,0.210084033,0.310924369,0.478991596,0.087719298,0.157894736,8,2.4000007629396958,218,343,561,0.38333333,0.35,0.26666667,0.05,0.54166667,0.40833333,"Cliff Politte",967,131700
"Allan Simpson","MIL",0.2,3,0.4,0.6,0,0,0,1,3.374995976691274,28,37,65,0.4,0.4,0.2,0,0.6,0.4,"Allan Simpson",1864,407817
"Scott Dunn","TBD",0.45454545454545453,0.733333333,0.257142857,0.314285714,0.428571428,0.2,0.133333333,7,8.217395052343683,66,96,162,0.37142857,0.2,0.42857143,0.2,0.4,0.4,"Scott Dunn",2634,430949
"Anthony Lerew","ATL",0.5,3,0.2,0.6,0.2,0,0,0,0,26,33,59,0.3,0.5,0.2,0.1,0.5,0.4,"Anthony Lerew",3440,434679
"Dustin Nippert","ARI",0.3333333333333333,1.727272727,0.117647058,0.558823529,0.323529411,0.09090909,0.454545454,3,2.7,80,119,199,0.48571429,0.34285714,0.17142857,0.17142857,0.42857143,0.4,"Dustin Nippert",4426,430962
"Chris Bootcheck","LAA",0.37142857142857144,0.764705882,0.189189189,0.351351351,0.459459459,0.058823529,0.176470588,4,3.4838710749186568,83,117,200,0.31578947,0.42105263,0.26315789,0.05263158,0.55263158,0.39473684,"Chris Bootcheck",1842,408052
"Sun-Woo Kim","- - -",0.37254901960784315,1,0.321428571,0.339285714,0.339285714,0,0.263157894,2,1.317073542188242,114,160,274,0.44642857,0.30357143,0.25,0.03571429,0.57142857,0.39285714,"Sun-Woo Kim",197,279615
"Franklyn German","FLA",0.17142857142857143,0.8125,0.171428571,0.371428571,0.457142857,0.25,0.0625,6,4.500000715255851,106,133,239,0.44444444,0.25,0.30555556,0.11111111,0.5,0.38888889,"Franklyn German",1603,407883
"Tim Stauffer","SDP",0.16666666666666666,2.75,0.117647058,0.647058823,0.235294117,0,0,3,4.5,24,42,66,0.27777778,0.55555556,0.16666667,0,0.61111111,0.38888889,"Tim Stauffer",6432,431162
"Brian Stokes","TBD",0.3493975903614458,0.894736842,0.152941176,0.4,0.447058823,0.184210526,0.052631578,12,4.499999955296516,161,251,412,0.31764706,0.30588235,0.37647059,0.07058824,0.54117647,0.38823529,"Brian Stokes",8653,425530
"Matt Garza","MIN",0.3393939393939394,0.869565217,0.245614035,0.350877192,0.403508771,0.115942028,0.086956521,18,3.239998640442465,331,560,891,0.3625731,0.35087719,0.28654971,0.06432749,0.5497076,0.38596491,"Matt Garza",3340,490063
"Casey Daigle","ARI",0.34210526315789475,2.444444444,0.184210526,0.578947368,0.236842105,0,0.111111111,8,5.837837988308004,72,121,193,0.38461538,0.48717949,0.12820513,0.12820513,0.48717949,0.38461538,"Casey Daigle",1880,430664
"T.J. Beam","NYY",0.35,0.485714285,0.2,0.261538461,0.538461538,0.171428571,0.142857142,19,9.50000503328378,126,215,341,0.32307692,0.41538462,0.26153846,0.03076923,0.58461538,0.38461538,"T.J. Beam",6101,446884
"Steve Karsay","OAK",0.3,1.75,0.333333333,0.424242424,0.242424242,0.125,0.5,1,0.9642861412497873,47,86,133,0.61764706,0.20588235,0.17647059,0.05882353,0.55882353,0.38235294,"Steve Karsay",829,116853
