Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Pat Neshek","MIN",0.356,0.65901639,0.52252252,0.40449438,0.75621891,0.64827586,0.54954955,0.6884058,0.18378378,0.18738739,0.37117117,"Pat Neshek",4682,450212
"Francisco Liriano","MIN",0.26974484,0.64512821,0.47330367,0.35135135,0.75993641,0.653349,0.54226919,0.60465116,0.16407119,0.189099,0.35317019,"Francisco Liriano",3201,434538
"Brian Rogers","PIT",0.31034483,0.62337662,0.48888889,0.27777778,0.85416667,0.6969697,0.57037037,0.73684211,0.14705882,0.19852941,0.34558824,"Brian Rogers",6123,446910
"Allan Simpson","MIL",0.17647059,0.48387097,0.32307692,0.33333333,0.86666667,0.71428571,0.47692308,0.57142857,0.09230769,0.24615385,0.33846154,"Allan Simpson",1864,407817
"Joe Nathan","MIN",0.29166667,0.62342342,0.46553352,0.41496599,0.80635838,0.68965517,0.52407932,0.61068702,0.14272388,0.18936567,0.33208955,"Joe Nathan",1122,150274
"Francisco Rodríguez","LAA",0.30163934,0.60034014,0.44824708,0.34782609,0.85552408,0.68156425,0.49081803,0.57432432,0.14039409,0.18965517,0.33004926,"Francisco Rodriguez",1642,408061
"Takashi Saito","LAD",0.23913043,0.60912981,0.43879908,0.51748252,0.78922717,0.72105263,0.53964588,0.59735974,0.12146677,0.20779221,0.32925898,"Takashi Saito",6021,493416
"Justin Germano","CIN",0.28846154,0.63157895,0.46788991,0.46666667,0.77777778,0.68627451,0.52293578,0.64516129,0.14159292,0.18584071,0.32743363,"Justin Germano",1938,430683
"Chris Booker","- - -",0.2739726,0.61728395,0.45454545,0.5,0.82,0.72857143,0.52597403,0.73684211,0.12337662,0.2012987,0.32467532,"Chris Booker",2039,407094
"Rafael Perez","CLE",0.24752475,0.68224299,0.47115385,0.16,0.82191781,0.65306122,0.51442308,0.42857143,0.16113744,0.16113744,0.32227488,"Rafael Perez",4078,460370
"Justin Duchscherer","OAK",0.2628866,0.59152216,0.45093716,0.61764706,0.86319218,0.80195599,0.5722161,0.70535714,0.08920705,0.23237885,0.3215859,"Justin Duchscherer",910,407113
"Brad Lidge","HOU",0.29913295,0.68167702,0.48353293,0.35748792,0.77220957,0.63931889,0.48203593,0.62352941,0.17246484,0.1472983,0.31976314,"Brad Lidge",563,400058
"Tim Hamulack","LAD",0.19607843,0.55421687,0.38244514,0.45,0.85869565,0.75819672,0.52037618,0.60869565,0.09190031,0.22741433,0.31931464,"Tim Hamulack",1900,425787
"Tom Gordon","PHI",0.25892857,0.62823062,0.45425868,0.46551724,0.81012658,0.71759259,0.52891693,0.59683794,0.12668744,0.192108,0.31879543,"Tom Gordon",282,114971
"J.J. Putz","SEA",0.3079646,0.69645609,0.51565074,0.39655172,0.81415929,0.69808307,0.53459638,0.65676568,0.15504512,0.16324856,0.31829368,"J.J. Putz",1795,407816
"Michael Wuertz","CHC",0.31818182,0.68571429,0.49175412,0.39285714,0.76851852,0.6402439,0.47226387,0.57714286,0.17455621,0.14349112,0.31804734,"Michael Wuertz",1856,430900
