Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Johan Santana","MIN",19,6,2.7731812904861295,34,34,24,1,0,0,0,0,233.2,923,186,79,72,24,47,0,4,4,1,245,"Johan Santana",755,276371
"Aaron Harang","CIN",16,11,3.763868968898769,36,35,17,6,2,0,0,0,234.1,993,242,109,98,28,56,8,8,6,1,216,"Aaron Harang",1451,421685
"Jake Peavy","SDP",11,14,4.092257104518761,32,32,21,2,0,0,0,0,202.1,846,187,93,92,23,62,11,6,4,0,215,"Jake Peavy",1051,408241
"John Smoltz","ATL",16,9,3.4913793103448274,35,35,24,3,1,0,0,0,232,960,221,93,90,23,55,4,9,5,0,211,"John Smoltz",115,122477
"Carlos Zambrano","CHC",16,7,3.406541813178958,33,33,22,0,0,0,0,0,214,917,162,91,81,20,115,4,9,9,1,210,"Carlos Zambrano",305,407296
"Jeremy Bonderman","DET",14,8,4.079438961461221,34,34,19,0,0,0,0,0,214,903,214,104,97,18,64,7,3,3,1,202,"Jeremy Bonderman",1667,425827
"John Lackey","LAA",13,11,3.5558957821459973,33,33,23,3,2,0,0,0,217.2,922,203,98,86,14,72,4,9,16,0,190,"John Lackey",1507,407793
"Brett Myers","PHI",12,7,3.9090906078384395,31,31,22,1,0,0,0,0,198,833,194,93,86,29,63,3,3,3,0,189,"Brett Myers",962,408206
"Javier Vazquez","CHW",11,12,4.8404604475438955,33,32,14,1,0,0,0,0,202.2,872,206,116,109,23,56,2,15,7,0,184,"Javier Vazquez",801,134320
"Bronson Arroyo","CIN",14,11,3.290858656212579,35,35,23,3,1,0,0,0,240.2,992,222,98,88,31,64,7,5,6,0,184,"Bronson Arroyo",978,276520
"Chris Carpenter","STL",15,8,3.0857144273210992,32,32,19,5,3,0,0,0,221.2,896,194,81,76,21,43,3,10,3,0,184,"Chris Carpenter",1292,112020
"Curt Schilling","BOS",15,7,3.9705882352941178,31,31,19,0,0,0,0,0,204,834,220,90,90,28,28,1,3,1,0,183,"Curt Schilling",73,121811
"Jason Schmidt","SFG",11,9,3.5859375854954143,32,32,20,3,1,0,0,0,213.1,894,189,94,85,21,80,6,6,11,1,180,"Jason Schmidt",1131,121834
"Matt Cain","SFG",13,12,4.153846043037307,32,31,14,1,1,0,0,0,190.2,818,157,93,88,18,87,1,6,9,2,179,"Matt Cain",4732,430912
"Andy Pettitte","HOU",14,13,4.1990669736744595,36,35,20,2,1,0,0,0,214.1,929,238,114,100,27,70,9,2,2,1,178,"Andy Pettitte",840,120485
