Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Ramon Ortiz","WSN",190.2,,,,,,,,,,,,,,"Ramon Ortiz",27,150009
"Scott Schoeneweis","- - -",51.2,,,,,,,,,,,,,,"Scott Schoeneweis",33,150011
"Aaron Sele","LAD",103.1,,,,,,,,,,,,,,"Aaron Sele",34,121986
"Scot Shields","LAA",87.2,,,,,,,,,,,,,,"Scot Shields",35,276912
"Jarrod Washburn","SEA",187,,,,,,,,,,,,,,"Jarrod Washburn",40,132220
"Matt Wise","MIL",44.1,,,,,,,,,,,,,,"Matt Wise",42,277184
"Miguel Batista","ARI",206.1,,,,,,,,,,,,,,"Miguel Batista",46,110683
"Rick Helling","MIL",35,,,,,,,,,,,,,,"Rick Helling",58,115727
"Randy Johnson","NYY",205,,,,,,,,,,,,,,"Randy Johnson",60,116615
"Byung-Hyun Kim","COL",155,,,,,,,,,,,,,,"Byung-Hyun Kim",61,218294
"Mike Koplove","ARI",3,,,,,,,,,,,,,,"Mike Koplove",63,407377
"Mike Myers","NYY",30.2,,,,,,,,,,,,,,"Mike Myers",68,119624
"John Patterson","WSN",40.2,,,,,,,,,,,,,,"John Patterson",71,279568
"Curt Schilling","BOS",204,,,,,,,,,,,,,,"Curt Schilling",73,121811
"Tom Glavine","NYM",198,,,,,,,,,,,,,,"Tom Glavine",90,114849
"Kevin Gryboski","WSN",5.2,,,,,,,,,,,,,,"Kevin Gryboski",91,407839
"Chris Hammond","CIN",28.2,,,,,,,,,,,,,,"Chris Hammond",92,115391
"Greg Maddux","- - -",210,,,,,,,,,,,,,,"Greg Maddux",104,118120
"Jason Marquis","STL",194.1,,,,,,,,,,,,,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",215,,,,,,,,,,,,,,"Kevin Millwood",106,119154
"Joe Nelson","KCR",44.2,,,,,,,,,,,,,,"Joe Nelson",108,406874
"Horacio Ramirez","ATL",76.1,,,,,,,,,,,,,,"Horacio Ramirez",110,400141
"Mike Remlinger","ATL",22.1,,,,,,,,,,,,,,"Mike Remlinger",111,121060
"John Smoltz","ATL",232,,,,,,,,,,,,,,"John Smoltz",115,122477
"Dan Wheeler","HOU",71.1,,,,,,,,,,,,,,"Dan Wheeler",120,235095
"Rick Bauer","TEX",71,,,,,,,,,,,,,,"Rick Bauer",125,407400
"Erik Bedard","BAL",196.1,,,,,,,,,,,,,,"Erik Bedard",126,407853
"Scott Erickson","NYY",11.1,,,,,,,,,,,,,,"Scott Erickson",137,113884
"Jason Johnson","- - -",115,,,,,,,,,,,,,,"Jason Johnson",147,116595
"Jorge Julio","- - -",66,,,,,,,,,,,,,,"Jorge Julio",148,406402
"Rodrigo Lopez","BAL",189,,,,,,,,,,,,,,"Rodrigo Lopez",150,150438
"Sidney Ponson","- - -",85,,,,,,,,,,,,,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",72.1,,,,,,,,,,,,,,"B.J. Ryan",168,124805
"Rafael Betancourt","CLE",56.2,,,,,,,,,,,,,,"Rafael Betancourt",177,429783
"Casey Fossum","TBD",130,,,,,,,,,,,,,,"Casey Fossum",188,407154
"Dustin Hermanson","CHW",6.2,,,,,,,,,,,,,,"Dustin Hermanson",195,115812
"Sun-Woo Kim","- - -",13.2,,,,,,,,,,,,,,"Sun-Woo Kim",197,279615
"Derek Lowe","LAD",218,,,,,,,,,,,,,,"Derek Lowe",199,117955
"Pedro Martínez","NYM",132.2,,,,,,,,,,,,,,"Pedro Martinez",200,118377
"Darren Oliver","NYM",81,,,,,,,,,,,,,,"Darren Oliver",206,119984
"Tim Wakefield","BOS",140,,,,,,,,,,,,,,"Tim Wakefield",219,123801
"Mark Buehrle","CHW",204,,,,,,,,,,,,,,"Mark Buehrle",225,279824
"Keith Foulke","BOS",49.2,,,,,,,,,,,,,,"Keith Foulke",231,114342
"Jon Garland","CHW",211.1,,,,,,,,,,,,,,"Jon Garland",232,279782
"Bob Howry","CHC",76.2,,,,,,,,,,,,,,"Bob Howry",237,133982
"Damaso Marte","PIT",58.1,,,,,,,,,,,,,,"Damaso Marte",247,150122
"Antonio Alfonseca","TEX",16,,,,,,,,,,,,,,"Antonio Alfonseca",260,110134
"Joe Borowski","FLA",69.2,,,,,,,,,,,,,,"Joe Borowski",267,111244
"Matt Clement","BOS",65.1,,,,,,,,,,,,,,"Matt Clement",271,136725
"Juan Cruz","ARI",94.2,,,,,,,,,,,,,,"Juan Cruz",273,407297
"Kyle Farnsworth","NYY",66,,,,,,,,,,,,,,"Kyle Farnsworth",278,150035
"Jeff Fassero","SFG",15,,,,,,,,,,,,,,"Jeff Fassero",279,114032
"Tom Gordon","PHI",59.1,,,,,,,,,,,,,,"Tom Gordon",282,114971
"Jon Lieber","PHI",168,,,,,,,,,,,,,,"Jon Lieber",287,117758
"Ron Mahay","TEX",57,,,,,,,,,,,,,,"Ron Mahay",290,118158
"Will Ohman","CHC",65.1,,,,,,,,,,,,,,"Will Ohman",296,349193
"Mark Prior","CHC",43.2,,,,,,,,,,,,,,"Mark Prior",301,407578
"Kerry Wood","CHC",19.2,,,,,,,,,,,,,,"Kerry Wood",304,134268
"Carlos Zambrano","CHC",214,,,,,,,,,,,,,,"Carlos Zambrano",305,407296
"Jim Brower","- - -",20,,,,,,,,,,,,,,"Jim Brower",313,150342
"Elmer Dessens","- - -",77,,,,,,,,,,,,,,"Elmer Dessens",317,113296
