Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Roman Colon","DET",0.57630522,93.80107527,0.24899598,83.92391304,,,,,0.09638554,84.64285714,0.07831325,86.17857143,,,0.14871795,"Roman Colon",2242,430638
"Ezequiel Astacio","HOU",0.60204082,90.65,0.15306122,81,,,,,0.04081633,80.5,0.20408163,84.33333333,,,0.13913043,"Ezequiel Astacio",2169,430586
"Brian Falkenborg","STL",0.83505155,90.47945205,,,0.03092784,90.33333333,0.06185567,79,0.07216495,84.5,,,,,0.13392857,"Brian Falkenborg",1859,237346
"Clint Nageotte","SEA",0.61538462,89.66666667,0.30769231,80.66666667,,,0.07692308,80,,,,,,,0.13333333,"Clint Nageotte",2156,425788
"Phil Stockman","ATL",0.65384615,93.6122449,0.26923077,82.47619048,0.01282051,92,0.06410256,82.2,,,,,,,0.13333333,"Phil Stockman",2206,430666
"Zack Greinke","KCR",0.4939759,92.76190476,0.28915663,87,,,0.08433735,77.57142857,0.13253012,85.44444444,,,,,0.11702128,"Zack Greinke",1943,425844
"Denny Bautista","- - -",0.67799114,95.38289963,0.22304284,88.23423423,0.00738552,91,0.06351551,82.86486486,0.02658789,87.11111111,0.0014771,,,,0.11038108,"Denny Bautista",1947,429714
"Jon Huber","SEA",0.38235294,91.89393939,0.55882353,82.63541667,,,0.04411765,79.88888889,0.01470588,84.66666667,,,,,0.10480349,"Jon Huber",3109,435679
"Eric DuBose","BAL",0.30851064,86.42307692,0.20212766,80.15789474,0.04255319,83.33333333,0.14893617,72,0.29787234,73.54166667,,,,,0.1047619,"Eric DuBose",1633,276511
"Matt Roney","OAK",0.61111111,88.25,0.07407407,84,,,0.31481481,77.6,,,,,,,0.1,"Matt Roney",1670,425662
"Doug Slaten","ARI",0.68253968,88.92,0.20634921,76.6,,,,,0.11111111,83.42857143,,,,,0.1,"Doug Slaten",3107,460657
"Bob Keppel","KCR",0.59143969,89.9382716,0.24124514,84.27272727,0.02723735,84.8,0.05447471,76.25,0.08560311,80.55882353,,,,,0.09507042,"Bob Keppel",2229,430670
"Danny Graves","CLE",0.6875,87.54117647,0.10096154,78.33333333,,,0.16826923,72.70833333,0.04326923,81.14285714,,,,,0.09170306,"Danny Graves",326,115056
"Bobby Seay","DET",0.6064257,89.18918919,0.16064257,77.53333333,,,0.17670683,76.32432432,0.0562249,83,,,,,0.08992806,"Bobby Seay",1225,150144
"Jonah Bayliss","PIT",0.67264574,90.97115385,0.10313901,80.89473684,,,,,0.22421525,78.8,,,,,0.08606557,"Jonah Bayliss",4560,435058
"Jeremy Guthrie","CLE",0.70426829,93.04102564,0.13414634,84.69230769,,,0.07012195,76.31578947,0.09146341,81.51851852,,,,,0.08379888,"Jeremy Guthrie",2072,425386
"Jeff Nelson","CHW",0.34,86.09090909,0.66,76.68,,,,,,,,,,,0.07407407,"Jeff Nelson",1092,119704
"Jimmy Gobble","KCR",0.54962963,90.53634578,0.20518519,81.75609756,,,0.18814815,76.31818182,0.05703704,80.48888889,,,,,0.07343857,"Jimmy Gobble",1791,425471
"Jason Grilli","DET",0.64659978,92.93897638,0.15050167,85.65079365,,,0.14938685,81.41129032,0.05351171,84.53191489,,,,,0.07238883,"Jason Grilli",521,276351
"Scott Sauerbeck","- - -",0.60377358,84.72131148,0.10377358,74.65517241,,,0.26650943,74.51315789,0.0259434,78.66666667,,,,,0.07221007,"Scott Sauerbeck",1007,150261
"Kenny Rogers","DET",0.50327473,85.19785139,0.05860048,78.80147059,0.0275767,81.86206897,0.11582213,73.79347826,0.29472596,78.47450425,,,,,0.07076529,"Kenny Rogers",1277,121386
"Jason Standridge","CIN",0.7318612,92.9893617,0.15141956,85.51282051,0.00315457,88,0.11041009,78.61538462,0.00315457,86,,,,,0.07038123,"Jason Standridge",1229,285075
