Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Neftalí Feliz","TEX",69.1,0.78121975,,,,,0.04937076,0.14230397,,,,0.02710552,,,,"Neftali Feliz",18,491703
"Ramon Ortiz","LAD",30,0.06766917,,,,,0.4887218,0.40977444,,,,0.03383459,,,,"Ramon Ortiz",27,150009
"Scott Schoeneweis","BOS",13.2,0.07594937,,,,,0.66244726,0.26160338,,,,,,,,"Scott Schoeneweis",33,150011
"Scot Shields","LAA",46,0.01398601,,,,,0.77738928,0.04778555,0.16083916,,,,,,,"Scot Shields",35,276912
"Miguel Batista","WSN",82.2,0.12480974,,,,,0.51902588,0.3325723,0.00228311,,,0.02130898,,,,"Miguel Batista",46,110683
"Jason Marquis","WSN",58.2,0.00097656,,,,,0.55175781,0.31738281,0.00390625,,,0.12597656,,,,"Jason Marquis",105,150302
"Kevin Millwood","BAL",190.2,0.26379794,,0.15871531,0.01808544,,0.23323979,0.17305893,0.09635173,,,0.05675086,,,,"Kevin Millwood",106,119154
"Joe Nelson","BOS",8.1,0.69832402,,0.00558659,,,0.04469274,0.02793296,,,,0.22346369,,,,"Joe Nelson",108,406874
"Dan Wheeler","TBR",48.1,0.11516854,,0.03651685,0.0491573,,0.34410112,0.25421348,0.2008427,,,,,,,"Dan Wheeler",120,235095
"Rodrigo Lopez","ARI",200,0.43103448,,,,,0.18932986,0.20461939,0.05920625,,,0.11581002,,,,"Rodrigo Lopez",150,150438
"John Parrish","KCR",6,0.43478261,,,,,0.02608696,0.49565217,,,,0.04347826,,,,"John Parrish",160,332292
"Rafael Betancourt","COL",62.1,0.65098468,,0.14332604,,,,0.18271335,,,,0.02297593,,,,"Rafael Betancourt",177,429783
"Derek Lowe","ATL",193.2,,,0.0376569,,,0.64177663,0.16028323,,,,0.16028323,,,,"Derek Lowe",199,117955
"Darren Oliver","TEX",61.2,0.60330579,,,,,0.09090909,0.29752066,,,,0.00826446,,,,"Darren Oliver",206,119984
