Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Brett Sinkbeil","FLA",4.500002413989408,22.500012069947044,0.2,0,0.07692308,0.38461538,-0.30769231,0.25,3.5000018775473176,0.2857142857142857,0.57142857,330.80847182456046,242.31378540949407,284.1660397048436,13.500007241968225,9.57784591317364,3.9221613287945853,11.409707061903578,11.319982418987236,"Brett Sinkbeil",9364,446213
"Merkin Valdez","TOR",0,20.250004827977378,0,0,0,0.33333333,-0.33333333,0.3333333333333333,3.750000894069885,0.3333333333333333,0.4,484.9628095101762,234.553748243719,258.7508313817727,20.250004827977378,9.82784403562584,10.422160792351537,10.743774337022163,10.39746038898962,"Merkin Valdez",7019,429723
"Felipe Lopez","STL",0,9,0,0,0,0.25,-0.25,0.3333333333333333,2,0.3333333333333333,1,0,155.06620762065492,212.38276350847158,0,6.077842426300049,-6.077842426300049,8.520322647690772,9.853724285528063,"Felipe Lopez",1311,150479
"Joe Mather","STL",0,13.5,0,0,0,0.25,-0.25,0.25,2.5,0.25,0.66666667,229.89559313110823,231.25029183599196,286.9141507236223,9,9.077842426300048,-0.07784242630004812,11.520322647690772,9.586099283660396,"Joe Mather",3714,458628
"Fernando Cabrera","BOS",0,13.500033393584838,0,6.750016696792419,0,0.28571429,-0.28571429,0.4,3.0000074207966305,0.25,0.38461538,465.90026609860246,423.37250720619943,204.3984876785524,20.250050090377258,17.327877675084043,2.9221724152932147,8.493785906160142,9.36112478103398,"Fernando Cabrera",2105,425507
"Evan MacLane","STL",0,9,0,9,0,0.25,-0.25,0.3333333333333333,2,0,1,229.89559313110823,485.19723922044875,182.04252365083505,9,19.077842426300048,-10.077842426300048,7.299082536995411,8.657974285528063,"Evan MacLane",5576,449774
"Daniel Stange","ARI",4.5,13.5,0.33333333,2.25,0.09090909,0.27272727,-0.18181818,0.25,2.5,0.23076923076923078,0.46511628,317.27060944424704,241.6371168428264,202.04948148443597,13.5,9.827842426300048,3.672157573699952,8.10439256466925,8.14554349756485,"Daniel Stange",9404,458094
"Robert Ray","TOR",7.363631415961572,12.27271902660262,0.6,0,0.16666667,0.27777778,-0.11111111,0.15384615384615385,1.9090896263604074,0.2,0.85714286,58.78331733775376,131.6978325088849,189.18113379634238,2.4545438053205237,5.532386231620572,-3.0778424263000486,7.863843058244324,7.7759758203491325,"Robert Ray",3359,459988
"Waldis Joaquin","SFG",3.8571410179146954,13.499993562701434,0.28571429,0,0.07407407,0.25925926,-0.18518519,0.3157894736842105,2.7857129573828354,0.35294117647058826,0.57142857,250.68169339606595,190.18575942283198,196.64720985364735,9.642852544786738,7.363554668427488,2.2792978763592497,7.886943037725906,7.627814302288971,"Waldis Joaquin",6580,471183
"Garrett Mock","WSN",8.100008304127623,13.500013840212706,0.6,5.400005536085082,0.15789474,0.26315789,-0.10526316,0.2857142857142857,2.700002768042541,0.2222222222222222,1,134.24630961685125,335.9589022173174,198.86170157282913,5.400005536085082,13.57785319090993,-8.177847654824848,7.976079647223962,7.576496185488321,"Garrett Mock",7335,452241
