Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Zack Britton","BAL",76.1,0.2742268,0.62654867,0.46380952,0.39849624,0.83333333,0.71457906,0.53809524,24.09946237,"Zack Britton",3240,502154
"Brandon Finnegan","KCR",7,0.28571429,0.61538462,0.46280992,0.5,0.775,0.69642857,0.53719008,24.0989011,"Brandon Finnegan",16208,605232
"Justin Wilson","PIT",60,0.27637131,0.65794393,0.47869177,0.65648855,0.84943182,0.79710145,0.53022795,24.09483961,"Justin Wilson",4301,458677
"Eric Surkamp","CHW",24.1,0.2764977,0.56914894,0.41234568,0.58333333,0.89719626,0.78443114,0.46419753,24.0890411,"Eric Surkamp",2540,474668
"Pedro Strop","CHC",61,0.33122363,0.63915094,0.4766147,0.42038217,0.81549815,0.67056075,0.47216036,24.08752026,"Pedro Strop",4070,467008
"Joba Chamberlain","DET",63,0.25748503,0.59203036,0.42898833,0.43410853,0.86858974,0.7414966,0.51264591,24.08228731,"Joba Chamberlain",2692,501955
"Dustin McGowan","TOR",82,0.26657459,0.69026549,0.47146933,0.62176166,0.84188034,0.77760968,0.48359486,24.08091908,"Dustin McGowan",8600,430661
"Fernando Rodney","SEA",66.1,0.29562044,0.55691769,0.42895442,0.63580247,0.81761006,0.75625,0.51027703,24.0635324,"Fernando Rodney",494,407845
"Maikel Cleto","CHW",29.1,0.22262774,0.61130742,0.42010772,0.50819672,0.79768786,0.72222222,0.50807899,24.05825243,"Maikel Cleto",5529,521055
"Heath Hembree","BOS",10,0.26666667,0.70652174,0.50898204,0.7,0.83076923,0.8,0.5508982,24.05511811,"Heath Hembree",11632,592390
"José Cisnero","HOU",4.2,0.30434783,0.64814815,0.49,0.71428571,0.85714286,0.81632653,0.54,24.05333333,"Jose Cisnero",6399,542585
"Seth Rosin","TEX",4,0.24324324,0.61764706,0.42253521,0.88888889,0.85714286,0.86666667,0.47887324,24,"Seth Rosin",10606,519229
"Josh Edgin","NYM",27.1,0.3,0.65326633,0.47188264,0.46031746,0.86923077,0.7357513,0.48655257,24,"Josh Edgin",10796,572831
"Jair Jurrjens","COL",9.1,0.27722772,0.61702128,0.44102564,0.71428571,0.9137931,0.84883721,0.48205128,23.98473282,"Jair Jurrjens",5556,457453
"Phillippe Aumont","PHI",5.2,0.20779221,0.69354839,0.42446043,0.375,0.88372093,0.74576271,0.44604317,23.96703297,"Phillippe Aumont",5362,518418
"Esmil Rogers","- - -",45.2,0.25890736,0.62763466,0.44457547,0.58715596,0.8880597,0.80106101,0.50353774,23.94489465,"Esmil Rogers",6317,469134
"Brett Cecil","TOR",53.1,0.34801762,0.55952381,0.44965675,0.34810127,0.80425532,0.62086514,0.4805492,23.93108974,"Brett Cecil",2660,446399
"Aaron Poreda","TEX",21.1,0.35057471,0.57591623,0.46849315,0.57377049,0.87272727,0.76608187,0.52328767,23.91984733,"Aaron Poreda",4313,519145
