Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Chris Gimenez","TEX",1,2.923339307308197,,-3.5022206604480743,,,,,,,,7.924065589904786,,18.539756536483765,"Chris Gimenez",7324,460269
"Leury García","CHW",1,-8.839181065559387,,,,,,,,,,-2.4406328797340393,,13.079720735549927,"Leury Garcia",5913,544725
"Drew Butera","LAD",1.2,-6.600356101989746,,-3.5022206604480743,,,,,,,,-4.930971463521321,,9.32721197605133,"Drew Butera",3411,460077
"Martín Maldonado","MIL",1,-9.232473373413086,,,,,,3.780873864889145,22.57883846759796,,,2.196422761136835,,5.402796342968941,"Martin Maldonado",6887,455117
"J.P. Arencibia","TEX",1,,,,,,,,,,,,,2.6607471704483032,"J.P. Arencibia",697,450317
"Steve Tolleson","TOR",1,,,,,,,,11.196322739124298,,,-3.791310638189316,,2.1963680783907575,"Steve Tolleson",4450,476270
"R.A. Dickey","TOR",215.2,-0.1751083213689546,,,,,,,,,0.6319482902904133,,,-0.049248792639654745,"R.A. Dickey",1245,285079
"Steven Wright","BOS",21,3.146887725254275,,,,,,,4.830126133229998,,,,,-0.33121205257534514,"Steven Wright",8185,453214
"Danny Worth","DET",2,-47.80602753162384,,,,,,,-4.64695617556572,,,,,-1.3841650941792656,"Danny Worth",198,519445
"Andrew Romine","DET",1,-23.809938430786133,,-11.8886492469094,,,,,-141.19096994400024,,,8.577666680018108,,-2.5610946118831635,"Andrew Romine",1159,461865
"John Baker","CHC",1,,,,,,,,,,,12.73560779435294,,-4.9991171807050705,"John Baker",4756,434633
"Dean Anna","NYY",1,,,,,,,,,,,,,-5.102820256177116,"Dean Anna",8353,542883
"Mike Carp","BOS",1,,,,,,,,,,,3.1058889627456665,,-6.334148512946235,"Mike Carp",7480,455077
"Neftalí Feliz","TEX",31.2,1.659751012689228,,,,,4.0576535112717576,0.9823121220232492,,,,-1.1869874156889368,,,"Neftali Feliz",18,491703
"Xavier Cedeño","WSN",7,1.5521576155477497,,,,,3.070442591394697,,-8.233392238616943,,,20.638813078403473,,,"Xavier Cedeno",36,458584
"Erik Bedard","TBR",75.2,0.6071301235458908,,1.0882285949976547,-1.3517505168914794,,-2.795129279567771,,-2.234341793713911,,,1.418631048087614,,,"Erik Bedard",126,407853
"Mark Buehrle","TOR",202,-0.05151546764664534,,-1.1267222080034078,,,0.09751350002759492,,-1.286573838117414,,,0.40768842964075297,,,"Mark Buehrle",225,279824
"Daniel McCutchen","TEX",2.1,4.081829911784122,,,,,-27.30672836303711,-9.953954815864563,,,,-6.089210968751173,,,"Daniel McCutchen",263,445216
"Kyle Farnsworth","- - -",28.2,-0.45561818303642687,,3.780873864889145,,,1.8934313065948942,-4.955411607568914,5.402796342968941,,,1.1720500571627013,,,"Kyle Farnsworth",278,150035
"Adam Dunn","CHW",1,,,,,,,6.5140604972839355,-2.5610946118831635,,,-2.8041550517082214,,,"Adam Dunn",319,276055
"Blake Beavan","SEA",4,-1.3139007613062859,,,,,-3.0163013018094578,6.195131142934163,-3.6040253937244415,,,-47.1970518430074,,,"Blake Beavan",338,518444
"Bartolo Colon","NYM",202.1,-0.266006700346403,,,,,0.5538832814318878,-0.6876635810603265,,,,-1.7386475963705392,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",46,-2.299475905918839,,,,,-1.20590238571167,-0.6830513168493083,-0.7719709227482479,,,-1.4939306577046711,,,"CC Sabathia",404,282332
"Fernando Rodney","SEA",66.1,-1.0281336126905498,,,,,0.13208682005447825,,,,,1.4666150321423168,,,"Fernando Rodney",494,407845
"Josh Beckett","LAD",115.2,-0.7944095180409165,,1.0244374645167384,,,-0.6881565086601317,,0.4587407804961897,,,-0.16465996833224048,,,"Josh Beckett",510,277417
"A.J. Burnett","PHI",213.2,-0.16702955199545344,,,,,-0.7338123662131173,,,0.49870950235447414,,-2.4365878466403847,,,"A.J. Burnett",512,150359
"Jason Grilli","- - -",54,-0.26553574669567837,,,,,3.7472085372821704,0.5873322862931982,,,,-0.4646520569639385,,,"Jason Grilli",521,276351
"Brad Penny","MIA",26,-2.3464959854369654,,-13.633374745647112,1.6786858439445496,,-1.3876275582747026,,-1.636545538902283,,,,,,"Brad Penny",535,207267
"Hector Ambriz","SDP",2,5.536844664149814,,,,,,-4.961469081731943,-4.3960608541965485,,,,,,"Hector Ambriz",559,459932
"Jeremy Affeldt","SFG",55.1,,,,,,1.0641765594482422,,0.6114274263381958,,,2.2350200465027714,,,"Jeremy Affeldt",583,346793
"Jamey Wright","LAD",70.1,6.237362697720528,,1.280218002780172,,,0.35412212596436726,-2.2843604907393456,-0.2460451301084746,,,-1.2537082513937583,,,"Jamey Wright",715,124604
"Grant Balfour","TBR",62.1,0.3410729672912698,,3.7001807242631912,,,-4.522930383682251,-0.06813099771215204,-0.24882798056000643,,,-0.6643739994615316,,,"Grant Balfour",718,346797
"LaTroy Hawkins","COL",54.1,0.7786051274919668,,,,,-1.8359695162091936,0.09299368795120355,0.05925270800407116,,,-2.4894406398137408,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",198.1,3.0992088895855527,,,,,-0.9596075434779684,1.281371111262342,-0.5615264260337214,,,2.0452674146722125,,,"Kyle Lohse",739,346798
"Bruce Chen","KCR",48.1,-4.6785208116094745,,,,,0.4643816086981032,-2.6449456090820767,-3.6935404547162958,,3.3777516673911703,-0.3914158718258727,,,"Bruce Chen",769,136600
"Scott Downs","- - -",38,,,,,,-0.928628544241602,0.669864237865555,0.9211376309394836,,,,,,"Scott Downs",773,275933
"Randy Choate","STL",36,-0.6704266369342804,,,,,0.9530785709920556,1.4272613898335889,,,,,,,"Randy Choate",813,329092
"Kris Johnson","MIN",13.1,-29.72994565963745,,,,,-1.3406495870270345,0.694592229344628,-5.230356007814407,,,-1.803358644247055,,,"Kris Johnson",886,453241
"Scott Carroll","CHW",129.1,-2.5417295602651744,,-1.8822004960018135,,,-0.4968289841246164,-1.054642881665911,0.04077755293603671,,,-0.009778755298559216,,,"Scott Carroll",888,453222
"Tim Hudson","SFG",189.1,-2.805204075094648,,0.5671964372907367,-0.24729094643523727,,0.5282110203810728,,-1.972810664075486,,,,,,"Tim Hudson",921,218596
