Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Mike Carp","BOS",0,45,0,0,0,0.71428571,-0.71428571,0,5,0,0.8,224.14629429111517,480.54156277093796,507.86971401284023,9,18.132252168655395,-9.132252168655395,19.36821026802063,24.628670836696056,"Mike Carp",7480,455077
"Henry Alberto Rodriguez","MIA",5.400002059937309,27.000010299686547,0.2,0,0.09090909,0.45454545,-0.36363636,0.3333333333333333,4.2000016021734625,0.4,0.71428571,299.6713173139117,307.20110798619487,317.91259495856656,10.800004119874618,10.932255144120397,-0.13225102424577884,11.673830286628004,13.208129777376502,"Henry Alberto Rodriguez",6371,469159
"Jose Ortega","DET",6.750016696792419,27.000066787169676,0.25,0,0.11111111,0.44444444,-0.33333333,0,3.0000074207966305,0,0.2,700.4287898095141,335.06343774352854,362.3263057863662,27.000066787169676,12.882276286244444,14.117790500925231,13.809247153716797,12.582588700993146,"Jose Ortega",9651,514639
"John Baker","CHC",0,9,0,0,0,0.33333333,-0.33333333,0,1,0,1,0,166.2892592452331,200.3597197229933,0,6.132252168655396,-6.132252168655396,7.36821026802063,11.24831709948675,"John Baker",4756,434633
"Leury García","CHW",0,18,0,0,0,0.33333333,-0.33333333,0.25,3,0.25,0.33333333,466.4991556217103,233.56552373275022,272.23392239051935,18,9.132252168655395,8.867747831344605,10.36821026802063,10.981205989738195,"Leury Garcia",5913,544725
"Josh Wall","LAA",0,27,0,0,0,0.27272727,-0.27272727,0.625,8,0.625,0.25,1480.9425937105068,327.9616172448434,415.49828963261433,54,12.132252168655395,41.8677478313446,15.840126466751098,10.450476869465394,"Josh Wall",4436,476205
"Skip Schumaker","CIN",0,9,0,0,0,0.25,-0.25,0,1,0,1,0,161.5035043689845,234.10408815847612,0,6.132252168655396,-6.132252168655396,8.604168367385864,9.89702544131875,"Skip Schumaker",3704,435401
"Jorge Rondon","STL",0,9,0,0,0,0.25,-0.25,0,1,0,1,0,168.1108340691783,200.3597197229933,0,6.132252168655396,-6.132252168655396,7.36821026802063,9.29915044131875,"Jorge Rondon",5791,504083
"Dane De La Rosa","LAA",0,11.571430147910819,0,0,0,0.23076923,-0.23076923,0.3,2.57142892175796,0.3,0.5,317.3448847442037,189.27762199861212,211.5073869199206,11.571430147910819,6.989395551292335,4.582034596618484,8.048788352221923,8.899188887232597,"Dane De La Rosa",10095,451773
"Sam Tuivailala","STL",9.000009655962813,18.000019311925627,0.5,18.000019311925627,0.1,0.2,-0.1,0.625,7.000007510193299,0.6,0.71428571,999.5639871929859,911.8874634754718,362.6396861627769,36.00003862385125,33.13228435519811,2.867754268653144,13.312053587223623,8.423720441318752,"Sam Tuivailala",13485,592815
"J.P. Arencibia","TEX",0,0,0,0,0,0,0,0.25,1,0.25,1,0,81.69117126716901,179.86249801029342,0,3.1322521686553957,-3.1322521686553957,6.840126466751099,7.936650441318751,"J.P. Arencibia",697,450317
"Adam Dunn","CHW",0,9,0,0,0,0.16666667,-0.16666667,0.4,3,0.4,0.66666667,233.24957781085516,157.08604975039782,226.04821020040634,9,6.132252168655396,2.8677478313446043,8.604168367385864,7.7009837632707505,"Adam Dunn",319,276055
"Travis Snider","PIT",9,18,0.5,0,0.16666667,0.33333333,-0.16666667,0.25,3,0.3333333333333333,0.33333333,509.53982221312043,199.1877187998471,193.91754579783677,18,7.132252168655396,10.867747831344605,7.132252168655396,7.500067106444752,"Travis Snider",2830,501983
"Daniel McCutchen","TEX",0,7.7142970124235,0,3.85714850621175,0,0.14285714,-0.14285714,0.3333333333333333,2.5714323374744996,0.2727272727272727,0.65217391,193.5920951752866,292.07179568671876,219.45045147409314,7.7142970124235,11.275121237324644,-3.560824224901144,8.352170026522632,7.451691243314219,"Daniel McCutchen",263,445216
"Kevin Whelan","DET",6.750016696792419,13.500033393584838,0.5,13.500033393584838,0.11111111,0.22222222,-0.11111111,0.42857142857142855,3.7500092759957884,0.25,1,350.21439490475706,665.926017241843,234.13847251112048,13.500033393584838,25.632307824630125,-12.132274431045287,8.913172191869078,7.418317104972306,"Kevin Whelan",3462,460128
"Wilking Rodríguez","KCR",4.5,4.5,1,0,0.14285714,0.14285714,0,0.16666666666666666,1,0.2,1,0,97.01261613362763,160.59382363865055,0,3.6322521686553957,-3.6322521686553957,6.104168367385864,7.324017788656405,"Wilking Rodriguez",8801,516853
"Joe Paterson","ARI",0,6.750001609325793,0,0,0,0.1,-0.1,0.5,3.750000894069885,0.5,0.16666667,878.5872225606473,205.86420688135752,283.4935194268143,33.75000804662896,7.632253241539257,26.117754805089707,10.413159628130785,7.24065044131875,"Joe Paterson",2565,519110
"Hector Ambriz","SDP",4.5,9,0.5,0,0.11111111,0.22222222,-0.11111111,0.2857142857142857,2,0.3333333333333333,0.5,129.03873362993752,142.10775704226717,173.057525212667,4.5,5.132252168655396,-0.6322521686553957,6.36821026802063,7.156650438573639,"Hector Ambriz",559,459932
"Stephen Pryor","SEA",5.399989314100431,10.799978628200861,0.5,0,0.125,0.25,-0.125,0.16666666666666666,1.799996438033477,0.2,0.66666667,0,148.08598821516918,165.0356223020688,0,5.532247419366698,-5.532247419366698,6.273820811505381,6.9394004413187504,"Stephen Pryor",10663,543668
"Josh Lindblom","OAK",3.8571402296745916,3.8571402296745916,1,1.9285701148372958,0.09090909,0.09090909,0,0.2631578947368421,1.4999989782067855,0.25,0.90909091,104.92820109175594,187.70243047575053,187.11173795788264,3.8571402296745916,6.989392398329987,-3.1322521686553957,7.117007831331211,6.9171940073096145,"Josh Lindblom",7882,458676
"Dean Anna","NYY",0,0,0,0,0,0,0,0.5,3,0.5,0.33333333,468.30225524004766,79.81619541748832,147.5029463262994,18,3.1322521686553957,14.867747831344605,5.604168367385864,6.870317106126084,"Dean Anna",8353,542883
"Justin Marks","KCR",9,13.5,0.66666667,0,0.15384615,0.23076923,-0.07692308,0.4,3.5,0.5,0.57142857,344.4036471473763,149.99760537668462,196.7775570460582,13.5,5.632252168655396,7.867747831344604,7.486189317703247,6.771567597014974,"Justin Marks",10265,476123
"Rudy Owens","HOU",1.588234403142142,3.176468806284284,0.5,1.588234403142142,0.03448276,0.06896552,-0.03448276,0.34615384615384615,1.9411753816181734,0.3333333333333333,0.66037736,212.6035293225255,176.11889757341834,189.36256921599232,7.94117201571071,6.661661953415711,1.2795100622949986,7.202977289466229,6.6616252883792635,"Rudy Owens",5226,502168
"Red Patterson","LAD",1.9285701148372958,5.785710344511887,0.33333333,0,0.05263158,0.15789474,-0.10526316,0.125,1.0714278415762755,0.13333333333333333,0.8,55.64332937919502,127.62540803897096,161.81668746300787,1.9285701148372958,4.632251146862181,-2.7036810320248854,5.956491065543791,6.564914191643083,"Red Patterson",10710,572017
"Charlie Leesman","CHW",0,3.374995674943506,0,3.374995674943506,0,0.05882353,-0.05882353,0.5625,3.749995194381673,0.5333333333333333,0.46511628,524.8108775293567,233.56532771613058,185.0471771496393,20.249974049661038,9.132244479666074,11.117729569994964,7.038152886815939,6.456577304225347,"Charlie Leesman",9124,489056
"Mike Pelfrey","MIN",3.802817922999939,6.84507226139989,0.55555556,1.9014089614999694,0.08403361,0.1512605,-0.06722689,0.29292929292929293,1.9859160264555236,0.2857142857142857,0.61904762,205.30309406374997,197.65669794790216,172.15578487822967,7.985917638299871,7.568873078821991,0.41704455947788066,6.545772125625599,6.45483530292145,"Mike Pelfrey",5203,460059
