Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Steven Wilson","CHW",55.1,100.33220858895706,,105.97818181818184,,106.76722123893806,,89.00200000000001,,,98.34797938144332,103.37358762886599,104.99841237113398,"Steven Wilson",20353,621051
"Anthony DeSclafani","ARI",38.2,104.97415094339621,98.1087603305785,,99.91720930232557,107.58505501530459,,,92.33834586466165,,98.74789034480003,104.36721608894385,104.98550831194108,"Anthony DeSclafani",13050,543101
"Trevor Richards","- - -",5.2,114.6785294117647,,,,104.06,,104.08,,,97.76343943412908,110.33669319186559,104.95273209549073,"Trevor Richards",19309,670950
"Braxton Ashcraft","PIT",69.2,98.26091743119267,110.30000000000003,,,108.97238372093024,85.38206896551723,99.56514285714285,,,105.25775930834287,100.75947032200068,104.86929948939857,"Braxton Ashcraft",23793,677952
"Blade Tidwell","NYM",15,104.07123966942147,113.94035087719298,17.8,,82.44474576271186,,69.97,,,107.39870550161814,95.4793639531989,104.8293154095096,"Blade Tidwell",31701,694918
"Bobby Miller","LAD",5,131.65225806451613,111.2523076923077,,,101.2690909090909,112.8625,9.585,,,106.81017241379311,102.17844827586205,104.8248275862069,"Bobby Miller",27483,676272
"Jordan Romano","PHI",42.2,87.35589147286822,,,,108.47081447963801,,,,,102.64120000000001,100.68845714285712,104.82034285714289,"Jordan Romano",16122,605447
"José Ruiz","- - -",16.1,104.10034782608695,92.43617021276596,,,120.97200000000001,108.76629213483145,118.93913043478263,,,97.66900395214702,106.439606654561,104.73902878658407,"Jose Ruiz",14552,614179
"Joel Payamps","- - -",26.1,95.2231901840491,99.73363636363636,37.5,,108.4299850634802,,44.525,,,103.38169265033409,101.93968819599114,104.71131403118041,"Joel Payamps",14332,606303
"Jonathan Bowlan","KCR",44.1,87.740098909826,112.94119451170295,,,114.13920665336519,83.21232142857143,113.9990163934426,,,103.10962861072902,101.98519944979365,104.64151306740027,"Jonathan Bowlan",24607,680742
"Chris Paddack","- - -",158,110.45449735449736,120.23150442477878,109.0346666666667,,108.28590517419089,101.95780595516895,121.95588039867107,,,92.23908228494383,112.29808663598664,104.59379480157129,"Chris Paddack",20099,663978
"Max Scherzer","TOR",85,105.68498516320474,,90.38666666666666,,109.53142857142858,109.29684848484848,107.39897435897437,,,96.18283571915477,107.67304703476485,104.57451942740285,"Max Scherzer",3137,453286
"Gregory Soto","- - -",60.1,100.8027397260274,90.91951940850278,,73.515,89.46130047645083,,,,,116.07119156854058,91.58543247850066,104.5086151204953,"Gregory Soto",19677,642397
"Carmen Mlodzinski","PIT",99,97.22558139534884,95.45601659751038,89.33999999999999,88.2704,116.8377203651972,116.20242857142856,,,,104.28949889853553,100.33821327959524,104.50736566346094,"Carmen Mlodzinski",27572,669387
"Enyel De Los Santos","- - -",66,109.48885185185185,,,,112.16983261020357,,114.01904761904763,,,92.93537610820373,111.1850886562956,104.48500571128163,"Enyel De Los Santos",18403,660853
"Justin Topa","MIN",60,,116.12937142857145,121.5891836734694,,98.47844487642321,,108.33945205479455,,,97.62674951281669,110.83448313596156,104.40475448101589,"Justin Topa",15145,623437
"Nathan Eovaldi","TEX",130,111.87541666666668,115.50680412371136,116.4805714285714,97.79235880398669,92.79916666666666,98.76364116094989,,,,97.26031331592692,105.7432898172324,104.40327937336812,"Nathan Eovaldi",9132,543135
"Lucas Erceg","KCR",61.1,103.86018750000002,111.7586934673367,,,100.3561130742049,,101.41304347826087,,,102.15384773662547,102.16771604938269,104.35866255144037,"Lucas Erceg",19360,668674
"Mason Englert","TBR",44.2,107.33918367346939,104.01783333333334,106.1767142857143,,127.02875,119.04985915492956,102.9659677419355,,,98.1889068825911,106.71581646423749,104.33927125506072,"Mason Englert",22288,669438
"Ethan Roberts","CHC",9,,112.45714285714287,111.61296296296297,,88.1144578313253,,,,,106.3795833333333,98.1097222222222,104.28708333333336,"Ethan Roberts",24930,681799
"Paul Blackburn","- - -",39,89.11931034482758,107.01881773399016,106.19292134831461,,113.52745393858477,87.93214285714286,117.40276923076924,,,97.26942292992487,105.97244288011925,104.2708326501233,"Paul Blackburn",14739,621112
"Wander Suero","ATL",6.1,,,92.71314814814815,,,3.84,122.971875,,,106.65276595744682,98.2222695035461,104.20198581560284,"Wander Suero",15855,593833
"José Fermin","LAA",34.1,108.22550000000001,71.50571428571428,,,90.95987381703472,,27.18,,,101.88653295128938,101.0186246418338,104.19412607449854,"Jose Fermin",33908,820862
"Bennett Sousa","HOU",50.2,96.6488813559322,63.35,,,102.39725768321513,,,,,107.1163157894737,99.49052631578944,104.13886426592796,"Bennett Sousa",21345,656986
"Tylor Megill","NYM",68.1,97.25554702495202,101.46495867768596,,,100.84848484848483,97.6195294117647,73.44337078651684,,,107.67055194805188,97.29258116883112,104.1175487012987,"Tylor Megill",21318,656731
"Bryan King","HOU",68,115.09535877862592,107.55859649122807,,,103.30570621468925,49.11333333333334,114.372,,,96.90839779005528,110.45351749539599,104.09799263351739,"Bryan King",25890,687911
"Hunter Bigge","TBR",15,111.47631067961166,129.97750000000002,,192.66,94.83196078431371,108.23384615384614,,,,96.99629955947137,104.82132158590309,104.04035242290749,"Hunter Bigge",26259,685801
"Troy Melton","DET",45.2,88.37037878787878,106.22683544303797,99.44478873239437,102.56377358490566,104.65896103896104,87.32685714285715,,,,106.59713864186229,96.69855996207413,104.02394723075916,"Troy Melton",31807,675512
"Brendon Little","TOR",68.1,60.334999999999994,82.39843971631203,88.71402061855669,,,,,79.90352112676058,,117.16636363636364,81.7010876623377,104.0148214285714,"Brendon Little",21574,663893
"Camilo Doval","- - -",65.1,,94.44051948051948,106.0343259557344,,93.0470441398866,,,,,104.38582123829713,98.96904995125848,103.95937728819261,"Camilo Doval",21992,666808
"Rico Garcia","- - -",34.1,100.96701298701298,,,,98.69178571428571,107.44789473684212,96.02682170542634,,,104.46788337475911,100.69782120814365,103.95244818052336,"Rico Garcia",20023,670329
"Hayden Wesneski","HOU",32,106.29571428571428,127.64943396226414,113.22655172413792,,112.10736,89.55617021276596,119.58093023255813,,,94.6199604743083,110.22818181818181,103.92916996047431,"Hayden Wesneski",27581,669713
"Nolan Hoffman","PHI",1,,113.06000000000002,106.18,,,73.78,172.48,,,91.5923076923077,108.81153846153848,103.85230769230769,"Nolan Hoffman",23381,676510
"Michael McGreevy","STL",95.2,101.86792553191488,120.30314465408806,126.45000000000002,,111.0418858560794,103.89856014801597,101.98900662251654,,,90.28396492063894,110.46641072956874,103.84786456194793,"Michael McGreevy",29869,700241
"Drew Sommers","DET",3,107.748,89.75588235294117,,,112.99696969696971,,73.96,,,98.57558441558443,101.50103896103896,103.81974025974024,"Drew Sommers",32026,805427
"Génesis Cabrera","- - -",42.2,112.37045161290321,85.34538461538462,96.85904109589042,84.57397849462365,,120.18805755395682,,,,103.56698982904453,100.41140566141534,103.72919111763079,"Genesis Cabrera",17490,650893
"Scott Alexander","- - -",17.2,,107.63441176470592,,,93.968,,93.6809090909091,,,98.18894568690095,102.83482428115015,103.7226837060703,"Scott Alexander",10591,518397
