Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Ryan Franklin","STL",27.2,90.31490384615384,,90.01249694824219,82.6687520345052,,90.96585604039635,85.25476655505952,77.28636585582386,,,82.62142508370536,,77.2750015258789,"Ryan Franklin",1076,211041
"R.A. Dickey","NYM",208.2,84.08690747300945,,,,,,,,,62.63170493521341,,,76.45339562106486,"R.A. Dickey",1245,285079
"Mitch Maier","KCR",1,,,,,,,80.9000015258789,71.69999694824219,,,77.02222357855902,,73.19999694824219,"Mitch Maier",5588,430574
"Mike McCoy","TOR",1,,,84.9000015258789,,,,,,,,78.85000610351562,,68,"Mike McCoy",4583,453454
"Tim Wakefield","BOS",154.2,72.94663355900691,,,,,,,60.61250019073486,,,,,65.73262676435054,"Tim Wakefield",219,123801
"Neftalí Feliz","TEX",62.1,96.2539803255373,,86.0813953488372,,,95.5791727701823,78.9820327758789,,,,88.69047619047619,,,"Neftali Feliz",18,491703
"Ramon Ortiz","CHC",33.1,90.49999542236328,,,,,91.37965002725291,82.938223256186,,,,83.94583384195964,,,"Ramon Ortiz",27,150009
"Xavier Cedeño","HOU",1.2,88.41250610351562,,,,,88.08749389648438,,74.67999674479167,,,82.5,,,"Xavier Cedeno",36,458584
"Miguel Batista","- - -",60,91.96249882928257,,88.9000015258789,,,92.31644388834636,85.93807306648797,76.3857182094029,,,82.49687337875366,,,"Miguel Batista",46,110683
"Zach Phillips","BAL",8,89.84545343572444,,,,,90.35185185185185,79.08604537609011,,,,81.43845778245192,,,"Zach Phillips",99,452061
"Jason Marquis","- - -",132,88.24736585115132,,,,,89.144560565197,84.73727276925418,,,,81.54444765946502,,,"Jason Marquis",105,150302
"Kevin Millwood","COL",54.1,89.0351364548142,,88.6,81.66666666666667,,89.42566025995575,82.44848484848485,71.82500143612133,,,81.51080817145271,,,"Kevin Millwood",106,119154
"Horacio Ramirez","LAA",9,90.34878167873475,,,,,90.92245296556122,87.24666341145833,80.43333435058594,,,85.67333170572917,,,"Horacio Ramirez",110,400141
"Dan Wheeler","BOS",49.1,88.93508429276316,,86.28235102634804,84.00499877929687,,89.23429429235537,85.07304382324219,74.86944580078125,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","- - -",129.1,90.53427241747033,,90.2675682274071,80.46000061035156,,90.90932413082797,,77.28076029518951,,,78.0424586461243,,,"Erik Bedard",126,407853
"Rodrigo Lopez","CHC",97.2,87.83910611144498,,,,,87.51528216422872,80.59870256696429,74.13333638509114,,,82.69254430924883,,,"Rodrigo Lopez",150,150438
"Rafael Betancourt","COL",62.1,92.29834254143647,,92.13128004807692,,,,81.17278357397151,,,,85.82833658854166,,,"Rafael Betancourt",177,429783
"Derek Lowe","ATL",187,,,85.40175918794014,,,87.90685395885286,80.28535487288136,,,,83.10367506377551,,,"Derek Lowe",199,117955
"Darren Oliver","TEX",51,88.41411764705883,,,,,89.1751651635906,77.1516015625,,,,83.73999633789063,,,"Darren Oliver",206,119984
"Mark Buehrle","CHW",205.1,85.13974097286109,,81.29764453961457,,,84.8498427672956,,71.9705064073741,,,78.66966966966967,,,"Mark Buehrle",225,279824
"Jon Garland","LAD",54,88.43801398026316,,,,,87.59274193548387,83.63823385799633,76.15978473165761,,,79.76038288620283,,,"Jon Garland",232,279782
"Daniel McCutchen","PIT",84.2,91.29289679276316,,,,,90.87483404820262,84.6161005914548,78.64500122070312,,,83.436623906893,,,"Daniel McCutchen",263,445216
"Juan Cruz","TBR",48.2,92.68900804289544,,87.62556537828948,,,,79.51896439475574,,,,83.81199869791666,,,"Juan Cruz",273,407297
"Kyle Farnsworth","TBR",57.2,96.4311224489796,,90.64074254918981,,,92.94950425664452,86.95714285714286,,,,88.55000305175781,,,"Kyle Farnsworth",278,150035
