Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Robinson Tejeda","KCR",0.30263158,0.6875,0.47857143,0.82608696,0.93181818,0.89552239,0.45714286,0.6,0.05,0.12857143,0.17857143,"Robinson Tejeda",2575,434565
"Daryl Thompson","CIN",0.26415094,0.76923077,0.43037975,0.85714286,0.85,0.85294118,0.32911392,0.5,0.06329114,0.11392405,0.17721519,"Daryl Thompson",6603,444354
"Bruce Billings","- - -",0.37755102,0.74545455,0.50980392,0.7027027,0.90243902,0.80769231,0.35947712,0.42105263,0.09803922,0.07843137,0.17647059,"Bruce Billings",3044,501852
"Dellin Betances","NYY",0.14583333,0.52173913,0.26760563,1,0.91666667,0.94736842,0.32394366,0.0625,0.01408451,0.15492958,0.16901408,"Dellin Betances",6216,476454
"Tim Wood","PIT",0.28787879,0.7,0.46551724,0.84210526,0.91428571,0.88888889,0.43103448,0.55263158,0.048,0.12,0.168,"Tim Wood",3775,445971
"Xavier Cedeño","HOU",0.125,0.8,0.5,0.5,1,0.94444444,0.55555556,0.63636364,0.02777778,0.13888889,0.16666667,"Xavier Cedeno",36,458584
"Bryan Petersen","FLA",0.11111111,0.66666667,0.38888889,1,1,1,0.5,0.75,0,0.16666667,0.16666667,"Bryan Petersen",2567,519128
"Mason Tobin","TEX",0.16949153,0.71428571,0.37234043,0.9,0.92,0.91428571,0.37234043,0.41666667,0.03191489,0.10638298,0.13829787,"Mason Tobin",2534,474226
"Wilson Valdez","PHI",0.2,0.6,0.4,1,1,1,0.5,0.25,0,0.1,0.1,"Wilson Valdez",1863,407832
"Rafael Dolis","CHC",0.30769231,0.71428571,0.45,1,0.8,0.88888889,0.35,,0.05,0.05,0.1,"Rafael Dolis",4185,503569
