Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Felix Doubront","BOS",10.1,0.51428571,,0.04571429,,,0.18857143,,0.16,,,0.09142857,,,,"Felix Doubront",1478,467094
"John Lackey","BOS",160,0.44977088,,0.23792739,,,0.06873458,0.00422982,0.16425802,,,0.07507931,,,,"John Lackey",1507,407793
"Sandy Rosario","FLA",3.2,0.64615385,,,,,,0.13846154,,,,0.21538462,,,,"Sandy Rosario",1525,466459
"Michael Cuddyer","MIN",1,0.3125,,0.1875,,,,0.125,,,,0.375,,,,"Michael Cuddyer",1534,150212
"Aaron Cook","COL",97,0.10699588,,,,,0.64883402,0.10768176,0.13648834,,,,,,,"Aaron Cook",1571,346871
"Mark Hendrickson","BAL",11,0.50704225,,0.02347418,,,0.12676056,,0.28169014,,,0.06103286,,,,"Mark Hendrickson",1574,424805
"Cliff Lee","PHI",232.2,0.29,,0.22529412,,,0.24558824,0.00294118,0.10735294,,,0.12882353,,,,"Cliff Lee",1636,424324
"Francisco Rodríguez","- - -",71.2,0.33765112,,,,,0.2642487,,0.21070812,,,0.18739206,,,,"Francisco Rodriguez",1642,408061
"Brian Tallet","- - -",13.1,0.11418685,,,,,0.34948097,0.26989619,0.14186851,,,0.12456747,,,,"Brian Tallet",1646,425226
"Luis Ayala","NYY",56,0.30834341,,,,,0.33494559,0.2140266,0.01934704,,,0.12333736,,,,"Luis Ayala",1650,425646
"Jose Contreras","PHI",14,0.19105691,,,0.1097561,,0.3699187,0.32926829,,,,,,,,"Jose Contreras",1660,425747
"Javier López","SFG",53,0.00128041,,,,,0.59923175,0.26632522,0.09090909,,,0.04225352,,,,"Javier Lopez",1663,425657
"D.J. Carrasco","NYM",49.1,0.13365155,,0.31861575,,,0.16825776,0.17541766,0.09069212,,,0.11336516,,,,"D.J. Carrasco",1666,425647
"Wilfredo Ledezma","TOR",6,0.68421053,,,,,0.10526316,0.125,0.01973684,,,0.06578947,,,,"Wilfredo Ledezma",1669,425656
"Trever Miller","- - -",21.1,0.4296875,,,,,0.1796875,0.34375,,,,0.046875,,,,"Trever Miller",1672,119125
"Chris Capuano","NYM",186,0.01022147,,0.01737649,,,0.5451448,0.14855196,,,,0.27870528,,,,"Chris Capuano",1701,425626
"Dontrelle Willis","CIN",75.2,0.31458843,,,,,0.25590872,0.1597392,0.17603912,,,0.09372453,,,,"Dontrelle Willis",1703,425883
"Jose Valverde","DET",72.1,0.75587248,,,0.20134228,,0.04278523,,,,,,,,,"Jose Valverde",1726,407878
"Edgar Gonzalez","COL",2,,,0.08823529,,,0.58823529,0.05882353,,,,0.26470588,,,,"Edgar Gonzalez",1727,429440
"Aaron Heilman","ARI",35.1,,,,,,0.55335366,0.13109756,0.03810976,,,0.27743902,,,,"Aaron Heilman",1751,408310
"Dan Haren","LAA",238.1,0.27047213,,0.469992,0.12990131,,0.07602027,,,0.0536143,,,,,,"Dan Haren",1757,429717
"Kevin Correia","PIT",154,0.31930272,,0.08715986,,,0.14073129,0.22151361,0.12244898,,,0.10884354,,,,"Kevin Correia",1767,429781
"Rich Harden","OAK",82.2,0.58851351,,,,,0.00405405,0.36689189,,,,0.04054054,,,,"Rich Harden",1772,425848
"Sergio Mitre","- - -",38.1,0.12920354,,,,,0.5539823,0.02654867,0.15752212,,,0.13274336,,,,"Sergio Mitre",1773,429901
"Chad Gaudin","WSN",8.1,0.54591837,,,,,0.1122449,0.25,,,,0.09183673,,,,"Chad Gaudin",1783,429985
"Kevin Gregg","BAL",59.2,0.44207836,,0.25468484,0.07069847,,0.00681431,0.00170358,0.22402044,,,,,,,"Kevin Gregg",1793,276514
"Michael Gonzalez","- - -",53.1,0.57777778,,,,,0.03703704,0.34074074,,,,0.04444444,,,,"Michael Gonzalez",1794,283166
"J.J. Putz","ARI",58,0.45077106,,0.0059312,0.17556346,,0.27639383,0.09134045,,,,,,,,"J.J. Putz",1795,407816
"Matt Belisle","COL",72,0.63045338,,0.01197605,,,0.03849444,0.22925577,0.07100086,,,0.0188195,,,,"Matt Belisle",1837,279571
"Edwin Jackson","- - -",199.2,0.44735202,,,,,0.1046729,0.33239875,0.03021807,,,0.08535826,,,,"Edwin Jackson",1841,429719
"John Grabow","CHC",62.1,0.37321625,,,,,,0.30954995,,,,0.31723381,,,,"John Grabow",1848,346848
"Ryan Madson","PHI",60.2,0.58235919,,0.04994687,,,0.01806589,0.0021254,,,,0.34750266,,,,"Ryan Madson",1852,425492
"Shawn Camp","TOR",66.1,0.01246106,,,,,0.48286604,0.20768432,,,,0.29698858,,,,"Shawn Camp",1855,425861
"Michael Wuertz","OAK",33.2,0.37378641,,,,,,0.60841424,,,,0.01779935,,,,"Michael Wuertz",1856,430900
"Wilson Valdez","PHI",1,0.2,,,,,,,0.1,,,0.7,,,,"Wilson Valdez",1863,407832
"Darnell McDonald","BOS",1,0.125,,0.54166667,,,,,,,,0.33333333,,,,"Darnell McDonald",1867,150021
"Sean Burnett","WSN",56.2,0.01300108,,,,,0.6468039,0.18959913,,,,0.15059588,,,,"Sean Burnett",1886,430634
