Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Justin Verlander","DET",24,5,2.4023902922009293,34,34,28,4,2,0,0,0,251,969,174,73,67,24,57,0,3,7,2,250,"Justin Verlander",8700,434378
"Clayton Kershaw","LAD",21,5,2.2757141865010206,33,33,25,5,2,0,0,0,233.1,912,174,66,59,15,54,2,3,5,1,248,"Clayton Kershaw",2036,477132
"Cliff Lee","PHI",17,8,2.398280907148603,32,32,25,6,6,0,0,0,232.2,920,197,66,62,18,42,0,6,0,0,238,"Cliff Lee",1636,424324
"CC Sabathia","NYY",19,8,2.9957863884492344,33,33,22,3,1,0,0,0,237.1,985,230,87,79,17,61,4,7,2,1,230,"CC Sabathia",404,282332
"James Shields","TBR",16,12,2.8155082511296605,33,33,25,11,4,0,0,0,249.1,975,195,83,78,26,65,1,5,4,0,225,"James Shields",7059,448306
"Félix Hernández","SEA",14,14,3.4664763867414665,33,33,22,5,0,0,0,0,233.2,964,218,99,90,19,67,0,7,12,1,222,"Felix Hernandez",4772,433587
"Roy Halladay","PHI",19,6,2.349500662124772,32,32,25,8,1,0,0,0,233.2,933,208,65,61,10,35,4,4,2,1,220,"Roy Halladay",1303,136880
"Tim Lincecum","SFG",13,14,2.737327188940092,33,33,23,1,1,0,0,0,217,900,176,74,66,15,86,5,6,9,0,220,"Tim Lincecum",5705,453311
"David Price","TBR",12,13,3.4903415950716608,34,34,21,0,0,0,0,0,224.1,918,192,93,87,22,63,5,9,2,0,218,"David Price",3184,456034
"Yovani Gallardo","MIL",17,10,3.516077256673764,33,33,23,1,1,0,0,0,207.1,865,193,92,81,27,59,1,1,12,0,207,"Yovani Gallardo",8173,451596
"C.J. Wilson","TEX",16,7,2.941790910781591,34,34,23,3,1,0,0,0,223.1,915,191,89,73,16,74,0,10,6,0,206,"C.J. Wilson",3580,450351
"Brandon Morrow","TOR",11,11,4.717472654148105,30,30,17,0,0,0,0,0,179.1,777,162,103,94,21,69,1,12,12,1,203,"Brandon Morrow",9346,453344
"Aníbal Sánchez","FLA",8,9,3.6672324076145135,32,32,19,3,2,0,0,0,196.1,830,187,85,80,20,64,8,5,4,5,202,"Anibal Sanchez",3284,434671
"Zack Greinke","MIL",16,6,3.827184352624857,28,28,19,0,0,0,0,0,171.2,715,161,82,73,19,45,0,4,10,0,201,"Zack Greinke",1943,425844
"Jered Weaver","LAA",18,8,2.4059403863550957,33,33,28,4,2,0,0,0,235.2,926,182,65,63,20,56,0,3,8,0,198,"Jered Weaver",4235,450308
"Ian Kennedy","ARI",21,4,2.878378180537993,33,33,24,1,1,0,0,0,222,900,186,73,71,19,55,0,9,11,1,198,"Ian Kennedy",6986,453178
"Matt Garza","CHC",10,10,3.3181815624675126,31,31,20,2,0,0,0,0,198,839,186,90,73,14,63,5,3,6,0,197,"Matt Garza",3340,490063
"Gio González","OAK",16,12,3.118811881188119,32,32,19,0,0,0,0,0,202,864,175,81,70,17,91,1,8,6,1,197,"Gio Gonzalez",7448,461829
"Cole Hamels","PHI",14,9,2.7916666666666665,32,31,24,3,0,0,0,0,216,850,169,68,67,19,44,2,5,3,3,194,"Cole Hamels",4972,430935
"Dan Haren","LAA",16,10,3.17202783663971,35,34,26,4,3,0,0,0,238.1,953,211,91,84,20,33,1,5,6,0,192,"Dan Haren",1757,429717
