Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Mike McCoy","TOR",1,,,-2.2227823734283447,,,,,,,,11.060988903045654,,5.749258067872789,"Mike McCoy",4583,453454
"Ryan Franklin","STL",27.2,-0.4010028564012968,,-12.317252159118652,-0.0216256749505798,,-5.483450540682164,-4.5419142359779,-13.832987438548694,,,1.0655602174145835,,1.2693725526332855,"Ryan Franklin",1076,211041
"Mitch Maier","KCR",1,,,,,,,20.823341608047485,-21.461351215839386,,,7.322971026102702,,0.17510056495666504,"Mitch Maier",5588,430574
"R.A. Dickey","NYM",208.2,1.688577779713269,,,,,,,,,1.0176585214893992,,,-0.08646701345037024,"R.A. Dickey",1245,285079
"Tim Wakefield","BOS",154.2,1.9478572819095392,,,,,,,2.0542863523587584,,,,,-1.1652905808367409,"Tim Wakefield",219,123801
"Neftalí Feliz","TEX",62.1,0.8789213809894703,,5.259731758472531,,,-1.50858573615551,-0.8783508092164993,,,,3.110305468241374,,,"Neftali Feliz",18,491703
"Ramon Ortiz","CHC",33.1,4.0302011370658875,,,,,-3.572925440100736,1.7349696810335022,,,,1.784671035905679,,,"Ramon Ortiz",27,150009
"Xavier Cedeño","HOU",1.2,-3.486137092113495,,,,,-8.273418992757797,,-13.899787267049154,,,-20.86338520050049,,,"Xavier Cedeno",36,458584
"Miguel Batista","- - -",60,0.9091717030467659,,5.388779193162918,,,1.1839045617315505,-0.9444010245251356,-0.8210997496332442,,,-4.078802012372762,,,"Miguel Batista",46,110683
"Zach Phillips","BAL",8,0.27414844794706866,,,,,0.6489689151446025,4.411662733832071,,,,-12.240381424243633,,,"Zach Phillips",99,452061
"Jason Marquis","- - -",132,1.4669527544787055,,,,,-0.4144821672457468,-0.5251422213579584,,,,-1.2549708685511913,,,"Jason Marquis",105,150302
"Kevin Millwood","COL",54.1,-1.182656513678061,,-0.03339637930576618,3.470104436079661,,0.7242936476142006,0.9068402377041903,-0.7753073292620042,,,1.0070625994656537,,,"Kevin Millwood",106,119154
"Horacio Ramirez","LAA",9,-0.7479941699563003,,,,,1.7834269270604968,0.0777906427780787,-4.78156308333079,,,-14.58689530690511,,,"Horacio Ramirez",110,400141
"Dan Wheeler","BOS",49.1,0.5521762266493679,,3.930373285330978,-4.993288815021515,,-0.8036915920982676,1.2545744888484478,-0.07442834062708749,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","- - -",129.1,-0.3793303266123424,,1.9660662154893618,1.523454338312149,,1.3605692762270618,,0.5285542012998732,,,-1.7761415942421173,,,"Erik Bedard",126,407853
"Rodrigo Lopez","CHC",97.2,-1.732273552662287,,,,,-0.0883574181414665,0.4165963538281329,5.282501379648844,,,-8.491765045971604,,,"Rodrigo Lopez",150,150438
"Rafael Betancourt","COL",62.1,1.072845845371759,,3.544631126599434,,,,1.8884160850621476,,,,-2.1631471316019693,,,"Rafael Betancourt",177,429783
