Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Randy Johnson","ARI",24,5,2.3192307692307694,35,35,30,8,4,0,0,0,260,1035,197,78,67,26,71,1,13,3,2,334,"Randy Johnson",60,116615
"Curt Schilling","ARI",23,7,3.227506679937499,36,35,27,5,1,0,0,0,259.1,1017,218,95,93,29,33,1,3,6,0,316,"Curt Schilling",73,121811
"Pedro Martínez","BOS",20,4,2.257525314027442,30,30,21,2,0,0,0,0,199.1,787,144,62,50,13,40,1,15,3,0,239,"Pedro Martinez",200,118377
"Kerry Wood","CHC",12,11,3.664586757931845,33,33,22,4,1,0,0,0,213.2,895,169,92,87,22,97,5,16,8,1,217,"Kerry Wood",304,134268
"Matt Clement","CHC",12,11,3.55609756097561,32,32,15,3,2,0,0,0,205,858,162,84,81,18,85,7,6,7,0,215,"Matt Clement",271,136725
"Roy Oswalt","HOU",19,9,3.0128753391724064,35,34,24,0,0,0,0,0,233,956,215,86,78,17,62,4,5,3,0,208,"Roy Oswalt",571,400061
"A.J. Burnett","FLA",12,9,3.3034253945693237,31,29,17,7,5,0,0,1,204.1,844,153,84,75,12,90,5,9,14,0,203,"A.J. Burnett",512,150359
"Jason Schmidt","SFG",13,8,3.447841537374508,29,29,15,2,2,0,0,0,185.1,769,148,78,71,15,73,1,2,12,0,196,"Jason Schmidt",1131,121834
"Hideo Nomo","LAD",16,6,3.390317543926958,34,34,25,0,0,0,0,0,220.1,926,189,92,83,26,101,5,2,6,0,193,"Hideo Nomo",666,119827
"Roger Clemens","NYY",13,6,4.35,29,29,16,0,0,0,0,0,180,768,172,94,87,18,63,6,7,14,0,192,"Roger Clemens",815,112388
"Mike Mussina","NYY",18,10,4.0479130648145185,33,33,18,2,2,0,0,0,215.2,886,208,103,97,27,48,1,5,7,0,182,"Mike Mussina",837,119608
"Barry Zito","OAK",23,5,2.747093084182142,35,35,27,1,0,0,0,0,229.1,939,182,79,70,24,78,2,9,2,1,182,"Barry Zito",944,217096
"Freddy Garcia","SEA",16,10,4.385990958383143,34,34,19,1,0,0,0,0,223.2,955,227,110,109,30,63,3,6,7,1,181,"Freddy Garcia",1077,150119
"Javier Vazquez","MON",10,13,3.9073804352477746,34,34,18,2,0,0,0,0,230.1,971,243,111,100,28,49,6,4,3,0,179,"Javier Vazquez",801,134320
"Kevin Millwood","ATL",18,8,3.235022813997554,35,34,21,1,1,0,0,0,217,895,186,83,78,16,65,7,8,4,0,178,"Kevin Millwood",106,119154
"Chuck Finley","- - -",11,15,4.153845876824047,32,32,19,2,1,0,0,0,190.2,809,183,97,88,13,78,6,1,3,0,174,"Chuck Finley",384,114133
"Al Leiter","NYM",13,13,3.4796088293286602,33,33,20,2,2,0,0,0,204.1,868,194,99,79,23,69,5,8,1,1,172,"Al Leiter",883,117652
"Randy Wolf","PHI",11,9,3.204113846691618,31,31,22,3,2,0,0,0,210.2,855,172,77,75,23,63,5,7,4,0,172,"Randy Wolf",976,150116
"Matt Morris","STL",17,9,3.42313771083063,32,32,20,1,1,0,0,0,210.1,890,210,86,80,16,64,3,6,3,0,171,"Matt Morris",1172,119403
"Ben Sheets","MIL",11,16,4.153846348869739,34,34,22,1,0,0,0,0,216.2,934,237,105,100,21,70,10,10,9,0,170,"Ben Sheets",710,282656
"Roy Halladay","TOR",19,7,2.933147694646632,34,34,26,2,1,0,0,0,239.1,993,223,93,78,10,62,6,7,4,1,168,"Roy Halladay",1303,136880
"Brandon Duckworth","PHI",8,9,5.411042944785276,30,29,14,0,0,0,0,0,163,725,167,103,98,26,69,5,7,10,0,167,"Brandon Duckworth",954,346855
"Ramon Ortiz","ANA",15,9,3.768405260744178,32,32,19,4,1,0,0,0,217.1,896,188,97,91,40,68,0,5,7,3,162,"Ramon Ortiz",27,150009
"Mark Mulder","OAK",19,7,3.4726688954802607,30,30,18,2,1,0,0,0,207.1,862,182,88,80,21,55,3,11,7,1,159,"Mark Mulder",932,150426
"Odalis Perez","LAD",15,10,2.9955023174029054,32,32,23,4,2,0,0,0,222.1,869,182,76,74,21,38,5,4,2,3,155,"Odalis Perez",668,136602
"Ryan Dempster","- - -",10,13,5.382775316111562,33,33,15,4,0,0,0,0,209,915,228,127,125,28,93,2,10,2,0,153,"Ryan Dempster",517,133225
"Pedro Astacio","NYM",12,11,4.789565471592937,31,31,18,3,1,0,0,0,191.2,828,192,106,102,32,63,5,16,1,2,152,"Pedro Astacio",862,110359
"Tim Hudson","OAK",15,9,2.983217228869898,34,34,24,4,2,0,0,0,238.1,983,237,87,79,19,62,9,8,7,1,152,"Tim Hudson",921,218596
"Bartolo Colon","- - -",20,8,2.9314284436284335,33,33,23,8,3,0,0,0,233.1,966,219,85,76,20,70,5,2,4,0,149,"Bartolo Colon",375,112526
"CC Sabathia","CLE",13,11,4.371428571428571,33,33,20,2,0,0,0,0,210,891,198,109,102,17,88,2,1,6,3,149,"CC Sabathia",404,282332
"Brian Lawrence","SDP",12,12,3.685714620473464,35,31,19,2,2,0,1,0,210,894,230,97,86,16,52,6,11,2,1,149,"Brian Lawrence",1045,400147
"Mark Prior","CHC",6,6,3.317142495603017,19,19,13,1,0,0,0,0,116.2,486,98,45,43,14,38,0,7,1,0,147,"Mark Prior",301,407578
"Jamie Moyer","SEA",13,8,3.316473695922702,34,34,20,4,2,0,0,0,230.2,931,198,89,85,28,50,4,9,3,0,147,"Jamie Moyer",1091,119469
"Wade Miller","HOU",15,4,3.279352429307478,26,26,18,1,1,0,0,0,164.2,688,151,63,60,14,62,9,6,4,0,144,"Wade Miller",568,150063
"Kaz Ishii","LAD",14,10,4.266233766233766,28,28,15,0,0,0,0,0,154,692,137,82,73,20,106,3,4,7,0,143,"Kaz Ishii",655,408193
"Glendon Rusch","MIL",10,16,4.699367315527388,34,34,18,4,1,0,0,0,210.2,913,227,118,110,30,76,1,5,6,0,140,"Glendon Rusch",707,121556
"Jarrod Washburn","ANA",18,6,3.145631300963711,32,32,23,1,0,0,0,0,206,852,183,75,72,19,59,1,3,5,1,139,"Jarrod Washburn",40,132220
"Johan Santana","MIN",8,6,2.990769476498957,27,14,7,0,0,1,3,0,108.1,452,84,41,36,7,49,0,1,15,2,137,"Johan Santana",755,276371
"David Wells","NYY",19,7,3.751211724134004,31,31,18,2,1,0,0,0,206.1,873,210,100,86,21,45,2,5,4,0,137,"David Wells",855,124071
"Russ Ortiz","SFG",14,10,3.6111973402721667,33,33,24,2,0,0,0,0,214.1,911,191,89,86,15,94,5,4,5,0,137,"Russ Ortiz",1124,133460
"Tanyon Sturtze","TBD",4,18,5.183035714285714,33,33,10,4,0,0,0,0,224,1008,271,141,129,33,89,2,9,7,2,137,"Tanyon Sturtze",1230,122915
"Rodrigo Lopez","BAL",15,9,3.5694914331082765,33,28,16,1,0,0,0,0,196.2,809,172,83,78,23,62,4,5,2,1,136,"Rodrigo Lopez",150,150438
"Dan Wright","CHW",14,12,5.179966580916926,33,33,18,1,1,0,0,0,196.1,855,200,124,113,32,71,1,6,10,1,136,"Dan Wright",258,216106
"Joel Pineiro","SEA",14,7,3.241852985621203,37,28,20,2,1,0,3,0,194.1,812,189,75,70,24,54,1,7,8,0,136,"Joel Pineiro",1094,334492
"Tim Wakefield","BOS",11,5,2.8102043004097688,45,15,11,0,0,3,5,2,163.1,657,121,57,51,15,51,2,9,5,2,134,"Tim Wakefield",219,123801
"Mark Buehrle","CHW",19,12,3.577405857740586,34,34,23,5,2,0,0,0,239,984,236,102,95,25,61,7,3,6,1,134,"Mark Buehrle",225,279824
"Kip Wells","PIT",12,14,3.5848743173165785,33,33,21,1,1,0,0,0,198.1,845,197,92,79,21,71,11,7,7,0,134,"Kip Wells",1012,150337
"Livan Hernandez","SFG",12,16,4.375,33,33,19,5,3,0,0,0,216,921,233,113,105,19,71,5,4,1,1,134,"Livan Hernandez",1116,115817
"Kevin Appier","ANA",14,12,3.9185838591403734,32,32,20,0,0,0,0,0,188.1,795,191,89,82,23,64,2,7,7,0,132,"Kevin Appier",3,110293
"Jeff Weaver","- - -",11,11,3.515859643129097,32,25,15,3,3,2,0,0,199.2,840,193,88,78,16,48,4,11,6,0,132,"Jeff Weaver",503,213711
"Tony Armas","MON",12,12,4.436105202070615,29,29,16,0,0,0,0,0,164.1,705,149,87,81,22,78,12,7,14,2,131,"Tony Armas",761,150393
"Danys Baez","CLE",10,11,4.409274634396416,39,26,9,1,0,6,0,2,165.1,726,160,84,81,14,82,5,9,6,1,130,"Danys Baez",367,276056
"Paul Byrd","KCR",17,11,3.902189867945536,33,33,20,7,2,0,0,0,228.1,935,224,111,99,36,38,1,7,3,1,129,"Paul Byrd",594,111838
"Vicente Padilla","PHI",14,11,3.2766992718371992,32,32,19,1,1,0,0,0,206,862,198,83,75,16,53,5,15,6,2,128,"Vicente Padilla",964,218894
"Tom Glavine","ATL",18,11,2.964391422949416,36,36,22,2,1,0,0,0,224.2,936,210,85,74,21,78,8,8,2,0,127,"Tom Glavine",90,114849
"Derek Lowe","BOS",21,8,2.5811837310644554,32,32,24,1,1,0,0,0,219.2,854,166,65,63,12,48,0,12,5,0,127,"Derek Lowe",199,117955
"Jason Jennings","COL",16,8,4.516186802476469,32,32,13,0,0,0,0,0,185.1,808,201,102,93,26,70,2,8,10,0,127,"Jason Jennings",434,407298
