Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Brandon Villafuerte","SDP",0.66666667,91.11162791,,,,,0.31190476,83.15238095,0.02142857,83.6,,,,,0.0809628,"Brandon Villafuerte",1059,276344
"Juan Cruz","CHC",0.59488818,93.6498708,0.27476038,80.55397727,,,,,0.13035144,81.5989011,,,,,0.08049354,"Juan Cruz",273,407297
"Cliff Politte","- - -",0.75065617,92.61666667,0.24846894,84.55357143,,,,,0.00087489,,,,,,0.08045052,"Cliff Politte",967,131700
"Donovan Osborne","CHC",0.6539924,87.2238806,0.13307985,80.42105263,,,0.14068441,76.44444444,0.07224335,81.25,,,,,0.08041958,"Donovan Osborne",299,120085
"Scott Schoeneweis","ANA",0.77489177,87.55164835,0.15275201,81.55276382,,,,,0.07235622,81.02247191,,,,,0.08020478,"Scott Schoeneweis",33,150011
"Donne Wall","ANA",0.57096774,86.25,0.05483871,81.25,,,0.15806452,71.21052632,0.21612903,80.78431373,,,,,0.08011869,"Donne Wall",39,123849
"Kazuhiro Sasaki","SEA",0.49439462,90.1193634,,,,,0.07623318,74.28301887,,,0.4293722,82.59766764,,,0.07946336,"Kazuhiro Sasaki",1098,277408
"Felix Rodriguez","SFG",0.84930314,93.08461538,0.14721254,81.48648649,,,,,0.00348432,87.75,,,,,0.07939054,"Felix Rodriguez",1127,121353
"Jeff Farnsworth","DET",0.73189824,89.74823944,0.07142857,77.25490196,,,0.11643836,78.81,0.08023483,81.17567568,,,,,0.07927928,"Jeff Farnsworth",465,407906
"Joe Borowski","CHC",0.55391829,91.97204969,0.37910248,84.36708861,,,,,0.06697924,82.07608696,,,,,0.07839506,"Joe Borowski",267,111244
"Jesus Colome","TBD",0.88140162,93.27855711,0.11859838,87.51515152,,,,,,,,,,,0.07826087,"Jesus Colome",1198,400125
"Darrell May","KCR",0.59496793,86.70574443,0.13073508,81.35365854,,,0.05673409,74,0.2175629,80.44057971,,,,,0.07821737,"Darrell May",613,118469
"Jack Cressend","MIN",0.66666667,89.06859206,,,,,0.24677716,79.3655914,0.08655617,80.72222222,,,,,0.07809847,"Jack Cressend",723,150162
"Roy Halladay","TOR",0.62496138,87.33102386,0.0485017,77.22222222,,,0.26227989,71.94655172,0.05591597,64.45588235,0.00834106,69.84210526,,,0.07751496,"Roy Halladay",1303,136880
"Darryl Kile","STL",0.62519936,88.5958132,,,,,0.31738437,71.58695652,0.05741627,82.27536232,,,,,0.07726269,"Darryl Kile",1163,117046
"Brad Penny","FLA",0.66476684,91.79123173,,,,,0.26683938,75.87028302,0.06839378,80.9266055,,,,,0.07699665,"Brad Penny",535,207267
"Victor Zambrano","TBD",0.73412698,88.67718191,0.17290249,80.68049793,,,,,0.05952381,81.75280899,0.03344671,82.19512195,,,0.07692308,"Victor Zambrano",1237,406913
"Gary Knotts","FLA",0.73263158,91.00373134,,,,,0.26736842,74.65979381,,,,,,,0.07587549,"Gary Knotts",1428,276352
"Tim Redding","HOU",0.66914806,92.29717682,0.04797353,81.46938776,,,0.25310174,76.85661765,0.02977667,84.35294118,,,,,0.07568807,"Tim Redding",573,400062
"Chris Nichting","COL",0.68571429,89.89261745,0.05102041,80.8,,,0.20816327,78.23157895,0.05510204,80.05,,,,,0.0754717,"Chris Nichting",1414,119775
"Jon Garland","CHW",0.69397002,88.5331565,,,,,0.20111537,80.00688073,0.1049146,79.92561983,,,,,0.07481458,"Jon Garland",232,279782
"LaTroy Hawkins","MIN",0.82336957,92.60704607,0.03985507,83.73333333,,,0.08695652,77.13924051,0.04981884,81.06976744,,,,,0.07460184,"LaTroy Hawkins",729,115629
"Jim Mecir","OAK",0.66756032,88.42307692,0.02502234,80.08333333,,,0.05183199,73.29090909,0.10902592,73.60176991,0.14655943,72.56934307,,,0.07444169,"Jim Mecir",930,118898
"Andy Van Hekken","DET",0.5496368,81.1011236,,,,,0.18159806,70.13636364,0.26876513,76.4,,,,,0.07399103,"Andy Van Hekken",1630,407843
"Ryan Drese","CLE",0.600883,90.31089109,0.19779249,83.39361702,,,0.12626932,77.47222222,0.07505519,82.58992806,,,,,0.07361963,"Ryan Drese",379,400181
"Ray King","MIL",0.56339581,92.17647059,0.40904079,84.29432624,,,,,0.0275634,83.47619048,,,,,0.07354443,"Ray King",693,150037
"Livan Hernandez","SFG",0.5937306,86.09459459,0.14928616,80.04532578,,,0.17877095,71.31444759,0.07821229,76.07526882,,,,,0.0730725,"Livan Hernandez",1116,115817
"Jose Lima","DET",0.53639083,85.85175202,0.1335992,80.75728155,,,,,0.33000997,80.1886121,,,,,0.07301294,"Jose Lima",475,117769
"Terry Mulholland","- - -",0.7266436,86.41035857,0.23529412,74.85355649,,,,,0.03806228,79.725,,,,,0.07297514,"Terry Mulholland",665,119488
"Jeff Fassero","- - -",0.61698284,89.74456522,0.3134598,80.03529412,,,,,0.06955736,81.32307692,,,,,0.07286432,"Jeff Fassero",279,114032
"Dennis Tankersley","SDP",0.61275089,90.47795824,0.29397875,80.57657658,,,0.04250295,78.62857143,0.05076741,81.05128205,,,,,0.07228916,"Dennis Tankersley",1054,407807
"Mark Redman","DET",0.59307065,85.90822027,0.1470788,73.11326861,,,0.00067935,,0.2591712,77.51083591,,,,,0.07217145,"Mark Redman",491,150230
"David Riske","CLE",0.87965921,88.80649926,,,,,0.08093717,75.76785714,0.03940362,75.12903226,,,,,0.07213439,"David Riske",402,228594
"Doug Nickle","- - -",0.71830986,91.67763158,,,,,0.23591549,78,0.04577465,81,,,,,0.07189542,"Doug Nickle",963,276518
"Mike Morgan","ARI",0.68925234,84.66834171,0.13084112,80.36170213,,,0.04672897,76.35714286,0.10280374,79.57894737,0.03037383,82.66666667,,,0.07158351,"Mike Morgan",67,119374
"Dave Veres","STL",0.5315534,85.63307985,0.12055016,75.83846154,,,,,0.14967638,79,0.19822006,78.28571429,,,0.06997743,"Dave Veres",1188,123707
"Jayson Durocher","MIL",0.77581121,92.6967033,0.13421829,82.97560976,,,,,,,0.0899705,81.63157895,,,0.06995885,"Jayson Durocher",1497,284565
"David Wells","NYY",0.65695682,88.10777958,,,,,0.27553119,73.42857143,0.06751199,80.13286713,,,,,0.06981192,"David Wells",855,124071
"Brian Boehringer","PIT",0.82142857,92.56461538,0.14547038,84.43119266,,,,,0.03310105,83.73076923,,,,,0.06969206,"Brian Boehringer",984,111145
"Keith Foulke","CHW",0.58009479,88.7397541,0.13649289,82.73333333,,,,,0.28341232,78.80859375,,,,,0.0696649,"Keith Foulke",231,114342
"Joel Pineiro","SEA",0.58645833,90.35650379,0.16215278,84.74049217,,,0.13159722,77.19672131,0.11979167,83.48765432,,,,,0.06946688,"Joel Pineiro",1094,334492
"Esteban Yan","TBD",0.66634981,93.09302326,0.15969582,83.97122302,,,,,,,0.17395437,83.06521739,,,0.06902655,"Esteban Yan",1236,124643
"Mike Maroth","DET",0.57852132,83.89845475,0.04749056,80.08108108,,,0.16675661,73.5323741,0.20723152,74.58536585,,,,,0.06884422,"Mike Maroth",1508,400077
"Jeriome Robertson","HOU",0.61073826,87.54545455,0.22818792,83.32352941,,,0.16107383,73.83333333,,,,,,,0.06875,"Jeriome Robertson",1619,276359
"Kevin Walker","SDP",0.69325153,90.27956989,0.26380368,80.925,,,,,0.04294479,80,,,,,0.06857143,"Kevin Walker",1060,276526
