Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Kevin Pickford","SDP",0.09311741,0.64468864,0.38269231,0.52173913,0.875,0.83417085,0.525,0.52777778,0.0629771,0.16603053,0.22900763,"Kevin Pickford",1473,150260
"Lance Carter","TBD",0.24,0.79591837,0.51515152,0.38888889,0.88034188,0.76470588,0.49494949,0.56962025,0.12121212,0.10774411,0.22895623,"Lance Carter",1592,238796
"Mike Smith","TOR",0.11708861,0.71264368,0.42921687,0.51351351,0.87096774,0.8245614,0.52409639,0.44827586,0.07680723,0.15210843,0.22891566,"Mike Smith",1479,420944
"Jose Cabrera","MIL",0.18171296,0.74049946,0.47002801,0.59235669,0.84457478,0.79737783,0.51596639,0.54008439,0.09452736,0.13432836,0.22885572,"Jose Cabrera",679,111850
"Chris Brock","BAL",0.19805195,0.71099744,0.48497854,0.6557377,0.89568345,0.85250737,0.55937053,0.60416667,0.07102273,0.15767045,0.22869318,"Chris Brock",130,111496
"Dennis Springer","LAD",0,0.70588235,0.34285714,,0.83333333,0.83333333,0.48571429,0.42857143,0.05714286,0.17142857,0.22857143,"Dennis Springer",672,122618
"Josias Manzanillo","PIT",0.13953488,0.73170732,0.48803828,0.41666667,0.9,0.84313725,0.58851675,0.6557377,0.07619048,0.15238095,0.22857143,"Josias Manzanillo",996,118268
"Matt Perisho","DET",0.09090909,0.71875,0.46296296,0.83333333,0.85507246,0.85333333,0.59259259,0.48,0.06790123,0.16049383,0.22839506,"Matt Perisho",1423,120419
"Albie Lopez","ATL",0.15686275,0.77755906,0.52138728,0.48214286,0.85063291,0.80487805,0.58728324,0.58677686,0.10034208,0.1277081,0.22805017,"Albie Lopez",102,117913
"Felix Heredia","TOR",0.18809524,0.76412776,0.47158404,0.5443038,0.84244373,0.78205128,0.49214027,0.51724138,0.10191847,0.12589928,0.22781775,"Felix Heredia",1304,115803
"Gary Knotts","FLA",0.140625,0.71595331,0.4288499,0.38888889,0.86413043,0.78636364,0.50097466,0.50393701,0.09143969,0.13618677,0.22762646,"Gary Knotts",1428,276352
"Toby Borland","FLA",0.2,0.71428571,0.44827586,0.54166667,0.9,0.81730769,0.48275862,0.61290323,0.08154506,0.14592275,0.22746781,"Toby Borland",511,111241
"Jason Standridge","TBD",0.03333333,0.72222222,0.40909091,0,0.80769231,0.77777778,0.54545455,0.55555556,0.09090909,0.13636364,0.22727273,"Jason Standridge",1229,285075
"Steve Bechler","BAL",0.18604651,0.8,0.5,0.375,0.86111111,0.77272727,0.51136364,0.52,0.11363636,0.11363636,0.22727273,"Steve Bechler",1590,407852
"Rafael Soriano","SEA",0.18351064,0.7287234,0.45611702,0.55072464,0.88321168,0.81632653,0.5,0.51485149,0.08344371,0.14304636,0.22649007,"Rafael Soriano",1100,400089
"Gary Glover","CHW",0.1533396,0.7161395,0.45557491,0.60122699,0.89694224,0.85086042,0.53702091,0.55629139,0.06788512,0.15752829,0.2254134,"Gary Glover",234,150474
"Valerio De Los Santos","MIL",0.13648294,0.78455285,0.50171821,0.48076923,0.84715026,0.80365297,0.56357388,0.52320675,0.09739524,0.12797282,0.22536806,"Valerio De Los Santos",681,136304
"Rick Bauer","BAL",0.17919075,0.70987654,0.4358209,0.58870968,0.91086957,0.84246575,0.48358209,0.56703911,0.06819867,0.15715345,0.22535211,"Rick Bauer",125,407400
"Jeff Suppan","KCR",0.15186615,0.73449921,0.4713746,0.53389831,0.88600289,0.83477189,0.5483871,0.60526316,0.07835171,0.14683691,0.22518862,"Jeff Suppan",633,122987
"Brian Cooper","TOR",0.21428571,0.7037037,0.47682119,0.53333333,0.87719298,0.80555556,0.53642384,0.75609756,0.09271523,0.13245033,0.22516556,"Brian Cooper",1295,150001
"Jeff Williams","LAD",0.14529915,0.79090909,0.45814978,0.70588235,0.79310345,0.77884615,0.4845815,0.55555556,0.10132159,0.12334802,0.2246696,"Jeff Williams",674,237796
"Brian Powell","DET",0.23809524,0.69444444,0.46391753,0.72380952,0.89333333,0.84938272,0.49484536,0.58661417,0.07101947,0.1534937,0.22451317,"Brian Powell",490,150064
"Jose Rodriguez","- - -",0.10638298,0.65957447,0.38297872,0.2,0.96774194,0.86111111,0.5,0.53333333,0.05102041,0.17346939,0.2244898,"Jose Rodriguez",1180,316792
"Joaquín Benoit","TEX",0.18322581,0.71763255,0.45649433,0.52112676,0.88487973,0.81353591,0.51134931,0.53333333,0.08627204,0.1372796,0.22355164,"Joaquin Benoit",1437,276542
"Dewon Brazelton","TBD",0.23255814,0.77380952,0.5,0.5,0.89230769,0.8,0.49411765,0.50980392,0.1,0.12352941,0.22352941,"Dewon Brazelton",1195,407376
"Tyler Walker","NYM",0.11842105,0.69158879,0.45355191,0.22222222,0.93243243,0.85542169,0.58469945,0.46938776,0.06382979,0.15957447,0.22340426,"Tyler Walker",901,400104
"Kirk Rueter","SFG",0.08674532,0.65706371,0.4038817,0.656,0.9148398,0.89016018,0.55606901,0.52718676,0.04405017,0.17925971,0.22330988,"Kirk Rueter",1128,121541
"Jose Acevedo","CIN",0.16666667,0.71875,0.46995708,0.45714286,0.89673913,0.82648402,0.54935622,0.55357143,0.08137045,0.14132762,0.22269807,"Jose Acevedo",307,406895
"Julian Tavarez","FLA",0.13742926,0.68903803,0.42435997,0.49411765,0.90584416,0.84186472,0.52017067,0.51680672,0.06656406,0.15582917,0.22239323,"Julian Tavarez",541,123118
"Joe Mays","MIN",0.11461794,0.74291939,0.49407895,0.43478261,0.88856305,0.84687084,0.60394737,0.59808612,0.07631579,0.14473684,0.22105263,"Joe Mays",740,150222
"Julio Santana","DET",0.18244804,0.74332649,0.47934783,0.39240506,0.87292818,0.78684807,0.52934783,0.56903766,0.1012931,0.11961207,0.22090517,"Julio Santana",496,121690
"John Thomson","- - -",0.18313253,0.76298507,0.51575342,0.65350877,0.87558685,0.84196547,0.57363014,0.6225,0.08093464,0.13951913,0.22045378,"John Thomson",453,123307
"Tanyon Sturtze","TBD",0.17569982,0.73217116,0.4706047,0.59322034,0.8989899,0.84533016,0.52995521,0.60615079,0.07320481,0.14724783,0.22045264,"Tanyon Sturtze",1230,122915
"Kevin Joseph","STL",0.06493506,0.73,0.44067797,0.4,0.91780822,0.88461538,0.56497175,0.59615385,0.05084746,0.16949153,0.22033898,"Kevin Joseph",1160,276529
"Mike Hampton","COL",0.14637579,0.73138129,0.45354278,0.55769231,0.88511749,0.83492999,0.52506684,0.52983294,0.07495003,0.14523651,0.22018654,"Mike Hampton",430,115399
"Courtney Duncan","CHC",0.15384615,0.71428571,0.53658537,0.5,0.8,0.77272727,0.68292683,0.5,0.12195122,0.09756098,0.2195122,"Courtney Duncan",276,400131
"Jason Christiansen","SFG",0,0.71428571,0.4109589,,0.86666667,0.86666667,0.57534247,0.57142857,0.05479452,0.16438356,0.21917808,"Jason Christiansen",1111,112270
"Calvin Maduro","BAL",0.16055046,0.72144289,0.45989305,0.55714286,0.90555556,0.84883721,0.53368984,0.53359684,0.07013815,0.1487779,0.21891605,"Calvin Maduro",151,118130
"Victor Zambrano","TBD",0.17131474,0.72604284,0.43151772,0.48255814,0.87732919,0.79411765,0.46906399,0.477842,0.08791209,0.13082156,0.21873365,"Victor Zambrano",1237,406913
"Oswaldo Mairena","FLA",0.14671815,0.75465839,0.48364888,0.57894737,0.86831276,0.82918149,0.55421687,0.57432432,0.08261618,0.13597246,0.21858864,"Oswaldo Mairena",528,342192
"Tim Drew","MON",0.15306122,0.8030303,0.52608696,0.6,0.85849057,0.82644628,0.57391304,0.5625,0.09130435,0.12608696,0.2173913,"Tim Drew",380,282328
"Grant Roberts","NYM",0.18412698,0.74412533,0.49140401,0.60344828,0.87368421,0.82798834,0.5487106,0.57291667,0.08194444,0.13472222,0.21666667,"Grant Roberts",894,150241
"Everett Stull","MIL",0.11235955,0.73267327,0.44210526,0.2,0.90540541,0.82142857,0.53157895,0.47169811,0.07731959,0.13917526,0.21649485,"Everett Stull",712,122904
"Jesus Sanchez","CHC",0.19827586,0.69620253,0.4,0.60869565,0.90909091,0.82051282,0.40512821,0.49019608,0.07035176,0.14572864,0.2160804,"Jesus Sanchez",1476,133260
"Brandon Lyon","TOR",0.19198312,0.70871985,0.46692991,0.71428571,0.91623037,0.87737844,0.53208292,0.58064516,0.05669599,0.15933529,0.21603128,"Brandon Lyon",1312,407193
"Scott Chiasson","CHC",0.19047619,0.75409836,0.46774194,0.41666667,0.89130435,0.79310345,0.49193548,0.51612903,0.096,0.12,0.216,"Scott Chiasson",269,400130
"Rodney Myers","SDP",0.18125,0.71808511,0.47126437,0.62068966,0.88148148,0.83536585,0.54022989,0.6039604,0.07758621,0.13793103,0.21551724,"Rodney Myers",1511,119629
"Andy Van Hekken","DET",0.1641791,0.69387755,0.45515695,0.6969697,0.94705882,0.90640394,0.54932735,0.55725191,0.0426009,0.17264574,0.21524664,"Andy Van Hekken",1630,407843
"Tom Martin","TBD",0.21052632,0.82608696,0.54761905,0.75,0.78947368,0.7826087,0.54761905,0.54545455,0.11904762,0.0952381,0.21428571,"Tom Martin",1219,118353
"Miguel Asencio","KCR",0.1195097,0.74041812,0.45463094,0.48717949,0.85529412,0.81075491,0.53972732,0.46678636,0.08618267,0.12786885,0.21405152,"Miguel Asencio",586,407900
"Kevin Frederick","MIN",0.07920792,0.74257426,0.41089109,0.625,0.8,0.78313253,0.5,0.39285714,0.08910891,0.12376238,0.21287129,"Kevin Frederick",1536,407864
"Delvin James","TBD",0.15241636,0.69201521,0.41917293,0.6097561,0.95054945,0.88789238,0.4943609,0.53333333,0.04850746,0.1641791,0.21268657,"Delvin James",1215,400126
"Ben Diggins","MIL",0.05741627,0.73684211,0.39712919,0.41666667,0.87012987,0.8373494,0.5,0.42372881,0.06398104,0.14691943,0.21090047,"Ben Diggins",1599,424947
"Jimmy Osting","MIL",0.03225806,0.71428571,0.40221402,0,0.86666667,0.83486239,0.54243542,0.484375,0.06617647,0.14338235,0.20955882,"Jimmy Osting",701,275701
"Jason Phillips","CLE",0.17846154,0.68862275,0.4370258,0.55172414,0.93043478,0.85416667,0.50682853,0.5027027,0.06373293,0.14567527,0.20940819,"Jason Phillips",1549,150259
"Aaron Cook","COL",0.12669683,0.68551237,0.44047619,0.46428571,0.94845361,0.88738739,0.56150794,0.55844156,0.04960317,0.15873016,0.20833333,"Aaron Cook",1571,346871
