Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Randy Johnson","ARI",21,6,2.487316371223717,35,34,27,3,2,0,,,249.2,994,181,74,69,19,71,2,18,8,1,372,"Randy Johnson",60,116615
"Curt Schilling","ARI",22,6,2.9805195986470645,35,35,27,6,1,0,,,256.2,1021,237,86,85,37,39,0,1,4,0,293,"Curt Schilling",73,121811
"Hideo Nomo","BOS",13,10,4.5,33,33,16,2,2,0,,,198,849,171,105,99,26,96,2,3,6,0,220,"Hideo Nomo",666,119827
"Chan Ho Park","LAD",15,11,3.499999771770264,36,35,26,2,1,0,,,234,981,183,98,91,23,91,1,20,3,3,218,"Chan Ho Park",1267,120221
"Kerry Wood","CHC",12,6,3.3556406332753586,28,28,20,1,1,0,,,174.1,740,127,70,65,16,92,3,10,9,0,217,"Kerry Wood",304,134268
"Mike Mussina","NYY",17,11,3.1486879766105456,34,34,24,4,3,0,,,228.2,909,202,87,80,20,42,2,4,6,0,214,"Mike Mussina",837,119608
"Roger Clemens","NYY",20,3,3.512859141900222,33,33,21,0,0,0,,,220.1,918,205,94,86,19,72,1,5,14,0,213,"Roger Clemens",815,112388
"Javier Vazquez","MON",16,11,3.4202679452211795,32,32,19,5,3,0,,,223.2,898,197,92,85,24,44,4,3,3,1,208,"Javier Vazquez",801,134320
"Barry Zito","OAK",17,8,3.485225836269523,35,35,24,3,2,0,,,214.1,902,184,92,83,18,80,0,13,6,1,205,"Barry Zito",944,217096
"Bartolo Colon","CLE",14,12,4.088455865644506,34,34,19,1,0,0,,,222.1,947,220,106,101,26,90,2,2,4,1,201,"Bartolo Colon",375,112526
"John Burkett","ATL",12,12,3.036474023304205,34,34,22,1,1,0,,,219.1,902,187,83,74,17,70,13,6,5,1,187,"John Burkett",179,111734
"Matt Morris","STL",22,8,3.161787216502175,34,34,24,2,1,0,,,216.1,909,218,86,76,13,54,3,13,5,1,185,"Matt Morris",1172,119403
"Wade Miller","HOU",16,8,3.396226170649534,32,32,21,1,0,0,,,212,873,183,91,80,31,76,3,4,8,0,183,"Wade Miller",568,150063
"Robert Person","PHI",15,7,4.190399795390635,33,33,18,3,1,0,,,208.1,867,179,103,97,34,80,3,8,10,1,183,"Robert Person",966,120447
"Tim Hudson","OAK",18,9,3.370212765957447,35,35,25,3,0,0,,,235,980,216,100,88,20,71,5,6,9,1,181,"Tim Hudson",921,218596
"Darryl Kile","STL",16,11,3.087976815945964,34,34,22,2,1,0,,,227.1,956,228,83,78,22,65,3,11,6,1,179,"Darryl Kile",1163,117046
