Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Randy Johnson","ARI",21,6,0,35,34,249.2,13.409879566597432,2.559412497925854,0.684913203670299,0.3151750972762646,0.80525883,,,,2.487316371223717,,2.1279085437378074,,10.351997435092926,"Randy Johnson",60,116615
"Curt Schilling","ARI",22,6,0,35,35,256.2,10.274026381218706,1.3675325217321825,1.2974026488228398,0.30721966205837176,0.84813499,,,,2.9805195986470645,,3.1075783901340066,,7.233248710632324,"Curt Schilling",73,121811
"Mike Mussina","NYY",17,11,0,34,34,228.2,8.42274033743321,1.6530611877205366,0.7871719941526364,0.2893481717011129,0.73181818,,,,3.1486879766105456,,2.917941497017448,,6.9215989112854,"Mike Mussina",837,119608
"Greg Maddux","ATL",17,11,0,34,34,233,6.682402995856748,1.0429183866366023,0.772532138249335,0.2857142857142857,0.74336283,,,,3.051501946084873,,3.117806352776162,,6.261125087738037,"Greg Maddux",104,118120
"Matt Morris","STL",22,8,0,34,34,216.1,7.696455724380295,2.2465330222515454,0.540832023875372,0.31832298136645965,0.74587706,,,,3.161787216502175,,3.0491368293762213,,6.100847244262695,"Matt Morris",1172,119403
"Javier Vazquez","MON",16,11,0,32,32,223.2,8.369596854188298,1.77049164223214,0.9657227139448037,0.27948303715670436,0.72243346,,,,3.4202679452211795,,3.2145615535241734,,6.097588539123535,"Javier Vazquez",801,134320
"Andy Pettitte","NYY",15,10,0,31,31,200.2,7.355482100450996,1.838870525112749,0.6279070085750851,0.33175355450236965,0.66825776,,,,3.9916945545130407,,3.024219884591495,,5.790872573852539,"Andy Pettitte",840,120485
"Mark Mulder","OAK",21,8,0,34,34,229.1,6.004360598283825,2.0014535327612752,0.627906990670204,0.28205128205128205,0.71890145,,,,3.4534884486861217,,3.3543693942853476,,5.65852165222168,"Mark Mulder",932,150426
"Roger Clemens","NYY",20,3,0,33,33,220.1,8.700453456101712,2.9409983513583255,0.7760967871640025,0.3054187192118227,0.73610023,,,,3.512859141900222,,3.285142869917321,,5.648586750030518,"Roger Clemens",815,112388
"Pedro Martínez","BOS",7,3,0,18,18,116.2,12.574285166090386,1.9285713444923904,0.3857142688984781,0.30739299610894943,0.75925926,,,,2.3914284671705643,,1.609136892155236,,5.53420877456665,"Pedro Martinez",200,118377
"Freddy Garcia","SEA",18,6,0,34,34,238.2,6.146647913700553,2.6019552518118907,0.603351942449134,0.25487465181058494,0.73822825,,,,3.054469208648741,,3.484891010033929,,5.335499286651611,"Freddy Garcia",1077,150119
"John Burkett","ATL",12,12,0,34,34,219.1,7.67325192375522,2.8723402923147883,0.69756835670502,0.2733118971061093,0.75250836,,,,3.036474023304205,,3.3910821022708384,,5.135560035705566,"John Burkett",179,111734
"Tim Hudson","OAK",18,9,0,35,35,235,6.931914893617021,2.7191489361702126,0.7659574468085106,0.2792022792022792,0.72830189,,,,3.370212765957447,,3.598072999588987,,5.105966091156006,"Tim Hudson",921,218596
"Barry Zito","OAK",17,8,0,35,35,214.1,8.608087908858462,3.3592538180911067,0.755832109070499,0.2832764505119454,0.73471009,,,,3.485225836269523,,3.5296967505753654,,4.822361946105957,"Barry Zito",944,217096
"Brad Penny","FLA",10,10,0,31,31,205,6.760975106515644,2.3707315308561347,0.6585365363489264,0.27860696517412936,0.68161435,,,,3.6878046035539875,,3.390600218594183,,4.634068012237549,"Brad Penny",535,207267
"Darryl Kile","STL",16,11,0,34,34,227.1,7.0865108981324045,2.5733140132883032,0.870967819882195,0.30338733431516934,0.80893119,,,,3.087976815945964,,3.735353899586435,,4.522169589996338,"Darryl Kile",1163,117046
