Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Kevin Appier","NYM",7.49032294933309,2.7870969113797543,2.6875,0.9580645632867906,0.20093458,0.07476636,0.12616822,0.23294723294723294,1.1854839293195136,0.2727272727272727,0.7460733,85.37913935740204,91.285244801313,,3.5709679177053104,3.9152659042668043,-0.3442979865614939,,,"Kevin Appier",3,110293
"Mickey Callaway","TBD",3.6,3.6,1,3.6,0.1,0.1,0,0.16666666666666666,1,0.07142857142857142,0.45454545,160.74214131321733,195.84220486683742,,7.2,8.649136829376221,-1.4491368293762212,,,"Mickey Callaway",7,209068
"Dennis Cook","- - -",7.489054170693419,2.759125220781786,2.71428571,1.5766429833038778,0.19587629,0.07216495,0.12371134,0.24157303370786518,1.2481756951155698,0.26515151515151514,0.73221757,107.7781260093321,109.88996214965917,,4.532848576998648,4.713371089530314,-0.18052251253166585,,,"Dennis Cook",8,112621
"Al Levine","ANA",4.757709411006353,3.3303965877044472,1.42857143,0.8325991469261118,0.12658228,0.08860759,0.03797468,0.24825174825174826,1.308370088026747,0.26778242677824265,0.83333333,53.36933861054139,98.63190282639599,,2.3788547055031763,4.383938636353003,-2.0050839308498265,,,"Al Levine",20,117722
"Mark Lukasiewicz","ANA",10.074631741331288,3.6268674268792642,2.77777778,2.417911617919509,0.25510204,0.09183673,0.16326531,0.2413793103448276,1.3432842321775051,0.26785714285714285,0.63559322,135.61394015425293,129.70627971814207,,6.044779044798773,5.780481434803814,0.26429760999495855,,,"Mark Lukasiewicz",21,400081
"J.B. Miadich","ANA",9.899999055862517,7.1999993133545575,1.375,1.7999998283386394,0.26829268,0.19512195,0.07317073,0.18181818181818182,1.3999998664856084,0.2,0.80357143,100.95698585046789,131.23392019662077,,4.499999570846598,5.849136562347438,-1.3491369915008393,,,"J.B. Miadich",23,400082
"Ramon Ortiz","ANA",5.822683989926858,3.2779554313662316,1.77631579,1.0782748129494182,0.14737991,0.08296943,0.06441048,0.2693236714975845,1.432907418097227,0.2964071856287425,0.71376812,97.73153712857263,102.94752112967326,,4.3562302443156495,4.577890897513396,-0.22166065319774653,,,"Ramon Ortiz",27,150009
"Troy Percival","ANA",11.080928276216273,2.8092494221393367,3.94444444,0.4682082370232228,0.30869565,0.07826087,0.23043478,0.18571428571428572,0.9884396114934704,0.2647058823529412,0.72992701,59.52379605617488,52.3395809494378,,2.6531800097982625,2.303471859302199,0.3497081504960633,,,"Troy Percival",29,120401
"Lou Pote","ANA",6.853847561672883,3.32307760565958,2.0625,1.1423079269454806,0.17368421,0.08421053,0.08947368,0.25507246376811593,1.384615669024825,0.2873134328358209,0.76208178,93.1910918914445,98.71334137511596,,4.153847007074475,4.387598642766885,-0.23375163569240964,,,"Lou Pote",30,150010
"Scott Schoeneweis","ANA",4.558440993861286,3.374999581993452,1.35064935,0.9204544314527596,0.11428571,0.08461538,0.02967033,0.2771672771672772,1.4805192971515289,0.2968299711815562,0.67914068,114.06827946477345,105.55865947154037,,5.084414954691434,4.695240521603908,0.3891744330875264,,,"Scott Schoeneweis",33,150011
"Aaron Sele","SEA",4.772093361936586,2.134883872445315,2.23529412,1.046511702179076,0.12680756,0.0567297,0.07007786,0.2568370986920333,1.2418605532525033,0.2720797720797721,0.75732218,83.56890283324897,99.08701754518353,,3.600000255496021,4.309602035111908,-0.7096017796158871,,,"Aaron Sele",34,121986
"Scot Shields","ANA",5.727274713438108,5.727274713438108,1,0,0.14583333,0.14583333,0,0.2,1.3636368365328828,0.24242424242424243,0.9375,0,89.1594461957358,,0,3.958228053731476,-3.958228053731476,,,"Scot Shields",35,276912
"Donne Wall","NYM",6.539062889758521,3.5859377137385438,1.82352941,1.687500100582844,0.16062176,0.0880829,0.07253886,0.2914285714285714,1.5937500949949084,0.3161764705882353,0.77854671,115.99719320480307,123.90644695168629,,4.851562789175676,5.29913696348668,-0.4475741743110033,,,"Donne Wall",39,123849
"Jarrod Washburn","ANA",5.865516932756257,2.5137929711812528,2.33333333,1.163793042213543,0.15498155,0.06642066,0.08856089,0.26063829787234044,1.29310338023727,0.28452579034941766,0.75675676,84.5949952084571,98.39462011259411,,3.7706894567718794,4.373274690739185,-0.6025852339673059,,,"Jarrod Washburn",40,132220
"Ben Weber","ANA",5.268293663265631,4.082927589030864,1.29032258,0.5268293663265631,0.13377926,0.10367893,0.03010034,0.2509505703422053,1.4195124592687949,0.2831050228310502,0.76763485,76.82582548934131,94.9811952723565,,3.42439088112266,4.219868754546361,-0.7954778734237014,,,"Ben Weber",41,276533
"Matt Wise","ANA",9.121622562060233,3.283784122341684,2.77777778,2.0067569636532516,0.23696682,0.08530806,0.15165877,0.24607329842931938,1.3175677034087003,0.27692307692307694,0.7751938,98.22843816045679,115.38766007991036,,4.378378829788912,5.136974882470008,-0.7585960526810958,,,"Matt Wise",42,277184
