Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Luke Maile","CIN",4.1,-2.7834825391893263,,,,,,,,,,,,0.652292529741923,"Luke Maile",13355,571912
"Matt Waldron","SDP",41.1,-4.861304462819859,,1.0982480916109951,,,-9.7206129158068,8.142382869014034,,,,,,-2.560602230495877,"Matt Waldron",25550,663362
"Ernie Clement","TOR",1,-7.032713317871094,,,,,,,,,,,,-3.051158142089844,"Ernie Clement",20352,676391
"George Kirby","SEA",190.2,-5.253283603585881,,,-6.189419573510599,,-9.448578131414203,5.7099236138433005,,4.75385124300733,,-9.530260273054534,,-3.8148059844970703,"George Kirby",25436,669923
"Tommy Hunter","NYM",23.2,-4.106443997087149,,0.07592483188795007,,,-8.086502922905815,,4.918470529409555,,,-5.14457024468316,,,"Tommy Hunter",1157,488984
"Matt Bush","MIL",10.1,-3.3792171667117885,,,,,-7.991481487567608,8.077131271362305,5.820024992290296,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","NYM",61.2,-5.040242513020833,,2.25427820775416,,,-10.55176097494333,8.51673948053728,,,,-8.177562444982394,,,"Adam Ottavino",1247,493603
"Matt Moore","- - -",52.2,6.0489693548446315,,,,,,,,-0.9134508454522421,,10.043130493164062,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",142.1,-1.9733623899709187,,3.4898404341477613,,,-8.873361258671201,7.18364887409382,6.216293432773688,3.6152679920196533,,-7.825080602795774,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",131.2,0.42931321088005514,,,5.691831588745117,,5.389122009277344,-2.4911040044617465,-1.958207939040493,,,6.831332833426339,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",101,-1.3215575999459304,,2.689754070621906,,,-7.952936128286542,8.506411743164062,9.151600596668956,8.197133382161459,,-8.315036730819873,,,"Adam Wainwright",2233,425794
"Corey Kluber","BOS",55,-4.935133229131284,,0.6646986394790706,,,-9.419379131610578,,8.249289454525089,,,-8.88266438283738,,,"Corey Kluber",2429,446372
"Lance Lynn","- - -",183.2,-2.6869734671141696,,0.4976751568553212,,,-7.35078694049577,1.2774810791015625,6.827022454677484,,,-8.728997277997738,,,"Lance Lynn",2520,458681
"Zach McAllister","NYY",5.1,,,-1.25860595703125,,,-8.10361328125,3.7057694329155817,,,,-9.98332299126519,,,"Zach McAllister",2895,502083
"Kenley Jansen","BOS",44.2,,,0.1750228505739024,,,-6.376540909952192,3.4977919634650734,,,,-8.340509414672852,,,"Kenley Jansen",3096,445276
"Max Scherzer","- - -",152.2,-7.154282551513244,,-0.17742005176842213,,,,0.8057417570104921,7.5493192078637295,,,-9.045301629761797,,,"Max Scherzer",3137,453286
"T.J. McFarland","NYM",1.2,,,,,,9.323283081054688,-9.586997477213542,,,,8.845714222301137,,,"T.J. McFarland",3237,519008
"Liam Hendriks","CHW",5,-4.379321827607996,,,,,,1.2196624980253332,-0.8250868916511536,,,,,,"Liam Hendriks",3548,521230
"Charlie Morton","ATL",163.1,-8.266372579164358,,-1.0944868583511151,,,-10.932598212840025,,6.927069549063518,,,-10.502019176744435,,,"Charlie Morton",4676,450203
"Rich Hill","- - -",146.1,4.0579329826928285,,-1.3720248796606576,,,9.823916931152343,-10.421653885025162,-9.178183443719448,-9.217971500597502,,7.4317194182297275,,,"Rich Hill",4806,448179
"Fernando Abad","COL",6.1,4.377582384192425,,,,,7.308904547440378,,,-4.305610988451087,,5.9777984619140625,,,"Fernando Abad",4994,472551
"Jake Diekman","- - -",56.2,11.12655887373165,,2.318870120578342,,,10.94772017629523,-5.787102345670207,,,,10.322830722756581,,,"Jake Diekman",5003,518617
"Josh Donaldson","NYY",1,-3.973851203918457,,,,,,,,,,-10.57379150390625,,,"Josh Donaldson",5038,518626
"Jeurys Familia","OAK",12.2,-6.81524658203125,,,-8.84166145324707,,-9.014277968295785,-0.7069427088687295,,,,,,,"Jeurys Familia",5114,544727
"Sandy León","TEX",1,-5.913448333740234,,,,,,,,,,,,,"Sandy Leon",5273,506702
"Brandon Crawford","SFG",1,-3.543323940700955,,,,,,2.808800220489502,7.219644165039062,,,-8.35223617553711,,,"Brandon Crawford",5343,543063
"Jesse Chavez","ATL",34.2,-6.914604187011719,,-1.039438577425682,,,-10.106658979647422,,8.458420377789121,,,-9.44235099116458,,,"Jesse Chavez",5448,445926
"Madison Bumgarner","ARI",16.2,4.338334971460803,,-0.7517839025278561,,,,,-4.215557595957881,,,8.626562783884447,,,"Madison Bumgarner",5524,518516
"Ryan Brasier","- - -",59.2,-4.634881776751894,,1.3173501859835492,,,-9.009673609878078,2.7302584648132324,,,,-8.14079761505127,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","MIA",58.2,-6.467338260284252,,-1.7065302837325866,,,-10.47767069592454,,,,,-9.275502451649913,,,"Huascar Brazoban",6107,623211
"Eduardo Escobar","LAA",3.2,-3.584045886993408,,,,,,,,,1.1597799573625838,,,,"Eduardo Escobar",6153,500871
"Trevor May","OAK",46.2,-4.187646854285038,,,,,,4.007856605696852,,,,-9.430796011334898,,,"Trevor May",6398,543507
