Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Orion Kerkering","PHI",3,123.44999999999999,104.04,,,136.461568627451,,,,,124.77266666666668,110.83466666666665,134.18633333333335,"Orion Kerkering",31776,689147
"Jonathan Loáisiga","NYY",17.2,85.20142857142856,144.0269090909091,,,,118.42294117647059,103.29217391304347,,,130.80228813559322,102.95000000000003,132.87864406779667,"Jonathan Loaisiga",19753,642528
"José Alvarado","PHI",41.1,,123.68197247706424,142.95673202614378,,,,,,,120.2082162162162,106.92859459459453,132.52391891891892,"Jose Alvarado",17780,621237
"Emmanuel Clase","CLE",72.2,113.51999999999998,,128.21463672391016,,131.1234173669468,,,,,133.47337488869098,97.1098308103295,129.13303650934992,"Emmanuel Clase",21032,661403
"Jacob deGrom","TEX",30.1,123.55463829787236,,,,137.53928143712574,139.66,122.5,,,123.50760000000002,105.50168888888889,128.96457777777775,"Jacob deGrom",10954,594798
"Félix Bautista","BAL",61,129.63807580174927,,,137.95278688524587,70.00255319148938,,,,,126.45608883405296,95.99822331893893,127.06370141887719,"Felix Bautista",20666,642585
"Guillo Zuñiga","STL",2,110.50999999999999,,,,159.53882352941176,,26.5,,,121.93162790697676,110.31534883720929,125.9860465116279,"Guillo Zuniga",19588,670871
"Tyler Rogers","SFG",74,,121.33989565217392,,,128.59003649635042,,,,,124.65235452103856,106.30347358997312,125.52723366159353,"Tyler Rogers",15541,643511
"Brusdar Graterol","LAD",67.1,85.89513244650085,147.8879012345679,100.20322337709231,,121.12309734513275,,,,,121.8402035489666,105.9961943471421,124.26122604591555,"Brusdar Graterol",20367,660813
"Ryan Helsley","STL",36.2,116.33096774193548,,,,137.43058295964124,99.77441860465115,,,,124.27064250411864,99.99775947281715,122.90968698517295,"Ryan Helsley",18138,664854
"Tanner Scott","MIA",78,116.66440559440561,,,,128.06624605678232,,,,,123.73865671641789,99.51930348258702,122.67412935323384,"Tanner Scott",17586,656945
"Yennier Cano","BAL",72.2,102.83882352941175,127.48686832740215,,,109.80217391304349,,119.45921985815603,,,114.25433628318584,109.11191740412983,122.07476892822024,"Yennier Cano",25911,666974
"Zack Wheeler","PHI",192,129.27709489051094,129.60517605633802,105.60132450331126,,115.84997416020668,111.76121883656508,41.42307692307692,,,116.6682170050761,106.34307741116756,121.9518908629442,"Zack Wheeler",10310,554430
"Griffin Jax","MIN",65.1,107.32485106382983,121.86716417910445,109.08533333333334,,129.5168058076225,,119.47913978494623,,,112.61982725527827,110.59078694817653,121.95072936660266,"Griffin Jax",20253,643377
"Blair Calvo","COL",1,,192.42000000000002,,,62.06,,,,,96.88545454545452,112.08000000000001,121.31454545454545,"Blair Calvo",25416,663971
