Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Aaron Miles","STL",2,,,,,,,,,,,,,6.883937358856201,"Aaron Miles",1844,425446
"Jeff Cirillo","ARI",1,,,,,,,5.159999847412109,,,,9.819999694824219,,4.4430999755859375,"Jeff Cirillo",1073,112297
"Tim Wakefield","BOS",189,10.83899974822998,,,,,,,-5.960999862007473,,,,,2.9676872132316467,"Tim Wakefield",219,123801
"Charlie Haeger","CHW",11.1,10.230599975585937,,,,,,7.86899995803833,-0.1465999960899353,,,7.854052894993832,,2.894380381409551,"Charlie Haeger",3545,446624
"Ramon Ortiz","- - -",104,7.332396480015346,,,,,6.998999913533528,4.100575513617937,,,,6.601604816525481,,,"Ramon Ortiz",27,150009
"Troy Percival","STL",40,10.863019382992986,,,,,,4.881194644504124,-7.222930198492006,,,6.303000132242839,,,"Troy Percival",29,120401
"Scott Schoeneweis","NYM",59,8.115230462489984,,,,,4.502999782562256,3.9174681318567153,-0.057999998331069946,,,6.156000137329102,,,"Scott Schoeneweis",33,150011
"Aaron Sele","NYM",53.2,7.221931501116072,,7.463727084073153,,,9.539000193277994,6.083379285088901,-4.420543504797894,,,5.829285757882254,,,"Aaron Sele",34,121986
"Scot Shields","LAA",77,9.209354989628427,,,,,-8.552000045776367,4.118000030517578,-8.173258016397664,,,6.214666578504774,,,"Scot Shields",35,276912
"Scott Spiezio","STL",1,10.675800323486328,,,,,,,,,,3.6398666381835936,,,"Scott Spiezio",37,122596
"Jarrod Washburn","SEA",193.2,9.06086659724355,,6.616914789727393,5.41980961390904,,,3.8969629681299605,-0.3299374920981271,,,4.9669683915150316,,,"Jarrod Washburn",40,132220
"Matt Wise","MIL",53.2,12.339617473323171,,,,,,9.691444396972656,0.9950000047683716,,,7.926956545327597,,,"Matt Wise",42,277184
"Miguel Batista","SEA",193,7.248143268704002,,7.359028759591653,5.3405498504638675,,3.512125015258789,4.584030849235167,-2.4427858080182756,,,6.48855840973556,,,"Miguel Batista",46,110683
"Randy Johnson","ARI",56.2,,,,,,,,,,,,,,"Randy Johnson",60,116615
"Byung-Hyun Kim","- - -",118.1,2.0906893318221416,,,,,,-0.445269260651026,-2.232300116121769,,,-1.9023734288043286,,,"Byung-Hyun Kim",61,218294
"Mike Koplove","CLE",6,0.4712857291811988,,,,,3.3933334350585938,-1.1950000524520874,-4.414000034332275,,,6.025500297546387,,,"Mike Koplove",63,407377
"Mike Myers","- - -",54.1,-1.8963192851603532,,,,,,3.262500031789144,-4.8762886340801535,,,2.9310000283377513,,,"Mike Myers",68,119624
"John Patterson","WSN",31.1,14.006250554865057,,,,,,7.064588210161994,-3.344374895095825,,,,,,"John Patterson",71,279568
"Curt Schilling","BOS",151,11.09128623870482,,7.878571646554129,3.1075881060431985,,,4.8194494912790695,-2.6382921607093475,,,6.695657830489309,,,"Curt Schilling",73,121811
"John Ennis","PHI",7.2,9.699624010311659,,8.443999767303467,,,,3.1244062185287476,-0.6929999987284342,,,6.280200004577637,,,"John Ennis",85,407795
"Tom Glavine","NYM",200.1,10.805356148994063,,3.815999984741211,,,,7.331882252412684,-2.211199951171875,,,9.927774617960164,,,"Tom Glavine",90,114849
"Greg Maddux","SDP",198,5.875457789082015,,7.368496414518704,,,7.047000282689145,5.148698825280643,-2.332937479019165,,,5.352171776053138,,,"Greg Maddux",104,118120
"Jason Marquis","CHC",191.2,7.304689349079326,,,,,5.768207478073408,4.1684370716725745,-4.621077024019682,,,6.239582604919838,,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",172.2,9.839469813093354,,6.056908162434896,4.635333591037327,,,4.259597830756014,-6.821376130572356,,,6.4789921875,,,"Kevin Millwood",106,119154
"Horacio Ramirez","SEA",98,7.9502420125227,,,,,,4.033596213804472,-1.2266300201416016,,,6.339301084860777,,,"Horacio Ramirez",110,400141
"John Smoltz","ATL",205.2,9.582671138918629,,7.421048792397103,3.535132066258844,,3.7673331366644964,3.822815620652822,-3.3120555574931796,,,5.222955484305863,,,"John Smoltz",115,122477
"Dan Wheeler","- - -",74.2,9.383816855294365,,,3.7424999872843423,,,4.942517313463934,-4.343714305332729,,,5.101096830060405,,,"Dan Wheeler",120,235095
"Erik Bedard","BAL",182,9.555294027673193,,,,,,-4.268450164794922,-7.015211252065805,,,5.566175079345703,,,"Erik Bedard",126,407853
"Travis Driskill","HOU",6,11.295537860576923,,,,,,,,,,3.5707778930664062,,,"Travis Driskill",134,150344
"Jorge Julio","- - -",62,8.756754368211258,,,,,,2.163328214456107,,,,4.523307653573843,,,"Jorge Julio",148,406402
"Rodrigo Lopez","COL",79.1,9.951640014648438,,10.96300021084872,,,,0.17824999491373697,-2.0510001182556152,,,7.168299865722656,,,"Rodrigo Lopez",150,150438
"John Parrish","- - -",52,8.50484890407986,,,,,,2.092424516197589,-3.8000001907348633,,,6.351812541484833,,,"John Parrish",160,332292
"Sidney Ponson","MIN",37.2,,,,,,,,,,,,,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",4.1,10.548500061035156,,,,,,2.7076000213623046,,,,,,,"B.J. Ryan",168,124805
"Rafael Betancourt","CLE",79.1,12.632008734081769,,,,,,3.053211505596454,,,,8.690333048502604,,,"Rafael Betancourt",177,429783
"Casey Fossum","TBD",76,7.389499779903527,,,,,,1.7230908653952859,-4.406307587256799,,,4.930999755859375,,,"Casey Fossum",188,407154
"Derek Lowe","LAD",199.1,3.785932872362095,,,,,3.6516740218452783,1.1496944851345485,-1.509481500696253,,,2.0208284808056693,,,"Derek Lowe",199,117955
"Pedro Martínez","NYM",28,7.736104864823191,,9.344499588012695,,,,4.897304369055706,-4.249166806538899,,,4.455761864071801,,,"Pedro Martinez",200,118377
"Darren Oliver","LAA",64.1,8.636477373231132,,1.8528332710266113,,,,-0.07644186463466911,-1.6275620286482093,,,,,,"Darren Oliver",206,119984
"Mark Buehrle","CHW",201,8.790865384615385,,5.003496567979991,,,,4.371734344207488,-3.0333592798802758,,,5.957974850722254,,,"Mark Buehrle",225,279824
"Jon Garland","CHW",208.1,10.363399575824387,,,,,12.431087328040082,4.385164910854574,-0.4851827724005586,,,7.134471591876703,,,"Jon Garland",232,279782
"Gary Glover","TBD",77.1,10.955866617449162,,,,,,4.331904820033482,-4.6249355193107355,,,7.400399780273437,,,"Gary Glover",234,150474
"Bob Howry","CHC",81.1,8.265299729567309,,,,,9.14799976348877,2.417767369469931,,,,5.627842150236431,,,"Bob Howry",237,133982
"Damaso Marte","PIT",45.1,9.52904288999496,,,,,,1.0332758673306168,-2.4045000076293945,,,3.9170002937316895,,,"Damaso Marte",247,150122
"Antonio Alfonseca","PHI",49.2,7.048985870791153,,7.172999858856201,,,7.892599487304688,7.214799499511718,,,,7.312100219726562,,,"Antonio Alfonseca",260,110134
"Joe Borowski","CLE",65.2,11.131740366436834,,,,,,1.8152204944241432,-2.692000071207682,,,0.27674998555864605,,,"Joe Borowski",267,111244
"Juan Cruz","ARI",61,9.918560397240423,,,,,,0.9974586658908012,-2.3118667602539062,,,5.403800048828125,,,"Juan Cruz",273,407297
"Kyle Farnsworth","NYY",60,9.927474975585938,,,,,-1.1719999313354492,1.1525956823470744,-5.079999923706055,,,-3.1130001544952393,,,"Kyle Farnsworth",278,150035
"Tom Gordon","PHI",40,10.026763034004697,,12.82699966430664,,,,1.9809032563240296,-3.7816250324249268,,,-2.125,,,"Tom Gordon",282,114971
"Jon Lieber","PHI",78,7.993807866023137,,,,,,5.290844387478298,,,,5.297999790736607,,,"Jon Lieber",287,117758
"Ron Mahay","- - -",67,10.600939501513231,,2.896333270602756,,,,2.683606080334596,-1.1242857319968087,,,6.855419055835621,,,"Ron Mahay",290,118158
"Will Ohman","CHC",36.1,9.005880393729305,,,,,,2.2837023053850447,-0.11828123033046722,,,3.4176314504523027,,,"Will Ohman",296,349193
"Augie Ojeda","ARI",1,,,,,,,,,,,,,,"Augie Ojeda",297,324432
"Kerry Wood","CHC",24.1,9.38044895481419,,,,,,-0.8268142700195312,-7.967719078063965,,,7.6595001220703125,,,"Kerry Wood",304,134268
"Carlos Zambrano","CHC",216.1,6.830473622445594,,7.164563375806051,,,3.3264773975719106,2.738320557967476,-1.9762692084679236,,,2.658718214509237,,,"Carlos Zambrano",305,407296
"Jim Brower","NYY",3.1,,,,,,,,,,,,,,"Jim Brower",313,150342
"Elmer Dessens","- - -",34,9.112427493175828,,,,,7.045000076293945,3.537636496803977,-2.5499374866485596,,,5.497351569098395,,,"Elmer Dessens",317,113296
"Chris Reitsma","SEA",23.2,8.333208356584821,,,,,5.552499771118164,3.7863962425375886,-2.9316443549262154,,,10.718999914220861,,,"Chris Reitsma",348,277410
"Scott Williamson","BAL",14.1,8.585045554421164,,,4.413000106811523,,,3.410416497124566,,,,4.344624996185303,,,"Scott Williamson",361,150182
"Danys Baez","BAL",50.1,9.920556949663766,,,,,,4.002333323160808,-1.3138518156828705,,,5.45033327738444,,,"Danys Baez",367,276056
"Bartolo Colon","LAA",99.1,8.808424563808295,,,,,,3.4968088935403263,-2.302999973297119,,,7.273152496855138,,,"Bartolo Colon",375,112526
"Chad Paronto","ATL",40.1,6.517159282297328,,,,,4.578555636935764,2.6041984266907203,-3.1994285583496094,,,4.460625076293946,,,"Chad Paronto",399,406301
"David Riske","KCR",69.2,11.084162679950843,,,6.909999847412109,,,2.6038331985473633,-3.4383331934611,,,4.542098784110915,,,"David Riske",402,228594
"CC Sabathia","CLE",241,9.575009147221307,,,,,,0.7187450150569596,-0.09999997913837433,,,6.140786246366279,,,"CC Sabathia",404,282332
"Paul Shuey","BAL",25.2,9.66195323855378,,,3.7108750343322754,,,,-3.319733428955078,,,4.630777570936415,,,"Paul Shuey",406,122201
"Billy Traber","WSN",39.2,5.641815185546875,,,,,,,-6.320749759674072,,,2.3296898151266165,,,"Billy Traber",410,407896
"Jake Westbrook","CLE",152,4.035925184668092,,6.8031427292596724,,,4.5499997820172995,3.1326478770081425,-2.9141667683919272,,,1.7936460127741654,,,"Jake Westbrook",412,150414
"Bob Wickman","- - -",50.1,8.76001354204771,,,,,4.009750008583069,2.3623605328936907,-0.9990526249534205,,,5.814333597819011,,,"Bob Wickman",413,124233
"Jaret Wright","BAL",10.1,,,,,,,,,,,,,,"Jaret Wright",415,124605
"Shawn Chacon","PIT",96,8.12509518577939,,,,,,0.9010269577438766,-4.284922966590295,,,5.481750011444092,,,"Shawn Chacon",424,276336
"Scott Elarton","KCR",37,10.681799847146738,,,,,11.680000305175781,2.747999906539917,-1.547956549603006,,,9.090750122070313,,,"Scott Elarton",426,134003
"Brian Fuentes","COL",61.1,6.403878634093238,,3.0190000534057617,,,,1.6737931350181843,-4.771619160970052,,,0.5337362603826837,,,"Brian Fuentes",429,150118
"Jason Jennings","HOU",99,8.50656729345923,,,,,8.660999774932861,4.579245961159976,-1.9169229360727162,,,5.057424926757813,,,"Jason Jennings",434,407298
"Todd Jones","DET",61.1,8.084705592353563,,8.681153908754007,,,,6.086230938251202,-5.637542207362288,,,7.309423006497896,,,"Todd Jones",436,116734
"Dennys Reyes","MIN",29.1,6.506344374789987,,,,,,3.3239999498639787,-1.5196666717529297,,,3.1050000190734863,,,"Dennys Reyes",444,121096
"Victor Santos","- - -",63.1,11.303286679141172,,,5.964667002360026,,,7.562777625189887,-4.460145093392635,,,7.942208816756064,,,"Victor Santos",446,276343
"Justin Speier","LAA",50,7.678608652284021,,,2.7955000400543213,,9.588250160217285,4.2359820774623325,-3.7126323475557217,,,5.36865893277255,,,"Justin Speier",451,133221
"John Thomson","KCR",10.2,7.67316998175855,,,,,,5.361470390768612,-2.020750045776367,,,3.0485000610351562,,,"John Thomson",453,123307
"Rick White","- - -",34.2,7.4243976223853325,,,,,,0.6537999987602234,-5.658199964250837,,,4.542999903361003,,,"Rick White",456,124184
"Brian Moehler","HOU",59.2,8.824566675101215,,,,,8.720000267028809,5.519299994574653,-2.961199951171875,,,6.971179668719952,,,"Brian Moehler",480,119215
"Mark Redman","- - -",41.1,8.508740799515335,,3.681000073750814,,,,5.368222095348217,-1.9548181476015034,,,3.6280000341220164,,,"Mark Redman",491,150230
"Fernando Rodney","DET",50.2,7.844963456942066,,,,,,5.081999778747559,,,,5.461226463317871,,,"Fernando Rodney",494,407845
"Jamie Walker","BAL",61.1,9.586127702579942,,,,,,4.113877588388871,-1.8094544844193892,,,6.965185830759448,,,"Jamie Walker",502,123828
"Jeff Weaver","SEA",146.2,6.206732052605353,,6.543746764401355,,,7.765250205993652,4.491263440860215,-1.4222289833556923,,,5.395216912738348,,,"Jeff Weaver",503,213711
"Josh Beckett","BOS",200.2,8.75175044221698,,4.9039998054504395,,,,,-4.935024567182055,,,3.5406341552734375,,,"Josh Beckett",510,277417
"A.J. Burnett","TOR",165.2,8.722318171983185,,,,,-4.110400009155273,,-6.925915466612251,,,0.6057272824374113,,,"A.J. Burnett",512,150359
"Ryan Dempster","CHC",66.2,8.0682373046875,,,,,,1.002353562834513,,,,5.504811271292264,,,"Ryan Dempster",517,133225
"Jason Grilli","DET",79.2,9.328448511445472,,,,,,2.2672749123378106,-2.07212495803833,,,8.601057786207933,,,"Jason Grilli",521,276351
"Braden Looper","STL",175,8.951711586889276,,,3.1577000935872395,,9.068591682278381,4.7825571695963545,-0.4194999933242798,,,3.2025201970880683,,,"Braden Looper",526,131702
"Brad Penny","LAD",208,11.940706513199245,,,3.5393213544573103,,,4.521758507037985,-5.649297583194179,,,5.8141955175433715,,,"Brad Penny",535,207267
"Julian Tavarez","BOS",134.2,4.3727453815050366,,,2.9417059842277977,,11.041000366210938,0.4855000178019206,-2.6921953003982018,,,3.376255628797743,,,"Julian Tavarez",541,123118
"Doug Brocail","SDP",76.2,10.186121942324956,,,,,,4.430025124851661,-4.728864249536547,,,7.461972554524739,,,"Doug Brocail",551,111492
"Octavio Dotel","- - -",30.2,8.039642333984375,,1.5512499809265137,,,,-0.30734785743381665,,,,-7.791999816894531,,,"Octavio Dotel",555,136734
"Brad Lidge","HOU",67,10.34665584564209,,,,,,1.749079481463566,,,,-1.347333272298177,,,"Brad Lidge",563,400058
"Scott Linebrink","- - -",70.1,11.149359469336986,,,,,11.11400032043457,1.9248334765434265,-2.670381646407278,,,9.749461415049794,,,"Scott Linebrink",564,276530
"Wade Miller","CHC",13.2,,,,,,,,,,,,,,"Wade Miller",568,150063
"Roy Oswalt","HOU",212,8.95833581822519,,,,,,2.1834067651780984,-6.935016994369763,,,3.5146410037309694,,,"Roy Oswalt",571,400061
"Tim Redding","WSN",84,8.26417408818784,,7.798999786376953,,,,2.1993235419778263,-4.96779047056686,,,5.742200142996651,,,"Tim Redding",573,400062
"Ricky Stone","CIN",5.1,,,,,,,,,,,,,,"Ricky Stone",576,150392
"Billy Wagner","NYM",68.1,7.939673183726615,,,,,,-0.44630883721744313,,,,-2.309000015258789,,,"Billy Wagner",578,123790
"Winston Abreu","WSN",30.1,11.292442144349565,,,,,,4.457064720892137,,,,12.515999794006348,,,"Winston Abreu",582,275700
"Jeremy Affeldt","COL",59,8.580241294362438,,,,,,-0.6198571068899972,-4.821826171875,,,6.598499774932861,,,"Jeremy Affeldt",583,346793
"Paul Byrd","CLE",192.1,7.524217924154334,,7.423482434502963,,,,4.203484922466856,-2.6599572317940847,,,8.083983884757782,,,"Paul Byrd",594,111838
"Nate Field","FLA",1,,,,,,,,,,,,,,"Nate Field",599,407757
"Roberto Hernandez","- - -",46.1,10.345791123478287,,,6.0519998338487415,,,2.7714691633059654,,,,6.970055633121067,,,"Roberto Hernandez",605,115832
"Mike MacDougal","CHW",42.1,6.256506953679078,,,,,6.008999824523926,2.0915253107448875,-3.1697499752044678,,,5.892749786376953,,,"Mike MacDougal",612,213680
"Brian Shouse","MIL",47.2,-4.695595923890459,,,,,7.7820000648498535,4.153437614440918,-5.098797747197042,,,3.031176398782169,,,"Brian Shouse",630,122195
"Jeff Suppan","MIL",206.2,9.192095845670615,,7.597977039425872,,,,3.7428118537454043,-5.4151712472098215,,,5.320184616815476,,,"Jeff Suppan",633,122987
"Eric Gagne","- - -",52,11.156978722774621,,,,,,3.085454594005238,-6.38696486529182,,,2.6396931841329563,,,"Eric Gagne",650,150378
"Odalis Perez","KCR",137.1,7.7098000266335225,,5.427750110626221,,,,3.5173155509385485,-2.214974427834535,,,3.888818297723327,,,"Odalis Perez",668,136602
"Ray King","- - -",39.2,7.658862843232996,,,,,,3.9235145050345115,-0.7994999885559082,,,3.2648000717163086,,,"Ray King",693,150037
"Ben Sheets","MIL",141.1,10.607563702357298,,,,,-1.968999981880188,,-3.4656545515540693,,,4.103499889373779,,,"Ben Sheets",710,282656
"Luis Vizcaino","NYY",75.1,8.358452946884826,,,3.2179999351501465,,2.7070000171661377,2.3945999948601973,-2.3613333702087402,,,5.369476318359375,,,"Luis Vizcaino",714,150430
"Jamey Wright","TEX",77,5.73381153051404,,,,,1.68348142835829,3.760850016276042,-5.759844733673392,,,4.373217087383418,,,"Jamey Wright",715,124604
