Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Jake Peavy","SDP",19,6,2.5388060279688145,34,34,28,0,0,0,0,0,223.1,898,169,67,63,13,68,5,6,4,0,240,"Jake Peavy",1051,408241
"Scott Kazmir","TBD",13,9,3.483870882000563,34,34,19,0,0,0,0,0,206.2,887,196,91,80,18,89,1,7,10,0,239,"Scott Kazmir",4897,431148
"Johan Santana","MIN",15,13,3.328767123287671,33,33,21,1,1,0,0,0,219,878,183,88,81,33,52,0,4,7,1,235,"Johan Santana",755,276371
"Erik Bedard","BAL",13,5,3.1648348994969884,28,28,21,1,1,0,0,0,182,733,141,66,64,19,57,0,5,3,0,221,"Erik Bedard",126,407853
"Aaron Harang","CIN",16,6,3.7294960753519772,34,34,20,2,1,0,0,0,231.2,948,213,100,96,28,52,3,8,12,1,218,"Aaron Harang",1451,421685
"Javier Vazquez","CHW",15,8,3.7384614507009313,32,32,20,2,0,0,0,0,216.2,882,197,95,90,29,50,2,7,5,0,213,"Javier Vazquez",801,134320
"CC Sabathia","CLE",19,7,3.211618257261411,34,34,25,4,1,0,0,0,241,975,238,94,86,20,37,1,8,1,0,209,"CC Sabathia",404,282332
"Daisuke Matsuzaka","BOS",15,12,4.397394027526208,32,32,18,1,0,0,0,0,204.2,874,191,100,100,25,80,1,13,5,0,201,"Daisuke Matsuzaka",7775,493137
"John Smoltz","ATL",14,8,3.1069691289974286,32,32,26,0,0,0,0,0,205.2,853,196,78,71,18,47,9,4,8,0,197,"John Smoltz",115,122477
"Josh Beckett","BOS",20,7,3.2740860467867883,30,30,20,1,0,0,0,0,200.2,822,189,76,73,17,40,0,5,3,0,194,"Josh Beckett",510,277417
"Brandon Webb","ARI",18,10,3.008462688160081,34,34,22,4,3,0,0,0,236.1,975,209,91,79,12,72,6,5,3,0,194,"Brandon Webb",1692,425630
"Dan Haren","OAK",15,9,3.071856217256278,34,34,28,0,0,0,0,0,222.2,935,214,91,76,24,55,1,3,10,0,192,"Dan Haren",1757,429717
"James Shields","TBD",12,8,3.851163064018999,31,31,20,1,0,0,0,0,215,874,202,98,92,28,36,0,10,9,0,184,"James Shields",7059,448306
"Rich Hill","CHC",11,8,3.923076616095392,32,32,17,0,0,0,0,0,195,812,170,89,85,27,63,3,12,1,1,183,"Rich Hill",4806,448179
"Justin Verlander","DET",18,6,3.659504039934545,32,32,21,1,1,0,0,0,201.2,866,181,88,82,20,67,3,19,17,2,183,"Justin Verlander",8700,434378
"John Maine","NYM",15,10,3.9109944519526736,32,32,17,1,1,0,0,0,191,810,168,90,83,23,75,3,5,2,0,180,"John Maine",4773,429720
"John Lackey","LAA",19,9,3.013392857142857,33,33,24,2,2,0,0,0,224,929,219,87,75,18,52,2,12,9,1,179,"John Lackey",1507,407793
"Carlos Zambrano","CHC",18,13,3.952234299393389,34,34,18,1,0,0,0,0,216.1,925,187,100,95,23,101,4,14,3,0,177,"Carlos Zambrano",305,407296
"Ian Snell","PIT",9,12,3.764423076923077,32,32,22,1,0,0,0,0,208,882,209,94,87,22,68,4,8,12,0,177,"Ian Snell",2227,430636
"Cole Hamels","PHI",15,5,3.3872728212466936,28,28,16,2,0,0,0,0,183.1,743,163,72,69,25,43,4,3,5,0,177,"Cole Hamels",4972,430935
"A.J. Burnett","TOR",10,8,3.7484904853325904,25,25,17,2,0,0,0,0,165.2,691,131,74,69,23,66,2,12,5,0,176,"A.J. Burnett",512,150359
"Ted Lilly","CHC",15,8,3.8260869565217392,34,34,20,0,0,0,0,0,207,847,181,91,88,28,55,2,3,7,0,174,"Ted Lilly",833,150404
"Oliver Pérez","NYM",15,10,3.5593217270568394,29,29,16,0,0,0,0,0,177,765,153,90,70,22,79,1,7,6,0,174,"Oliver Perez",1514,424144
