Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Tim Wakefield","BOS",189,-2.571000099182129,,,,,,,6.342565121858017,,,,,1.0532302129836308,"Tim Wakefield",219,123801
"Charlie Haeger","CHW",11.1,-6.188399887084961,,,,,,10.92300033569336,1.1036001205444337,,,-6.849578857421875,,-1.1303662582182548,"Charlie Haeger",3545,446624
"Jeff Cirillo","ARI",1,,,,,,,0.7419999837875366,,,,-6.758384704589844,,-4.258000183105469,"Jeff Cirillo",1073,112297
"Aaron Miles","STL",2,,,,,,,,,,,,,-4.759437561035156,"Aaron Miles",1844,425446
"Ramon Ortiz","- - -",104,-6.344253649030413,,,,,-9.59933344523112,2.2255581035170446,,,,-6.463511622229288,,,"Ramon Ortiz",27,150009
"Troy Percival","STL",40,-6.220752275422854,,,,,,0.14563887649112278,6.3834654342296515,,,-2.8286666870117188,,,"Troy Percival",29,120401
"Scott Schoeneweis","NYM",59,9.42428197616186,,,,,9.116999626159668,-2.090617078415891,-6.5920000076293945,,,-3.7290000915527344,,,"Scott Schoeneweis",33,150011
"Aaron Sele","NYM",53.2,-7.018451450892857,,-0.6970000267028809,,,-12.104000091552734,0.552655187146417,6.175869485606318,,,-6.638857160295759,,,"Aaron Sele",34,121986
"Scot Shields","LAA",77,-8.610667923656205,,,,,4.5625,6.035857064383371,4.360087971110921,,,-5.194888644748264,,,"Scot Shields",35,276912
"Scott Spiezio","STL",1,-7.884999847412109,,,,,,,,,,-9.498133341471354,,,"Scott Spiezio",37,122596
"Jarrod Washburn","SEA",193.2,3.614746393677058,,-2.648276633404671,7.288142613002232,,,-1.2379259381975447,-4.8238661629813055,,,5.84324047233485,,,"Jarrod Washburn",40,132220
"Matt Wise","MIL",53.2,-0.8414552890188326,,,,,,3.0853332943386502,5.895999908447266,,,-6.371405707465278,,,"Matt Wise",42,277184
"Miguel Batista","SEA",193,-7.167995479280148,,1.2072921515643738,-5.777299880981445,,-1.0087499618530273,2.4571433615478213,4.596482413155692,,,-6.6791291162371635,,,"Miguel Batista",46,110683
"Randy Johnson","ARI",56.2,,,,,,,,,,,,,,"Randy Johnson",60,116615
"Byung-Hyun Kim","- - -",118.1,-10.384781335232526,,,,,,3.3782435930692234,5.142300081253052,,,-1.7162290021597622,,,"Byung-Hyun Kim",61,218294
"Mike Koplove","CLE",6,-11.36866687593006,,,,,-12.069999694824219,5.138999938964844,9.345999717712402,,,-10.416749954223633,,,"Mike Koplove",63,407377
"Mike Myers","- - -",54.1,8.460394851299895,,,,,,-1.118399969736735,6.352000016432542,,,3.9708571434020996,,,"Mike Myers",68,119624
"John Patterson","WSN",31.1,-7.425818009810015,,,,,,2.712000005385455,5.305500030517578,,,,,,"John Patterson",71,279568
"Curt Schilling","BOS",151,-5.19827983810241,,-1.1304642813546317,-4.913600068933824,,,0.10568214386932609,6.1890885344648785,,,-4.24603954114412,,,"Curt Schilling",73,121811
"John Ennis","PHI",7.2,-2.07404302781628,,-0.07499999739229679,,,,5.777312636375427,5.5822499593098955,,,-7.746399879455566,,,"John Ennis",85,407795
"Tom Glavine","NYM",200.1,7.213936757915567,,-3.6500000953674316,,,,0.4302353017470416,-4.328600056966146,,,6.631788316663805,,,"Tom Glavine",90,114849
"Greg Maddux","SDP",198,-9.431461737614487,,-3.711123946809421,,,-12.529170789216694,-2.1519805019341627,7.108874797821045,,,-5.912497633879405,,,"Greg Maddux",104,118120
"Jason Marquis","CHC",191.2,-7.673986897206355,,,,,-6.471169525722288,0.5902559325450988,2.3838076958289514,,,-6.539821362653315,,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",172.2,-4.930196177808544,,-0.8634333292643229,-5.235111236572266,,,0.7777079159451514,5.738570018481183,,,-6.05731982421875,,,"Kevin Millwood",106,119154
"Horacio Ramirez","SEA",98,6.071287880220944,,,,,,0.29205962714798955,-1.8489199829101564,,,5.2299742087339745,,,"Horacio Ramirez",110,400141
"John Smoltz","ATL",205.2,-5.458225813871788,,0.8187317266696836,-6.323622793521521,,-2.7088887956407337,3.6378012749652227,7.841110956101191,,,-6.633013429894912,,,"John Smoltz",115,122477
"Dan Wheeler","- - -",74.2,-6.404652050563267,,,-4.728416681289673,,,5.336603625067349,6.7099049886067705,,,-5.119677359058011,,,"Dan Wheeler",120,235095
"Erik Bedard","BAL",182,6.749028732115963,,,,,,-5.264349746704101,-6.08563467172476,,,8.237999725341798,,,"Erik Bedard",126,407853
"Travis Driskill","HOU",6,-4.239461576021634,,,,,,,,,,-4.865499708387587,,,"Travis Driskill",134,150344
"Jorge Julio","- - -",62,-4.220996090913794,,,,,,4.817633592445432,,,,-5.622153722322905,,,"Jorge Julio",148,406402
"Rodrigo Lopez","COL",79.1,-7.65416015625,,-2.1275454434481533,,,,3.3092498779296875,4.551000118255615,,,-10.534799957275391,,,"Rodrigo Lopez",150,150438
"John Parrish","- - -",52,6.564586859809028,,,,,,1.816417337321549,-4.610000133514404,,,7.44537490606308,,,"John Parrish",160,332292
"Sidney Ponson","MIN",37.2,,,,,,,,,,,,,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",4.1,5.201750013563368,,,,,,-2.081100082397461,,,,,,,"B.J. Ryan",168,124805
"Rafael Betancourt","CLE",79.1,-2.631879300278569,,,,,,1.9092884063720703,,,,-5.388722313774957,,,"Rafael Betancourt",177,429783
"Casey Fossum","TBD",76,7.706606084650213,,,,,,-2.202363621104847,-6.2451923076923075,,,8.039000511169434,,,"Casey Fossum",188,407154
"Derek Lowe","LAD",199.1,-10.604561413861866,,,,,-5.233369578485903,0.647374979654948,1.6456851252803095,,,-8.00021434852055,,,"Derek Lowe",199,117955
"Pedro Martínez","NYM",28,-3.554842095626028,,-2.5399999618530273,,,,5.518173881199049,7.300500233968099,,,-5.605142865862165,,,"Pedro Martinez",200,118377
"Darren Oliver","LAA",64.1,3.729896171137972,,-6.882499694824219,,,,-5.3665349206259085,-5.750569364450274,,,,,,"Darren Oliver",206,119984
"Mark Buehrle","CHW",201,3.8837476877065806,,-2.3058274083857913,,,,-0.563833322610941,-3.948281292275433,,,6.99801614791905,,,"Mark Buehrle",225,279824
"Jon Garland","CHW",208.1,-6.46519872747316,,,,,-10.413347990616508,0.6276117250240049,2.998355004095262,,,-7.6696105458106265,,,"Jon Garland",232,279782
"Gary Glover","TBD",77.1,-4.833057458320873,,,,,,3.257809593563988,5.33106453188004,,,-8.015799967447917,,,"Gary Glover",234,150474
"Bob Howry","CHC",81.1,-8.416422776442309,,,,,-13.685999870300293,1.3079535018566042,,,,-6.019105208547492,,,"Bob Howry",237,133982
"Damaso Marte","PIT",45.1,8.252430249285954,,,,,,-4.558172291722791,-1.0104999542236328,,,2.764500141143799,,,"Damaso Marte",247,150122
"Antonio Alfonseca","PHI",49.2,-8.736034984319982,,-0.8899999856948853,,,-8.926800537109376,0.5406000137329101,,,,-7.522899627685547,,,"Antonio Alfonseca",260,110134
"Joe Borowski","CLE",65.2,-4.156693971029804,,,,,,3.379284930485551,4.479666709899902,,,0.4169999531337193,,,"Joe Borowski",267,111244
"Juan Cruz","ARI",61,-7.8435526201801915,,,,,,6.780210566699953,8.517066446940104,,,-10.470799560546874,,,"Juan Cruz",273,407297
"Kyle Farnsworth","NYY",60,-6.16328125,,,,,2.372499942779541,3.910340329434009,8.210000038146973,,,2.946500062942505,,,"Kyle Farnsworth",278,150035
"Tom Gordon","PHI",40,-2.7422081390557262,,3.1500000953674316,,,,1.7410402605610509,4.777312278747559,,,1.1349999904632568,,,"Tom Gordon",282,114971
"Jon Lieber","PHI",78,-4.111461639404297,,,,,,1.777266608344184,,,,-1.8422857012067522,,,"Jon Lieber",287,117758
"Ron Mahay","- - -",67,6.289932663376267,,-1.3295555379655626,,,,1.524626298384233,-0.7555713994162423,,,8.005959588128167,,,"Ron Mahay",290,118158
"Will Ohman","CHC",36.1,5.8634502082471025,,,,,,-1.0883214133126395,-3.400031328201294,,,-0.2367368497346577,,,"Will Ohman",296,349193
"Augie Ojeda","ARI",1,,,,,,,,,,,,,,"Augie Ojeda",297,324432
"Kerry Wood","CHC",24.1,-5.070713682432433,,,,,,1.9521857125418527,5.6943440437316895,,,-8.27299976348877,,,"Kerry Wood",304,134268
"Carlos Zambrano","CHC",216.1,-6.482507401970541,,-0.2302619086371528,,,-3.3681134310635654,4.0099945068359375,4.432961684006911,,,-6.231331335246892,,,"Carlos Zambrano",305,407296
"Jim Brower","NYY",3.1,,,,,,,,,,,,,,"Jim Brower",313,150342
"Elmer Dessens","- - -",34,-4.633939811982304,,,,,-7.409499486287435,1.7966364080255681,3.4469375610351562,,,-4.497729739627323,,,"Elmer Dessens",317,113296
"Chris Reitsma","SEA",23.2,-5.938285827636719,,,,,-4.733500003814697,1.8787169546451208,3.674110921223958,,,-3.5932567699535474,,,"Chris Reitsma",348,277410
"Scott Williamson","BAL",14.1,-8.334227128462357,,,-5.128499984741211,,,1.179388893975152,,,,-6.326000213623047,,,"Scott Williamson",361,150182
"Danys Baez","BAL",50.1,-5.46654423580894,,,,,,4.269333203633626,6.6320371274594905,,,-7.581333160400391,,,"Danys Baez",367,276056
"Bartolo Colon","LAA",99.1,-7.24231726377065,,,,,,1.5613088046803194,7.482666651407878,,,-6.223898160255562,,,"Bartolo Colon",375,112526
"Chad Paronto","ATL",40.1,-6.125492704087409,,,,,-5.479222191704644,4.126893021678197,7.34557124546596,,,-5.421025085449219,,,"Chad Paronto",399,406301
"David Riske","KCR",69.2,-5.446497199240695,,,-3.1459999084472656,,,0.0028333564599355063,2.2236666679382324,,,-5.558831013424296,,,"David Riske",402,228594
"CC Sabathia","CLE",241,6.463521267933707,,,,,,-4.491964271818974,-5.246750354766846,,,8.849409520348837,,,"CC Sabathia",404,282332
"Paul Shuey","BAL",25.2,-6.623371922692587,,,-6.979249954223633,,,,6.26846669514974,,,-7.940555148654514,,,"Paul Shuey",406,122201
"Billy Traber","WSN",39.2,10.735536928530093,,,,,,,-6.095468997955322,,,9.924344819167565,,,"Billy Traber",410,407896
"Jake Westbrook","CLE",152,-8.797865796300696,,-0.5027619316464379,,,-6.592047555106027,0.08285210837780589,2.3024849169182056,,,-6.617615125194099,,,"Jake Westbrook",412,150414
"Bob Wickman","- - -",50.1,-2.2645818908079014,,,,,-5.152749836444855,4.280302336049634,6.302947245146099,,,-1.7603333791097004,,,"Bob Wickman",413,124233
"Jaret Wright","BAL",10.1,,,,,,,,,,,,,,"Jaret Wright",415,124605
"Shawn Chacon","PIT",96,-5.008839198521206,,,,,,1.5481622025773332,9.061576843261719,,,-5.496999740600586,,,"Shawn Chacon",424,276336
"Scott Elarton","KCR",37,-7.951860776154891,,,,,-10.812000274658203,-0.38100001215934753,4.119565217391305,,,-7.932849884033203,,,"Scott Elarton",426,134003
"Brian Fuentes","COL",61.1,11.53804271260246,,-5.7463334401448565,,,,-3.8063793840079474,1.8486190069289434,,,9.596088115985577,,,"Brian Fuentes",429,150118
"Jason Jennings","HOU",99,-3.554427954527709,,,,,-10.363749384880066,1.867894169413596,5.472769517164964,,,-3.730875015258789,,,"Jason Jennings",434,407298
"Todd Jones","DET",61.1,-7.37656509473128,,1.007205082820012,,,,0.911769280066857,7.592678264036017,,,-8.316346388596754,,,"Todd Jones",436,116734
"Dennys Reyes","MIN",29.1,9.329516339045698,,,,,,0.9833928516932896,-2.057999928792318,,,6.8757500648498535,,,"Dennys Reyes",444,121096
"Victor Santos","- - -",63.1,-4.71905597606739,,,-6.346000035603841,,,-0.7373332977294922,2.520217508509539,,,-5.601716454349347,,,"Victor Santos",446,276343
"Justin Speier","LAA",50,-7.028742892297401,,,-5.8742499351501465,,-12.875,0.6472946575709752,-0.6533088123097139,,,-1.2600681998512961,,,"Justin Speier",451,133221
"John Thomson","KCR",10.2,-6.510981145894752,,,,,,2.258176466997932,6.297999858856201,,,-6.312749862670898,,,"John Thomson",453,123307
"Rick White","- - -",34.2,-8.293731033161123,,,,,,0.21299996376037597,3.8121715000697542,,,-4.005666573842366,,,"Rick White",456,124184
"Brian Moehler","HOU",59.2,-4.8385953710146765,,,,,-12.852999687194824,-0.3821111043294271,2.5627667744954428,,,-6.221076769706531,,,"Brian Moehler",480,119215
"Mark Redman","- - -",41.1,9.661440700954861,,-1.4200000762939453,,,,3.6207591074484364,-1.8195757721409653,,,10.40722031480684,,,"Mark Redman",491,150230
"Fernando Rodney","DET",50.2,-8.263442784139555,,,,,,-5.541999816894531,,,,-10.91771125793457,,,"Fernando Rodney",494,407845
"Jamie Walker","BAL",61.1,7.335395280704942,,,,,,-2.4663468964245854,-5.268545324152166,,,6.8037904251453485,,,"Jamie Walker",502,123828
"Jeff Weaver","SEA",146.2,-9.273025964550113,,-3.095228815653238,,,-11.374563217163086,2.905370896862399,4.829932627051767,,,-6.447196520789195,,,"Jeff Weaver",503,213711
"Josh Beckett","BOS",200.2,-7.688451556182614,,-1.1430000066757202,,,,,4.9268990227569684,,,-7.931316840939406,,,"Josh Beckett",510,277417
"A.J. Burnett","TOR",165.2,-5.996455010509397,,,,,3.790999984741211,,6.908390785331156,,,-3.5631817904385654,,,"A.J. Burnett",512,150359
"Ryan Dempster","CHC",66.2,-7.759924847146739,,,,,,-0.10853039230430983,,,,-8.43378686123207,,,"Ryan Dempster",517,133225
"Jason Grilli","DET",79.2,-7.709950388213734,,,,,,3.2251404879385963,5.962249755859375,,,-8.303654010479267,,,"Jason Grilli",521,276351
"Braden Looper","STL",175,-8.388638414102157,,,-8.426183064778646,,-12.435591717155612,-0.9692135651906332,1.0744999647140503,,,-7.803596265388258,,,"Braden Looper",526,131702
"Brad Penny","LAD",208,-4.40132053837995,,,-5.109071459089007,,,-1.0681034614299905,2.764290147155296,,,-6.323295185998665,,,"Brad Penny",535,207267
"Julian Tavarez","BOS",134.2,-10.129790200477789,,,-8.349941029268152,,-10.59000015258789,1.517666710747613,2.4414941415019418,,,-8.105010816786024,,,"Julian Tavarez",541,123118
"Doug Brocail","SDP",76.2,-5.539788347172352,,,,,,1.8149999304662776,3.7694519387800143,,,-8.326777988009983,,,"Doug Brocail",551,111492
