Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Jake Peavy","SDP",19,6,0,34,34,223.1,9.67164201130977,2.740298569871101,0.5238806089459458,0.2732049036777583,0.78291815,0.44,0.058295964,92.69194019784173,2.5388060279688145,,2.8410976689237346,3.336981528457275,6.6756157875061035,"Jake Peavy",1051,408241
"CC Sabathia","CLE",19,7,0,34,34,241,7.804979253112033,1.3817427385892116,0.7468879668049793,0.31098430813124106,0.74117647,0.45,0.078125,94.10715288173652,3.211618257261411,,3.1441694560387323,3.397883103398367,6.446853160858154,"CC Sabathia",404,282332
"Brandon Webb","ARI",18,10,0,34,34,236.1,7.387870398772858,2.7418900449053902,0.4569816741508984,0.2846820809248555,0.7243685,0.617647058,0.08759124,78.22903349905303,3.008462688160081,,3.235373828888342,3.3024940617581824,6.216647624969482,"Brandon Webb",1692,425630
"Josh Beckett","BOS",20,7,0,30,30,200.2,8.70099579557037,1.7940197516639935,0.7624583944571973,0.303886925795053,0.75166508,0.473136915,0.079812206,95.19885084833795,3.2740860467867883,,3.080136718315903,3.310382542016493,5.68612813949585,"Josh Beckett",510,277417
"John Smoltz","ATL",14,8,0,32,32,205.2,8.62074532975343,2.0567260431391428,0.7876823143937143,0.303236797274276,0.7619477,0.446917808,0.086956521,92.41017259414225,3.1069691289974286,,3.205569485125813,3.33041144780958,5.467003345489502,"John Smoltz",115,122477
"Aaron Harang","CIN",16,6,0,34,34,231.2,8.469064004445116,2.020143707482321,1.0877696886443267,0.2881619937694704,0.73994867,0.402735562,0.101818181,90.18978120094191,3.7294960753519772,,3.7057921501050326,3.62369130264047,5.359164714813232,"Aaron Harang",1451,421685
"Joe Blanton","OAK",14,10,0,34,34,230,5.478260869565218,1.565217391304348,0.6260869565217392,0.2986666666666667,0.68042813,0.469496021,0.065306122,88.07362140249141,3.9521739130434783,,3.5004747059034265,3.93241292445556,5.287923336029053,"Joe Blanton",4849,430599
"Roy Halladay","TOR",16,7,0,31,31,225.1,5.551775273244627,1.9171598065880726,0.5991124395587727,0.30055401662049863,0.69465649,0.531034482,0.071428571,88.7118860003592,3.7144971252643906,,3.550256035272066,3.8539805190520964,5.075593948364258,"Roy Halladay",1303,136880
"John Lackey","LAA",19,9,0,33,33,224,7.191964285714286,2.0892857142857144,0.7232142857142857,0.3008982035928144,0.76027929,0.446902654,0.073469387,90.91367607526881,3.013392857142857,,3.5431765692574637,3.8706131329493862,5.0482497215271,"John Lackey",1507,407793
"Erik Bedard","BAL",13,5,0,28,28,182,10.928570512325537,2.818681082364505,0.9395603607881684,0.28306264501160094,0.77664399,0.478651685,0.122580645,91.92373609293193,3.1648348994969884,,3.190154595381395,2.9013812957836063,5.014066219329834,"Erik Bedard",126,407853
"Roy Oswalt","HOU",14,7,0,33,32,212,6.537735702926823,2.547169754387074,0.5943396093569839,0.30666666666666664,0.77496274,0.52967359,0.066985645,93.54688579074586,3.1839621929838424,,3.5933787176842404,3.9716087855836446,4.939071953296661,"Roy Oswalt",571,400061
"Tim Hudson","ATL",16,10,0,34,34,224.1,5.295690695970795,2.1263000521700923,0.40118868908869665,0.2922437673130194,0.72761194,0.619580419,0.064935064,89.90272939888536,3.3298661194361823,,3.4580300936343256,3.7397037024970516,4.870707988739014,"Tim Hudson",921,218596
"Scott Kazmir","TBD",13,9,0,34,34,206.2,10.408064259976681,3.875806356225626,0.7838709484501267,0.3333333333333333,0.75337331,0.431481481,0.080717488,92.37366303943452,3.483870882000563,,3.452508361252737,3.673866707935357,4.84013557434082,"Scott Kazmir",4897,431148
"Kelvim Escobar","LAA",18,7,0,30,30,195.2,7.359454663890347,3.0357750488547683,0.5059625081424614,0.29895104895104896,0.73005093,0.44,0.049549549,94.27038433908046,3.4037477820492854,,3.3929271128504177,4.085395170626664,4.820441722869873,"Kelvim Escobar",1298,113898
"Javier Vazquez","CHW",15,8,0,32,32,216.2,8.847692099992203,2.076923028167184,1.2046153563369668,0.2881646655231561,0.74507966,0.397689768,0.110266159,92.65073302469136,3.7384614507009313,,3.8026820505446945,3.5854188124465676,4.7747673988342285,"Javier Vazquez",801,134320
"Dan Haren","OAK",15,9,0,34,34,222.2,7.76047886464744,2.2230538414354646,0.97005985808093,0.2874432677760968,0.75922819,0.444444444,0.093385214,90.9736328125,3.071856217256278,,3.6976889625575855,3.744393130474308,4.655771732330322,"Dan Haren",1757,429717
"Brad Penny","LAD",16,4,0,33,33,208,5.841346582364785,3.1586540778713283,0.3894231054909857,0.2954898911353033,0.76399395,0.487220447,0.046632124,94.01299742509363,3.028846376041,,3.6290282461770214,4.230534128637791,4.429848670959473,"Brad Penny",535,207267
"Chris Young","SDP",9,8,0,30,30,173,8.6878612716763,3.745664739884393,0.5202312138728323,0.24053452115812918,0.71584699,0.29147982,0.041152263,89.066764794686,3.121387283236994,,3.4303565857727407,4.440974187161881,4.265120506286621,"Chris Young",3196,432934
"Matt Cain","SFG",7,16,0,32,32,200,7.335,3.555,0.63,0.27845884413309985,0.72872789,0.394415357,0.05490196,93.29539493405275,3.645,,3.7796051406860354,4.4690577226877215,4.094639301300049,"Matt Cain",4732,430912
"Andy Pettitte","NYY",15,9,0,36,34,215.1,5.893188993688742,2.8839009969115126,0.6687306659504956,0.32220609579100146,0.70728291,0.476878612,0.070175438,89.50899879404362,4.05417966232488,,3.8711841029726144,4.233504959086364,4.048609647899866,"Andy Pettitte",840,120485
"James Shields","TBD",12,8,0,31,31,215,7.702326128037998,1.5069768511378692,1.172093106440565,0.2824675324675325,0.7183908,0.433811802,0.110671936,90.69258996212122,3.851163064018999,,3.862860998872685,3.6460310819662007,4.022736072540283,"James Shields",7059,448306
"Johan Santana","MIN",15,13,0,33,33,219,9.657534246575343,2.136986301369863,1.356164383561644,0.27075812274368233,0.78319502,0.380208333,0.131474103,92.05593704971182,3.328767123287671,,3.819513816485122,3.298384254599271,4.007329940795898,"Johan Santana",755,276371
"Cole Hamels","PHI",15,5,0,28,28,183.1,8.689091150154562,2.1109091494725774,1.2272727613212657,0.2787878787878788,0.78735632,0.418650793,0.128205128,90.92855093573446,3.3872728212466936,,3.8341506117261153,3.3957260155641973,3.9436757564544678,"Cole Hamels",4972,430935
"Greg Maddux","SDP",14,11,0,34,34,198,4.727273091578096,1.1363637239370423,0.6363636854047436,0.3039647577092511,0.68846816,0.514792899,0.071428571,80.9271435546875,4.136363955130833,,3.5779890051472885,3.9005982836130433,3.9009220600128174,"Greg Maddux",104,118120
"Ted Lilly","CHC",15,8,0,34,34,207,7.565217391304348,2.391304347826087,1.2173913043478262,0.2606473594548552,0.74074074,0.336717428,0.096551724,89.04465588521401,3.8260869565217392,,4.157479536821302,4.156499140043766,3.7505600452423096,"Ted Lilly",833,150404
"Chien-Ming Wang","NYY",19,7,0,30,30,199.1,4.695652293729043,2.6638796666347457,0.4063545254188595,0.2954898911353033,0.71823204,0.584496124,0.06,94.077859375,3.7023412315940534,,3.7914446196499187,4.148489237457048,3.7364957332611084,"Chien-Ming Wang",2074,425426
"Gil Meche","KCR",9,13,0,34,34,216,6.5000004591765554,2.5833335158265798,0.9166667314223347,0.2956259426847662,0.73354481,0.468148148,0.092050209,92.40365817535545,3.6666669256893387,,4.022012603364695,4.085989249490569,3.7259089946746826,"Gil Meche",1089,219194
"Jeff Francis","COL",17,9,0,34,34,215.1,6.896284992614486,2.6331269971800766,1.0448916655476495,0.3157099697885196,0.7472119,0.443946188,0.100401606,84.54198592748398,4.2213623288125035,,4.191617547073894,4.132934948413774,3.723914384841919,"Jeff Francis",4684,433585
"Adam Wainwright","STL",14,12,0,32,32,202,6.0594059405940595,3.118811881188119,0.5792079207920792,0.30428134556574926,0.72580645,0.481538461,0.058295964,88.80003630809294,3.698019801980198,,3.9029714773196993,4.451225896991126,3.719787120819092,"Adam Wainwright",2233,425794
"Justin Verlander","DET",18,6,0,32,32,201.2,8.166941942780753,2.9900825692148114,0.8925619609596451,0.27902946273830154,0.74895397,0.411167512,0.085106382,94.62522903094462,3.659504039934545,,3.9933241299408473,4.165891385755335,3.65236759185791,"Justin Verlander",8700,434378
"Jon Garland","CHW",10,13,0,32,32,208.1,4.23360041343754,2.4624002404687735,0.8208000801562578,0.28368794326241137,0.65509077,0.394366197,0.070895522,89.81895173568819,4.23360041343754,,4.362805250373547,4.7909588619791235,3.4919135570526123,"Jon Garland",232,279782
"Félix Hernández","SEA",14,7,0,30,30,190.1,7.8021011591922385,2.506129463255689,0.9457092314172411,0.3333333333333333,0.74683544,0.60831889,0.150375939,95.60432072996183,3.9246933103815502,,3.7544912777909776,3.265059732531421,3.4783384799957275,"Felix Hernandez",4772,433587
"Ian Snell","PIT",9,12,0,32,32,208,7.658653846153846,2.9423076923076925,0.9519230769230769,0.30807248764415157,0.75137687,0.459283387,0.095652173,93.2475353422619,3.764423076923077,,4.0088359099168045,4.0209931265849335,3.4298934936523438,"Ian Snell",2227,430636
"Bronson Arroyo","CIN",9,15,0,34,34,210.2,6.66455631839836,2.691455436276261,1.1962024161227827,0.3086232980332829,0.74032738,0.352765321,0.095563139,88.50709502551021,4.2294299712912675,,4.5687189363780165,4.58561992702613,3.362443208694458,"Bronson Arroyo",978,276520
"Dustin McGowan","TOR",12,10,0,27,27,169.2,7.6385066472409395,3.2357562880673427,0.7426325907039802,0.2727272727272727,0.6810982,0.530364372,0.091503267,95.46442145270271,4.084479248871891,,3.7287996250386573,3.7873515476853674,3.354891300201416,"Dustin McGowan",8600,430661
"Mark Buehrle","CHW",10,9,0,30,30,201,5.149254122245684,2.014925526096137,0.9850747016470004,0.28703703703703703,0.75704225,0.432307692,0.087649402,85.97010408346645,3.626865946973047,,4.264480840379379,4.408125756493041,3.3480112552642822,"Mark Buehrle",225,279824
"Rafael Betancourt","CLE",5,1,3,68,0,79.1,9.07563257954896,1.021008665199258,0.453781628977448,0.23979591836734693,0.86397059,0.267676767,0.037735849,91.98243498322148,1.4747902941767062,,2.2185964754867773,3.2392786323687752,3.3415520191192627,"Rafael Betancourt",177,429783
"Roberto Hernandez","CLE",19,8,0,32,32,215,5.734884127941336,2.5534885533169454,0.6697674893946086,0.2798165137614679,0.77634755,0.643072289,0.111111111,92.61277110541045,3.0558141703629014,,3.937279608805419,3.8100426524273194,3.333517551422119,"Roberto Hernandez",3273,433584
"John Maine","NYM",15,10,0,32,32,191,8.481674715078087,3.534031131282536,1.0837695469266444,0.27514231499051234,0.73215941,0.369606003,0.096234309,92.60381755736715,3.9109944519526736,,4.1767778406854035,4.181065560693558,3.160198450088501,"John Maine",4773,429720
"Derek Lowe","LAD",12,14,0,33,32,199.1,6.637123915174706,2.6638796666347457,0.9030100564863545,0.28807947019867547,0.68141593,0.649671052,0.17094017,87.415359375,3.8829432428913244,,3.9720466309471893,3.4040196721061537,3.1218815706670284,"Derek Lowe",199,117955
"Rich Hill","CHC",11,8,0,32,32,195,8.446153185240668,2.90769208016482,1.2461537486420657,0.2713472485768501,0.75289575,0.360074626,0.117391304,90.71662605374078,3.923076616095392,,4.316528133339673,3.99616252285435,3.099745988845825,"Rich Hill",4806,448179
"Tom Gorzelanny","PIT",14,10,0,32,32,201.2,6.02479369233407,3.0347108968793832,0.8033058256445427,0.3052959501557632,0.75802838,0.420890937,0.069767441,90.91629715653153,3.8826448239486226,,4.236299405837597,4.680864391437714,3.0886778831481934,"Tom Gorzelanny",6244,452733
"Wandy Rodriguez","HOU",9,13,0,31,31,182.2,7.7846719663674,3.0547446956631568,1.0839416662030557,0.29345794392523367,0.66914498,0.41436464,0.101382488,90.20902735330074,4.582117043494735,,4.175736579679583,4.1003016690569005,3.0845823287963867,"Wandy Rodriguez",2586,434643
"Tim Lincecum","SFG",7,5,0,24,24,146.1,9.225512849134748,3.9977222346250576,0.7380410279307799,0.2827763496143959,0.69105691,0.470437017,0.08219178,94.27374742702096,3.9977222346250576,,3.629126794316169,3.814682619992562,3.013601779937744,"Tim Lincecum",5705,453311
"Kyle Lohse","- - -",9,12,0,34,32,192.2,5.698961512229008,2.6626295589922413,1.027681584172444,0.3003246753246753,0.68107667,0.368932038,0.086274509,90.9237064906529,4.624567128775999,,4.531992587448351,4.707894908573204,3.0087180137634277,"Kyle Lohse",739,346798
"Daisuke Matsuzaka","BOS",15,12,0,32,32,204.2,8.83876199532768,3.517915222020967,1.099348506881552,0.2990990990990991,0.73895582,0.383944153,0.1,92.26398517491468,4.397394027526208,,4.226575800197473,4.170964172916623,2.8668344020843506,"Daisuke Matsuzaka",7775,493137
