Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Mickey Jannis","BAL",3.1,87.73333062065973,,,,,,,,68.65999755859374,,,,77.87719298245614,"Mickey Jannis",11071,595263
"Luke Maile","MIL",1,74.44999694824219,,,,,,,,,,,,59.95000203450521,"Luke Maile",13355,571912
"Neftalí Feliz","- - -",4,94.98936170212765,,,,,,84.34999974568684,,,,86.88750076293945,,,"Neftali Feliz",18,491703
"Tommy Hunter","NYM",8,93.33333333333333,,89.61521845278533,,,92.02666829427083,,83.16666666666667,,,,,,"Tommy Hunter",1157,488984
"Andrew Romine","CHC",1,77.47999877929688,,,,,,,,,60.679998779296874,,,,"Andrew Romine",1159,461865
"Matt Bush","TEX",4,95.14864864864865,,90.0999984741211,,,,85.93157637746711,78.91666666666667,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","BOS",62,95.4638671875,,87.26841976768092,93.14999389648438,,94.62349330357142,80.60894018020073,77.29999542236328,,,88.40526058799342,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",3.2,88.9249979654948,,,,,89.21153846153847,75.93889024522569,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","- - -",49.2,93.09248116134752,,,80.42051031650641,,,84.14081682477679,79.72820575420673,,,,,,"Sean Doolittle",1581,448281
"Matt Moore","PHI",73,92.28962185183626,,89.78947047183388,,,,,,80.7671890258789,,82.57695352687757,,,"Matt Moore",1890,519043
"Zack Greinke","HOU",171,88.86888887709466,,83.87818714488637,,,89.49597316460321,83.56312916623456,71.18933557447099,62.56666564941406,52.20000076293945,86.35079360720562,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",121.2,90.6298181005271,,,,,,87.07202432983684,74.23992673992674,,,87.04545454545455,,,"Clayton Kershaw",2036,477132
"David Peralta","ARI",1,64.01785714285714,,,,,,,,,,,,,"David Peralta",2136,444482
"Adam Wainwright","STL",206.1,88.95049905936455,,84.91205054593374,,,89.05098493626883,,73.45965552606178,65.50908868963069,,82.72974258814102,,,"Adam Wainwright",2233,425794
"Corey Kluber","NYY",80,89.87540823514344,,87.62472634787088,,,90.73065476190476,,81.92366412213741,,,84.66847826086956,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",157,93.98368522072937,,88.6678274386305,,,92.38116075901803,82.25,82.12162162162163,,,87.13839285714286,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",64.1,92.43400390625,,,,,92.85970901268117,88.20284354404251,81.17706770833334,,,84.64358716133313,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","- - -",52.1,91.87575026604028,,85.13914223767202,,,91.10843886338272,,77.2746301907212,,,85.39230855305989,,,"Ross Detwiler",2859,446321
"Luis Avilán","WSN",5,,,,,,89.3239109205163,,75.74285888671875,,,83.46181640625,,,"Luis Avilan",2882,501593
"Mitch Moreland","OAK",1,87.06923264723558,,,,,,,73.30000305175781,,,73.64999389648438,,,"Mitch Moreland",3086,519048
"Kenley Jansen","LAD",69,,,92.5047694753577,,,93.93537765117328,81.97697088068182,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","- - -",57.1,92.49124243951613,,,,,92.25657894736842,83.14497514204545,,,,85.86284722222223,,,"Tony Watson",3132,453265
"Max Scherzer","- - -",179.1,94.29489361195735,,89.97854758522728,,,,85.84469696969697,76.86267974411231,,,84.9816201148568,,,"Max Scherzer",3137,453286
"David Price","LAD",73.2,92.92685275607639,,88.92268743434875,,,92.85935575738917,,,76.62173594599184,,85.5159328654661,,,"David Price",3184,456034
"Will Harris","WSN",6,90.46666463216145,,90.06886608195755,,,,,79.6923076923077,,,,,,"Will Harris",3192,501789
"Ervin Santana","KCR",65.1,93.35949732515658,,,,,93.9000015258789,84.37807829483695,,,,87.18000008719308,,,"Ervin Santana",3200,429722
"T.J. McFarland","STL",38.2,,,81.0999984741211,,,88.84957042378917,79.47856794084821,,,,82.0635593220339,,,"T.J. McFarland",3237,519008
"Zack Britton","NYY",18.1,,,,,,92.5851315636617,80.1529421338848,,,,,,,"Zack Britton",3240,502154
"Joe Smith","- - -",39.2,87.46688248275163,,,,,85.7206233280642,77.41718147714758,78.9000015258789,,,77.35000174386161,,,"Joe Smith",3281,501925
"Charlie Culberson","TEX",2,90.12142508370536,,88.0999984741211,,,,,,,,,,,"Charlie Culberson",3298,518586
"Darren O'Day","NYY",10.2,85.45581622456395,,,,,85.2363614169034,78.57174019191577,,,,,,,"Darren O'Day",3321,503285
"Danny Duffy","KCR",61,93.6930537753635,,,,,93.56356740552326,83.42989233265753,77.32385498886808,,,85.17225558373237,,,"Danny Duffy",3542,518633
"Liam Hendriks","CHW",71,97.69106233574244,,,,,,88.9944647606383,85.82990471670561,,,91.5999984741211,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",78,87.58505366161616,,84.4714875125502,,,,,74.89932105654762,,,80.82355918684554,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","SEA",26.1,90.90592029607184,,,,,88.47499370574951,82.32499588860406,75.80000305175781,,,81.3767998046875,,,"Hector Santiago",4026,502327
"Pedro Strop","CHC",2,91.44444444444444,,85.97333984375,,,92.42500305175781,81.26923076923077,,,,,,,"Pedro Strop",4070,467008
"Derek Holland","DET",49.2,92.7548768578506,,,,,93.05549672314578,,,81.3932650951629,,84.99499969482422,,,"Derek Holland",4141,502706
"Jake Arrieta","- - -",98.2,,,,,,91.38684931216032,88.29469950112951,80.35427663583295,,,87.00633476149868,,,"Jake Arrieta",4153,453562
"Rafael Dolis","TOR",32,94.30000305175781,,,86.79861111111111,,94.77230568910257,86.44388629721223,,,,,,,"Rafael Dolis",4185,503569
"Mark Melancon","SDP",64.2,92.01378973599138,,91.96545336174242,83,,,83.0999984741211,,82.2428187586326,,,,,"Mark Melancon",4264,453343
"Justin Wilson","- - -",34,93.56068598646723,,89.57581304505814,,,,81.7842085988898,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","- - -",32,95.76595939473903,,88.92102393034463,,,95.47978300206802,,81.00810942778716,,,87.26666550409226,,,"Tyler Chatwood",4338,543022
"Jordan Zimmermann","MIL",5.2,89.71428571428571,,,,,89.29999457465277,85.60857282366071,80.33333333333333,,,84.5,,,"Jordan Zimmermann",4505,519455
"Charlie Morton","ATL",185.2,95.5177360983456,,87.50316514328063,,,94.62982005141389,,80.65127646857924,,,86.43081761006289,,,"Charlie Morton",4676,450203
"Nate Jones","- - -",19,95.4839470003858,,,,,95.63097604397124,87.1919664655413,,,,89.36666870117188,,,"Nate Jones",4696,518858
"Matt Shoemaker","MIN",60.1,91.63115234375,,,85.20084773349222,,91.65397644042969,82.20306326329023,,77.33846106896034,,,,,"Matt Shoemaker",4776,533167
