Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Julio Urías","LAD",185.2,112.59073496659245,126.6,,,,129.1234782608696,112.29540372670806,,,117.18657018813319,105.64235166425463,118.18645441389287,"Julio Urias",14765,628711
"Evan Phillips","- - -",13.1,99.22990476190476,152.45,-13.480000000000004,,137.44036363636363,,110.54416666666668,,,108.32631147540984,114.52180327868854,117.97934426229509,"Evan Phillips",17734,623465
"Nick Sandlin","CLE",33.2,94.44152173913044,127.54322580645159,,75.41846153846153,120.8033571428572,,,,,112.88926910299003,106.59830564784055,117.8297342192691,"Nick Sandlin",20517,680704
"Tyler Wells","BAL",57,123.50492366412215,,114.24390041493776,,,62.91444444444445,115.00860215053764,,,112.62329596412559,107.62946188340801,117.65695067264572,"Tyler Wells",20000,669330
"Camilo Doval","SFG",27,24.599999999999998,,104.25224043715846,,127.98863636363636,,,,,121.65128318584075,96.8400442477876,117.55008849557524,"Camilo Doval",21992,666808
"Shane Baz","TBR",13.1,127.125,,,,115.1247619047619,92.24054054054054,117.2090909090909,,,111.24878787878787,104.41222222222221,117.50979797979795,"Shane Baz",22264,669358
"Devin Williams","MIL",54,86.06296511627907,,,,56.55428571428571,,136.0048264984227,,,120.81348133198787,95.83031281533809,117.48371342078707,"Devin Williams",15816,642207
"Tyler Glasnow","TBR",88,118.50031837916062,,,,106.64027842227377,139.38209944751384,111.63235294117646,,,116.0139221556886,97.94417664670655,117.32519461077841,"Tyler Glasnow",14374,607192
"Scott Effross","CHC",14.2,75.19045454545454,120.69172413793102,,,131.5527536231884,,88.89272727272727,,,112.78192439862543,111.01402061855667,117.27443298969075,"Scott Effross",18384,664123
"David Robertson","TBR",12,-159.94,,121.86091503267974,,102.76842105263158,,,112.776,,118.11538461538466,100.08846153846153,117.23336538461538,"David Robertson",8241,502085
"Pete Fairbanks","TBR",42.2,112.24600896860989,,,,123.78484662576685,,58.04,,,120.02524547803621,98.038165374677,116.96596899224814,"Pete Fairbanks",17998,664126
"Brandon Woodruff","MIL",179.1,120.18223864836324,116.18703062583221,,,118.11380753138077,114.49983014861996,110.35829145728643,,,109.60747315676453,109.450586972083,116.64924123120973,"Brandon Woodruff",16162,605540
"Sam Coonrod","PHI",42.1,119.20949640287772,116.76234986945171,95.68,,119.35075612903226,158,103.61310344827585,,,120.28062570640245,98.9143327405093,116.61581610265273,"Sam Coonrod",17264,656322
"Sandy Alcantara","MIA",205.2,99.36422155688624,125.13235697940503,,,122.7374054054054,102.42177215189875,117.24662087912087,,,110.4635359116022,105.02252193695162,116.49582710432253,"Sandy Alcantara",18684,645261
"Caleb Thielbar","MIN",64,112.83011070110699,,,,119.73055702917769,119.15088888888891,13.386666666666665,,,115.69927206551408,103.82587807097363,116.04720655141041,"Caleb Thielbar",10078,573204
"Jeurys Familia","NYM",59.1,59.88108843537414,133.27953488372094,,101.14599999999997,105.3678661087866,,,,,111.26923686818631,104.35236868186327,115.78035678889994,"Jeurys Familia",5114,544727
"Gregory Santos","SFG",2,128.79454545454544,21.78,,,108.148,,,,,111.55807692307692,101.67923076923078,115.67076923076922,"Gregory Santos",21894,666619
"Tim Hill","SDP",59.2,114.75874999999999,122.93138554216868,65.5,,101.37361111111115,,11.040000000000006,,,115.60113564668778,103.20792849631965,115.64639327024182,"Tim Hill",16814,657612
"Jorge Alcala","MIN",59.2,100.0815902140673,124.58905660377357,,,131.43779661016947,,108.02148148148146,,,107.78896313364055,107.05596774193542,115.57115207373272,"Jorge Alcala",19459,660896
"Chad Green","NYY",83.2,122.4398829039813,125.49333333333334,,,108.48808510638295,96.13819004524886,,,,112.18321401370898,105.88169078446306,115.3730693069307,"Chad Green",15552,643338
"Dylan Lee","ATL",2,125.08666666666666,,,,110.32444444444444,,106.2375,,,101.76689655172413,118.6496551724138,115.3055172413793,"Dylan Lee",19996,669276
