Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Andrew Romine","CHC",0.33333333,0.5,0.4,0.66666667,0.66666667,0.66666667,0.4,0.2,0.13333333,0.26666667,0.4,"Andrew Romine",1159,461865
"Danny Mendick","CHW",0.44444444,0.83333333,0.6,0.5,0.8,0.66666667,0.4,0.6,0.2,0.2,0.4,"Danny Mendick",18889,664901
"Stephen Ridings","NYY",0.28571429,0.6875,0.45945946,0.25,0.77272727,0.58823529,0.43243243,0.65,0.18918919,0.18918919,0.37837838,"Stephen Ridings",22358,670050
"Tejay Antone","CIN",0.2826087,0.55335968,0.4120983,0.52564103,0.77857143,0.68807339,0.47826087,0.6328125,0.12854442,0.24952741,0.37807183,"Tejay Antone",16233,622088
"Josh James","HOU",0.29032258,0.5,0.4057971,0.55555556,0.78947368,0.71428571,0.55072464,0.80952381,0.11594203,0.26086957,0.37681159,"Josh James",16794,657624
"Stephen Nogosek","NYM",0.36,0.65217391,0.5,0.66666667,0.73333333,0.70833333,0.47916667,0.91666667,0.14583333,0.22916667,0.375,"Stephen Nogosek",19545,668665
"Jake Cousins","MIL",0.32853026,0.58602151,0.41838649,0.42982456,0.7706422,0.59641256,0.34896811,0.608,0.16885553,0.20262664,0.37148218,"Jake Cousins",21620,664776
"Raisel Iglesias","LAA",0.39534884,0.71991247,0.53541076,0.5,0.69908815,0.61552028,0.43153919,0.68864469,0.20585458,0.16241737,0.36827195,"Raisel Iglesias",17130,628452
"Jacob deGrom","NYM",0.43236074,0.74576271,0.55301794,0.45092025,0.75568182,0.60914454,0.38499184,0.62962963,0.21615008,0.14192496,0.35807504,"Jacob deGrom",10954,594798
"Brady Lail","SEA",0.4,0.69230769,0.53571429,0.83333333,0.66666667,0.73333333,0.46428571,0.9,0.14285714,0.21428571,0.35714286,"Brady Lail",14707,621078
"Josh Hader","MIL",0.35763889,0.73643411,0.50986501,0.43203883,0.69824561,0.58655804,0.40186916,0.60267857,0.21058091,0.14626556,0.35684647,"Josh Hader",14212,623352
"Craig Kimbrel","- - -",0.3279483,0.66066838,0.45634921,0.37438424,0.78210117,0.60217391,0.3859127,0.62978723,0.18154762,0.17361111,0.35515873,"Craig Kimbrel",6655,518886
"Anthony Bender","MIA",0.28171642,0.55606407,0.4049332,0.45033113,0.88065844,0.71573604,0.44912641,0.61538462,0.11510791,0.23843782,0.35354573,"Anthony Bender",19742,669622
"Ronald Torreyes","PHI",0.5,0.55555556,0.52941176,1,1,1,0.52941176,0.85714286,0,0.35294118,0.35294118,"Ronald Torreyes",11400,591720
"Scott Effross","CHC",0.27586207,0.63207547,0.44594595,0.75,0.71641791,0.72727273,0.47747748,0.75862069,0.12162162,0.22972973,0.35135135,"Scott Effross",18384,664123
"Joan Adon","WSN",0.25806452,0.625,0.38297872,0.4375,0.85,0.66666667,0.34042553,0.625,0.12765957,0.22340426,0.35106383,"Joan Adon",22925,672851
"Matt Wisler","- - -",0.29792148,0.60451977,0.43583227,0.52713178,0.78504673,0.68804665,0.4498094,0.64615385,0.13595934,0.21473952,0.35069886,"Matt Wisler",12804,605538
"Devin Williams","MIL",0.34943639,0.65053763,0.46223565,0.47926267,0.70661157,0.59912854,0.37462236,0.58849558,0.18529708,0.16314199,0.34843907,"Devin Williams",15816,642207
"Lucas Sims","CIN",0.33131313,0.590625,0.43312883,0.48170732,0.8042328,0.65439093,0.39263804,0.57435897,0.14969325,0.19631902,0.34601227,"Lucas Sims",13470,608371
"Preston Guilmet","MIA",0.44444444,0.36363636,0.4137931,0.625,1,0.75,0.37931034,0.42857143,0.10344828,0.24137931,0.34482759,"Preston Guilmet",7303,543258
"Dylan Lee","ATL",0.46666667,0.78571429,0.62068966,0.57142857,0.81818182,0.72222222,0.48275862,0.88888889,0.17241379,0.17241379,0.34482759,"Dylan Lee",19996,669276
"Dustin May","LAD",0.295,0.66071429,0.46195652,0.52542373,0.78378378,0.69411765,0.45652174,0.6344086,0.14130435,0.19836957,0.33967391,"Dustin May",19716,669160
"Taylor Rogers","MIN",0.38218391,0.62457338,0.49297972,0.63909774,0.80874317,0.73734177,0.45709828,0.70481928,0.12928349,0.21028037,0.33956386,"Taylor Rogers",13449,573124
"Oliver Pérez","CLE",0.4,0.58064516,0.5,0.5,0.94444444,0.78571429,0.55357143,0.72222222,0.10714286,0.23214286,0.33928571,"Oliver Perez",1514,424144
"Paul Sewald","SEA",0.34557596,0.67920792,0.49818841,0.50241546,0.76676385,0.66727273,0.45742754,0.58712121,0.16576087,0.17300725,0.33876812,"Paul Sewald",13892,623149
"Joe Kelly","LAD",0.28753181,0.5799373,0.41853933,0.50442478,0.85405405,0.72147651,0.44803371,0.58241758,0.11657303,0.22191011,0.33848315,"Joe Kelly",9761,523260
"Corbin Burnes","MIL",0.3776797,0.6547619,0.48535081,0.48914858,0.81060606,0.65766481,0.38858905,0.62404871,0.16615266,0.17232074,0.3384734,"Corbin Burnes",19361,669203
"Jimmy Herget","- - -",0.29069767,0.62992126,0.43478261,0.46,0.8375,0.69230769,0.42474916,0.6025641,0.13377926,0.20401338,0.33779264,"Jimmy Herget",17556,623474
"Collin McHugh","TBR",0.34423077,0.64159292,0.48251029,0.55307263,0.81034483,0.71215352,0.46502058,0.63562753,0.13888889,0.19855967,0.33744856,"Collin McHugh",7531,543521
"José De León","CIN",0.27956989,0.65217391,0.45244957,0.48076923,0.75238095,0.66242038,0.46397695,0.65934066,0.15273775,0.18443804,0.33717579,"Jose De Leon",15463,592254
"Tyler Glasnow","TBR",0.32551724,0.68078176,0.4884242,0.36440678,0.80861244,0.64831804,0.45855116,0.62352941,0.17176998,0.16504854,0.33681852,"Tyler Glasnow",14374,607192
"Matt Barnes","BOS",0.35174954,0.64361702,0.47116431,0.5026178,0.83057851,0.68591224,0.40914037,0.68468468,0.14798694,0.1882481,0.33623504,"Matt Barnes",12863,598264
"Shane Bieber","CLE",0.35730088,0.64274809,0.47722899,0.43653251,0.83372922,0.66129032,0.42014112,0.62469136,0.16164208,0.17382938,0.33547146,"Shane Bieber",19427,669456
"Ryan Pressly","HOU",0.37184116,0.66915423,0.49686192,0.49029126,0.87732342,0.70947368,0.42050209,0.7,0.14435146,0.19037657,0.33472803,"Ryan Pressly",7005,519151
"Aaron Ashby","MIL",0.36928105,0.56637168,0.45300752,0.54867257,0.84375,0.70539419,0.42481203,0.58646617,0.13345865,0.20112782,0.33458647,"Aaron Ashby",23550,676879
"Camilo Doval","SFG",0.32061069,0.62631579,0.44911504,0.41666667,0.8907563,0.69458128,0.42035398,0.60550459,0.13716814,0.19690265,0.3340708,"Camilo Doval",21992,666808
"Aroldis Chapman","NYY",0.27902946,0.65962441,0.44067797,0.43478261,0.72241993,0.61764706,0.42472582,0.58436214,0.16832669,0.16533865,0.33366534,"Aroldis Chapman",10233,547973
"Pedro Strop","CHC",0.26666667,0.46666667,0.33333333,0.625,0.71428571,0.66666667,0.33333333,0.6,0.11111111,0.22222222,0.33333333,"Pedro Strop",4070,467008
"Andrew Vasquez","LAD",0.41666667,0.66666667,0.55555556,0.6,0.8,0.73333333,0.55555556,0.83333333,0.14814815,0.18518519,0.33333333,"Andrew Vasquez",19482,607755
"Jimmy Nelson","LAD",0.30395137,0.60309278,0.41491396,0.44,0.81196581,0.640553,0.3709369,0.43965517,0.14913958,0.18355641,0.33269598,"Jimmy Nelson",10547,519076
"Adam Morgan","CHC",0.33590734,0.5989011,0.44444444,0.47126437,0.85321101,0.68367347,0.41269841,0.59259259,0.14027149,0.19230769,0.33257919,"Adam Morgan",12580,605388
"Yohan Ramírez","SEA",0.28458498,0.68306011,0.45183486,0.44444444,0.776,0.65482234,0.41972477,0.54385965,0.1559633,0.1766055,0.33256881,"Yohan Ramirez",19444,670990
"Jeffrey Springs","TBR",0.34354486,0.6462585,0.4620506,0.51592357,0.77894737,0.65994236,0.39147803,0.63687151,0.15712383,0.17443409,0.33155792,"Jeffrey Springs",17677,605488
"Garrett Cleavinger","LAD",0.24742268,0.55555556,0.38764045,0.4375,0.93333333,0.76086957,0.45505618,0.54761905,0.09269663,0.23876404,0.33146067,"Garrett Cleavinger",17897,664076
"Jake Reed","- - -",0.33333333,0.61643836,0.4625,0.72413793,0.75555556,0.74324324,0.45625,0.58139535,0.11875,0.2125,0.33125,"Jake Reed",16209,596082
"Amir Garrett","CIN",0.29835391,0.62865497,0.43478261,0.46206897,0.81395349,0.67222222,0.41304348,0.6,0.14251208,0.1884058,0.33091787,"Amir Garrett",14375,607237
"Jimmie Sherfy","- - -",0.29230769,0.57,0.41304348,0.68421053,0.85964912,0.78947368,0.43478261,0.6031746,0.08695652,0.24347826,0.33043478,"Jimmie Sherfy",15118,642073
"Scott Barlow","KCR",0.35686275,0.62663755,0.45789043,0.46886447,0.83623693,0.65714286,0.37448896,0.61764706,0.15699101,0.17334424,0.33033524,"Scott Barlow",14993,605130
"Ronald Bolaños","KCR",0.37313433,0.66666667,0.48113208,0.52,0.73076923,0.62745098,0.36792453,0.44,0.17924528,0.1509434,0.33018868,"Ronald Bolanos",20041,671790
"Michael Kopech","CHW",0.30191693,0.65909091,0.46533795,0.56613757,0.76724138,0.69646182,0.45753899,0.62807018,0.14124783,0.18890815,0.33015598,"Michael Kopech",17282,656629
"James Hoyt","LAA",0.30088496,0.60869565,0.41758242,0.35294118,0.85714286,0.63157895,0.37912088,0.5,0.15384615,0.17582418,0.32967033,"James Hoyt",14605,624586
"Clay Holmes","- - -",0.252443,0.60196078,0.41103203,0.50967742,0.84039088,0.72943723,0.45373665,0.60616438,0.11120996,0.21797153,0.32918149,"Clay Holmes",13649,605280
"Kervin Castro","SFG",0.33944954,0.66304348,0.48756219,0.54054054,0.7704918,0.68367347,0.45771144,0.5,0.15422886,0.17412935,0.32835821,"Kervin Castro",21656,665645
"Clayton Kershaw","LAD",0.36,0.69398207,0.50442968,0.46341463,0.80811808,0.66849616,0.4324474,0.625,0.16722038,0.16002215,0.32724252,"Clayton Kershaw",2036,477132
"Seth Lugo","NYM",0.31707317,0.665625,0.46986301,0.52307692,0.83098592,0.71428571,0.43835616,0.67692308,0.13424658,0.19178082,0.3260274,"Seth Lugo",12447,607625
"Austin Adams","SDP",0.28571429,0.61271676,0.4033264,0.47159091,0.83018868,0.66752577,0.35966736,0.51452282,0.13409563,0.19126819,0.32536383,"Austin Adams",13801,613534
"Aaron Bummer","CHW",0.27857143,0.61691542,0.41995842,0.42307692,0.86290323,0.69306931,0.41787942,0.59917355,0.12889813,0.1954262,0.32432432,"Aaron Bummer",16258,607481
"Joe Mantiply","ARI",0.37570621,0.60674157,0.47504026,0.63909774,0.81481481,0.73559322,0.42995169,0.63276836,0.12560386,0.19806763,0.3236715,"Joe Mantiply",14857,573009
"Nick Sandlin","CLE",0.26589595,0.59143969,0.40464345,0.51086957,0.82236842,0.70491803,0.42620232,0.4893617,0.11940299,0.2039801,0.32338308,"Nick Sandlin",20517,680704
"Sam Howard","PIT",0.30131827,0.68571429,0.44444444,0.49375,0.74537037,0.63829787,0.37234043,0.58291457,0.1607565,0.16193853,0.32269504,"Sam Howard",16265,607572
"Sean Poppen","- - -",0.29411765,0.54594595,0.408867,0.58461538,0.9009901,0.77710843,0.45566502,0.60909091,0.091133,0.23152709,0.3226601,"Sean Poppen",19583,664092
"Patrick Weigel","MIL",0.18181818,0.5,0.31182796,0.5,0.84210526,0.72413793,0.40860215,0.52380952,0.08602151,0.23655914,0.32258065,"Patrick Weigel",17792,622256
"Alex Wood","SFG",0.32178218,0.65106816,0.46924829,0.57692308,0.8296875,0.73398058,0.44783599,0.64615385,0.12482916,0.1977221,0.32255125,"Alex Wood",13781,622072
"Luis García","STL",0.30597015,0.70386266,0.49101796,0.46341463,0.81097561,0.69512195,0.46506986,0.62222222,0.1497006,0.17165669,0.32135729,"Luis Garcia",6984,472610
"Gerrit Cole","NYY",0.35399768,0.67578439,0.48871674,0.57446809,0.79642857,0.70296347,0.41865948,0.66804408,0.14516672,0.17581677,0.3209835,"Gerrit Cole",13125,543037
"Richard Lovelady","KCR",0.31137725,0.65540541,0.47301587,0.42307692,0.87628866,0.71812081,0.46984127,0.67857143,0.13333333,0.18730159,0.32063492,"Richard Lovelady",19337,663992
"Diego Castillo","- - -",0.35852373,0.67029973,0.48076923,0.49509804,0.85772358,0.69333333,0.39209402,0.57081545,0.1474359,0.17307692,0.32051282,"Diego Castillo",17496,650895
"Alex Vesia","LAD",0.28882834,0.72535211,0.47926267,0.55660377,0.67961165,0.63782051,0.43625192,0.50931677,0.17357911,0.14592934,0.31950845,"Alex Vesia",25007,681911
"DJ Johnson","- - -",0.31578947,0.64705882,0.47222222,0.75,0.63636364,0.67647059,0.47222222,0.73333333,0.15277778,0.16666667,0.31944444,"DJ Johnson",12578,597113
"Héctor Neris","PHI",0.3659181,0.69547325,0.49477072,0.57039711,0.75147929,0.6699187,0.39098954,0.59677419,0.16331456,0.15607401,0.31938858,"Hector Neris",11804,593576
"Andrew Miller","STL",0.28409091,0.62313433,0.43064516,0.61,0.83233533,0.74906367,0.43225806,0.59756098,0.10806452,0.21129032,0.31935484,"Andrew Miller",6785,453192
"Ryan Thompson","TBR",0.38403042,0.64090909,0.5010352,0.67326733,0.81560284,0.75619835,0.45548654,0.59701493,0.12215321,0.19668737,0.31884058,"Ryan Thompson",16647,657044
"Dan Altavilla","SDP",0.4,0.66666667,0.54545455,0.75,1,0.91666667,0.54545455,0.8,0.04545455,0.27272727,0.31818182,"Dan Altavilla",16507,656186
"Hoby Milner","MIL",0.34466019,0.59893048,0.46564885,0.57746479,0.90178571,0.77595628,0.47582697,0.71717172,0.1043257,0.21374046,0.31806616,"Hoby Milner",13346,571948
"Andrew Kittredge","TBR",0.44827586,0.68578554,0.54536188,0.55769231,0.84,0.70280374,0.40876656,0.69148936,0.16191446,0.15580448,0.31771894,"Andrew Kittredge",12828,552640
"Phil Maton","- - -",0.34268833,0.69416499,0.49148211,0.52586207,0.76521739,0.66897747,0.42333901,0.61279461,0.16269165,0.15417376,0.31686542,"Phil Maton",18064,664208
"Adam Ottavino","BOS",0.25887574,0.6106383,0.40314136,0.56,0.84320557,0.73593074,0.41012216,0.55434783,0.10645724,0.21029668,0.31675393,"Adam Ottavino",1247,493603
"Pierce Johnson","SDP",0.31914894,0.62442396,0.44593301,0.51282051,0.84870849,0.70815451,0.415311,0.56557377,0.13014354,0.18660287,0.31674641,"Pierce Johnson",13435,572955
"Kenley Jansen","LAD",0.34628378,0.68267223,0.49673203,0.56097561,0.77675841,0.69360902,0.44724556,0.61870504,0.15219421,0.1643324,0.31652661,"Kenley Jansen",3096,445276
"Drew Pomeranz","SDP",0.21794872,0.70918367,0.44186047,0.64705882,0.78417266,0.74736842,0.45581395,0.58823529,0.11162791,0.20465116,0.31627907,"Drew Pomeranz",11426,519141
"Max Scherzer","- - -",0.33688833,0.7196414,0.5033676,0.51582868,0.78708947,0.68450704,0.43495214,0.64069264,0.15880893,0.15703651,0.31584544,"Max Scherzer",3137,453286
