Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Chris Tillman","BAL",65,0.2260274,0.63986014,0.43079585,0.71212121,0.8852459,0.83935743,0.49480969,,"Chris Tillman",5279,501957
"Esmerling Vasquez","ARI",53,0.25481799,0.68318966,0.46831364,0.59663866,0.79810726,0.74311927,0.49838883,,"Esmerling Vasquez",5280,458220
"Esmailin Caridad","CHC",19.1,0.29927007,0.62025316,0.47118644,0.68292683,0.82653061,0.78417266,0.53559322,,"Esmailin Caridad",5284,534428
"Cristhian Martinez","FLA",26.1,0.23404255,0.65957447,0.44680851,0.61363636,0.89516129,0.82142857,0.5,,"Cristhian Martinez",5337,450852
"Luis Perdomo","SDP",60,0.26343154,0.672,0.45311049,0.60526316,0.82142857,0.75409836,0.46425255,,"Luis Perdomo",5380,466412
"Freddy Dolsi","DET",10.2,0.21111111,0.54901961,0.390625,0.68421053,0.92857143,0.86666667,0.53125,,"Freddy Dolsi",5424,451767
"Jesse Chavez","PIT",67.1,0.25806452,0.68872987,0.49316406,0.71666667,0.83376623,0.80594059,0.54589844,,"Jesse Chavez",5448,445926
"Dana Eveland","OAK",44,0.2195122,0.56008584,0.40958084,0.75308642,0.90038314,0.86549708,0.55808383,,"Dana Eveland",5508,445968
"Tim Dillard","MIL",4.1,0.22222222,0.51351351,0.35365854,0.8,1,0.93103448,0.45121951,,"Tim Dillard",5518,457422
"James McDonald","LAD",63,0.23251748,0.65619224,0.43845463,0.65413534,0.84507042,0.79303279,0.48607367,,"James McDonald",5523,457428
"Madison Bumgarner","SFG",10,0.22535211,0.7037037,0.48026316,0.6875,0.85964912,0.82191781,0.53289474,,"Madison Bumgarner",5524,518516
"Boone Logan","ATL",17.1,0.33082707,0.57251908,0.45075758,0.63636364,0.92,0.81512605,0.49621212,,"Boone Logan",5525,457429
"Phil Coke","NYY",60,0.32467532,0.66046512,0.48654709,0.61333333,0.86267606,0.7764977,0.48206278,,"Phil Coke",5535,457435
"Jay Marshall","OAK",7.1,0.25,0.61538462,0.46017699,0.91666667,1,0.98076923,0.57522124,,"Jay Marshall",5546,457444
"Matt Harrison","TEX",63.1,0.22324723,0.65458015,0.43527205,0.76033058,0.90379009,0.86637931,0.49155722,,"Matt Harrison",5551,457448
"Jair Jurrjens","ATL",215,0.27862829,0.62969697,0.45507158,0.6967033,0.8719923,0.81860776,0.5025891,,"Jair Jurrjens",5556,457453
"Jo-Jo Reyes","ATL",27,0.26521739,0.60209424,0.41805226,0.47540984,0.91304348,0.76136364,0.45368171,,"Jo-Jo Reyes",5559,457456
"Sean White","SEA",64.1,0.25110132,0.66733068,0.46966527,0.77192982,0.91044776,0.8752784,0.5251046,,"Sean White",5564,457461
"Josh Banks","SDP",22.2,0.27152318,0.73023256,0.54098361,0.95121951,0.89171975,0.9040404,0.58743169,,"Josh Banks",5570,457468
"Mitch Stetter","MIL",45,0.26108374,0.56896552,0.41502463,0.56603774,0.84415584,0.75667656,0.5,,"Mitch Stetter",5579,449777
"Leo Rosales","ARI",45.1,0.24675325,0.68144044,0.4813154,0.65789474,0.86178862,0.8136646,0.53961136,,"Leo Rosales",5618,449820
"Tyler Clippard","WSN",60.1,0.2745098,0.61620469,0.43820225,0.54285714,0.77854671,0.7016317,0.47906027,,"Tyler Clippard",5640,461325
"Jason Berken","BAL",119.2,0.26536313,0.64263323,0.44313146,0.71929825,0.89918699,0.84222222,0.47119645,,"Jason Berken",5673,460072
"Tim Lincecum","SFG",225.1,0.29188558,0.58116114,0.43546016,0.574,0.8440367,0.75286968,0.49632461,,"Tim Lincecum",5705,453311
"Brian Bannister","KCR",154,0.2704,0.62066182,0.44475693,0.72189349,0.90377113,0.84823848,0.49779028,,"Brian Bannister",5718,446454
"Eric O'Flaherty","ATL",56.1,0.2975,0.60850112,0.46162928,0.68907563,0.85294118,0.80306905,0.52774498,,"Eric O'Flaherty",5746,447714
"Chad Billingsley","LAD",196.1,0.27985525,0.62727273,0.44715447,0.57758621,0.85507246,0.76503497,0.48155097,,"Chad Billingsley",5842,451532
"Radhames Liz","BAL",1.1,0.33333333,0.5,0.4,0.72727273,0.72727273,0.72727273,0.4,,"Radhames Liz",5843,467785
"Jason Motte","STL",56.2,0.27228916,0.62721893,0.46746204,0.68141593,0.87106918,0.82134571,0.54989154,,"Jason Motte",5861,435400
"Daniel Davidson","LAA",1.2,0.14285714,0.64705882,0.36842105,0.66666667,0.81818182,0.78571429,0.44736842,,"Daniel Davidson",5869,444360
"Jeff Karstens","PIT",108,0.25844156,0.60799136,0.44929245,0.73869347,0.89165187,0.85170604,0.54599057,,"Jeff Karstens",5879,444371
