Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Neftalí Feliz","TEX",31,0.64670659,,,,,0.07185629,0.19560878,,,,0.08582834,,,,"Neftali Feliz",18,491703
"Troy Percival","TBR",11.1,0.68663594,,,,,0.02764977,0.05990783,0.0921659,,,0.13364055,,,,"Troy Percival",29,120401
"Scott Schoeneweis","ARI",24,0.05063291,,,,,0.69620253,0.25316456,,,,,,,,"Scott Schoeneweis",33,150011
"Scot Shields","LAA",17.2,0.02875399,,,,,0.7827476,,0.1884984,,,,,,,"Scot Shields",35,276912
"Jarrod Washburn","- - -",176,0.40902141,,0.03019878,,,0.29013761,0.08792049,0.06574924,,,0.11697248,,,,"Jarrod Washburn",40,132220
"Miguel Batista","SEA",71.1,0.11438183,,,,,0.54667788,0.28679563,0.0176619,,,0.03448276,,,,"Miguel Batista",46,110683
"Randy Johnson","SFG",96,0.27408412,,,0.18046133,,0.192673,0.35278155,,,,,,,,"Randy Johnson",60,116615
"Jason Marquis","COL",216,,,,,,0.65255293,0.27210461,0.0143213,,,0.06102117,,,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",198.2,0.29837424,,0.16321326,0.02295186,,0.2658591,0.13388588,0.0873446,,,0.02837106,,,,"Kevin Millwood",106,119154
"Joe Nelson","TBR",40.1,0.64112903,,0.02822581,,,0.06989247,0.00672043,,,,0.25403226,,,,"Joe Nelson",108,406874
"Horacio Ramirez","KCR",22.2,0.40896359,,0.00280112,,,0.08683473,0.14565826,0.24929972,,,0.10644258,,,,"Horacio Ramirez",110,400141
"John Smoltz","- - -",78,0.38420245,,,0.13957055,,0.02990798,0.37730061,0.0690184,,,,,,,"John Smoltz",115,122477
"Dan Wheeler","TBR",57.2,0.0492228,,0.02072539,0.08290155,,0.50259067,0.19948187,0.14507772,,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","SEA",83,0.40490342,,0.00520059,,,0.22956909,,0.32540862,,,0.03491828,,,,"Erik Bedard",126,407853
"Jorge Julio","MIL",17.1,0.125,,,,,0.46341463,0.30792683,,,,0.10365854,,,,"Jorge Julio",148,406402
"Rodrigo Lopez","PHI",30,0.30165289,,,,,0.41942149,0.15495868,,,,0.12396694,,,,"Rodrigo Lopez",150,150438
"Sidney Ponson","KCR",58.2,0.02874743,,,,,0.59958932,0.16016427,0.05544148,,,0.15605749,,,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",20.2,0.50257732,,0.10824742,,,,0.38917526,,,,,,,,"B.J. Ryan",168,124805
"Rafael Betancourt","- - -",56,0.65375587,,0.09507042,,,,0.18075117,,,0.00234742,0.06807512,,,,"Rafael Betancourt",177,429783
"Casey Fossum","NYM",4,0.01587302,,,,,0.28571429,0.46031746,0.23809524,,,,,,,"Casey Fossum",188,407154
"Derek Lowe","ATL",194.2,,,0.01538945,,,0.67744975,0.26790201,,,,0.03925879,,,,"Derek Lowe",199,117955
"Pedro Martínez","PHI",44.2,0.37689133,,,,,0.20220083,0.14855571,0.1045392,,,0.16781293,,,,"Pedro Martinez",200,118377
"Darren Oliver","LAA",73,0.57946429,,,,,0.07321429,0.31875,,,,0.02857143,,,,"Darren Oliver",206,119984
"Tim Wakefield","BOS",129.2,0.10701842,,,,,,,0.04927825,,,,,0.84370333,,"Tim Wakefield",219,123801
"Mark Buehrle","CHW",213.1,0.36164212,,0.17267314,,,0.18489502,0.00031338,0.07834535,,,0.20213099,,,,"Mark Buehrle",225,279824
"Jon Garland","- - -",204,0.25766491,,0.00588417,,,0.43388046,0.12294828,0.06162899,,,0.11799319,,,,"Jon Garland",232,279782
"Bob Howry","SFG",63.2,0.31852552,,,,,0.40831758,0.20982987,,,,0.06332703,,,,"Bob Howry",237,133982
"Damaso Marte","NYY",13.1,0.10043668,,,,,0.5720524,0.31004367,,,,0.01746725,,,,"Damaso Marte",247,150122
"Daniel McCutchen","PIT",36.1,0.5625,,,,,0.04285714,0.11428571,0.00714286,,,0.27321429,,,,"Daniel McCutchen",263,445216
"Juan Cruz","KCR",50.1,0.55205047,,0.0809674,,,,0.23449001,,,,0.13249211,,,,"Juan Cruz",273,407297
"Kyle Farnsworth","KCR",37.1,0.27121212,,0.20606061,,,0.22575758,0.27424242,0.00151515,,,0.02121212,,,,"Kyle Farnsworth",278,150035
"Tom Gordon","ARI",1.2,0.44117647,,,,,0.02941176,0.32352941,0.20588235,,,,,,,"Tom Gordon",282,114971
"Ron Mahay","- - -",50.1,0.52071669,,,,,0.01343785,0.2206047,,,,0.24524076,,,,"Ron Mahay",290,118158
"Will Ohman","LAD",12.1,0.64321608,,,,,0.16080402,0.16582915,,,,0.03015075,,,,"Will Ohman",296,349193
"Kerry Wood","CLE",55,0.65648855,,,,,,0.19629226,0.14721919,,,,,,,"Kerry Wood",304,134268
"Carlos Zambrano","CHC",169.1,0.29810197,,0.02754001,0.1577968,,0.41272795,0.098623,0.00521027,,,,,,,"Carlos Zambrano",305,407296
"Elmer Dessens","NYM",32.2,0.19393939,,,,,0.4,0.3030303,0.04242424,,,0.06060606,,,,"Elmer Dessens",317,113296
"Danys Baez","BAL",71.2,0.39079334,,,,,0.54358472,,0.06562194,,,,,,,"Danys Baez",367,276056
"Bartolo Colon","CHW",62.1,0.31724138,,,,,0.57816092,0.05517241,,,,0.04942529,,,,"Bartolo Colon",375,112526
"Chad Paronto","HOU",6.2,0.17073171,,,,,0.40650407,0.34146341,,,,0.08130081,,,,"Chad Paronto",399,406301
"David Riske","MIL",1,0.68,,,,,0.08,,,,,0.24,,,,"David Riske",402,228594
"CC Sabathia","NYY",230,0.4481982,,,,,0.16638514,0.18637387,0.01295045,,,0.18609234,,,,"CC Sabathia",404,282332
"Billy Traber","BOS",3.2,0.07142857,,,,,0.57142857,0.11428571,,,,0.24285714,,,,"Billy Traber",410,407896
"Brian Fuentes","LAA",55,,,,,,0.7045929,0.22129436,,,,0.07411273,,,,"Brian Fuentes",429,150118
"Mike Hampton","HOU",112,0.30266075,,0.24667406,,,0.27827051,,0.08370288,,,0.0886918,,,,"Mike Hampton",430,115399
"Jason Jennings","TEX",61,0.29305423,,0.16936251,,,0.08943863,0.41769743,,,,0.03044719,,,,"Jason Jennings",434,407298
"Dennys Reyes","STL",41,0.02918587,,,,,0.5453149,0.28110599,,,,0.14439324,,,,"Dennys Reyes",444,121096
"Justin Speier","LAA",40,0.01601164,,0.38282387,,,0.35953421,0.16448326,,,,0.07714702,,,,"Justin Speier",451,133221
"Denny Stark","SEA",11,0.63786008,,,,,0.09465021,0.09876543,,,,0.16872428,,,,"Denny Stark",452,150128
"Brian Moehler","HOU",154.2,0.32436838,,0.11654442,,,0.33496333,,0.10187449,,,0.12224939,,,,"Brian Moehler",480,119215
"Fernando Rodney","DET",75.2,0.12622827,,,,,0.48223734,0.00302343,,,,0.38851096,,,,"Fernando Rodney",494,407845
"Jamie Walker","BAL",12.1,0.10849057,,,,,0.21698113,0.31603774,,,,0.35849057,,,,"Jamie Walker",502,123828
