Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Vladimir Nunez","ATL",0,0.5,0.25,0.25,0.5,0,1,1,9,13,17,30,0.5,0.25,0.25,0.25,0,0.75,"Vladimir Nunez",532,136727
"Radhames Liz","BAL",0.7,1,0.272727272,0.363636363,0.363636363,0,0.25,0,0,23,32,55,0.45454545,0.27272727,0.27272727,0.09090909,0.18181818,0.72727273,"Radhames Liz",5843,467785
"Luis Mendoza","TEX",0.25,0,0.4,0,0.6,0,0.333333333,0,0,11,11,22,0.8,0.2,0,0,0.4,0.6,"Luis Mendoza",3126,434669
"Bobby Korecky","ARI",0.44,0.8,0.25,0.333333333,0.416666666,0,0,2,3.000000476837234,50,74,124,0.4,0.28,0.32,0.08,0.36,0.56,"Bobby Korecky",4608,445090
"Armando Gabino","MIN",0.47058823529411764,0.444444444,0.277777777,0.222222222,0.5,0,0.111111111,2,4.909086333822937,43,52,95,0.5,0.16666667,0.33333333,0.05555556,0.38888889,0.55555556,"Armando Gabino",3387,471803
"Arturo Lopez","SDP",0.45454545454545453,0.714285714,0.076923076,0.384615384,0.538461538,0.142857142,0.285714285,1,3.8571433826369397,30,33,63,0.53846154,0.30769231,0.15384615,0.15384615,0.30769231,0.53846154,"Arturo Lopez",3319,445995
"Anthony Claggett","- - -",0.5555555555555556,0.75,0.333333333,0.285714285,0.38095238,0,0.375,0,0,43,64,107,0.47619048,0.33333333,0.19047619,0.0952381,0.38095238,0.52380952,"Anthony Claggett",4116,488782
"Ross Gload","FLA",0,2,0,1,0,0,0,1,9,10,6,16,0.5,0.5,0,0,0.5,0.5,"Ross Gload",1538,340393
"Juan Morillo","MIN",0.2857142857142857,0.4,0.125,0.25,0.625,0,0.2,0,0,20,22,42,0.25,0.125,0.625,0.125,0.375,0.5,"Juan Morillo",3369,434623
"Travis Schlichting","LAD",0,0.75,0.125,0.375,0.5,0,0.25,0,0,35,33,68,0.25,0.75,0,0.125,0.375,0.5,"Travis Schlichting",3847,459411
