Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Dusty Brown","BOS",1,,,,,,,,,,,78.71428571428571,,75.18333435058594,"Dusty Brown",3420,451259
"R.A. Dickey","MIN",64.1,84.70387740873954,,,,,,,,,59.80000114440918,,,75.00098739981505,"R.A. Dickey",1245,285079
"Charlie Haeger","LAD",19,83.20384803185097,,,,,,,70.81875228881836,,,,,70.8475503021816,"Charlie Haeger",3545,446624
"Tim Wakefield","BOS",129.2,72.37953306686046,,,,,,,59.74545257260101,,,,,65.10495483038348,"Tim Wakefield",219,123801
"Neftalí Feliz","TEX",31,95.94722342785494,,,,,93.91666666666667,78.46122648278062,,,,85.94883834484011,,,"Neftali Feliz",18,491703
"Troy Percival","TBR",11.1,90.56375838926175,,,,,90.26666259765625,83.5,75.48499755859375,,,82.53793440193965,,,"Troy Percival",29,120401
"Scott Schoeneweis","ARI",24,87.79500122070313,,,,,88.09963778409092,79.5039990234375,,,,,,,"Scott Schoeneweis",33,150011
"Scot Shields","LAA",17.2,91.25555419921875,,,,,91.58490114795919,,79.71016783633475,,,,,,"Scot Shields",35,276912
"Jarrod Washburn","- - -",176,88.35962689836448,,87.07088731210443,,,87.54505825922266,78.22478345788043,69.63604452443677,,,81.28987151501225,,,"Jarrod Washburn",40,132220
"Miguel Batista","SEA",71.1,93.05220301011029,,,,,92.59522836538461,87.33870967741936,77.77142624627976,,,84.41219274009147,,,"Miguel Batista",46,110683
"Randy Johnson","SFG",96,90.08019415222772,,,84.80074889677807,,90.13098595847546,84.49884314903846,,,,,,,"Randy Johnson",60,116615
"Jason Marquis","COL",216,,,,,,90.30725190839695,84.87609053203661,75.78043265964673,,,82.71530711894133,,,"Jason Marquis",105,150302
"Kevin Millwood","TEX",198.2,89.95534521901709,,88.21875,83.14583333333333,,90.45408048561151,84.1423828125,72.36861313868613,,,82.00112469276685,,,"Kevin Millwood",106,119154
"Joe Nelson","TBR",40.1,86.90985324947589,,84.3904796781994,,,86.88654033954327,72.75999755859375,,,,76.88465711805556,,,"Joe Nelson",108,406874
"Horacio Ramirez","KCR",22.2,89.67739659139555,,85.19999694824219,,,88.43548387096774,87.63846294696515,79.15617730644311,,,84.4526302939967,,,"Horacio Ramirez",110,400141
"John Smoltz","- - -",78,91.33632734530939,,,85.72033020690247,,91.48461757562099,84.56625936864837,76.33222113715277,,,,,,"John Smoltz",115,122477
"Dan Wheeler","TBR",57.2,87.98158023231908,,86.5875015258789,83.3046875,,88.01932989690722,82.91558441558442,76.95356968470982,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","SEA",83,91.28697677752294,,91,,,91.8281566039644,,77.6716877140411,,,77.85957239029256,,,"Erik Bedard",126,407853
"Jorge Julio","MIL",17.1,93.23902558117378,,,,,94.10526315789474,83.16336633663366,,,,85.31470444623162,,,"Jorge Julio",148,406402
"Rodrigo Lopez","PHI",30,88.18561794333262,,,,,88.27438640124691,81.41066569010417,,,,82.11500193277995,,,"Rodrigo Lopez",150,150438
"Sidney Ponson","KCR",58.2,91.39285496303013,,,,,91.75890611622431,82.29679205478766,76.74259327076099,,,84.68881868061267,,,"Sidney Ponson",161,132260
"B.J. Ryan","TOR",20.2,87.2189703525641,,86.87380836123512,,,,81.1735112272351,,,,,,,"B.J. Ryan",168,124805
"Rafael Betancourt","- - -",56,92.40340972845601,,92.48641854745371,,,,82.4538954697646,,,58.099998474121094,85.13275988348599,,,"Rafael Betancourt",177,429783
"Casey Fossum","NYM",4,88,,,,,87.98888481987848,83.03103111530173,74.72000325520834,,,,,,"Casey Fossum",188,407154
"Derek Lowe","ATL",194.2,,,86.18775908801021,,,88.56554966388502,81.51113716295428,,,,84.000796875,,,"Derek Lowe",199,117955
"Pedro Martínez","PHI",44.2,89.04598397582117,,,,,87.37891289328232,81.10648148148148,70.9644711143092,,,76.99426069415983,,,"Pedro Martinez",200,118377
"Darren Oliver","LAA",73,89.52572918672958,,,,,90.1926805449695,77.879554043297,,,,84.37812805175781,,,"Darren Oliver",206,119984
"Mark Buehrle","CHW",213.1,85.5446273830156,,81.16624602994555,,,84.69355799788136,81.30000305175781,70.336796875,,,78.51798691860465,,,"Mark Buehrle",225,279824
"Jon Garland","- - -",204,89.21610436072716,,87.64737099095395,,,89.6355463173626,84.51208895820214,76.13165927292714,,,79.93176045255085,,,"Jon Garland",232,279782
"Bob Howry","SFG",63.2,92.54925700111276,,,,,92.125,84.88874225788288,,,,84.98507462686567,,,"Bob Howry",237,133982
"Damaso Marte","NYY",13.1,92.295654296875,,,,,91.54656935830153,80.86056475572182,,,,85.4000015258789,,,"Damaso Marte",247,150122
"Daniel McCutchen","PIT",36.1,90.29047619047618,,,,,90.10833740234375,82.1968765258789,74.7249984741211,,,81.82352941176471,,,"Daniel McCutchen",263,445216
"Juan Cruz","KCR",50.1,93.89676339285714,,87.45324548498377,,,,80.8147947029148,,,,83.94682384672619,,,"Juan Cruz",273,407297
