Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Burke Badenhop","FLA",7,4,0,35,2,72,7.1250001887480465,3.0000000794728616,0.6250000165568462,0.3055555555555556,0.71910112,0.539170506,0.089285714,88.22246832596629,3.750000099341077,,3.4581948799851503,3.5764305382462815,0.8890913054347038,"Burke Badenhop",9736,488674
"Arthur Rhodes","CIN",1,1,0,66,0,53.1,8.10000193119095,3.3750008046628963,0.5062501206994344,0.23776223776223776,0.78066914,0.405797101,0.051724137,92.55880646658416,2.5312506034971722,,3.209583786129958,3.905929519948098,0.8659440279006958,"Arthur Rhodes",1097,121125
"Marc Rzepczynski","TOR",2,4,0,11,11,61.1,8.80434965140916,4.40217482570458,1.0271741259977354,0.26993865030674846,0.76177285,0.512048192,0.14893617,88.6061781810538,3.668479021420483,,4.14056223651191,3.6628183846386753,0.8616003394126892,"Marc Rzepczynski",6612,519240
"Joe Thatcher","SDP",1,0,0,52,0,45,11.00000559489217,3.6000018310556188,0.4000002034506243,0.3211009174311927,0.80071174,0.440366972,0.048780487,88.70559692382812,2.8000014241543703,,2.6970835558572372,3.3153503996655544,0.8565429449081421,"Joe Thatcher",4620,491159
"Jeff Fulchino","HOU",6,4,0,61,0,82,7.792684376913746,2.9634151855869173,0.7682928258929045,0.27631578947368424,0.74279379,0.47368421,0.08045977,93.51878156565657,3.40243965752572,,3.572693603908231,3.8557137227162146,0.845548689365387,"Jeff Fulchino",3532,445246
"Nelson Figueroa","NYM",3,8,0,16,10,70.1,7.549763374408314,3.071090186199992,1.0236967287333307,0.32727272727272727,0.78585462,0.372197309,0.093023255,88.79074475364963,4.094786914933323,,4.305614619618044,4.432082595008757,0.832889586687088,"Nelson Figueroa",683,150153
"Mike Hampton","HOU",7,10,0,21,21,112,5.946428571428571,3.6964285714285716,1.0446428571428572,0.3203342618384401,0.66539924,0.511235955,0.12745098,89.03336405664794,5.303571428571429,,4.570298045022147,4.256892855492022,0.8293597102165222,"Mike Hampton",430,115399
"John Maine","NYM",7,6,0,15,15,81.1,6.086064812573941,4.204917506869268,0.885245790919846,0.24180327868852458,0.68507157,0.351020408,0.074766355,92.07339891975309,4.42622895459923,,4.572493410840938,5.0208000337325815,0.8276875019073486,"John Maine",4773,429720
"Carlos Marmol","CHC",2,4,15,79,0,74,11.310813143098809,7.9054070354991675,0.2432432933999744,0.25153374233128833,0.77645051,0.358490566,0.025974025,94.94691460253456,3.4054061075996414,,4.05654341660776,5.071142677949959,0.8274750113487244,"Carlos Marmol",2790,461791
"Ervin Santana","LAA",8,8,0,24,23,139.2,6.894987062442452,3.028639176960703,1.5465391541926994,0.31690140845070425,0.72916667,0.382022471,0.128342245,92.46406571334862,5.026252251126273,,5.023097798557103,4.546826753971709,0.8262418732047081,"Ervin Santana",3200,429722
"Craig Stammen","WSN",4,7,0,19,19,105.2,4.088328764480479,2.0441643822402393,1.192429222973473,0.27298050139275765,0.60301508,0.471389645,0.118644067,89.79703589816934,5.1104109556005985,,4.6775256659473055,4.421080736416615,0.8258469700813293,"Craig Stammen",7274,489334
"Todd Coffey","MIL",4,4,2,78,0,83.2,6.992033997808205,2.2589648300611125,0.8605580304994714,0.28451882845188287,0.81081081,0.522821576,0.108108108,92.10845184326172,2.904383352935716,,3.6468847232380797,3.564918186626128,0.8186353445053101,"Todd Coffey",2467,434298
"Michael Gonzalez","ATL",5,4,10,80,0,74.1,10.896861732165537,3.9955159684606967,0.8475336902795417,0.2752808988764045,0.78886311,0.382857142,0.09090909,93.24936569688768,2.421524829370119,,3.514124146588271,3.649733974581731,0.8133921027183533,"Michael Gonzalez",1794,283166
