Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Ross Gload","FLA",0,18,0,0,0,0.5,-0.5,0,2,0,1,0,219.06464584958107,215.75750040299556,0,9.09708375930786,-9.09708375930786,9.09708375930786,15.034485892117024,"Ross Gload",1538,340393
"Nick Green","BOS",0,13.5,0,0,0,0.33333333,-0.33333333,0,1.5,0,1,0,174.58935007289548,215.33774393041037,0,7.5970837593078615,-7.5970837593078615,9.566181094199418,11.325652550285023,"Nick Green",1502,407797
"Daniel Davidson","LAA",0,16.20000617981193,0,0,0,0.27272727,-0.27272727,0.375,3.6000013732915397,0.375,0.83333333,122.70175353200858,193.24906312051024,226.67694233142853,5.400002059937309,8.497085819245171,-3.0970837593078624,10.072364288079463,9.87326686753785,"Daniel Davidson",5869,444360
"Wes Whisler","CHW",13.500003218651585,20.250004827977378,0.66666667,0,0.28571429,0.42857143,-0.14285714,0,2.250000536441931,0,0.33333333,292.7417950448012,148.0353904252749,176.48149798141782,13.500003218651585,6.847084653377746,6.652918565273839,7.831633555558276,9.801761394246942,"Wes Whisler",8023,452217
"Frankie De La Cruz","SDP",5.40000051498418,16.20000154495254,0.33333333,0,0.11764706,0.35294118,-0.23529412,0.18181818181818182,2.400000228881858,0.2222222222222222,0.75,141.0277272279203,179.27057782996891,191.639407012689,5.40000051498418,7.297084159851114,-1.8970836448669335,8.084723168922846,9.675774819444207,"Frankie De La Cruz",3920,448842
"Travis Schlichting","LAD",6.749991953382548,16.87497988345637,0.4,3.374995976691274,0.13333333,0.33333333,-0.2,0.1,2.2499973177941825,0,0.86956522,83.09277006488395,292.74172118732463,217.99906642306303,3.374995976691274,12.09707303048459,-8.722077053793317,9.191173829477943,9.268025888320558,"Travis Schlichting",3847,459411
"Josh Wilson","- - -",0,9,0,4.5,0,0.2,-0.2,0.375,2.5,0.2857142857142857,0.55555556,352.56928444617046,306.27843755159324,206.83467616425952,13.5,12.59708375930786,0.9029162406921394,8.722546872496604,9.234905892117023,"Josh Wilson",2102,425543
"Victor Garate","WSN",0,13.5,0,4.5,0,0.2,-0.2,0.45454545454545453,4,0.4,0.52631579,536.3897388462403,368.33919520620515,309.57955129783875,22.5,15.59708375930786,6.902916240692139,13.035278429090976,9.095679222775159,"Victor Garate",4036,466339
"Luis Mendoza","TEX",0,9,0,9,0,0.14285714,-0.14285714,0.4,3,0.25,0,765.2452097613517,480.0101073442364,293.0502864019423,36,22.09708375930786,13.90291624069214,13.035278429090976,8.996373631935555,"Luis Mendoza",3126,434669
"Ian Kennedy","NYY",9,18,0.5,0,0.16666667,0.33333333,-0.16666667,0,2,0,1,0,218.7894937248116,256.6376813276781,0,10.09708375930786,-10.09708375930786,11.409815315902232,8.89306922616869,"Ian Kennedy",6986,453178
"Tom Gordon","ARI",0,16.20000617981193,0,0,0,0.3,-0.3,0.42857142857142855,3.6000013732915397,0.42857142857142855,0.33333333,489.01701216827985,197.9459621996191,201.46337784443168,21.600008239749236,8.497085819245171,13.102922420504065,8.497085819245171,8.806765892117022,"Tom Gordon",282,114971
"Juan Morillo","MIN",4.5,13.5,0.33333333,4.5,0.08333333,0.25,-0.16666667,0.3333333333333333,3,0.2857142857142857,0.2173913,512.1313219457402,302.2984327475814,222.3433600973572,22.5,13.09708375930786,9.40291624069214,9.87891265079379,8.553228953103051,"Juan Morillo",3369,434623
"Mike Hinckley","WSN",2.793102529755122,10.241375942435448,0.27272727,0.9310341765850407,0.06818182,0.25,-0.18181818,0.25,1.9655165950128637,0.25,0.80645161,110.9771508523054,177.6938058693606,175.8683089045971,4.655170882925203,7.545358158547501,-2.8901872756222975,7.42272895846237,8.214061824852594,"Mike Hinckley",3769,434479
