Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Neftalí Feliz","TEX",42.2,0.59565807,,,,,0.05970149,0.20488467,,,,0.13975577,,,,"Neftali Feliz",18,491703
"Xavier Cedeño","HOU",31,0.1299639,,,,,0.37184116,0.03068592,0.42960289,,,0.03790614,,,,"Xavier Cedeno",36,458584
"Miguel Batista","- - -",52.2,0.21532091,,0.00207039,,,0.38405797,0.32091097,0.01138716,,,0.06625259,,,,"Miguel Batista",46,110683
"Zach Phillips","BAL",6,0.26666667,,,,,0.28571429,0.31428571,,,,0.13333333,,,,"Zach Phillips",99,452061
"Jason Marquis","- - -",127.2,0.00049261,,,,,0.55369458,0.30935961,,,,0.1364532,,,,"Jason Marquis",105,150302
"Kevin Millwood","SEA",161,0.26902174,,0.17003106,,,0.25659938,0.19409938,0.05706522,,,0.05318323,,,,"Kevin Millwood",106,119154
"Dan Wheeler","CLE",12.1,0.09090909,,,0.07905138,,0.45849802,0.31620553,0.05533597,,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","PIT",125.2,0.26380368,,0.02973101,0.03680982,,0.29778197,,0.27984899,,,0.09202454,,,,"Erik Bedard",126,407853
"Rodrigo Lopez","CHC",6.1,0.36893204,,,,,0.22330097,0.24271845,,,,0.16504854,,,,"Rodrigo Lopez",150,150438
"Rafael Betancourt","COL",57.2,0.35150167,,0.40266963,,,,0.17241379,,,,0.07341491,,,,"Rafael Betancourt",177,429783
"Derek Lowe","- - -",142.2,,,0.05431034,,,0.67931034,0.15172414,,,,0.11465517,,,,"Derek Lowe",199,117955
"Darren Oliver","TOR",56.2,0.58190149,,,,,0.16380298,0.24054983,,,,0.0137457,,,,"Darren Oliver",206,119984
"Mark Buehrle","MIA",202.1,0.29560367,,0.18372703,,,0.1414042,,0.10695538,,,0.27230971,,,,"Mark Buehrle",225,279824
"Juan Cruz","PIT",35.2,0.41044776,,0.30447761,,,,0.18358209,,,,0.10149254,,,,"Juan Cruz",273,407297
"Kyle Farnsworth","TBR",27,0.23897912,,0.01856148,,,0.25290023,0.4199536,,,,0.06960557,,,,"Kyle Farnsworth",278,150035
"Will Ohman","CHW",26.2,0.32405063,,,,,0.26582278,0.36708861,0.03291139,,,0.01012658,,,,"Will Ohman",296,349193
"Kerry Wood","CHC",8.2,0.49079755,,,,,,0.39263804,0.11656442,,,,,,,"Kerry Wood",304,134268
"Carlos Zambrano","MIA",132.1,0.1674683,,0.03847836,0.21250547,,0.44381286,0.1132488,0.02448623,,,,,,,"Carlos Zambrano",305,407296
"Blake Beavan","SEA",152.1,0.39259259,,,,,0.24400871,0.22396514,0.10196078,,,0.03747277,,,,"Blake Beavan",338,518444
"Leyson Septimo","CHW",14.1,0.60913706,,,,,,0.38071066,,,,0.01015228,,,,"Leyson Septimo",341,465015
"Bartolo Colon","OAK",152.1,0.31787109,,,,,0.57666016,0.06835938,,,,0.03710938,,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",200,0.33046358,,,,,0.21125828,0.28476821,0.04933775,,,0.12417219,,,,"CC Sabathia",404,282332
"Jake Westbrook","STL",174.2,,,0.16535728,0.07407407,,0.6187804,,0.08193042,,,0.05985784,,,,"Jake Westbrook",412,150414
"Brian Fuentes","- - -",30,,,,,,0.76171875,0.05859375,,,,0.1796875,,,,"Brian Fuentes",429,150118
"Fernando Rodney","TBR",74.2,0.09550046,,,,,0.52892562,0.00367309,,,,0.37190083,,,,"Fernando Rodney",494,407845
"Josh Beckett","- - -",170.1,0.2345065,,0.15990819,,,0.29801071,,0.18133129,,,0.12624331,,,,"Josh Beckett",510,277417
"A.J. Burnett","PIT",202.1,0.2628628,,,,,0.34135884,,,0.34036939,,0.05540897,,,,"A.J. Burnett",512,150359
"Ryan Dempster","- - -",173,0.26520947,,0.07723133,0.13333333,,0.2007286,0.32349727,,,,,,,,"Ryan Dempster",517,133225
"Jason Grilli","PIT",58.2,0.70366599,,,,,0.01629328,0.28004073,,,,,,,,"Jason Grilli",521,276351
"Brad Penny","SFG",28,0.24770642,,,0.18119266,,0.38990826,,0.18119266,,,,,,,"Brad Penny",535,207267
"Octavio Dotel","DET",58,0.68222222,,0.11888889,,,,0.12111111,0.07666667,,,0.00111111,,,,"Octavio Dotel",555,136734
"Hector Ambriz","HOU",19.1,0.46178344,,,,,0.07643312,0.37898089,0.08280255,,,,,,,"Hector Ambriz",559,459932
"Brad Lidge","WSN",9.1,0.39893617,,,,,,0.60106383,,,,,,,,"Brad Lidge",563,400058
"Roy Oswalt","TEX",59,0.43,,0.066,,,0.148,0.023,0.146,,0.005,0.182,,,,"Roy Oswalt",571,400061
"Jeremy Affeldt","SFG",63.1,0.082,,,,,0.501,,0.283,,,0.134,,,,"Jeremy Affeldt",583,346793
"Jeremy Horst","PHI",31.1,0.5244898,,,,,0.05510204,0.24693878,,,,0.17346939,,,,"Jeremy Horst",596,456662
"Mike MacDougal","LAD",5.2,,,,,,0.75630252,0.23529412,0.00840336,,,,,,,"Mike MacDougal",612,213680
"Jeff Suppan","SDP",30.2,0.23790323,,0.30443548,,,0.18346774,,0.10685484,,,0.16733871,,,,"Jeff Suppan",633,122987
"Ben Sheets","ATL",49.1,0.37908497,,,,,0.16993464,,0.28235294,,,0.16862745,,,,"Ben Sheets",710,282656
"Rhiner Cruz","HOU",55,0.49438202,,,,,0.15730337,0.28396323,,,,0.06435138,,,,"Rhiner Cruz",711,462480
"Jamey Wright","LAD",67.2,0.04478976,,0.20566728,,,0.45886654,0.04570384,0.24497258,,,,,,,"Jamey Wright",715,124604
"Grant Balfour","OAK",74.2,0.65660685,,0.01386623,,,0.0228385,0.21941272,0.08401305,,,0.00326264,,,,"Grant Balfour",718,346797
"LaTroy Hawkins","LAA",42,0.67048711,,,,,0.0286533,0.16905444,0.09025788,,,0.04154728,,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","STL",211,0.06286081,,,,,0.46664529,0.23444516,0.04393842,,,0.19211033,,,,"Kyle Lohse",739,346798
"J.C. Romero","- - -",12,0.0531401,,,,,0.5942029,0.19806763,,,,0.15458937,,,,"J.C. Romero",754,240694
"Johan Santana","NYM",117,0.52764858,,,,,0.05322997,0.20361757,,,,0.21550388,,,,"Johan Santana",755,276371
"Bruce Chen","KCR",191.2,0.18541798,,,,,0.22690132,0.30923947,0.10465116,,0.02545569,0.14833438,,,,"Bruce Chen",769,136600
"Scott Downs","LAA",45.2,,,,,,0.81560284,,0.18156028,,,0.00283688,,,,"Scott Downs",773,275933
"Carl Pavano","MIN",63,0.04323725,,,0.13525499,,0.51552106,0.07427938,,,,0.23170732,,,,"Carl Pavano",790,134321
"Randy Choate","- - -",38.2,0.0111465,,,,,0.66242038,0.32643312,,,,,,,,"Randy Choate",813,329092
"Ted Lilly","LAD",48.2,0.31721195,,,,,0.17496444,0.14224751,0.14082504,,,0.22475107,,,,"Ted Lilly",833,150404
"Andy Pettitte","NYY",75.1,0.17980514,,0.22232064,,,0.14968999,0.24180691,0.1231178,,,0.08325952,,,,"Andy Pettitte",840,120485
"Mariano Rivera","NYY",8.1,0.09090909,,0.90082645,,,,,,,,0.00826446,,,,"Mariano Rivera",844,121250
"Sam Demel","ARI",1,,,,,,0.44444444,0.33333333,,,,0.22222222,,,,"Sam Demel",868,451585
"Scott Maine","- - -",26.2,0.02466793,,0.09108159,,,0.56736243,0.01518027,0.22770398,,,0.0740038,,,,"Scott Maine",885,453186
