Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","NYM",233.2,5.8381733521819115,,,,,,,,,-2.1765379905700684,,,29.832006335258484,"R.A. Dickey",1245,285079
"Mitch Maier","KCR",1,,,,,,,,,,,0.2281094193458557,,0.39358943700790405,"Mitch Maier",5588,430574
"Neftalí Feliz","TEX",42.2,7.371083378791809,,,,,1.8563790321350098,-2.1703187823295593,,,,-0.1745370626449585,,,"Neftali Feliz",18,491703
"Xavier Cedeño","HOU",31,-0.09121508151292801,,,,,-2.390410900115967,0.5692230463027954,3.3132035732269287,,,-0.3052626848220825,,,"Xavier Cedeno",36,458584
"Miguel Batista","- - -",52.2,1.4210728108882904,,0.1290711611509323,,,-8.298872411251068,-1.0544909238815308,0.009230755269527435,,,0.15656743198633194,,,"Miguel Batista",46,110683
"Zach Phillips","BAL",6,0.8925207257270813,,,,,-0.6256391406059265,-2.3934359550476074,,,,0.40829670429229736,,,"Zach Phillips",99,452061
"Jason Marquis","- - -",127.2,0.037836991250514984,,,,,-13.630470275878906,1.4098484516143799,,,,-4.638504147529602,,,"Jason Marquis",105,150302
"Kevin Millwood","SEA",161,-5.025375843048096,,2.1210179328918457,,,1.6030040979385376,1.9982249736785889,0.675374448299408,,,1.382897973060608,,,"Kevin Millwood",106,119154
"Dan Wheeler","CLE",12.1,0.4752737581729889,,,-1.5484119653701782,,-3.58558988571167,0.3305918276309967,-1.027759313583374,,,,,,"Dan Wheeler",120,235095
"Erik Bedard","PIT",125.2,-1.0235239267349243,,2.818655490875244,-1.5263456106185913,,-6.054003715515137,,3.622328042984009,,,-2.4175662994384766,,,"Erik Bedard",126,407853
"Rodrigo Lopez","CHC",6.1,-1.160434365272522,,,,,0.09474241733551025,-2.3857226371765137,,,,0.966852068901062,,,"Rodrigo Lopez",150,150438
"Rafael Betancourt","COL",57.2,4.969285011291504,,2.750784158706665,,,,-1.798705816268921,,,,1.6987378597259521,,,"Rafael Betancourt",177,429783
"Derek Lowe","- - -",142.2,,,0.28835588693618774,,,-12.148449063301086,4.481047630310059,,,,-2.4615220427513123,,,"Derek Lowe",199,117955
"Darren Oliver","TOR",56.2,5.8731889724731445,,,,,4.1800150871276855,4.050673007965088,,,,-0.8279545903205872,,,"Darren Oliver",206,119984
"Mark Buehrle","MIA",202.1,11.421745300292969,,2.0218677520751953,,,0.9513230323791504,,-0.5673996210098267,,,-4.159844875335693,,,"Mark Buehrle",225,279824
