Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Johan Santana","MIN",16,7,2.87482027011878,33,33,24,3,2,0,0,0,231.2,910,180,77,74,22,45,1,1,8,0,238,"Johan Santana",755,276371
"Jake Peavy","SDP",13,7,2.8817731824021227,30,30,22,3,3,0,0,0,203,812,162,70,65,18,50,3,7,3,1,216,"Jake Peavy",1051,408241
"Chris Carpenter","STL",21,5,2.830344768017057,33,33,27,7,4,0,0,0,241.2,953,204,82,76,18,51,0,3,5,0,213,"Chris Carpenter",1292,112020
"Randy Johnson","NYY",17,8,3.7887741737432967,34,34,22,4,0,0,0,0,225.2,920,207,102,95,32,47,2,12,3,1,211,"Randy Johnson",60,116615
"Pedro Martínez","NYM",15,8,2.8202764976958523,31,31,23,4,1,0,0,0,217,843,159,69,68,19,47,3,4,4,0,208,"Pedro Martinez",200,118377
"Brett Myers","PHI",13,8,3.719814329349632,34,34,21,2,0,0,0,0,215.1,905,193,94,89,31,68,2,11,4,4,208,"Brett Myers",962,408206
"Doug Davis","MIL",11,11,3.839820271570348,35,35,23,2,1,0,0,0,222.2,946,196,103,95,26,93,5,4,3,2,208,"Doug Davis",1244,150277
"Carlos Zambrano","CHC",14,6,3.264179178817047,33,33,23,2,0,0,0,0,223.1,909,170,88,81,21,86,3,8,7,0,202,"Carlos Zambrano",305,407296
"John Lackey","LAA",14,5,3.4449758250422993,33,33,18,1,0,0,0,0,209,892,208,85,80,13,71,3,11,18,0,199,"John Lackey",1507,407793
"A.J. Burnett","FLA",12,12,3.4449763280677854,32,32,23,4,2,0,0,0,209,873,184,97,80,12,79,1,7,12,0,198,"A.J. Burnett",512,150359
"Javier Vazquez","ARI",11,15,4.423492940499002,33,33,20,3,1,0,0,0,215.2,904,223,112,106,35,46,4,5,7,0,192,"Javier Vazquez",801,134320
"Mark Prior","CHC",11,7,3.6719998879394566,27,27,20,1,0,0,0,0,166.2,701,143,73,68,25,59,2,4,4,1,188,"Mark Prior",301,407578
"John Patterson","WSN",9,7,3.1310922763809192,31,31,19,2,1,0,0,0,198.1,817,172,71,69,19,65,11,5,9,1,185,"John Patterson",71,279568
"Roger Clemens","HOU",13,8,1.8738170797983904,32,32,26,1,0,0,0,0,211.1,838,151,51,44,11,62,5,3,3,1,185,"Roger Clemens",815,112388
"Roy Oswalt","HOU",20,12,2.9420689035966774,35,35,25,4,1,0,0,0,241.2,1002,243,85,79,18,48,3,8,5,1,184,"Roy Oswalt",571,400061
"Chris Capuano","MIL",18,12,3.986301647607927,35,35,16,0,0,0,0,0,219,949,212,105,97,31,91,6,12,3,4,176,"Chris Capuano",1701,425626
"Scott Kazmir","TBD",10,9,3.774193548387097,32,32,18,0,0,0,0,0,186,818,172,90,78,12,100,3,10,7,1,174,"Scott Kazmir",4897,431148
"Esteban Loaiza","WSN",12,10,3.774193548387097,34,34,24,0,0,0,0,0,217,912,227,93,91,18,55,3,5,6,0,173,"Esteban Loaiza",1310,117842
"Brandon Webb","ARI",14,12,3.537117903930131,33,33,22,1,0,0,0,0,229,943,229,98,90,21,59,4,2,14,1,172,"Brandon Webb",1692,425630
"Noah Lowry","SFG",13,13,3.7817591456191044,33,33,15,0,0,0,0,0,204.2,875,193,92,86,21,76,1,7,2,0,172,"Noah Lowry",1833,430161
"Andy Pettitte","HOU",17,9,2.388305737803138,33,33,27,0,0,0,0,0,222.1,875,188,66,59,17,41,0,3,2,0,171,"Andy Pettitte",840,120485
"Barry Zito","OAK",14,13,3.862774066810246,35,35,21,0,0,0,0,0,228.1,953,185,106,98,26,89,0,13,4,0,171,"Barry Zito",944,217096
"Dontrelle Willis","FLA",22,10,2.627644626367666,34,34,25,7,5,0,0,0,236.1,960,213,79,69,11,55,3,8,2,1,170,"Dontrelle Willis",1703,425883
"John Smoltz","ATL",14,7,3.0566037058924946,33,33,21,3,1,0,0,0,229.2,931,210,83,78,18,53,7,1,2,1,169,"John Smoltz",115,122477
"Josh Beckett","FLA",15,8,3.375000192158269,29,29,20,2,1,0,0,0,178.2,729,153,75,67,14,58,2,7,5,0,166,"Josh Beckett",510,277417
"Jason Schmidt","SFG",12,7,4.395348447280844,29,29,16,0,0,0,0,0,172,757,160,90,84,16,85,4,5,7,1,165,"Jason Schmidt",1131,121834
"Aaron Harang","CIN",11,13,3.8267718374548165,32,32,19,1,0,0,0,0,211.2,887,217,93,90,22,51,3,8,6,0,163,"Aaron Harang",1451,421685
"Dan Haren","OAK",14,12,3.7327188940092166,34,34,22,3,0,0,0,0,217,897,212,101,90,26,53,5,6,6,0,163,"Dan Haren",1757,429717
"CC Sabathia","CLE",15,10,4.02711853991703,31,31,17,1,0,0,0,0,196.2,823,185,92,88,19,62,1,7,7,0,161,"CC Sabathia",404,282332
"Bartolo Colon","LAA",21,8,3.4760478247899993,33,33,21,2,0,0,0,0,222.2,906,215,93,86,26,43,0,3,2,1,157,"Bartolo Colon",375,112526
"Jeff Weaver","LAD",14,11,4.2187497126204825,34,34,21,3,2,0,0,0,224,930,220,111,105,35,43,1,18,2,0,157,"Jeff Weaver",503,213711
"Daniel Cabrera","BAL",10,13,4.518594756412049,29,29,12,0,0,0,0,0,161.1,716,144,92,81,14,87,2,11,9,1,157,"Daniel Cabrera",1931,425555
"Jose Contreras","CHW",15,7,3.605863102571491,32,32,18,1,0,0,0,0,204.2,857,177,91,82,23,75,2,9,20,2,154,"Jose Contreras",1660,425747
"Tim Wakefield","BOS",16,12,4.153845966323493,33,33,17,3,0,0,0,0,225.1,943,210,113,104,35,68,4,11,8,0,151,"Tim Wakefield",219,123801
"Mark Buehrle","CHW",16,8,3.1183099931877027,33,33,20,3,1,0,0,0,236.2,971,240,99,82,20,40,4,4,2,2,149,"Mark Buehrle",225,279824
