Name,Team,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,NameASCII,PlayerId,MLBAMID
"Bryan Bullington","PIT",,,,,,,,,,,,,,,1,"Bryan Bullington",5066,425860
"Jason Karnuth","DET",0.7,89.42857143,0.3,85.33333333,,,,,,,,,,,0.6,"Jason Karnuth",1162,400112
"Chris Booker","CIN",0.65625,91.47619048,,,,,0.34375,77.90909091,,,,,,,0.56164384,"Chris Booker",2039,407094
"Elizardo Ramirez","CIN",0.575,89.69473684,0.05,79.42857143,,,0.245,77.26190476,0.13,83.23809524,,,,,0.46380697,"Elizardo Ramirez",1946,430579
"David Sanders","CHW",0.61904762,84.84615385,0.28571429,76.83333333,,,,,0.0952381,77.5,,,,,0.46153846,"David Sanders",1693,425553
"Jason Anderson","NYY",0.79245283,92.27272727,0.03773585,,,,0.11320755,76.5,0.05660377,,,,,,0.45360825,"Jason Anderson",1661,425427
"Adam Wainwright","STL",0.55555556,91.3,0.16666667,83,,,0.27777778,74,,,,,,,0.41935484,"Adam Wainwright",2233,425794
"Jose Capellan","MIL",0.81560284,94.11842105,0.14184397,82.35294118,,,0.0141844,76,0.02836879,87,,,,,0.40756303,"Jose Capellan",2236,430642
"Jeff Bajenaru","CHW",0.64285714,90.72,0.11904762,80.8,,,0.14285714,78.6,0.0952381,78.5,,,,,0.39130435,"Jeff Bajenaru",2920,434117
"Denny Bautista","KCR",0.55584416,93.57058824,0.13506494,84.60465116,0.0987013,93.10714286,0.15064935,81.08888889,0.05974026,84.08695652,,,,,0.38985737,"Denny Bautista",1947,429714
"Paul Maholm","PIT",0.585,89.33333333,0.1175,80.95238095,,,0.1825,75.35294118,0.115,80.8,,,,,0.3442623,"Paul Maholm",8678,430904
"Matt Capps","PIT",0.74468085,90.7,0.21276596,79.55555556,,,,,0.04255319,82,,,,,0.29850746,"Matt Capps",4788,448165
"Rafael Soriano","SEA",0.70192308,92.83076923,0.24038462,83.7,,,,,0.05769231,83.83333333,,,,,0.2972973,"Rafael Soriano",1100,400089
"Ben Weber","CIN",0.61176471,87.07692308,0.25882353,80.90322581,,,,,0.12941176,80.73333333,,,,,0.28870293,"Ben Weber",41,276533
"Jaime Cerda","KCR",0.67132867,90.35714286,0.13636364,80.64705882,,,0.04895105,77.69230769,0.14335664,81.07142857,,,,,0.27411168,"Jaime Cerda",1532,407881
"Matt Kinney","SFG",0.71126761,93.17647059,0.0915493,80.33333333,,,0.14788732,79.05263158,0.04929577,86.5,,,,,0.27179487,"Matt Kinney",737,150219
"Jason Johnson","DET",0.62217295,91.38091068,0.06784922,83.06299213,0.00044346,88,0.22261641,80.83135392,0.08691796,81.50581395,,,,,0.24816789,"Jason Johnson",147,116595
"Josh Hancock","CIN",0.62992126,89.59016393,0.26771654,79.875,,,0.03149606,74,0.07086614,80.5,,,,,0.24260355,"Josh Hancock",1606,407820
"Chin-hui Tsao","COL",0.74675325,93.13580247,0.16883117,84.55,,,0.00649351,,0.06493506,82.33333333,0.01298701,80.5,,,0.21827411,"Chin-hui Tsao",1776,425835
"Francisco Liriano","MIN",0.47902098,94.80821918,0.36013986,87.13559322,,,,,0.16083916,84.56521739,,,,,0.21428571,"Francisco Liriano",3201,434538
"Michael Gonzalez","PIT",0.61538462,92.56687898,0.36242604,81.15,,,0.00887574,78,0.01331361,81.14285714,,,,,0.21113689,"Michael Gonzalez",1794,283166
"Matt Belisle","CIN",0.77302326,91.82232704,0.01860465,80.1,,,0.18418605,74.98170732,0.02418605,83.05,,,,,0.21098901,"Matt Belisle",1837,279571
"Jason Bulger","ARI",0.70945946,94.50666667,0.16891892,84.78947368,,,0.04054054,79.2,0.05405405,82.75,0.02702703,84.66666667,,,0.20855615,"Jason Bulger",3915,408072
"Matt Ginter","DET",0.62647754,89.55111111,0.3498818,82.40298507,,,,,0.02364066,81.6,,,,,0.20786517,"Matt Ginter",233,215197
"Sean Douglass","DET",0.60359589,90.24414716,0.24657534,84.06827309,0.00171233,89,0.03424658,77.89189189,0.11386986,83.8362069,,,,,0.19671008,"Sean Douglass",133,346868
"Fernando Rodney","DET",0.57961783,93.36363636,0.02388535,86.64285714,,,,,0.39012739,82.55023923,0.00636943,83.75,,,0.18556701,"Fernando Rodney",494,407845
"Joe Valentine","CIN",0.59215686,92.00819672,0.17647059,84.87804878,,,,,0.21960784,80.98,0.01176471,84,,,0.18530351,"Joe Valentine",1810,407907
"Steve Stemle","KCR",0.7768595,91.8,0.00826446,82,,,0.19834711,78.82352941,0.01652893,85.5,,,,,0.18120805,"Steve Stemle",2518,435318
"Josh Fogg","PIT",0.50090909,87.92916667,0.16272727,83.15384615,0.02318182,84.97959184,0.10590909,77.51351351,0.20727273,81.68604651,,,,,0.17953454,"Josh Fogg",989,150319
"Tyler Johnson","STL",0.57142857,87.52380952,0.35714286,79.33333333,,,0.07142857,74.5,,,,,,,0.17647059,"Tyler Johnson",3404,431164
"Clay Hensley","SDP",0.5565371,89.83397683,0.25795053,83.5234375,0.00353357,89.5,0.10070671,74.61538462,0.08127208,79.9,,,,,0.17612809,"Clay Hensley",4593,454535
"Brian Meadows","PIT",0.63832078,89.31981982,0.13347686,81.64044944,,,0.19052745,80.68152866,0.03767492,81.04347826,,,,,0.17360496,"Brian Meadows",998,132785
"Allan Simpson","- - -",0.85496183,92.62352941,0.11450382,81.92307692,,,0.00763359,78,0.01526718,83.5,0.00763359,89,,,0.16981132,"Allan Simpson",1864,407817
