Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jon Switzer","TBD",0.38461538461538464,0.8,0.307692307,0.307692307,0.384615384,0,0,4,9,54,56,110,0.46153846,0.23076923,0.30769231,0.07692308,0.23076923,0.69230769,"Jon Switzer",1786,408304
"Tom Martin","ATL",0.45454545454545453,0,0.272727272,0,0.727272727,0,0.125,0,0,19,28,47,0.33333333,0.33333333,0.33333333,0.08333333,0.33333333,0.58333333,"Tom Martin",1219,118353
"Jorge Campillo","SEA",0.14285714285714285,0.25,0.285714285,0.142857142,0.571428571,0.25,0,1,4.5,16,23,39,0.71428571,0.14285714,0.14285714,0,0.42857143,0.57142857,"Jorge Campillo",8686,435658
"Michael Tejera","TEX",0.5,1,0.333333333,0.333333333,0.333333333,0,0.333333333,0,0,21,32,53,0.33333333,0.55555556,0.11111111,0,0.44444444,0.55555556,"Michael Tejera",542,150373
"Chris Booker","CIN",0.5714285714285714,0.2,0.333333333,0.111111111,0.555555555,0,0.4,0,0,35,38,73,0.55555556,0.33333333,0.11111111,0,0.44444444,0.55555556,"Chris Booker",2039,407094
"Tim Hamulack","NYM",0.5,1,0.272727272,0.363636363,0.363636363,0,0.75,1,3.8571469297257432,22,28,50,0.54545455,0.36363636,0.09090909,0,0.45454545,0.54545455,"Tim Hamulack",1900,425787
"Chad Fox","CHC",0.35294117647058826,0.5,0.210526315,0.263157894,0.526315789,0.2,0.2,0,0,78,97,175,0.31578947,0.21052632,0.47368421,0.15789474,0.31578947,0.52631579,"Chad Fox",684,114354
"Travis Driskill","HOU",0.5,0,0.5,0,0.5,0,0,0,0,8,11,19,0.5,0.5,0,0,0.5,0.5,"Travis Driskill",134,150344
"Ramiro Mendoza","NYY",0.3333333333333333,1,0,0.5,0.5,0,0.5,0,0,8,10,18,0.5,0.25,0.25,0.25,0.25,0.5,"Ramiro Mendoza",836,118947
"Bret Prinz","LAA",0.2727272727272727,1,0.333333333,0.333333333,0.333333333,0,0.25,0,0,26,35,61,0.58333333,0.08333333,0.33333333,0,0.5,0.5,"Bret Prinz",1474,400092
"Matt Whiteside","TOR",0.3333333333333333,1,0.166666666,0.416666666,0.416666666,0,0.6,2,4.909086653027402,41,57,98,0.66666667,0.16666667,0.16666667,0.16666667,0.33333333,0.5,"Matt Whiteside",1956,124209
"Chris Demaria","KCR",0.44,1.714285714,0.321428571,0.428571428,0.25,0.285714285,0.428571428,5,5.000002119277157,72,102,174,0.5,0.25,0.25,0.14285714,0.35714286,0.5,"Chris Demaria",4361,444518
"Bryan Bullington","PIT",0.25,1,0,0.5,0.5,0,0,0,0,13,17,30,0.5,0.25,0.25,0.25,0.25,0.5,"Bryan Bullington",5066,425860
"Travis Hughes","WSN",0.32558139534883723,1.466666666,0.159090909,0.5,0.34090909,0.2,0.266666666,5,3.461539985160821,97,138,235,0.46808511,0.25531915,0.27659574,0.14893617,0.36170213,0.4893617,"Travis Hughes",2045,407889
