Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Antonio Osuna","WSN",0,27.00001471384033,0,7.714289918240094,0,0.30434783,-0.30434783,0.5625,6.857146593991194,0.5,0.37878788,1044.078661814089,566.6708157291272,409.322262646657,42.42859455032052,23.162899285925793,19.265695264394726,17.3399237851852,11.105807433376395,"Antonio Osuna",249,120107
"Tom Martin","ATL",0,7.714286765273879,0,3.8571433826369397,0,0.14285714,-0.14285714,0.5,3.4285718956772797,0.45454545454545453,0.45454545,461.94261467440634,266.33371911660333,243.34800936399452,19.2857169131847,11.1628894183102,8.1228274948745,10.320247234646398,9.85930921554067,"Tom Martin",1219,118353
"Jermaine Van Buren","CHC",4.500000715255851,13.500002145767553,0.33333333,0,0.11111111,0.33333333,-0.22222222,0.1111111111111111,1.8333336247338652,0.13333333333333333,0.81818182,68.9375615086828,150.8062122788966,191.54098433147456,3.000000476837234,6.520031722386767,-3.5200312455495326,8.129132940825109,9.573492392982036,"Jermaine Van Buren",2492,435278
"Adam Wainwright","STL",0,4.5,0,4.5,0,0.11111111,-0.11111111,0.25,1.5,0.14285714285714285,0,326.16297298327584,264.3658243757818,187.7336081817696,13.5,11.02003116607666,2.4799688339233406,7.968104657530785,9.347010912777298,"Adam Wainwright",2233,425794
"Jason Anderson","NYY",3.176468806284284,11.117640821994993,0.28571429,0,0.07407407,0.25925926,-0.18518519,0.2,1.9411753816181734,0.2222222222222222,0.54545455,184.31304538818492,139.31782400488353,205.73915727244332,7.94117201571071,6.020029483122928,1.9211425325877816,8.940748919757532,9.116006797634006,"Jason Anderson",1661,425427
"Alex Graman","NYY",0,13.500003218651585,0,6.750001609325793,0,0.22222222,-0.22222222,0.42857142857142855,3.750000894069885,0.3333333333333333,0.83333333,313.3324276388042,398.28676071754177,268.03649267485747,13.500003218651585,17.27003456354222,-3.7700313448906364,11.657721415207444,8.933159061692704,"Alex Graman",1910,407800
"Cla Meredith","BOS",0,15.428573530547759,0,3.8571433826369397,0,0.22222222,-0.22222222,0.46153846153846156,4.2857148695966,0.4166666666666667,0.41666667,597.2446715057432,353.2483913988162,271.5968003096516,27.00000367845858,15.020032800947138,11.979970877511441,11.812997043877449,8.816060295449915,"Cla Meredith",7613,448592
"Jay Powell","ATL",2.70000257492311,10.80001029969244,0.25,0,0.06666667,0.26666667,-0.2,0.09090909090909091,1.5000014305128389,0.1,1,0,143.32096679733917,171.0228012636694,0,6.020034027102338,-6.020034027102338,7.261341667829039,8.525834124170396,"Jay Powell",1271,120717
"Chris Booker","CIN",9.000004827978817,18.000009655957633,0.5,9.000004827978817,0.13333333,0.26666667,-0.13333333,0.5454545454545454,5.000002682210454,0.5714285714285714,0.27777778,733.8134444689747,458.6738102746496,246.84406624387458,31.50001689792586,20.020040285592202,11.479976612333658,10.4681086529909,8.0689407842356,"Chris Booker",2039,407094
"Jesse Foppert","SFG",5.225808119551112,11.32258425902741,0.46153846,1.7419360398503707,0.11320755,0.24528302,-0.13207547,0.28205128205128205,2.322581386467161,0.2903225806451613,0.81081081,123.45142391604419,204.45347219319302,183.56720744315905,5.225808119551112,8.439387734500036,-3.213579614948924,7.791891871592455,7.842513010843301,"Jesse Foppert",1688,425817
"Ryan Bukvich","TEX",9.000002145767724,13.500003218651585,0.66666667,0,0.21052632,0.31578947,-0.10526316,0.15384615384615385,2.000000476837272,0.2222222222222222,0.375,246.58663501195866,125.24388767734467,143.1178403580214,11.250002682209654,5.52003176212325,5.729970920086404,6.209646624831071,7.678894842074908,"Ryan Bukvich",1531,424426
"Sean Henn","NYY",2.382353609408662,8.73529656783176,0.27272727,2.382353609408662,0.04918033,0.18032787,-0.13114754,0.36,2.5588242471426366,0.3409090909090909,0.52419355,258.03848067687096,204.3139962876425,174.8349930198108,11.11765017724042,8.843562211297833,2.274087965942588,7.592926196251205,7.477976588938266,"Sean Henn",2147,430675
"Chad Bentz","FLA",0,0,0,9.000004827978817,0,0,0,0.5714285714285714,4.000002145768363,0.5,0.19230769,768.6975470218078,384.6467732792945,184.87815169814738,31.50001689792586,16.02003813982384,15.479978758102021,7.8473366436808885,7.448084736513159,"Chad Bentz",1889,430566
"Carlos Almánzar","TEX",5.400005664831382,12.60001321793989,0.42857143,3.6000037765542547,0.09090909,0.21212121,-0.12121212,0.4,3.400003566745685,0.4,0.65789474,315.63114867329006,267.3569792747872,209.45139014347816,14.400015106217019,11.820040397653727,2.5799747085632916,9.102650460845208,7.118132651458384,"Carlos Almanzar",308,110179
"John Webb","TBD",4.5,9,0.5,2.25,0.08695652,0.17391304,-0.08695652,0.3333333333333333,2.5,0.3333333333333333,0.3125,419.37838326659386,207.34866911993794,196.28649082881012,18,9.02003116607666,8.97996883392334,8.528489959239959,7.075506871007406,"John Webb",7230,425486
"Jon Switzer","TBD",11.25,15.75,0.71428571,0,0.2,0.28,-0.08,0.2777777777777778,3,0.38461538461538464,0.66666667,157.2668937249727,132.90437372271154,172.5682760346938,6.75,5.77003116607666,0.9799688339233397,7.494067911803723,7.006179727991199,"Jon Switzer",1786,408304
"Matt Anderson","COL",3.6000003433227867,9.900000944137663,0.36363636,2.70000025749209,0.06451613,0.17741935,-0.11290323,0.3877551020408163,3.0000002861023223,0.38095238095238093,0.53956835,270.2380375577375,225.6515181349848,196.21462244776745,12.600001201629754,10.020031833648744,2.5799693679810094,8.32679870670009,6.900060357141438,"Matt Anderson",459,150183
"Mike Matthews","NYM",3.6000037765542547,7.2000075531085095,0.5,0,0.07142857,0.14285714,-0.07142857,0.375,2.600002727511406,0.4090909090909091,0.53846154,261.401781541462,110.54713217679706,180.31492754029838,10.800011329662764,4.620032844545218,6.179978485117546,7.654340700140464,6.708069427436966,"Mike Matthews",1170,150347
"Frank Castillo","FLA",8.307698402183535,10.384623002729418,0.8,0,0.18181818,0.22727273,-0.04545455,0.23529411764705882,2.0769246005458837,0.3076923076923077,0.44444444,253.41682370557606,110.81695128491663,169.13946993457017,10.384623002729418,4.635416966501237,5.749206036228181,7.181688489662554,6.627887883079666,"Frank Castillo",180,112113
"Sean Burroughs","SDP",0,0,0,9,0,0,0,0.5714285714285714,4,0.5,0.38461538,695.121514629672,394.95595801454766,201.18344069199603,27,16.02003116607666,10.97996883392334,8.536948752403259,6.617758205974261,"Sean Burroughs",1021,284568
"Matt Riley","TEX",2.8421032659909238,7.105258164977309,0.4,1.4210516329954619,0.06451613,0.16129032,-0.09677419,0.3137254901960784,2.0526301365490003,0.3111111111111111,0.53719008,218.03429312857884,159.6738355322358,160.17752159887618,9.947361430968233,7.046344126230469,2.9010173047377634,6.953670175969168,6.6067424643443795,"Matt Riley",164,235494
